API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-035-06191-00-00,7/31/2025 12:00:00 AM,Cut Bank,101231,0,415,0,31
25-035-06191-00-00,6/30/2025 12:00:00 AM,Cut Bank,101231,0,339,0,30
25-035-06191-00-00,5/31/2025 12:00:00 AM,Cut Bank,101231,0,393,0,31
25-035-06191-00-00,4/30/2025 12:00:00 AM,Cut Bank,101231,0,393,0,30
25-035-06191-00-00,3/31/2025 12:00:00 AM,Cut Bank,101231,0,408,0,31
25-035-06191-00-00,2/28/2025 12:00:00 AM,Cut Bank,101231,0,311,0,28
25-035-06191-00-00,1/31/2025 12:00:00 AM,Cut Bank,101231,0,412,0,31
25-035-06191-00-00,12/31/2024 12:00:00 AM,Cut Bank,101231,0,379,0,31
25-035-06191-00-00,11/30/2024 12:00:00 AM,Cut Bank,101231,0,380,0,30
25-035-06191-00-00,10/31/2024 12:00:00 AM,Cut Bank,101231,0,437,0,31
25-035-06191-00-00,9/30/2024 12:00:00 AM,Cut Bank,101231,0,382,0,30
25-035-06191-00-00,8/31/2024 12:00:00 AM,Cut Bank,101231,0,401,0,31
25-035-06191-00-00,7/31/2024 12:00:00 AM,Cut Bank,101231,0,316,0,31
25-035-06191-00-00,6/30/2024 12:00:00 AM,Cut Bank,101231,0,311,0,30
25-035-06191-00-00,5/31/2024 12:00:00 AM,Cut Bank,101231,0,329,0,31
25-035-06191-00-00,4/30/2024 12:00:00 AM,Cut Bank,101231,0,305,0,30
25-035-06191-00-00,3/31/2024 12:00:00 AM,Cut Bank,101231,0,325,0,31
25-035-06191-00-00,2/29/2024 12:00:00 AM,Cut Bank,101231,0,261,0,29
25-035-06191-00-00,1/31/2024 12:00:00 AM,Cut Bank,101231,0,319,0,31
25-035-06191-00-00,12/31/2023 12:00:00 AM,Cut Bank,101231,0,423,0,31
25-035-06191-00-00,11/30/2023 12:00:00 AM,Cut Bank,101231,0,348,0,30
25-035-06191-00-00,10/31/2023 12:00:00 AM,Cut Bank,101231,0,174,0,31
25-035-06191-00-00,9/30/2023 12:00:00 AM,Cut Bank,101231,0,323,0,30
25-035-06191-00-00,8/31/2023 12:00:00 AM,Cut Bank,101231,0,327,0,31
25-035-06191-00-00,7/31/2023 12:00:00 AM,Cut Bank,101231,0,311,0,31
25-035-06191-00-00,6/30/2023 12:00:00 AM,Cut Bank,101231,0,245,0,30
25-035-06191-00-00,5/31/2023 12:00:00 AM,Cut Bank,101231,0,337,0,31
25-035-06191-00-00,4/30/2023 12:00:00 AM,Cut Bank,101231,0,287,0,30
25-035-06191-00-00,3/31/2023 12:00:00 AM,Cut Bank,101231,0,325,0,31
25-035-06191-00-00,2/28/2023 12:00:00 AM,Cut Bank,101231,0,280,0,28
25-035-06191-00-00,1/31/2023 12:00:00 AM,Cut Bank,101231,0,333,0,31
25-035-06191-00-00,12/31/2022 12:00:00 AM,Cut Bank,101231,0,303,0,31
25-035-06191-00-00,11/30/2022 12:00:00 AM,Cut Bank,101231,0,310,0,30
25-035-06191-00-00,10/31/2022 12:00:00 AM,Cut Bank,101231,0,305,0,31
25-035-06191-00-00,9/30/2022 12:00:00 AM,Cut Bank,101231,0,320,0,30
25-035-06191-00-00,8/31/2022 12:00:00 AM,Cut Bank,101231,0,317,0,31
25-035-06191-00-00,7/31/2022 12:00:00 AM,Cut Bank,101231,0,320,0,31
25-035-06191-00-00,6/30/2022 12:00:00 AM,Cut Bank,101231,0,237,0,30
25-035-06191-00-00,5/31/2022 12:00:00 AM,Cut Bank,101231,0,314,0,31
25-035-06191-00-00,4/30/2022 12:00:00 AM,Cut Bank,101231,0,290,0,30
