API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-035-22101-00-00,7/31/2025 12:00:00 AM,"Bow Island, Sunburst, Cut Bank",101231,0,49,0,31
25-035-22101-00-00,6/30/2025 12:00:00 AM,"Bow Island, Sunburst, Cut Bank",101231,0,69,0,30
25-035-22101-00-00,5/31/2025 12:00:00 AM,"Bow Island, Sunburst, Cut Bank",101231,0,52,0,31
25-035-22101-00-00,4/30/2025 12:00:00 AM,"Bow Island, Sunburst, Cut Bank",101231,0,63,0,30
25-035-22101-00-00,3/31/2025 12:00:00 AM,"Bow Island, Sunburst, Cut Bank",101231,0,8,0,31
25-035-22101-00-00,2/28/2025 12:00:00 AM,"Bow Island, Sunburst, Cut Bank",101231,0,5,0,28
25-035-22101-00-00,1/31/2025 12:00:00 AM,"Bow Island, Sunburst, Cut Bank",101231,0,0,0,0
25-035-22101-00-00,12/31/2024 12:00:00 AM,"Bow Island, Sunburst, Cut Bank",101231,0,1,0,31
25-035-22101-00-00,11/30/2024 12:00:00 AM,"Bow Island, Sunburst, Cut Bank",101231,0,57,0,30
25-035-22101-00-00,10/31/2024 12:00:00 AM,"Bow Island, Sunburst, Cut Bank",101231,0,94,0,31
25-035-22101-00-00,9/30/2024 12:00:00 AM,"Bow Island, Sunburst, Cut Bank",101231,0,89,0,30
25-035-22101-00-00,8/31/2024 12:00:00 AM,"Bow Island, Sunburst, Cut Bank",101231,0,35,0,31
25-035-22101-00-00,7/31/2024 12:00:00 AM,"Bow Island, Sunburst, Cut Bank",101231,0,0,0,0
25-035-22101-00-00,6/30/2024 12:00:00 AM,"Bow Island, Sunburst, Cut Bank",101231,0,4,0,30
25-035-22101-00-00,5/31/2024 12:00:00 AM,"Bow Island, Sunburst, Cut Bank",101231,0,12,0,31
25-035-22101-00-00,4/30/2024 12:00:00 AM,"Bow Island, Sunburst, Cut Bank",101231,0,0,0,0
25-035-22101-00-00,3/31/2024 12:00:00 AM,"Bow Island, Sunburst, Cut Bank",101231,0,7,0,31
25-035-22101-00-00,2/29/2024 12:00:00 AM,"Bow Island, Sunburst, Cut Bank",101231,0,3,0,29
25-035-22101-00-00,1/31/2024 12:00:00 AM,"Bow Island, Sunburst, Cut Bank",101231,0,23,0,31
25-035-22101-00-00,12/31/2023 12:00:00 AM,"Bow Island, Sunburst, Cut Bank",101231,0,0,0,0
25-035-22101-00-00,11/30/2023 12:00:00 AM,"Bow Island, Sunburst, Cut Bank",101231,0,0,0,0
