API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-005-22513-00-00,7/31/2025 12:00:00 AM,Eagle,2356,0,154,0,31
25-005-22513-00-00,6/30/2025 12:00:00 AM,Eagle,2356,0,146,0,30
25-005-22513-00-00,5/31/2025 12:00:00 AM,Eagle,2356,0,149,0,31
25-005-22513-00-00,4/30/2025 12:00:00 AM,Eagle,2356,0,147,0,30
25-005-22513-00-00,3/31/2025 12:00:00 AM,Eagle,2356,0,160,0,31
25-005-22513-00-00,2/28/2025 12:00:00 AM,Eagle,2356,0,78,0,24
25-005-22513-00-00,1/31/2025 12:00:00 AM,Eagle,2356,0,140,0,28
25-005-22513-00-00,12/31/2024 12:00:00 AM,Eagle,2356,0,182,0,31
25-005-22513-00-00,11/30/2024 12:00:00 AM,Eagle,2356,0,163,0,30
25-005-22513-00-00,10/31/2024 12:00:00 AM,Eagle,2356,0,164,0,31
25-005-22513-00-00,9/30/2024 12:00:00 AM,Eagle,2356,0,152,0,30
25-005-22513-00-00,8/31/2024 12:00:00 AM,Eagle,2356,0,154,0,31
25-005-22513-00-00,7/31/2024 12:00:00 AM,Eagle,2356,0,151,0,31
25-005-22513-00-00,6/30/2024 12:00:00 AM,Eagle,2356,0,143,0,30
25-005-22513-00-00,5/31/2024 12:00:00 AM,Eagle,2356,0,143,0,31
25-005-22513-00-00,4/30/2024 12:00:00 AM,Eagle,2356,0,136,0,30
25-005-22513-00-00,3/31/2024 12:00:00 AM,Eagle,2356,0,143,0,31
25-005-22513-00-00,2/29/2024 12:00:00 AM,Eagle,2356,0,142,0,29
25-005-22513-00-00,1/31/2024 12:00:00 AM,Eagle,2356,0,142,0,31
25-005-22513-00-00,12/31/2023 12:00:00 AM,Eagle,2356,0,168,0,31
25-005-22513-00-00,11/30/2023 12:00:00 AM,Eagle,2356,0,171,0,30
25-005-22513-00-00,10/31/2023 12:00:00 AM,Eagle,2356,0,177,0,31
25-005-22513-00-00,9/30/2023 12:00:00 AM,Eagle,2356,0,176,0,30
25-005-22513-00-00,8/31/2023 12:00:00 AM,Eagle,2356,0,181,0,31
25-005-22513-00-00,7/31/2023 12:00:00 AM,Eagle,2356,0,183,0,31
25-005-22513-00-00,6/30/2023 12:00:00 AM,Eagle,2356,0,177,0,30
25-005-22513-00-00,5/31/2023 12:00:00 AM,Eagle,2356,0,178,0,31
25-005-22513-00-00,4/30/2023 12:00:00 AM,Eagle,2356,0,172,0,30
25-005-22513-00-00,3/31/2023 12:00:00 AM,Eagle,2356,0,172,0,31
25-005-22513-00-00,2/28/2023 12:00:00 AM,Eagle,2356,0,168,0,28
25-005-22513-00-00,1/31/2023 12:00:00 AM,Eagle,2356,0,201,0,31
25-005-22513-00-00,12/31/2022 12:00:00 AM,Eagle,2356,0,197,0,31
25-005-22513-00-00,11/30/2022 12:00:00 AM,Eagle,2356,0,198,0,30
25-005-22513-00-00,10/31/2022 12:00:00 AM,Eagle,2356,0,179,0,31
25-005-22513-00-00,9/30/2022 12:00:00 AM,Eagle,2356,0,174,0,30
25-005-22513-00-00,8/31/2022 12:00:00 AM,Eagle,2356,0,180,0,31
25-005-22513-00-00,7/31/2022 12:00:00 AM,Eagle,2356,0,181,0,31
25-005-22513-00-00,6/30/2022 12:00:00 AM,Eagle,2356,0,174,0,30
25-005-22513-00-00,5/31/2022 12:00:00 AM,Eagle,2356,0,179,0,31
25-005-22513-00-00,4/30/2022 12:00:00 AM,Eagle,2356,0,177,0,30
25-005-22513-00-00,3/31/2022 12:00:00 AM,Eagle,2356,0,186,0,31
25-005-22513-00-00,2/28/2022 12:00:00 AM,Eagle,2356,0,165,0,28
25-005-22513-00-00,1/31/2022 12:00:00 AM,Eagle,2356,0,206,0,31
25-005-22513-00-00,12/31/2021 12:00:00 AM,Eagle,2356,0,181,0,31
25-005-22513-00-00,11/30/2021 12:00:00 AM,Eagle,2356,0,202,0,30
25-005-22513-00-00,10/31/2021 12:00:00 AM,Eagle,2356,0,192,0,31
25-005-22513-00-00,9/30/2021 12:00:00 AM,Eagle,2356,0,188,0,30
25-005-22513-00-00,8/31/2021 12:00:00 AM,Eagle,2356,0,194,0,31
25-005-22513-00-00,7/31/2021 12:00:00 AM,Eagle,2356,0,194,0,31
25-005-22513-00-00,6/30/2021 12:00:00 AM,Eagle,2356,0,188,0,30
25-005-22513-00-00,5/31/2021 12:00:00 AM,Eagle,2356,0,196,0,31
25-005-22513-00-00,4/30/2021 12:00:00 AM,Eagle,2356,0,195,0,30
25-005-22513-00-00,3/31/2021 12:00:00 AM,Eagle,2356,0,211,0,31
25-005-22513-00-00,2/28/2021 12:00:00 AM,Eagle,2356,0,147,0,28
25-005-22513-00-00,1/31/2021 12:00:00 AM,Eagle,2356,0,194,0,31
25-005-22513-00-00,12/31/2020 12:00:00 AM,Eagle,2356,0,202,0,31
25-005-22513-00-00,11/30/2020 12:00:00 AM,Eagle,2356,0,207,0,30
25-005-22513-00-00,10/31/2020 12:00:00 AM,Eagle,2356,0,206,0,31
25-005-22513-00-00,9/30/2020 12:00:00 AM,Eagle,2356,0,196,0,30
25-005-22513-00-00,8/31/2020 12:00:00 AM,Eagle,2356,0,202,0,31
25-005-22513-00-00,7/31/2020 12:00:00 AM,Eagle,2356,0,202,0,31
25-005-22513-00-00,6/30/2020 12:00:00 AM,Eagle,2356,0,196,0,30
25-005-22513-00-00,5/31/2020 12:00:00 AM,Eagle,2356,0,201,0,31
25-005-22513-00-00,4/30/2020 12:00:00 AM,Eagle,2356,0,196,0,30
25-005-22513-00-00,3/31/2020 12:00:00 AM,Eagle,2356,0,207,0,31
25-005-22513-00-00,2/29/2020 12:00:00 AM,Eagle,2356,0,206,0,29
25-005-22513-00-00,1/31/2020 12:00:00 AM,Eagle,2356,0,226,0,31
