API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-005-22185-00-00,7/31/2025 12:00:00 AM,Eagle,725,0,699,78,31
25-005-22185-00-00,6/30/2025 12:00:00 AM,Eagle,725,0,661,75,30
25-005-22185-00-00,5/31/2025 12:00:00 AM,Eagle,725,0,644,77,31
25-005-22185-00-00,4/30/2025 12:00:00 AM,Eagle,725,0,608,75,30
25-005-22185-00-00,3/31/2025 12:00:00 AM,Eagle,725,0,657,124,31
25-005-22185-00-00,2/28/2025 12:00:00 AM,Eagle,725,0,635,109,27
25-005-22185-00-00,1/31/2025 12:00:00 AM,Eagle,725,0,778,124,31
25-005-22185-00-00,12/31/2024 12:00:00 AM,Eagle,725,0,752,124,31
25-005-22185-00-00,11/30/2024 12:00:00 AM,Eagle,725,0,728,120,30
25-005-22185-00-00,10/31/2024 12:00:00 AM,Eagle,725,0,640,124,31
25-005-22185-00-00,9/30/2024 12:00:00 AM,Eagle,725,0,703,120,30
25-005-22185-00-00,8/31/2024 12:00:00 AM,Eagle,725,0,644,124,31
25-005-22185-00-00,7/31/2024 12:00:00 AM,Eagle,725,0,692,124,31
25-005-22185-00-00,6/30/2024 12:00:00 AM,Eagle,725,0,581,120,30
25-005-22185-00-00,5/31/2024 12:00:00 AM,Eagle,725,0,750,124,31
25-005-22185-00-00,4/30/2024 12:00:00 AM,Eagle,725,0,792,0,30
25-005-22185-00-00,3/31/2024 12:00:00 AM,Eagle,725,0,746,0,31
25-005-22185-00-00,2/29/2024 12:00:00 AM,Eagle,725,0,792,0,29
25-005-22185-00-00,1/31/2024 12:00:00 AM,Eagle,725,0,852,0,31
25-005-22185-00-00,12/31/2023 12:00:00 AM,Eagle,725,0,864,0,31
25-005-22185-00-00,11/30/2023 12:00:00 AM,Eagle,725,0,668,0,30
25-005-22185-00-00,10/31/2023 12:00:00 AM,Eagle,725,0,682,0,31
25-005-22185-00-00,9/30/2023 12:00:00 AM,Eagle,725,0,713,0,30
25-005-22185-00-00,8/31/2023 12:00:00 AM,Eagle,725,0,706,0,31
25-005-22185-00-00,7/31/2023 12:00:00 AM,Eagle,725,0,682,0,31
25-005-22185-00-00,6/30/2023 12:00:00 AM,Eagle,725,0,629,0,25
25-005-22185-00-00,5/31/2023 12:00:00 AM,Eagle,725,0,742,0,31
25-005-22185-00-00,4/30/2023 12:00:00 AM,Eagle,725,0,812,105,30
25-005-22185-00-00,3/31/2023 12:00:00 AM,Eagle,725,0,807,108,31
25-005-22185-00-00,2/28/2023 12:00:00 AM,Eagle,725,0,724,98,28
25-005-22185-00-00,1/31/2023 12:00:00 AM,Eagle,725,0,840,109,31
25-005-22185-00-00,12/31/2022 12:00:00 AM,Eagle,725,0,846,109,31
25-005-22185-00-00,11/30/2022 12:00:00 AM,Eagle,725,0,807,105,30
25-005-22185-00-00,10/31/2022 12:00:00 AM,Eagle,725,0,857,106,30
25-005-22185-00-00,9/30/2022 12:00:00 AM,Eagle,725,0,768,105,30
25-005-22185-00-00,8/31/2022 12:00:00 AM,Eagle,725,0,731,108,31
25-005-22185-00-00,7/31/2022 12:00:00 AM,Eagle,725,0,766,109,31
25-005-22185-00-00,6/30/2022 12:00:00 AM,Eagle,725,0,828,105,30
25-005-22185-00-00,5/31/2022 12:00:00 AM,Eagle,725,0,838,108,31
25-005-22185-00-00,4/30/2022 12:00:00 AM,Eagle,725,0,810,108,30
25-005-22185-00-00,3/31/2022 12:00:00 AM,Eagle,725,0,846,111,31
25-005-22185-00-00,2/28/2022 12:00:00 AM,Eagle,725,0,770,101,28
25-005-22185-00-00,1/31/2022 12:00:00 AM,Eagle,725,0,861,112,31
25-005-22185-00-00,12/31/2021 12:00:00 AM,Eagle,725,0,887,112,31
25-005-22185-00-00,11/30/2021 12:00:00 AM,Eagle,725,0,858,108,30
25-005-22185-00-00,10/31/2021 12:00:00 AM,Eagle,725,0,931,112,31
25-005-22185-00-00,9/30/2021 12:00:00 AM,Eagle,725,0,913,108,30
25-005-22185-00-00,8/31/2021 12:00:00 AM,Eagle,725,0,1335,111,31
25-005-22185-00-00,7/31/2021 12:00:00 AM,Eagle,725,0,707,112,31
25-005-22185-00-00,6/30/2021 12:00:00 AM,Eagle,725,0,644,72,20
25-005-22185-00-00,5/31/2021 12:00:00 AM,Eagle,725,0,732,73,20
25-005-22185-00-00,4/30/2021 12:00:00 AM,Eagle,725,0,826,11,30
25-005-22185-00-00,3/31/2021 12:00:00 AM,Eagle,725,0,1086,10,31
25-005-22185-00-00,2/28/2021 12:00:00 AM,Eagle,725,0,694,12,17
25-005-22185-00-00,1/31/2021 12:00:00 AM,Eagle,725,0,824,11,31
25-005-22185-00-00,12/31/2020 12:00:00 AM,Eagle,725,0,702,11,31
25-005-22185-00-00,11/30/2020 12:00:00 AM,Eagle,725,0,823,12,30
25-005-22185-00-00,10/31/2020 12:00:00 AM,Eagle,725,0,730,10,31
25-005-22185-00-00,9/30/2020 12:00:00 AM,Eagle,725,0,746,11,30
25-005-22185-00-00,8/31/2020 12:00:00 AM,Eagle,725,0,703,10,31
25-005-22185-00-00,7/31/2020 12:00:00 AM,Eagle,725,0,690,12,30
25-005-22185-00-00,6/30/2020 12:00:00 AM,Eagle,725,0,688,11,30
25-005-22185-00-00,5/31/2020 12:00:00 AM,Eagle,725,0,893,10,31
25-005-22185-00-00,4/30/2020 12:00:00 AM,Eagle,725,0,822,11,30
25-005-22185-00-00,3/31/2020 12:00:00 AM,Eagle,725,0,944,10,31
25-005-22185-00-00,2/29/2020 12:00:00 AM,Eagle,725,0,748,12,29
25-005-22185-00-00,1/31/2020 12:00:00 AM,Eagle,725,0,884,13,31
25-005-22185-00-00,12/31/2019 12:00:00 AM,Eagle,725,0,905,12,31
25-005-22185-00-00,11/30/2019 12:00:00 AM,Eagle,725,0,852,11,30
25-005-22185-00-00,10/31/2019 12:00:00 AM,Eagle,725,0,849,10,31
25-005-22185-00-00,9/30/2019 12:00:00 AM,Eagle,725,0,850,11,30
25-005-22185-00-00,8/31/2019 12:00:00 AM,Eagle,725,0,708,12,31
25-005-22185-00-00,7/31/2019 12:00:00 AM,Eagle,725,0,1013,12,31
25-005-22185-00-00,6/30/2019 12:00:00 AM,Eagle,725,0,1108,10,30
25-005-22185-00-00,5/31/2019 12:00:00 AM,Eagle,725,0,1360,11,31
25-005-22185-00-00,4/30/2019 12:00:00 AM,Eagle,725,0,1045,11,30
25-005-22185-00-00,3/31/2019 12:00:00 AM,Eagle,725,0,235,12,14
25-005-22185-00-00,2/28/2019 12:00:00 AM,Eagle,725,0,758,10,23
25-005-22185-00-00,1/31/2019 12:00:00 AM,Eagle,725,0,988,12,31
25-005-22185-00-00,12/31/2018 12:00:00 AM,Eagle,725,0,818,13,31
25-005-22185-00-00,11/30/2018 12:00:00 AM,Eagle,725,0,803,12,30
25-005-22185-00-00,10/31/2018 12:00:00 AM,Eagle,725,0,918,11,31
25-005-22185-00-00,9/30/2018 12:00:00 AM,Eagle,725,0,669,12,30
25-005-22185-00-00,8/31/2018 12:00:00 AM,Eagle,725,0,779,11,31
25-005-22185-00-00,7/31/2018 12:00:00 AM,Eagle,725,0,646,10,31
25-005-22185-00-00,6/30/2018 12:00:00 AM,Eagle,725,0,894,12,30
25-005-22185-00-00,5/31/2018 12:00:00 AM,Eagle,725,0,910,10,31
25-005-22185-00-00,4/30/2018 12:00:00 AM,Eagle,725,0,950,10,30
25-005-22185-00-00,3/31/2018 12:00:00 AM,Eagle,725,0,873,12,31
25-005-22185-00-00,2/28/2018 12:00:00 AM,Eagle,725,0,981,9,28
25-005-22185-00-00,1/31/2018 12:00:00 AM,Eagle,725,0,930,10,24
25-005-22185-00-00,12/31/2017 12:00:00 AM,Eagle,725,0,897,10,31
25-005-22185-00-00,11/30/2017 12:00:00 AM,Eagle,725,0,858,10,30
25-005-22185-00-00,10/31/2017 12:00:00 AM,Eagle,725,0,1020,10,31
25-005-22185-00-00,9/30/2017 12:00:00 AM,Eagle,725,0,914,10,28
25-005-22185-00-00,8/31/2017 12:00:00 AM,Eagle,725,0,659,10,31
25-005-22185-00-00,7/31/2017 12:00:00 AM,Eagle,725,0,967,10,31
25-005-22185-00-00,6/30/2017 12:00:00 AM,Eagle,725,0,947,10,30
25-005-22185-00-00,5/31/2017 12:00:00 AM,Eagle,725,0,734,10,31
25-005-22185-00-00,4/30/2017 12:00:00 AM,Eagle,725,0,1051,10,30
25-005-22185-00-00,3/31/2017 12:00:00 AM,Eagle,725,0,1068,10,31
25-005-22185-00-00,2/28/2017 12:00:00 AM,Eagle,725,0,630,10,28
25-005-22185-00-00,1/31/2017 12:00:00 AM,Eagle,725,0,930,10,31
25-005-22185-00-00,12/31/2016 12:00:00 AM,Eagle,725,0,1113,10,31
25-005-22185-00-00,11/30/2016 12:00:00 AM,Eagle,725,0,703,10,30
25-005-22185-00-00,10/31/2016 12:00:00 AM,Eagle,725,0,788,10,31
25-005-22185-00-00,9/30/2016 12:00:00 AM,Eagle,725,0,558,5,30
25-005-22185-00-00,8/31/2016 12:00:00 AM,Eagle,725,0,966,62,31
25-005-22185-00-00,7/31/2016 12:00:00 AM,Eagle,725,0,1025,62,31
25-005-22185-00-00,6/30/2016 12:00:00 AM,Eagle,725,0,991,60,30
25-005-22185-00-00,5/31/2016 12:00:00 AM,Eagle,725,0,1009,62,31
25-005-22185-00-00,4/30/2016 12:00:00 AM,Eagle,725,0,928,60,30
25-005-22185-00-00,3/31/2016 12:00:00 AM,Eagle,725,0,857,62,31
25-005-22185-00-00,2/29/2016 12:00:00 AM,Eagle,725,0,930,58,29
25-005-22185-00-00,1/31/2016 12:00:00 AM,Eagle,725,0,1030,62,31
25-005-22185-00-00,12/31/2015 12:00:00 AM,Eagle,725,0,1108,62,31
25-005-22185-00-00,11/30/2015 12:00:00 AM,Eagle,725,0,1114,60,30
25-005-22185-00-00,10/31/2015 12:00:00 AM,Eagle,725,0,1233,62,31
25-005-22185-00-00,9/30/2015 12:00:00 AM,Eagle,725,0,1095,60,30
25-005-22185-00-00,8/31/2015 12:00:00 AM,Eagle,725,0,691,62,31
25-005-22185-00-00,7/31/2015 12:00:00 AM,Eagle,725,0,1294,62,31
25-005-22185-00-00,6/30/2015 12:00:00 AM,Eagle,725,0,1286,60,30
25-005-22185-00-00,5/31/2015 12:00:00 AM,Eagle,725,0,1535,62,31
25-005-22185-00-00,4/30/2015 12:00:00 AM,Eagle,725,0,1164,60,30
25-005-22185-00-00,3/31/2015 12:00:00 AM,Eagle,725,0,455,62,31
25-005-22185-00-00,2/28/2015 12:00:00 AM,Eagle,725,0,396,56,28
25-005-22185-00-00,1/31/2015 12:00:00 AM,Eagle,725,0,412,62,31
25-005-22185-00-00,12/31/2014 12:00:00 AM,Eagle,725,0,410,62,31
25-005-22185-00-00,11/30/2014 12:00:00 AM,Eagle,725,0,470,60,19
25-005-22185-00-00,10/31/2014 12:00:00 AM,Eagle,725,0,997,62,31
25-005-22185-00-00,9/30/2014 12:00:00 AM,Eagle,725,0,977,60,30
25-005-22185-00-00,8/31/2014 12:00:00 AM,Eagle,725,0,1000,62,31
25-005-22185-00-00,7/31/2014 12:00:00 AM,Eagle,725,0,1030,105,31
25-005-22185-00-00,6/30/2014 12:00:00 AM,Eagle,725,0,1058,102,30
25-005-22185-00-00,5/31/2014 12:00:00 AM,Eagle,725,0,925,105,31
25-005-22185-00-00,4/30/2014 12:00:00 AM,Eagle,725,0,1038,102,30
25-005-22185-00-00,3/31/2014 12:00:00 AM,Eagle,725,0,1098,105,31
25-005-22185-00-00,2/28/2014 12:00:00 AM,Eagle,725,0,802,95,26
25-005-22185-00-00,1/31/2014 12:00:00 AM,Eagle,725,0,975,105,31
25-005-22185-00-00,12/31/2013 12:00:00 AM,Eagle,725,0,969,105,31
25-005-22185-00-00,11/30/2013 12:00:00 AM,Eagle,725,0,1014,102,30
25-005-22185-00-00,10/31/2013 12:00:00 AM,Eagle,725,0,1081,105,31
25-005-22185-00-00,9/30/2013 12:00:00 AM,Eagle,725,0,1051,102,30
25-005-22185-00-00,8/31/2013 12:00:00 AM,Eagle,725,0,1066,105,31
25-005-22185-00-00,7/31/2013 12:00:00 AM,Eagle,725,0,1081,105,31
25-005-22185-00-00,6/30/2013 12:00:00 AM,Eagle,725,0,1025,102,30
25-005-22185-00-00,5/31/2013 12:00:00 AM,Eagle,725,0,1039,105,31
25-005-22185-00-00,4/30/2013 12:00:00 AM,Eagle,725,0,1089,102,30
25-005-22185-00-00,3/31/2013 12:00:00 AM,Eagle,725,0,1068,105,31
25-005-22185-00-00,2/28/2013 12:00:00 AM,Eagle,725,0,972,95,28
25-005-22185-00-00,1/31/2013 12:00:00 AM,Eagle,725,0,1096,105,31
25-005-22185-00-00,12/31/2012 12:00:00 AM,Eagle,725,0,1101,105,31
25-005-22185-00-00,11/30/2012 12:00:00 AM,Eagle,725,0,1069,102,30
25-005-22185-00-00,10/31/2012 12:00:00 AM,Eagle,725,0,1160,105,31
25-005-22185-00-00,9/30/2012 12:00:00 AM,Eagle,725,0,1141,102,30
25-005-22185-00-00,8/31/2012 12:00:00 AM,Eagle,725,0,1212,105,31
25-005-22185-00-00,7/31/2012 12:00:00 AM,Eagle,725,0,835,105,31
25-005-22185-00-00,6/30/2012 12:00:00 AM,Eagle,725,0,1102,102,30
25-005-22185-00-00,5/31/2012 12:00:00 AM,Eagle,725,0,1144,105,31
25-005-22185-00-00,4/30/2012 12:00:00 AM,Eagle,725,0,1095,102,30
25-005-22185-00-00,3/31/2012 12:00:00 AM,Eagle,725,0,1099,105,31
