API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-005-22272-00-00,7/31/2025 12:00:00 AM,Eagle,4012,0,34,0,31
25-005-22272-00-00,6/30/2025 12:00:00 AM,Eagle,4012,0,33,0,30
25-005-22272-00-00,5/31/2025 12:00:00 AM,Eagle,4012,0,29,0,31
25-005-22272-00-00,4/30/2025 12:00:00 AM,Eagle,4012,0,36,0,30
25-005-22272-00-00,3/31/2025 12:00:00 AM,Eagle,4012,0,45,0,31
25-005-22272-00-00,2/28/2025 12:00:00 AM,Eagle,4012,0,63,0,28
25-005-22272-00-00,1/31/2025 12:00:00 AM,Eagle,4012,0,46,0,23
25-005-22272-00-00,12/31/2024 12:00:00 AM,Eagle,4012,0,48,0,27
25-005-22272-00-00,11/30/2024 12:00:00 AM,Eagle,4012,0,35,0,27
25-005-22272-00-00,10/31/2024 12:00:00 AM,Eagle,4012,0,42,0,31
25-005-22272-00-00,9/30/2024 12:00:00 AM,Eagle,4012,0,41,0,30
25-005-22272-00-00,8/31/2024 12:00:00 AM,Eagle,4012,0,41,0,31
25-005-22272-00-00,7/31/2024 12:00:00 AM,Eagle,4012,0,41,0,31
25-005-22272-00-00,6/30/2024 12:00:00 AM,Eagle,4012,0,39,0,30
25-005-22272-00-00,5/31/2024 12:00:00 AM,Eagle,4012,0,40,0,31
25-005-22272-00-00,4/30/2024 12:00:00 AM,Eagle,4012,0,38,0,30
25-005-22272-00-00,3/31/2024 12:00:00 AM,Eagle,4012,0,39,0,30
25-005-22272-00-00,2/29/2024 12:00:00 AM,Eagle,4012,0,37,0,29
25-005-22272-00-00,1/31/2024 12:00:00 AM,Eagle,4012,0,39,0,30
25-005-22272-00-00,12/31/2023 12:00:00 AM,Eagle,4012,0,40,0,31
25-005-22272-00-00,11/30/2023 12:00:00 AM,Eagle,4012,0,40,0,30
25-005-22272-00-00,10/31/2023 12:00:00 AM,Eagle,4012,0,44,0,30
25-005-22272-00-00,9/30/2023 12:00:00 AM,Eagle,4012,0,43,0,30
25-005-22272-00-00,8/31/2023 12:00:00 AM,Eagle,4012,0,44,0,31
25-005-22272-00-00,7/31/2023 12:00:00 AM,Eagle,4012,0,44,0,31
25-005-22272-00-00,6/30/2023 12:00:00 AM,Eagle,4012,0,48,0,30
25-005-22272-00-00,5/31/2023 12:00:00 AM,Eagle,4012,0,62,0,31
25-005-22272-00-00,4/30/2023 12:00:00 AM,Eagle,4012,0,99,0,24
25-005-22272-00-00,3/31/2023 12:00:00 AM,Eagle,4012,0,0,0,0
25-005-22272-00-00,2/28/2023 12:00:00 AM,Eagle,4012,0,38,0,10
25-005-22272-00-00,1/31/2023 12:00:00 AM,Eagle,4012,0,73,0,23
25-005-22272-00-00,12/31/2022 12:00:00 AM,Eagle,4012,0,89,0,13
25-005-22272-00-00,11/30/2022 12:00:00 AM,Eagle,4012,0,44,0,25
25-005-22272-00-00,10/31/2022 12:00:00 AM,Eagle,4012,0,39,0,31
25-005-22272-00-00,9/30/2022 12:00:00 AM,Eagle,4012,0,38,0,30
25-005-22272-00-00,8/31/2022 12:00:00 AM,Eagle,4012,0,38,0,31
25-005-22272-00-00,7/31/2022 12:00:00 AM,Eagle,4012,0,39,0,31
25-005-22272-00-00,6/30/2022 12:00:00 AM,Eagle,4012,0,34,0,30
25-005-22272-00-00,5/31/2022 12:00:00 AM,Eagle,4012,0,34,0,31
25-005-22272-00-00,4/30/2022 12:00:00 AM,Eagle,4012,0,35,0,30
25-005-22272-00-00,3/31/2022 12:00:00 AM,Eagle,4012,0,85,0,27
25-005-22272-00-00,2/28/2022 12:00:00 AM,Eagle,4012,0,52,0,20
25-005-22272-00-00,1/31/2022 12:00:00 AM,Eagle,4012,0,74,0,21
25-005-22272-00-00,12/31/2021 12:00:00 AM,Eagle,4012,0,30,0,20
25-005-22272-00-00,11/30/2021 12:00:00 AM,Eagle,4012,0,38,0,29
25-005-22272-00-00,10/31/2021 12:00:00 AM,Eagle,4012,0,39,0,31
25-005-22272-00-00,9/30/2021 12:00:00 AM,Eagle,4012,0,36,0,30
25-005-22272-00-00,8/31/2021 12:00:00 AM,Eagle,4012,0,50,0,30
25-005-22272-00-00,7/31/2021 12:00:00 AM,Eagle,4012,0,38,0,31
25-005-22272-00-00,6/30/2021 12:00:00 AM,Eagle,4012,0,39,0,30
25-005-22272-00-00,5/31/2021 12:00:00 AM,Eagle,4012,0,41,0,31
25-005-22272-00-00,4/30/2021 12:00:00 AM,Eagle,4012,0,39,0,30
25-005-22272-00-00,3/31/2021 12:00:00 AM,Eagle,4012,0,47,0,31
25-005-22272-00-00,2/28/2021 12:00:00 AM,Eagle,4012,0,38,0,26
25-005-22272-00-00,1/31/2021 12:00:00 AM,Eagle,4012,0,44,0,31
25-005-22272-00-00,12/31/2020 12:00:00 AM,Eagle,4012,0,44,0,31
25-005-22272-00-00,11/30/2020 12:00:00 AM,Eagle,4012,0,47,0,30
25-005-22272-00-00,10/31/2020 12:00:00 AM,Eagle,4012,0,47,0,31
25-005-22272-00-00,9/30/2020 12:00:00 AM,Eagle,4012,0,43,0,30
25-005-22272-00-00,8/31/2020 12:00:00 AM,Eagle,4012,0,44,0,31
25-005-22272-00-00,7/31/2020 12:00:00 AM,Eagle,4012,0,41,0,31
25-005-22272-00-00,6/30/2020 12:00:00 AM,Eagle,4012,0,39,0,30
25-005-22272-00-00,5/31/2020 12:00:00 AM,Eagle,4012,0,42,0,31
25-005-22272-00-00,4/30/2020 12:00:00 AM,Eagle,4012,0,46,0,29
25-005-22272-00-00,3/31/2020 12:00:00 AM,Eagle,4012,0,54,0,29
25-005-22272-00-00,2/29/2020 12:00:00 AM,Eagle,4012,0,56,0,26
25-005-22272-00-00,1/31/2020 12:00:00 AM,Eagle,4012,0,59,0,30
25-005-22272-00-00,12/31/2019 12:00:00 AM,Eagle,4012,0,63,0,24
25-005-22272-00-00,11/30/2019 12:00:00 AM,Eagle,4012,0,43,0,28
25-005-22272-00-00,10/31/2019 12:00:00 AM,Eagle,4012,0,39,0,31
25-005-22272-00-00,9/30/2019 12:00:00 AM,Eagle,4012,0,38,0,30
25-005-22272-00-00,8/31/2019 12:00:00 AM,Eagle,4012,0,37,0,31
25-005-22272-00-00,7/31/2019 12:00:00 AM,Eagle,4012,0,41,0,31
25-005-22272-00-00,6/30/2019 12:00:00 AM,Eagle,4012,0,40,0,30
25-005-22272-00-00,5/31/2019 12:00:00 AM,Eagle,4012,0,40,0,31
25-005-22272-00-00,4/30/2019 12:00:00 AM,Eagle,4012,0,45,0,30
25-005-22272-00-00,3/31/2019 12:00:00 AM,Eagle,4012,0,62,0,31
25-005-22272-00-00,2/28/2019 12:00:00 AM,Eagle,4012,0,35,0,28
25-005-22272-00-00,1/31/2019 12:00:00 AM,Eagle,4012,0,53,0,31
25-005-22272-00-00,12/31/2018 12:00:00 AM,Eagle,4012,0,48,0,30
25-005-22272-00-00,11/30/2018 12:00:00 AM,Eagle,4012,0,49,0,29
25-005-22272-00-00,10/31/2018 12:00:00 AM,Eagle,4012,0,55,0,31
25-005-22272-00-00,9/30/2018 12:00:00 AM,Eagle,4012,0,44,0,30
25-005-22272-00-00,8/31/2018 12:00:00 AM,Eagle,4012,0,47,0,31
25-005-22272-00-00,7/31/2018 12:00:00 AM,Eagle,4012,0,45,0,31
25-005-22272-00-00,6/30/2018 12:00:00 AM,Eagle,4012,0,43,0,29
25-005-22272-00-00,5/31/2018 12:00:00 AM,Eagle,4012,0,46,0,31
25-005-22272-00-00,4/30/2018 12:00:00 AM,Eagle,4012,0,51,0,29
25-005-22272-00-00,3/31/2018 12:00:00 AM,Eagle,4012,0,64,0,30
25-005-22272-00-00,2/28/2018 12:00:00 AM,Eagle,4012,0,53,0,24
25-005-22272-00-00,1/31/2018 12:00:00 AM,Eagle,4012,0,61,0,26
25-005-22272-00-00,12/31/2017 12:00:00 AM,Eagle,4012,0,58,0,25
25-005-22272-00-00,11/30/2017 12:00:00 AM,Eagle,4012,0,59,0,24
25-005-22272-00-00,10/31/2017 12:00:00 AM,Eagle,4012,0,58,0,28
25-005-22272-00-00,9/30/2017 12:00:00 AM,Eagle,4012,0,47,0,29
25-005-22272-00-00,8/31/2017 12:00:00 AM,Eagle,4012,0,54,0,30
25-005-22272-00-00,7/31/2017 12:00:00 AM,Eagle,4012,0,65,0,30
