API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-005-23816-00-00,7/31/2025 12:00:00 AM,Sawtooth,4344,399,0,0,31
25-005-23816-00-00,6/30/2025 12:00:00 AM,Sawtooth,4344,421,0,0,30
25-005-23816-00-00,5/31/2025 12:00:00 AM,Sawtooth,4344,396,0,16,31
25-005-23816-00-00,4/30/2025 12:00:00 AM,Sawtooth,4344,247,0,44,30
25-005-23816-00-00,3/31/2025 12:00:00 AM,Sawtooth,4344,247,0,3,31
25-005-23816-00-00,2/28/2025 12:00:00 AM,Sawtooth,4344,225,0,0,28
25-005-23816-00-00,1/31/2025 12:00:00 AM,Sawtooth,4344,291,0,35,31
25-005-23816-00-00,12/31/2024 12:00:00 AM,Sawtooth,4344,221,0,41,31
25-005-23816-00-00,11/30/2024 12:00:00 AM,Sawtooth,4344,298,0,1,30
25-005-23816-00-00,10/31/2024 12:00:00 AM,Sawtooth,4344,364,0,27,30
25-005-23816-00-00,9/30/2024 12:00:00 AM,Sawtooth,4344,157,0,5,30
25-005-23816-00-00,8/31/2024 12:00:00 AM,Sawtooth,4344,209,0,26,31
25-005-23816-00-00,7/31/2024 12:00:00 AM,Sawtooth,4344,208,2,3,31
25-005-23816-00-00,6/30/2024 12:00:00 AM,Sawtooth,4344,260,9,23,30
25-005-23816-00-00,5/31/2024 12:00:00 AM,Sawtooth,4344,289,9,33,31
25-005-23816-00-00,4/30/2024 12:00:00 AM,Sawtooth,4344,277,11,29,30
25-005-23816-00-00,3/31/2024 12:00:00 AM,Sawtooth,4344,342,10,7,31
25-005-23816-00-00,2/29/2024 12:00:00 AM,Sawtooth,4344,341,8,26,29
25-005-23816-00-00,1/31/2024 12:00:00 AM,Sawtooth,4344,251,8,7,26
25-005-23816-00-00,12/31/2023 12:00:00 AM,Sawtooth,4344,289,9,0,31
25-005-23816-00-00,11/30/2023 12:00:00 AM,Sawtooth,4344,272,8,0,30
25-005-23816-00-00,10/31/2023 12:00:00 AM,Sawtooth,4344,218,2,32,31
25-005-23816-00-00,9/30/2023 12:00:00 AM,Sawtooth,4344,228,1,27,30
25-005-23816-00-00,8/31/2023 12:00:00 AM,Sawtooth,4344,274,2,0,31
25-005-23816-00-00,7/31/2023 12:00:00 AM,Sawtooth,4344,298,1,6,31
25-005-23816-00-00,6/30/2023 12:00:00 AM,Sawtooth,4344,330,1,24,30
25-005-23816-00-00,5/31/2023 12:00:00 AM,Sawtooth,4344,334,1,0,31
25-005-23816-00-00,4/30/2023 12:00:00 AM,Sawtooth,4344,348,1,0,30
25-005-23816-00-00,3/31/2023 12:00:00 AM,Sawtooth,4344,303,1,0,31
25-005-23816-00-00,2/28/2023 12:00:00 AM,Sawtooth,4344,268,0,0,28
25-005-23816-00-00,1/31/2023 12:00:00 AM,Sawtooth,4344,326,1,32,31
25-005-23816-00-00,12/31/2022 12:00:00 AM,Sawtooth,4344,255,1,0,31
25-005-23816-00-00,11/30/2022 12:00:00 AM,Sawtooth,4344,176,1,0,30
25-005-23816-00-00,10/31/2022 12:00:00 AM,Sawtooth,4344,373,1,224,31
25-005-23816-00-00,9/30/2022 12:00:00 AM,Sawtooth,4344,384,1,179,30
