API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-041-22613-00-00,7/31/2025 12:00:00 AM,Eagle,319,0,260,0,31
25-041-22613-00-00,6/30/2025 12:00:00 AM,Eagle,319,0,248,0,30
25-041-22613-00-00,5/31/2025 12:00:00 AM,Eagle,319,0,247,0,31
25-041-22613-00-00,4/30/2025 12:00:00 AM,Eagle,319,0,235,0,30
25-041-22613-00-00,3/31/2025 12:00:00 AM,Eagle,319,0,248,0,31
25-041-22613-00-00,2/28/2025 12:00:00 AM,Eagle,319,0,217,0,28
25-041-22613-00-00,1/31/2025 12:00:00 AM,Eagle,319,0,257,0,31
25-041-22613-00-00,12/31/2024 12:00:00 AM,Eagle,319,0,268,0,31
25-041-22613-00-00,11/30/2024 12:00:00 AM,Eagle,319,0,263,0,30
25-041-22613-00-00,10/31/2024 12:00:00 AM,Eagle,319,0,271,0,31
25-041-22613-00-00,9/30/2024 12:00:00 AM,Eagle,319,0,262,0,30
25-041-22613-00-00,8/31/2024 12:00:00 AM,Eagle,319,0,273,0,31
25-041-22613-00-00,7/31/2024 12:00:00 AM,Eagle,319,0,269,0,31
25-041-22613-00-00,6/30/2024 12:00:00 AM,Eagle,319,0,250,0,30
25-041-22613-00-00,5/31/2024 12:00:00 AM,Eagle,319,0,252,0,31
25-041-22613-00-00,4/30/2024 12:00:00 AM,Eagle,319,0,242,0,30
25-041-22613-00-00,3/31/2024 12:00:00 AM,Eagle,319,0,255,0,31
25-041-22613-00-00,2/29/2024 12:00:00 AM,Eagle,319,0,231,0,29
25-041-22613-00-00,1/31/2024 12:00:00 AM,Eagle,319,0,258,0,31
25-041-22613-00-00,12/31/2023 12:00:00 AM,Eagle,319,0,271,0,31
25-041-22613-00-00,11/30/2023 12:00:00 AM,Eagle,319,0,270,0,30
25-041-22613-00-00,10/31/2023 12:00:00 AM,Eagle,319,0,274,0,31
25-041-22613-00-00,9/30/2023 12:00:00 AM,Eagle,319,0,267,0,30
25-041-22613-00-00,8/31/2023 12:00:00 AM,Eagle,319,0,277,0,31
25-041-22613-00-00,7/31/2023 12:00:00 AM,Eagle,319,0,280,0,31
25-041-22613-00-00,6/30/2023 12:00:00 AM,Eagle,319,0,265,0,30
25-041-22613-00-00,5/31/2023 12:00:00 AM,Eagle,319,0,266,0,31
25-041-22613-00-00,4/30/2023 12:00:00 AM,Eagle,319,0,247,0,30
25-041-22613-00-00,3/31/2023 12:00:00 AM,Eagle,319,0,230,0,31
25-041-22613-00-00,2/28/2023 12:00:00 AM,Eagle,319,0,224,0,28
25-041-22613-00-00,1/31/2023 12:00:00 AM,Eagle,319,0,265,0,31
25-041-22613-00-00,12/31/2022 12:00:00 AM,Eagle,319,0,271,0,31
25-041-22613-00-00,11/30/2022 12:00:00 AM,Eagle,319,0,266,0,30
25-041-22613-00-00,10/31/2022 12:00:00 AM,Eagle,319,0,274,0,31
25-041-22613-00-00,9/30/2022 12:00:00 AM,Eagle,319,0,232,0,30
25-041-22613-00-00,8/31/2022 12:00:00 AM,Eagle,319,0,265,0,29
25-041-22613-00-00,7/31/2022 12:00:00 AM,Eagle,319,0,284,0,31
25-041-22613-00-00,6/30/2022 12:00:00 AM,Eagle,319,0,270,0,30
25-041-22613-00-00,5/31/2022 12:00:00 AM,Eagle,319,0,274,0,31
25-041-22613-00-00,4/30/2022 12:00:00 AM,Eagle,319,0,265,0,30
25-041-22613-00-00,3/31/2022 12:00:00 AM,Eagle,319,0,279,0,31
25-041-22613-00-00,2/28/2022 12:00:00 AM,Eagle,319,0,257,0,28
25-041-22613-00-00,1/31/2022 12:00:00 AM,Eagle,319,0,283,0,31
25-041-22613-00-00,12/31/2021 12:00:00 AM,Eagle,319,0,291,0,31
25-041-22613-00-00,11/30/2021 12:00:00 AM,Eagle,319,0,286,0,30
25-041-22613-00-00,10/31/2021 12:00:00 AM,Eagle,319,0,297,0,31
25-041-22613-00-00,9/30/2021 12:00:00 AM,Eagle,319,0,287,0,30
25-041-22613-00-00,8/31/2021 12:00:00 AM,Eagle,319,0,295,0,31
25-041-22613-00-00,7/31/2021 12:00:00 AM,Eagle,319,0,291,0,31
25-041-22613-00-00,6/30/2021 12:00:00 AM,Eagle,319,0,285,0,30
25-041-22613-00-00,5/31/2021 12:00:00 AM,Eagle,319,0,292,0,31
25-041-22613-00-00,4/30/2021 12:00:00 AM,Eagle,319,0,289,0,30
25-041-22613-00-00,3/31/2021 12:00:00 AM,Eagle,319,0,308,0,31
25-041-22613-00-00,2/28/2021 12:00:00 AM,Eagle,319,0,247,0,27
25-041-22613-00-00,1/31/2021 12:00:00 AM,Eagle,319,0,299,0,31
25-041-22613-00-00,12/31/2020 12:00:00 AM,Eagle,319,0,311,0,31
25-041-22613-00-00,11/30/2020 12:00:00 AM,Eagle,319,0,303,0,30
25-041-22613-00-00,10/31/2020 12:00:00 AM,Eagle,319,0,309,0,31
25-041-22613-00-00,9/30/2020 12:00:00 AM,Eagle,319,0,295,0,30
25-041-22613-00-00,8/31/2020 12:00:00 AM,Eagle,319,0,305,0,31
25-041-22613-00-00,7/31/2020 12:00:00 AM,Eagle,319,0,306,0,31
25-041-22613-00-00,6/30/2020 12:00:00 AM,Eagle,319,0,301,0,30
25-041-22613-00-00,5/31/2020 12:00:00 AM,Eagle,319,0,319,0,31
25-041-22613-00-00,4/30/2020 12:00:00 AM,Eagle,319,0,277,0,30
25-041-22613-00-00,3/31/2020 12:00:00 AM,Eagle,319,0,290,0,31
25-041-22613-00-00,2/29/2020 12:00:00 AM,Eagle,319,0,279,0,29
25-041-22613-00-00,1/31/2020 12:00:00 AM,Eagle,319,0,304,0,31
25-041-22613-00-00,12/31/2019 12:00:00 AM,Eagle,319,0,321,0,31
25-041-22613-00-00,11/30/2019 12:00:00 AM,Eagle,319,0,315,0,30
25-041-22613-00-00,10/31/2019 12:00:00 AM,Eagle,319,0,320,0,31
25-041-22613-00-00,9/30/2019 12:00:00 AM,Eagle,319,0,318,0,30
25-041-22613-00-00,8/31/2019 12:00:00 AM,Eagle,319,0,325,0,31
25-041-22613-00-00,7/31/2019 12:00:00 AM,Eagle,319,0,317,0,31
25-041-22613-00-00,6/30/2019 12:00:00 AM,Eagle,319,0,311,0,30
25-041-22613-00-00,5/31/2019 12:00:00 AM,Eagle,319,0,326,0,31
25-041-22613-00-00,4/30/2019 12:00:00 AM,Eagle,319,0,327,0,30
25-041-22613-00-00,3/31/2019 12:00:00 AM,Eagle,319,0,292,0,31
25-041-22613-00-00,2/28/2019 12:00:00 AM,Eagle,319,0,260,0,28
25-041-22613-00-00,1/31/2019 12:00:00 AM,Eagle,319,0,333,0,31
25-041-22613-00-00,12/31/2018 12:00:00 AM,Eagle,319,0,328,0,31
25-041-22613-00-00,11/30/2018 12:00:00 AM,Eagle,319,0,327,0,30
25-041-22613-00-00,10/31/2018 12:00:00 AM,Eagle,319,0,338,0,31
25-041-22613-00-00,9/30/2018 12:00:00 AM,Eagle,319,0,329,0,30
25-041-22613-00-00,8/31/2018 12:00:00 AM,Eagle,319,0,341,0,31
25-041-22613-00-00,7/31/2018 12:00:00 AM,Eagle,319,0,344,0,31
25-041-22613-00-00,6/30/2018 12:00:00 AM,Eagle,319,0,323,0,30
25-041-22613-00-00,5/31/2018 12:00:00 AM,Eagle,319,0,325,0,31
25-041-22613-00-00,4/30/2018 12:00:00 AM,Eagle,319,0,303,0,30
25-041-22613-00-00,3/31/2018 12:00:00 AM,Eagle,319,0,323,0,31
25-041-22613-00-00,2/28/2018 12:00:00 AM,Eagle,319,0,302,0,28
25-041-22613-00-00,1/31/2018 12:00:00 AM,Eagle,319,0,368,0,31
25-041-22613-00-00,12/31/2017 12:00:00 AM,Eagle,319,0,329,0,31
25-041-22613-00-00,11/30/2017 12:00:00 AM,Eagle,319,0,327,0,28
25-041-22613-00-00,10/31/2017 12:00:00 AM,Eagle,319,0,357,0,31
25-041-22613-00-00,9/30/2017 12:00:00 AM,Eagle,319,0,350,0,30
25-041-22613-00-00,8/31/2017 12:00:00 AM,Eagle,319,0,369,0,31
25-041-22613-00-00,7/31/2017 12:00:00 AM,Eagle,319,0,378,0,31
25-041-22613-00-00,6/30/2017 12:00:00 AM,Eagle,319,0,318,0,29
25-041-22613-00-00,5/31/2017 12:00:00 AM,Eagle,319,0,337,0,31
25-041-22613-00-00,4/30/2017 12:00:00 AM,Eagle,319,0,331,0,30
25-041-22613-00-00,3/31/2017 12:00:00 AM,Eagle,319,0,337,0,31
25-041-22613-00-00,2/28/2017 12:00:00 AM,Eagle,319,0,312,0,28
25-041-22613-00-00,1/31/2017 12:00:00 AM,Eagle,319,0,366,0,31
25-041-22613-00-00,12/31/2016 12:00:00 AM,Eagle,319,0,370,0,31
25-041-22613-00-00,11/30/2016 12:00:00 AM,Eagle,319,0,357,0,30
25-041-22613-00-00,10/31/2016 12:00:00 AM,Eagle,319,0,367,0,31
25-041-22613-00-00,9/30/2016 12:00:00 AM,Eagle,319,0,358,0,30
25-041-22613-00-00,8/31/2016 12:00:00 AM,Eagle,319,0,372,0,31
25-041-22613-00-00,7/31/2016 12:00:00 AM,Eagle,319,0,370,0,31
25-041-22613-00-00,6/30/2016 12:00:00 AM,Eagle,319,0,353,0,30
