API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-083-22136-00-00,7/31/2025 12:00:00 AM,Bakken,6994,89,62,139,30
25-083-22136-00-00,6/30/2025 12:00:00 AM,Bakken,6994,102,80,164,30
25-083-22136-00-00,5/31/2025 12:00:00 AM,Bakken,6994,95,232,110,31
25-083-22136-00-00,4/30/2025 12:00:00 AM,Bakken,6994,107,142,149,30
25-083-22136-00-00,3/31/2025 12:00:00 AM,Bakken,6994,102,89,125,31
25-083-22136-00-00,2/28/2025 12:00:00 AM,Bakken,6994,94,41,89,28
25-083-22136-00-00,1/31/2025 12:00:00 AM,Bakken,6994,110,58,108,31
25-083-22136-00-00,12/31/2024 12:00:00 AM,Bakken,6994,142,76,193,31
25-083-22136-00-00,11/30/2024 12:00:00 AM,Bakken,6994,82,71,99,30
25-083-22136-00-00,10/31/2024 12:00:00 AM,Bakken,6994,105,91,183,31
25-083-22136-00-00,9/30/2024 12:00:00 AM,Bakken,6994,148,102,177,27
25-083-22136-00-00,8/31/2024 12:00:00 AM,Bakken,6994,40,32,100,13
25-083-22136-00-00,7/31/2024 12:00:00 AM,Bakken,6994,124,121,149,31
25-083-22136-00-00,6/30/2024 12:00:00 AM,Bakken,6994,122,65,145,30
25-083-22136-00-00,5/31/2024 12:00:00 AM,Bakken,6994,63,38,89,29
25-083-22136-00-00,4/30/2024 12:00:00 AM,Bakken,6994,88,58,105,30
25-083-22136-00-00,3/31/2024 12:00:00 AM,Bakken,6994,103,67,114,31
25-083-22136-00-00,2/29/2024 12:00:00 AM,Bakken,6994,98,58,125,29
25-083-22136-00-00,1/31/2024 12:00:00 AM,Bakken,6994,118,69,138,31
25-083-22136-00-00,12/31/2023 12:00:00 AM,Bakken,6994,133,91,211,31
25-083-22136-00-00,11/30/2023 12:00:00 AM,Bakken,6994,129,93,203,20
25-083-22136-00-00,10/31/2023 12:00:00 AM,Bakken,6994,0,0,0,0
25-083-22136-00-00,9/30/2023 12:00:00 AM,Bakken,6994,0,14,1,16
25-083-22136-00-00,8/31/2023 12:00:00 AM,Bakken,6994,88,87,142,31
25-083-22136-00-00,7/31/2023 12:00:00 AM,Bakken,6994,98,131,323,31
25-083-22136-00-00,6/30/2023 12:00:00 AM,Bakken,6994,88,98,122,30
25-083-22136-00-00,5/31/2023 12:00:00 AM,Bakken,6994,119,72,151,31
25-083-22136-00-00,4/30/2023 12:00:00 AM,Bakken,6994,111,63,133,30
25-083-22136-00-00,3/31/2023 12:00:00 AM,Bakken,6994,117,63,139,31
25-083-22136-00-00,2/28/2023 12:00:00 AM,Bakken,6994,95,56,127,27
25-083-22136-00-00,1/31/2023 12:00:00 AM,Bakken,6994,141,78,152,30
25-083-22136-00-00,12/31/2022 12:00:00 AM,Bakken,6994,109,60,127,25
25-083-22136-00-00,11/30/2022 12:00:00 AM,Bakken,6994,118,63,139,30
25-083-22136-00-00,10/31/2022 12:00:00 AM,Bakken,6994,123,71,141,31
25-083-22136-00-00,9/30/2022 12:00:00 AM,Bakken,6994,125,99,162,30
25-083-22136-00-00,8/31/2022 12:00:00 AM,Bakken,6994,102,104,430,31
25-083-22136-00-00,7/31/2022 12:00:00 AM,Bakken,6994,137,110,174,31
25-083-22136-00-00,6/30/2022 12:00:00 AM,Bakken,6994,140,185,184,30
25-083-22136-00-00,5/31/2022 12:00:00 AM,Bakken,6994,169,139,216,31
25-083-22136-00-00,4/30/2022 12:00:00 AM,Bakken,6994,144,95,190,19
25-083-22136-00-00,3/31/2022 12:00:00 AM,Bakken,6994,201,120,172,15
25-083-22136-00-00,2/28/2022 12:00:00 AM,Bakken,6994,66,35,51,11
25-083-22136-00-00,1/31/2022 12:00:00 AM,Bakken,6994,53,47,142,17
25-083-22136-00-00,12/31/2021 12:00:00 AM,Bakken,6994,0,0,0,0
25-083-22136-00-00,11/30/2021 12:00:00 AM,Bakken,6994,58,63,55,21
25-083-22136-00-00,10/31/2021 12:00:00 AM,Bakken,6994,95,102,67,31
