API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-003-22697-00-00,11/30/2020 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,18,0,4
25-003-22697-00-00,10/31/2020 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,100,0,17
25-003-22697-00-00,9/30/2020 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,79,0,14
25-003-22697-00-00,8/31/2020 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,82,0,16
25-003-22697-00-00,7/31/2020 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,23,0,4
25-003-22697-00-00,6/30/2020 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,0,0,0
25-003-22697-00-00,5/31/2020 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,18,0,5
25-003-22697-00-00,4/30/2020 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,13,0,10
25-003-22697-00-00,3/31/2020 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,42,0,18
25-003-22697-00-00,2/29/2020 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,68,0,29
25-003-22697-00-00,1/31/2020 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,70,0,28
25-003-22697-00-00,12/31/2019 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,80,0,30
25-003-22697-00-00,11/30/2019 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,88,0,27
25-003-22697-00-00,10/31/2019 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,89,0,16
25-003-22697-00-00,9/30/2019 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,67,0,13
25-003-22697-00-00,8/31/2019 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,49,0,13
25-003-22697-00-00,7/31/2019 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,69,0,16
25-003-22697-00-00,6/30/2019 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,63,0,16
25-003-22697-00-00,5/31/2019 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,58,0,16
25-003-22697-00-00,4/30/2019 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,63,0,14
25-003-22697-00-00,3/31/2019 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,68,0,29
25-003-22697-00-00,2/28/2019 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,40,0,27
25-003-22697-00-00,1/31/2019 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,82,0,31
25-003-22697-00-00,12/31/2018 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,89,0,31
25-003-22697-00-00,11/30/2018 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,90,0,30
25-003-22697-00-00,10/31/2018 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,75,0,16
25-003-22697-00-00,9/30/2018 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,63,0,13
25-003-22697-00-00,8/31/2018 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,87,0,15
25-003-22697-00-00,7/31/2018 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,86,0,16
25-003-22697-00-00,6/30/2018 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,90,0,15
25-003-22697-00-00,5/31/2018 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,86,0,15
25-003-22697-00-00,4/30/2018 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,53,0,16
25-003-22697-00-00,3/31/2018 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,81,0,30
25-003-22697-00-00,2/28/2018 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,71,0,28
25-003-22697-00-00,1/31/2018 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,43,0,30
25-003-22697-00-00,12/31/2017 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,79,0,30
25-003-22697-00-00,11/30/2017 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,97,0,30
25-003-22697-00-00,10/31/2017 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,73,0,15
25-003-22697-00-00,9/30/2017 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,67,0,14
25-003-22697-00-00,8/31/2017 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,68,0,15
25-003-22697-00-00,7/31/2017 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,57,0,13
25-003-22697-00-00,6/30/2017 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,77,0,15
25-003-22697-00-00,5/31/2017 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,53,0,16
25-003-22697-00-00,4/30/2017 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,54,0,21
25-003-22697-00-00,3/31/2017 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,95,0,31
25-003-22697-00-00,2/28/2017 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,100,0,28
25-003-22697-00-00,1/31/2017 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,80,0,28
25-003-22697-00-00,12/31/2016 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,95,0,31
25-003-22697-00-00,11/30/2016 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,128,0,29
25-003-22697-00-00,10/31/2016 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,61,0,14
25-003-22697-00-00,9/30/2016 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,46,0,15
25-003-22697-00-00,8/31/2016 12:00:00 AM,"Belle Fourche, Greenhorn",8076,0,98,0,29
