API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-091-21069-00-00,6/30/2025 12:00:00 AM,Ratcliffe,363,382,84,7439,30
25-091-21069-00-00,5/31/2025 12:00:00 AM,Ratcliffe,363,78,17,1586,7
25-091-21069-00-00,4/30/2025 12:00:00 AM,Ratcliffe,363,353,78,5745,29
25-091-21069-00-00,3/31/2025 12:00:00 AM,Ratcliffe,363,435,96,5890,31
25-091-21069-00-00,2/28/2025 12:00:00 AM,Ratcliffe,363,243,53,3960,22
25-091-21069-00-00,1/31/2025 12:00:00 AM,Ratcliffe,363,316,69,4761,28
25-091-21069-00-00,12/31/2024 12:00:00 AM,Ratcliffe,363,329,72,5600,31
25-091-21069-00-00,11/30/2024 12:00:00 AM,Ratcliffe,363,341,75,4763,29
25-091-21069-00-00,10/31/2024 12:00:00 AM,Ratcliffe,363,439,97,4534,31
25-091-21069-00-00,9/30/2024 12:00:00 AM,Ratcliffe,363,279,61,3690,26
25-091-21069-00-00,8/31/2024 12:00:00 AM,Ratcliffe,363,295,65,3481,22
25-091-21069-00-00,7/31/2024 12:00:00 AM,Ratcliffe,363,400,88,5297,31
25-091-21069-00-00,6/30/2024 12:00:00 AM,Ratcliffe,363,458,101,4963,30
25-091-21069-00-00,5/31/2024 12:00:00 AM,Ratcliffe,363,413,91,4555,30
25-091-21069-00-00,4/30/2024 12:00:00 AM,Ratcliffe,363,346,76,4196,26
25-091-21069-00-00,3/31/2024 12:00:00 AM,Ratcliffe,363,554,122,5450,31
25-091-21069-00-00,2/29/2024 12:00:00 AM,Ratcliffe,363,175,39,4716,28
25-091-21069-00-00,1/31/2024 12:00:00 AM,Ratcliffe,363,377,83,4171,27
25-091-21069-00-00,12/31/2023 12:00:00 AM,Ratcliffe,363,383,84,5491,31
25-091-21069-00-00,11/30/2023 12:00:00 AM,Ratcliffe,363,346,76,5187,30
25-091-21069-00-00,10/31/2023 12:00:00 AM,Ratcliffe,363,281,62,4381,25
25-091-21069-00-00,9/30/2023 12:00:00 AM,Ratcliffe,363,397,87,5460,30
25-091-21069-00-00,8/31/2023 12:00:00 AM,Ratcliffe,363,321,71,4418,24
25-091-21069-00-00,7/31/2023 12:00:00 AM,Ratcliffe,363,485,107,5348,31
25-091-21069-00-00,6/30/2023 12:00:00 AM,Ratcliffe,363,425,94,5325,30
25-091-21069-00-00,5/31/2023 12:00:00 AM,Ratcliffe,363,404,89,5130,28
25-091-21069-00-00,4/30/2023 12:00:00 AM,Ratcliffe,363,147,32,1452,10
25-091-21069-00-00,3/31/2023 12:00:00 AM,Ratcliffe,363,481,106,5285,28
25-091-21069-00-00,2/28/2023 12:00:00 AM,Ratcliffe,363,466,102,5363,28
25-091-21069-00-00,1/31/2023 12:00:00 AM,Ratcliffe,363,315,69,4724,26
25-091-21069-00-00,12/31/2022 12:00:00 AM,Ratcliffe,363,321,71,3832,20
25-091-21069-00-00,11/30/2022 12:00:00 AM,Ratcliffe,363,461,101,5966,30
25-091-21069-00-00,10/31/2022 12:00:00 AM,Ratcliffe,363,506,111,6515,31
25-091-21069-00-00,9/30/2022 12:00:00 AM,Ratcliffe,363,547,120,6445,30
25-091-21069-00-00,8/31/2022 12:00:00 AM,Ratcliffe,363,494,109,5450,26
25-091-21069-00-00,7/31/2022 12:00:00 AM,Ratcliffe,363,411,90,7015,31
25-091-21069-00-00,6/30/2022 12:00:00 AM,Ratcliffe,363,520,114,7039,30
25-091-21069-00-00,5/31/2022 12:00:00 AM,Ratcliffe,363,234,51,3868,18
25-091-21069-00-00,4/30/2022 12:00:00 AM,Ratcliffe,363,295,65,4014,21
25-091-21069-00-00,3/31/2022 12:00:00 AM,Ratcliffe,363,556,122,6534,31
25-091-21069-00-00,2/28/2022 12:00:00 AM,Ratcliffe,363,402,88,4372,21
25-091-21069-00-00,1/31/2022 12:00:00 AM,Ratcliffe,363,296,65,5014,26
