API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-083-22316-00-00,7/31/2025 12:00:00 AM,Bakken,7221,506,1270,50,31
25-083-22316-00-00,6/30/2025 12:00:00 AM,Bakken,7221,498,1153,63,30
25-083-22316-00-00,5/31/2025 12:00:00 AM,Bakken,7221,527,1166,52,31
25-083-22316-00-00,4/30/2025 12:00:00 AM,Bakken,7221,591,1258,60,30
25-083-22316-00-00,3/31/2025 12:00:00 AM,Bakken,7221,649,1299,65,31
25-083-22316-00-00,2/28/2025 12:00:00 AM,Bakken,7221,263,578,80,28
25-083-22316-00-00,1/31/2025 12:00:00 AM,Bakken,7221,522,995,198,31
25-083-22316-00-00,12/31/2024 12:00:00 AM,Bakken,7221,528,1002,54,31
25-083-22316-00-00,11/30/2024 12:00:00 AM,Bakken,7221,513,1126,44,30
25-083-22316-00-00,10/31/2024 12:00:00 AM,Bakken,7221,507,1151,37,31
25-083-22316-00-00,9/30/2024 12:00:00 AM,Bakken,7221,464,1127,33,30
25-083-22316-00-00,8/31/2024 12:00:00 AM,Bakken,7221,442,1267,141,31
25-083-22316-00-00,7/31/2024 12:00:00 AM,Bakken,7221,634,1477,64,30
25-083-22316-00-00,6/30/2024 12:00:00 AM,Bakken,7221,638,1557,62,30
25-083-22316-00-00,5/31/2024 12:00:00 AM,Bakken,7221,651,1458,76,31
25-083-22316-00-00,4/30/2024 12:00:00 AM,Bakken,7221,680,1657,67,30
25-083-22316-00-00,3/31/2024 12:00:00 AM,Bakken,7221,764,1751,45,31
25-083-22316-00-00,2/29/2024 12:00:00 AM,Bakken,7221,680,739,57,29
25-083-22316-00-00,1/31/2024 12:00:00 AM,Bakken,7221,837,1688,82,31
25-083-22316-00-00,12/31/2023 12:00:00 AM,Bakken,7221,767,1951,84,31
25-083-22316-00-00,11/30/2023 12:00:00 AM,Bakken,7221,809,2025,107,30
25-083-22316-00-00,10/31/2023 12:00:00 AM,Bakken,7221,1006,2151,117,31
25-083-22316-00-00,9/30/2023 12:00:00 AM,Bakken,7221,690,1872,453,30
25-083-22316-00-00,8/31/2023 12:00:00 AM,Bakken,7221,1114,3058,112,30
25-083-22316-00-00,7/31/2023 12:00:00 AM,Bakken,7221,1154,3377,121,31
25-083-22316-00-00,6/30/2023 12:00:00 AM,Bakken,7221,1268,3604,195,30
25-083-22316-00-00,5/31/2023 12:00:00 AM,Bakken,7221,1561,3572,212,31
25-083-22316-00-00,4/30/2023 12:00:00 AM,Bakken,7221,547,1127,520,14
25-083-22316-00-00,3/31/2023 12:00:00 AM,Bakken,7221,0,0,0,0
25-083-22316-00-00,2/28/2023 12:00:00 AM,Bakken,7221,0,0,0,0
