API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-083-22972-00-00,7/31/2025 12:00:00 AM,Bakken,8827,718,323,951,31
25-083-22972-00-00,6/30/2025 12:00:00 AM,Bakken,8827,612,227,980,30
25-083-22972-00-00,5/31/2025 12:00:00 AM,Bakken,8827,679,521,1323,31
25-083-22972-00-00,4/30/2025 12:00:00 AM,Bakken,8827,497,363,1018,30
25-083-22972-00-00,3/31/2025 12:00:00 AM,Bakken,8827,436,326,994,31
25-083-22972-00-00,2/28/2025 12:00:00 AM,Bakken,8827,511,419,645,22
25-083-22972-00-00,1/31/2025 12:00:00 AM,Bakken,8827,825,722,1380,31
25-083-22972-00-00,12/31/2024 12:00:00 AM,Bakken,8827,844,917,948,30
25-083-22972-00-00,11/30/2024 12:00:00 AM,Bakken,8827,892,433,1230,30
25-083-22972-00-00,10/31/2024 12:00:00 AM,Bakken,8827,873,374,1045,31
25-083-22972-00-00,9/30/2024 12:00:00 AM,Bakken,8827,821,4,1243,30
25-083-22972-00-00,8/31/2024 12:00:00 AM,Bakken,8827,1010,59,1378,31
25-083-22972-00-00,7/31/2024 12:00:00 AM,Bakken,8827,1193,0,0,31
25-083-22972-00-00,6/30/2024 12:00:00 AM,Bakken,8827,1020,0,2128,30
25-083-22972-00-00,5/31/2024 12:00:00 AM,Bakken,8827,482,38,1554,31
25-083-22972-00-00,4/30/2024 12:00:00 AM,Bakken,8827,0,0,133,1
25-083-22972-00-00,3/31/2024 12:00:00 AM,Bakken,8827,996,109,793,24
25-083-22972-00-00,2/29/2024 12:00:00 AM,Bakken,8827,1127,188,1790,29
25-083-22972-00-00,1/31/2024 12:00:00 AM,Bakken,8827,55,5,208,1
25-083-22972-00-00,12/31/2023 12:00:00 AM,Bakken,8827,94,19,212,4
25-083-22972-00-00,11/30/2023 12:00:00 AM,Bakken,8827,845,539,1192,17
25-083-22972-00-00,10/31/2023 12:00:00 AM,Bakken,8827,736,848,1193,31
25-083-22972-00-00,9/30/2023 12:00:00 AM,Bakken,8827,1162,1073,1550,28
25-083-22972-00-00,8/31/2023 12:00:00 AM,Bakken,8827,1185,563,1735,24
25-083-22972-00-00,7/31/2023 12:00:00 AM,Bakken,8827,7,17,0,11
25-083-22972-00-00,6/30/2023 12:00:00 AM,Bakken,8827,545,1303,518,29
25-083-22972-00-00,5/31/2023 12:00:00 AM,Bakken,8827,432,1024,680,31
25-083-22972-00-00,4/30/2023 12:00:00 AM,Bakken,8827,834,2091,1126,30
25-083-22972-00-00,3/31/2023 12:00:00 AM,Bakken,8827,1055,2534,317,31
25-083-22972-00-00,2/28/2023 12:00:00 AM,Bakken,8827,665,1957,950,28
25-083-22972-00-00,1/31/2023 12:00:00 AM,Bakken,8827,364,1215,510,23
25-083-22972-00-00,12/31/2022 12:00:00 AM,Bakken,8827,864,1470,1070,9
25-083-22972-00-00,11/30/2022 12:00:00 AM,Bakken,8827,904,1233,1012,30
25-083-22972-00-00,10/31/2022 12:00:00 AM,Bakken,8827,818,1412,755,31
25-083-22972-00-00,9/30/2022 12:00:00 AM,Bakken,8827,913,599,957,30
25-083-22972-00-00,8/31/2022 12:00:00 AM,Bakken,8827,754,1093,60,31
25-083-22972-00-00,7/31/2022 12:00:00 AM,Bakken,8827,801,1310,996,31
25-083-22972-00-00,6/30/2022 12:00:00 AM,Bakken,8827,770,1229,717,30
25-083-22972-00-00,5/31/2022 12:00:00 AM,Bakken,8827,630,1360,1176,31
25-083-22972-00-00,4/30/2022 12:00:00 AM,Bakken,8827,816,987,811,26
25-083-22972-00-00,3/31/2022 12:00:00 AM,Bakken,8827,657,1259,973,31
25-083-22972-00-00,2/28/2022 12:00:00 AM,Bakken,8827,1000,1277,851,28
25-083-22972-00-00,1/31/2022 12:00:00 AM,Bakken,8827,859,1292,878,31
25-083-22972-00-00,12/31/2021 12:00:00 AM,Bakken,8827,870,790,707,31
25-083-22972-00-00,11/30/2021 12:00:00 AM,Bakken,8827,598,1269,900,30
25-083-22972-00-00,10/31/2021 12:00:00 AM,Bakken,8827,1063,1385,1062,31
25-083-22972-00-00,9/30/2021 12:00:00 AM,Bakken,8827,513,1180,758,30
25-083-22972-00-00,8/31/2021 12:00:00 AM,Bakken,8827,1069,1411,895,31
25-083-22972-00-00,7/31/2021 12:00:00 AM,Bakken,8827,878,1337,1058,31
25-083-22972-00-00,6/30/2021 12:00:00 AM,Bakken,8827,882,1113,715,29
25-083-22972-00-00,5/31/2021 12:00:00 AM,Bakken,8827,852,329,887,31
25-083-22972-00-00,4/30/2021 12:00:00 AM,Bakken,8827,1181,1827,1050,30
25-083-22972-00-00,3/31/2021 12:00:00 AM,Bakken,8827,1006,1654,1166,31
25-083-22972-00-00,2/28/2021 12:00:00 AM,Bakken,8827,735,981,737,28
25-083-22972-00-00,1/31/2021 12:00:00 AM,Bakken,8827,1209,1715,1140,31
25-083-22972-00-00,12/31/2020 12:00:00 AM,Bakken,8827,1010,1226,944,31
25-083-22972-00-00,11/30/2020 12:00:00 AM,Bakken,8827,1314,1327,1201,30
25-083-22972-00-00,10/31/2020 12:00:00 AM,Bakken,8827,508,1013,638,21
25-083-22972-00-00,9/30/2020 12:00:00 AM,Bakken,8827,757,377,962,30
25-083-22972-00-00,8/31/2020 12:00:00 AM,Bakken,8827,910,976,1073,31
25-083-22972-00-00,7/31/2020 12:00:00 AM,Bakken,8827,1047,1505,0,31
25-083-22972-00-00,6/30/2020 12:00:00 AM,Bakken,8827,1041,1083,1000,30
25-083-22972-00-00,5/31/2020 12:00:00 AM,Bakken,8827,853,213,925,31
25-083-22972-00-00,4/30/2020 12:00:00 AM,Bakken,8827,1024,959,1196,30
25-083-22972-00-00,3/31/2020 12:00:00 AM,Bakken,8827,827,864,1122,31
