API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-005-22875-00-00,7/31/2025 12:00:00 AM,Eagle,397,0,0,1,0
25-005-22875-00-00,6/30/2025 12:00:00 AM,Eagle,397,0,7,2,0
25-005-22875-00-00,5/31/2025 12:00:00 AM,Eagle,397,0,71,97,16
25-005-22875-00-00,4/30/2025 12:00:00 AM,Eagle,397,0,419,165,27
25-005-22875-00-00,3/31/2025 12:00:00 AM,Eagle,397,0,223,174,29
25-005-22875-00-00,2/28/2025 12:00:00 AM,Eagle,397,0,0,0,0
25-005-22875-00-00,1/31/2025 12:00:00 AM,Eagle,397,0,0,0,0
25-005-22875-00-00,12/31/2024 12:00:00 AM,Eagle,397,0,7,6,1
25-005-22875-00-00,11/30/2024 12:00:00 AM,Eagle,397,0,217,180,30
25-005-22875-00-00,10/31/2024 12:00:00 AM,Eagle,397,0,289,186,31
25-005-22875-00-00,9/30/2024 12:00:00 AM,Eagle,397,0,1,2,0
25-005-22875-00-00,8/31/2024 12:00:00 AM,Eagle,397,0,7,37,6
25-005-22875-00-00,7/31/2024 12:00:00 AM,Eagle,397,0,4,4,1
25-005-22875-00-00,6/30/2024 12:00:00 AM,Eagle,397,0,2,2,0
25-005-22875-00-00,5/31/2024 12:00:00 AM,Eagle,397,0,0,0,0
25-005-22875-00-00,4/30/2024 12:00:00 AM,Eagle,397,0,0,0,0
25-005-22875-00-00,3/31/2024 12:00:00 AM,Eagle,397,0,0,0,0
25-005-22875-00-00,2/29/2024 12:00:00 AM,Eagle,397,0,0,0,0
25-005-22875-00-00,1/31/2024 12:00:00 AM,Eagle,397,0,36,19,3
25-005-22875-00-00,12/31/2023 12:00:00 AM,Eagle,397,0,497,186,31
25-005-22875-00-00,11/30/2023 12:00:00 AM,Eagle,397,0,42,77,13
25-005-22875-00-00,10/31/2023 12:00:00 AM,Eagle,397,0,420,181,30
25-005-22875-00-00,9/30/2023 12:00:00 AM,Eagle,397,0,37,26,4
25-005-22875-00-00,8/31/2023 12:00:00 AM,Eagle,397,0,500,186,31
25-005-22875-00-00,7/31/2023 12:00:00 AM,Eagle,397,0,461,185,31
25-005-22875-00-00,6/30/2023 12:00:00 AM,Eagle,397,0,454,180,30
25-005-22875-00-00,5/31/2023 12:00:00 AM,Eagle,397,0,444,185,31
25-005-22875-00-00,4/30/2023 12:00:00 AM,Eagle,397,0,294,166,28
25-005-22875-00-00,3/31/2023 12:00:00 AM,Eagle,397,0,0,0,0
25-005-22875-00-00,2/28/2023 12:00:00 AM,Eagle,397,0,0,0,0
25-005-22875-00-00,1/31/2023 12:00:00 AM,Eagle,397,0,195,186,31
25-005-22875-00-00,12/31/2022 12:00:00 AM,Eagle,397,0,151,175,29
25-005-22875-00-00,11/30/2022 12:00:00 AM,Eagle,397,0,199,179,30
25-005-22875-00-00,10/31/2022 12:00:00 AM,Eagle,397,0,218,186,31
25-005-22875-00-00,9/30/2022 12:00:00 AM,Eagle,397,0,204,180,30
25-005-22875-00-00,8/31/2022 12:00:00 AM,Eagle,397,0,225,185,31
25-005-22875-00-00,7/31/2022 12:00:00 AM,Eagle,397,0,171,176,29
25-005-22875-00-00,6/30/2022 12:00:00 AM,Eagle,397,0,220,180,30
25-005-22875-00-00,5/31/2022 12:00:00 AM,Eagle,397,0,124,183,30
25-005-22875-00-00,4/30/2022 12:00:00 AM,Eagle,397,0,94,144,24
25-005-22875-00-00,3/31/2022 12:00:00 AM,Eagle,397,0,136,157,26
25-005-22875-00-00,2/28/2022 12:00:00 AM,Eagle,397,0,159,168,28
25-005-22875-00-00,1/31/2022 12:00:00 AM,Eagle,397,0,74,104,17
25-005-22875-00-00,12/31/2021 12:00:00 AM,Eagle,397,0,424,183,31
25-005-22875-00-00,11/30/2021 12:00:00 AM,Eagle,397,0,401,176,29
25-005-22875-00-00,10/31/2021 12:00:00 AM,Eagle,397,0,139,186,31
25-005-22875-00-00,9/30/2021 12:00:00 AM,Eagle,397,0,242,179,30
25-005-22875-00-00,8/31/2021 12:00:00 AM,Eagle,397,0,221,176,29
25-005-22875-00-00,7/31/2021 12:00:00 AM,Eagle,397,0,95,186,31
