API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-091-21631-00-00,7/31/2025 12:00:00 AM,Interlake,3991,37,31,0,31
25-091-21631-00-00,6/30/2025 12:00:00 AM,Interlake,3991,27,30,0,30
25-091-21631-00-00,5/31/2025 12:00:00 AM,Interlake,3991,43,31,0,31
25-091-21631-00-00,4/30/2025 12:00:00 AM,Interlake,3991,26,0,0,30
25-091-21631-00-00,3/31/2025 12:00:00 AM,Interlake,3991,39,31,0,31
25-091-21631-00-00,2/28/2025 12:00:00 AM,Interlake,3991,65,0,0,28
25-091-21631-00-00,1/31/2025 12:00:00 AM,Interlake,3991,40,31,0,31
25-091-21631-00-00,12/31/2024 12:00:00 AM,Interlake,3991,40,0,0,31
25-091-21631-00-00,11/30/2024 12:00:00 AM,Interlake,3991,47,30,0,30
25-091-21631-00-00,10/31/2024 12:00:00 AM,Interlake,3991,41,31,0,31
25-091-21631-00-00,9/30/2024 12:00:00 AM,Interlake,3991,43,30,0,30
25-091-21631-00-00,8/31/2024 12:00:00 AM,Interlake,3991,40,32,0,31
25-091-21631-00-00,7/31/2024 12:00:00 AM,Interlake,3991,40,32,0,31
25-091-21631-00-00,6/30/2024 12:00:00 AM,Interlake,3991,40,31,0,30
25-091-21631-00-00,5/31/2024 12:00:00 AM,Interlake,3991,43,32,0,31
25-091-21631-00-00,4/30/2024 12:00:00 AM,Interlake,3991,35,2,0,30
25-091-21631-00-00,3/31/2024 12:00:00 AM,Interlake,3991,40,1,0,31
25-091-21631-00-00,2/29/2024 12:00:00 AM,Interlake,3991,37,1,0,4
25-091-21631-00-00,1/31/2024 12:00:00 AM,Interlake,3991,37,1,0,1
25-091-21631-00-00,12/31/2023 12:00:00 AM,Interlake,3991,45,0,0,9
25-091-21631-00-00,11/30/2023 12:00:00 AM,Interlake,3991,35,0,0,1
25-091-21631-00-00,10/31/2023 12:00:00 AM,Interlake,3991,28,0,0,2
25-091-21631-00-00,9/30/2023 12:00:00 AM,Interlake,3991,35,2,0,10
25-091-21631-00-00,8/31/2023 12:00:00 AM,Interlake,3991,39,22,0,22
25-091-21631-00-00,7/31/2023 12:00:00 AM,Interlake,3991,40,15,0,15
25-091-21631-00-00,6/30/2023 12:00:00 AM,Interlake,3991,43,30,0,30
25-091-21631-00-00,5/31/2023 12:00:00 AM,Interlake,3991,40,24,0,24
25-091-21631-00-00,4/30/2023 12:00:00 AM,Interlake,3991,49,0,0,1
25-091-21631-00-00,3/31/2023 12:00:00 AM,Interlake,3991,31,0,0,1
25-091-21631-00-00,2/28/2023 12:00:00 AM,Interlake,3991,51,0,0,1
25-091-21631-00-00,1/31/2023 12:00:00 AM,Interlake,3991,55,0,1,18
25-091-21631-00-00,12/31/2022 12:00:00 AM,Interlake,3991,30,1,0,1
25-091-21631-00-00,11/30/2022 12:00:00 AM,Interlake,3991,60,0,0,29
25-091-21631-00-00,10/31/2022 12:00:00 AM,Interlake,3991,12,0,0,16
25-091-21631-00-00,9/30/2022 12:00:00 AM,Interlake,3991,21,0,0,1
25-091-21631-00-00,8/31/2022 12:00:00 AM,Interlake,3991,86,0,0,1
25-091-21631-00-00,7/31/2022 12:00:00 AM,Interlake,3991,0,0,0,0
25-091-21631-00-00,6/30/2022 12:00:00 AM,Interlake,3991,62,0,4,1
25-091-21631-00-00,5/31/2022 12:00:00 AM,Interlake,3991,38,0,3,1
25-091-21631-00-00,4/30/2022 12:00:00 AM,Interlake,3991,46,0,4,1
25-091-21631-00-00,3/31/2022 12:00:00 AM,Interlake,3991,43,0,4,1
25-091-21631-00-00,2/28/2022 12:00:00 AM,Interlake,3991,32,0,6,24
25-091-21631-00-00,1/31/2022 12:00:00 AM,Interlake,3991,30,0,4,1
25-091-21631-00-00,12/31/2021 12:00:00 AM,Interlake,3991,42,0,4,1
25-091-21631-00-00,11/30/2021 12:00:00 AM,Interlake,3991,60,0,6,1
25-091-21631-00-00,10/31/2021 12:00:00 AM,Interlake,3991,45,0,5,1
25-091-21631-00-00,9/30/2021 12:00:00 AM,Interlake,3991,30,0,5,1
25-091-21631-00-00,8/31/2021 12:00:00 AM,Interlake,3991,55,0,5,1
25-091-21631-00-00,7/31/2021 12:00:00 AM,Interlake,3991,33,0,3,1
25-091-21631-00-00,6/30/2021 12:00:00 AM,Interlake,3991,30,0,3,1
25-091-21631-00-00,5/31/2021 12:00:00 AM,Interlake,3991,60,0,6,1
25-091-21631-00-00,4/30/2021 12:00:00 AM,Interlake,3991,53,0,8,1
25-091-21631-00-00,3/31/2021 12:00:00 AM,Interlake,3991,53,0,10,1
25-091-21631-00-00,2/28/2021 12:00:00 AM,Interlake,3991,0,0,0,0
25-091-21631-00-00,1/31/2021 12:00:00 AM,Interlake,3991,30,0,0,29
25-091-21631-00-00,12/31/2020 12:00:00 AM,Interlake,3991,32,0,4,1
25-091-21631-00-00,11/30/2020 12:00:00 AM,Interlake,3991,38,0,4,1
25-091-21631-00-00,10/31/2020 12:00:00 AM,Interlake,3991,43,0,5,1
25-091-21631-00-00,9/30/2020 12:00:00 AM,Interlake,3991,38,0,4,1
