API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-003-21268-00-00,2/28/2013 12:00:00 AM,Dietz 1 Coal,6244,0,0,0,0
25-003-21268-00-00,1/31/2013 12:00:00 AM,Dietz 1 Coal,6244,0,0,0,0
25-003-21268-00-00,12/31/2012 12:00:00 AM,Dietz 1 Coal,6244,0,0,0,0
25-003-21268-00-00,11/30/2012 12:00:00 AM,Dietz 1 Coal,6244,0,0,0,0
25-003-21268-00-00,10/31/2012 12:00:00 AM,Dietz 1 Coal,6244,0,0,0,0
25-003-21268-00-00,9/30/2012 12:00:00 AM,Dietz 1 Coal,6244,0,0,0,0
25-003-21268-00-00,8/31/2012 12:00:00 AM,Dietz 1 Coal,6244,0,0,0,0
25-003-21268-00-00,7/31/2012 12:00:00 AM,Dietz 1 Coal,6244,0,0,0,0
25-003-21268-00-00,6/30/2012 12:00:00 AM,Dietz 1 Coal,6244,0,0,0,0
25-003-21268-00-00,5/31/2012 12:00:00 AM,Dietz 1 Coal,6244,0,0,0,0
25-003-21268-00-00,4/30/2012 12:00:00 AM,Dietz 1 Coal,6244,0,0,0,0
25-003-21268-00-00,3/31/2012 12:00:00 AM,Dietz 1 Coal,6244,0,0,0,0
25-003-21268-00-00,2/29/2012 12:00:00 AM,Dietz 1 Coal,6244,0,0,0,0
25-003-21268-00-00,1/31/2012 12:00:00 AM,Dietz 1 Coal,6244,0,0,0,0
25-003-21268-00-00,12/31/2011 12:00:00 AM,Dietz 1 Coal,6244,0,0,0,0
25-003-21268-00-00,11/30/2011 12:00:00 AM,Dietz 1 Coal,6244,0,0,0,0
25-003-21268-00-00,10/31/2011 12:00:00 AM,Dietz 1 Coal,6244,0,0,0,0
25-003-21268-00-00,9/30/2011 12:00:00 AM,Dietz 1 Coal,6244,0,0,0,0
25-003-21268-00-00,8/31/2011 12:00:00 AM,Dietz 1 Coal,6244,0,0,0,0
25-003-21268-00-00,7/31/2011 12:00:00 AM,Dietz 1 Coal,6244,0,0,0,0
25-003-21268-00-00,6/30/2011 12:00:00 AM,Dietz 1 Coal,6244,0,0,0,0
25-003-21268-00-00,5/31/2011 12:00:00 AM,Dietz 1 Coal,6244,0,0,0,0
25-003-21268-00-00,4/30/2011 12:00:00 AM,Dietz 1 Coal,6244,0,0,0,0
25-003-21268-00-00,3/31/2011 12:00:00 AM,Dietz 1 Coal,6244,0,0,0,1
25-003-21268-00-00,2/28/2011 12:00:00 AM,Dietz 1 Coal,6244,0,0,0,0
25-003-21268-00-00,1/31/2011 12:00:00 AM,Dietz 1 Coal,6244,0,462,0,23
25-003-21268-00-00,12/31/2010 12:00:00 AM,Dietz 1 Coal,6244,0,0,0,0
25-003-21268-00-00,11/30/2010 12:00:00 AM,Dietz 1 Coal,6244,0,0,178,2
25-003-21268-00-00,10/31/2010 12:00:00 AM,Dietz 1 Coal,6244,0,0,2757,31
25-003-21268-00-00,9/30/2010 12:00:00 AM,Dietz 1 Coal,6244,0,0,2749,30
25-003-21268-00-00,8/31/2010 12:00:00 AM,Dietz 1 Coal,6244,0,0,3006,31
25-003-21268-00-00,7/31/2010 12:00:00 AM,Dietz 1 Coal,6244,0,0,2150,31
25-003-21268-00-00,6/30/2010 12:00:00 AM,Dietz 1 Coal,6244,0,0,2731,30
25-003-21268-00-00,5/31/2010 12:00:00 AM,Dietz 1 Coal,6244,0,56,2824,31
25-003-21268-00-00,4/30/2010 12:00:00 AM,Dietz 1 Coal,6244,0,22,2807,30
25-003-21268-00-00,3/31/2010 12:00:00 AM,Dietz 1 Coal,6244,0,0,2804,31
25-003-21268-00-00,2/28/2010 12:00:00 AM,Dietz 1 Coal,6244,0,0,2615,28
25-003-21268-00-00,1/31/2010 12:00:00 AM,Dietz 1 Coal,6244,0,0,2748,31
25-003-21268-00-00,12/31/2009 12:00:00 AM,Dietz 1 Coal,6244,0,0,2921,31
25-003-21268-00-00,11/30/2009 12:00:00 AM,Dietz 1 Coal,6244,0,0,2868,30
25-003-21268-00-00,10/31/2009 12:00:00 AM,Dietz 1 Coal,6244,0,0,3860,31
25-003-21268-00-00,9/30/2009 12:00:00 AM,Dietz 1 Coal,6244,0,0,3679,30
25-003-21268-00-00,8/31/2009 12:00:00 AM,Dietz 1 Coal,6244,0,0,2128,31
25-003-21268-00-00,7/31/2009 12:00:00 AM,Dietz 1 Coal,6244,0,0,3171,31
25-003-21268-00-00,6/30/2009 12:00:00 AM,Dietz 1 Coal,6244,0,0,2695,30
25-003-21268-00-00,5/31/2009 12:00:00 AM,Dietz 1 Coal,6244,0,0,2990,31
25-003-21268-00-00,4/30/2009 12:00:00 AM,Dietz 1 Coal,6244,0,0,3052,30
25-003-21268-00-00,3/31/2009 12:00:00 AM,Dietz 1 Coal,6244,0,10,3066,31
25-003-21268-00-00,2/28/2009 12:00:00 AM,Dietz 1 Coal,6244,0,218,2799,28
25-003-21268-00-00,1/31/2009 12:00:00 AM,Dietz 1 Coal,6244,0,137,3154,31
25-003-21268-00-00,12/31/2008 12:00:00 AM,Dietz 1 Coal,6244,0,0,3318,31
25-003-21268-00-00,11/30/2008 12:00:00 AM,Dietz 1 Coal,6244,0,0,2872,30
25-003-21268-00-00,10/31/2008 12:00:00 AM,Dietz 1 Coal,6244,0,0,3186,31
25-003-21268-00-00,9/30/2008 12:00:00 AM,Dietz 1 Coal,6244,0,0,3333,30
25-003-21268-00-00,8/31/2008 12:00:00 AM,Dietz 1 Coal,6244,0,0,3794,31
25-003-21268-00-00,7/31/2008 12:00:00 AM,Dietz 1 Coal,6244,0,0,551,31
25-003-21268-00-00,6/30/2008 12:00:00 AM,Dietz 1 Coal,6244,0,0,2301,30
25-003-21268-00-00,5/31/2008 12:00:00 AM,Dietz 1 Coal,6244,0,0,3963,31
25-003-21268-00-00,4/30/2008 12:00:00 AM,Dietz 1 Coal,6244,0,0,3832,30
25-003-21268-00-00,3/31/2008 12:00:00 AM,Dietz 1 Coal,6244,0,9,3968,31
25-003-21268-00-00,2/29/2008 12:00:00 AM,Dietz 1 Coal,6244,0,197,3751,29
25-003-21268-00-00,1/31/2008 12:00:00 AM,Dietz 1 Coal,6244,0,193,3598,31
25-003-21268-00-00,12/31/2007 12:00:00 AM,Dietz 1 Coal,6244,0,30,3779,31
25-003-21268-00-00,11/30/2007 12:00:00 AM,Dietz 1 Coal,6244,0,0,3853,30
25-003-21268-00-00,10/31/2007 12:00:00 AM,Dietz 1 Coal,6244,0,0,4275,31
25-003-21268-00-00,9/30/2007 12:00:00 AM,Dietz 1 Coal,6244,0,0,4234,30
25-003-21268-00-00,8/31/2007 12:00:00 AM,Dietz 1 Coal,6244,0,0,4491,31
25-003-21268-00-00,7/31/2007 12:00:00 AM,Dietz 1 Coal,6244,0,0,4245,31
25-003-21268-00-00,6/30/2007 12:00:00 AM,Dietz 1 Coal,6244,0,0,4051,30
25-003-21268-00-00,5/31/2007 12:00:00 AM,Dietz 1 Coal,6244,0,190,4625,31
25-003-21268-00-00,4/30/2007 12:00:00 AM,Dietz 1 Coal,6244,0,264,4514,30
25-003-21268-00-00,3/31/2007 12:00:00 AM,Dietz 1 Coal,6244,0,247,4160,31
25-003-21268-00-00,2/28/2007 12:00:00 AM,Dietz 1 Coal,6244,0,737,4429,28
25-003-21268-00-00,1/31/2007 12:00:00 AM,Dietz 1 Coal,6244,0,1238,0,31
25-003-21268-00-00,12/31/2006 12:00:00 AM,Dietz 1 Coal,6244,0,766,0,25
25-003-21268-00-00,11/30/2006 12:00:00 AM,Dietz 1 Coal,6244,0,745,0,30
25-003-21268-00-00,10/31/2006 12:00:00 AM,Dietz 1 Coal,6244,0,306,0,22
25-003-21268-00-00,9/30/2006 12:00:00 AM,Dietz 1 Coal,6244,0,0,0,0
25-003-21268-00-00,8/31/2006 12:00:00 AM,Dietz 1 Coal,6244,0,0,0,0
25-003-21268-00-00,7/31/2006 12:00:00 AM,Dietz 1 Coal,6244,0,0,0,0
25-003-21268-00-00,6/30/2006 12:00:00 AM,Dietz 1 Coal,6244,0,0,0,0
25-003-21268-00-00,5/31/2006 12:00:00 AM,Dietz 1 Coal,6244,0,103,147,31
25-003-21268-00-00,4/30/2006 12:00:00 AM,Dietz 1 Coal,6244,0,385,0,19
25-003-21268-00-00,3/31/2006 12:00:00 AM,Dietz 1 Coal,6244,0,11,0,10
25-003-21268-00-00,2/28/2006 12:00:00 AM,Dietz 1 Coal,6244,0,5,0,7
25-003-21268-00-00,1/31/2006 12:00:00 AM,Dietz 1 Coal,6244,0,0,0,0
25-003-21268-00-00,12/31/2005 12:00:00 AM,Dietz 1 Coal,6244,0,0,0,0
25-003-21268-00-00,11/30/2005 12:00:00 AM,Dietz 1 Coal,6244,0,0,0,0
25-003-21268-00-00,10/31/2005 12:00:00 AM,Dietz 1 Coal,6244,0,181,661,20
25-003-21268-00-00,9/30/2005 12:00:00 AM,Dietz 1 Coal,6244,0,291,2832,30
25-003-21268-00-00,8/31/2005 12:00:00 AM,Dietz 1 Coal,6244,0,759,3013,31
25-003-21268-00-00,7/31/2005 12:00:00 AM,Dietz 1 Coal,6244,0,794,2900,31
25-003-21268-00-00,6/30/2005 12:00:00 AM,Dietz 1 Coal,6244,0,182,1899,30
25-003-21268-00-00,5/31/2005 12:00:00 AM,Dietz 1 Coal,6244,0,419,2874,31
25-003-21268-00-00,4/30/2005 12:00:00 AM,Dietz 1 Coal,6244,0,543,2833,30
25-003-21268-00-00,3/31/2005 12:00:00 AM,Dietz 1 Coal,6244,0,795,2931,31
25-003-21268-00-00,2/28/2005 12:00:00 AM,Dietz 1 Coal,6244,0,731,2503,28
25-003-21268-00-00,1/31/2005 12:00:00 AM,Dietz 1 Coal,6244,0,881,2922,31
25-003-21268-00-00,12/31/2004 12:00:00 AM,Dietz 1 Coal,6244,0,1181,3049,31
25-003-21268-00-00,11/30/2004 12:00:00 AM,Dietz 1 Coal,6244,0,1145,2904,30
25-003-21268-00-00,10/31/2004 12:00:00 AM,Dietz 1 Coal,6244,0,1346,3208,31
25-003-21268-00-00,9/30/2004 12:00:00 AM,Dietz 1 Coal,6244,0,1428,3144,30
25-003-21268-00-00,8/31/2004 12:00:00 AM,Dietz 1 Coal,6244,0,1304,3029,31
25-003-21268-00-00,7/31/2004 12:00:00 AM,Dietz 1 Coal,6244,0,1126,2738,31
25-003-21268-00-00,6/30/2004 12:00:00 AM,Dietz 1 Coal,6244,0,1183,2672,30
25-003-21268-00-00,5/31/2004 12:00:00 AM,Dietz 1 Coal,6244,0,1261,2859,31
25-003-21268-00-00,4/30/2004 12:00:00 AM,Dietz 1 Coal,6244,0,1041,2628,30
25-003-21268-00-00,3/31/2004 12:00:00 AM,Dietz 1 Coal,6244,0,3,3183,31
25-003-21268-00-00,2/29/2004 12:00:00 AM,Dietz 1 Coal,6244,0,227,2826,29
25-003-21268-00-00,1/31/2004 12:00:00 AM,Dietz 1 Coal,6244,0,802,3194,31
25-003-21268-00-00,12/31/2003 12:00:00 AM,Dietz 1 Coal,6244,0,1337,3576,31
25-003-21268-00-00,11/30/2003 12:00:00 AM,Dietz 1 Coal,6244,0,1425,3580,30
25-003-21268-00-00,10/31/2003 12:00:00 AM,Dietz 1 Coal,6244,0,1385,3617,31
25-003-21268-00-00,9/30/2003 12:00:00 AM,Dietz 1 Coal,6244,0,1233,3545,30
25-003-21268-00-00,8/31/2003 12:00:00 AM,Dietz 1 Coal,6244,0,971,3819,31
25-003-21268-00-00,7/31/2003 12:00:00 AM,Dietz 1 Coal,6244,0,1491,3847,31
25-003-21268-00-00,6/30/2003 12:00:00 AM,Dietz 1 Coal,6244,0,2102,3961,30
25-003-21268-00-00,5/31/2003 12:00:00 AM,Dietz 1 Coal,6244,0,2544,4296,31
25-003-21268-00-00,4/30/2003 12:00:00 AM,Dietz 1 Coal,6244,0,675,3522,30
25-003-21268-00-00,3/31/2003 12:00:00 AM,Dietz 1 Coal,6244,0,552,3641,31
25-003-21268-00-00,2/28/2003 12:00:00 AM,Dietz 1 Coal,6244,0,674,3479,28
25-003-21268-00-00,1/31/2003 12:00:00 AM,Dietz 1 Coal,6244,0,520,3868,31
25-003-21268-00-00,12/31/2002 12:00:00 AM,Dietz 1 Coal,6244,0,1004,3803,31
25-003-21268-00-00,11/30/2002 12:00:00 AM,Dietz 1 Coal,6244,0,975,3723,30
25-003-21268-00-00,10/31/2002 12:00:00 AM,Dietz 1 Coal,6244,0,343,4030,31
25-003-21268-00-00,9/30/2002 12:00:00 AM,Dietz 1 Coal,6244,0,29,4226,30
25-003-21268-00-00,8/31/2002 12:00:00 AM,Dietz 1 Coal,6244,0,141,4840,31
25-003-21268-00-00,7/31/2002 12:00:00 AM,Dietz 1 Coal,6244,0,374,5329,31
25-003-21268-00-00,6/30/2002 12:00:00 AM,Dietz 1 Coal,6244,0,1036,5683,30
25-003-21268-00-00,5/31/2002 12:00:00 AM,Dietz 1 Coal,6244,0,909,6110,31
25-003-21268-00-00,4/30/2002 12:00:00 AM,Dietz 1 Coal,6244,0,263,5991,30
25-003-21268-00-00,3/31/2002 12:00:00 AM,Dietz 1 Coal,6244,0,179,6452,31
25-003-21268-00-00,2/28/2002 12:00:00 AM,Dietz 1 Coal,6244,0,8,6006,28
25-003-21268-00-00,1/31/2002 12:00:00 AM,Dietz 1 Coal,6244,0,747,6743,31
25-003-21268-00-00,12/31/2001 12:00:00 AM,Dietz 1 Coal,6244,0,1424,7205,31
25-003-21268-00-00,11/30/2001 12:00:00 AM,Dietz 1 Coal,6244,0,688,8339,30
25-003-21268-00-00,10/31/2001 12:00:00 AM,Dietz 1 Coal,6244,0,1525,8927,31
25-003-21268-00-00,9/30/2001 12:00:00 AM,Dietz 1 Coal,6244,0,304,8184,30
25-003-21268-00-00,8/31/2001 12:00:00 AM,Dietz 1 Coal,6244,0,329,9551,31
25-003-21268-00-00,7/31/2001 12:00:00 AM,Dietz 1 Coal,6244,0,631,9676,31
25-003-21268-00-00,6/30/2001 12:00:00 AM,Dietz 1 Coal,6244,0,516,10780,30
25-003-21268-00-00,5/31/2001 12:00:00 AM,Dietz 1 Coal,6244,0,364,10255,30
25-003-21268-00-00,4/30/2001 12:00:00 AM,Dietz 1 Coal,6244,0,2685,11562,30
25-003-21268-00-00,3/31/2001 12:00:00 AM,Dietz 1 Coal,6244,0,3297,12682,31
25-003-21268-00-00,2/28/2001 12:00:00 AM,Dietz 1 Coal,6244,0,3948,11742,28
25-003-21268-00-00,1/31/2001 12:00:00 AM,Dietz 1 Coal,6244,0,4344,12429,31
25-003-21268-00-00,12/31/2000 12:00:00 AM,Dietz 1 Coal,6244,0,5065,16766,31
25-003-21268-00-00,11/30/2000 12:00:00 AM,Dietz 1 Coal,6244,0,3175,16460,30
25-003-21268-00-00,10/31/2000 12:00:00 AM,Dietz 1 Coal,6244,0,6726,20495,31
25-003-21268-00-00,9/30/2000 12:00:00 AM,Dietz 1 Coal,6244,0,6271,22295,30
25-003-21268-00-00,8/31/2000 12:00:00 AM,Dietz 1 Coal,6244,0,5199,28075,31
25-003-21268-00-00,7/31/2000 12:00:00 AM,Dietz 1 Coal,6244,0,5690,28362,31
25-003-21268-00-00,6/30/2000 12:00:00 AM,Dietz 1 Coal,6244,0,2584,14439,30
25-003-21268-00-00,5/31/2000 12:00:00 AM,Dietz 1 Coal,6244,0,457,38938,31
25-003-21268-00-00,4/30/2000 12:00:00 AM,Dietz 1 Coal,6244,0,0,34262,30
25-003-21268-00-00,3/31/2000 12:00:00 AM,Dietz 1 Coal,6244,0,1,8900,31
25-003-21268-00-00,2/29/2000 12:00:00 AM,Dietz 1 Coal,6244,0,0,12771,29
25-003-21268-00-00,1/31/2000 12:00:00 AM,Dietz 1 Coal,6244,0,12,14601,31
25-003-21268-00-00,12/31/1999 12:00:00 AM,Dietz 1 Coal,6244,0,0,3004,4
