API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-003-21447-00-00,2/28/2013 12:00:00 AM,"Dietz 1, 2, 3",6393,0,0,0,0
25-003-21447-00-00,1/31/2013 12:00:00 AM,"Dietz 1, 2, 3",6393,0,0,0,0
25-003-21447-00-00,12/31/2012 12:00:00 AM,"Dietz 1, 2, 3",6393,0,0,0,0
25-003-21447-00-00,11/30/2012 12:00:00 AM,"Dietz 1, 2, 3",6393,0,0,0,0
25-003-21447-00-00,10/31/2012 12:00:00 AM,"Dietz 1, 2, 3",6393,0,0,0,0
25-003-21447-00-00,9/30/2012 12:00:00 AM,"Dietz 1, 2, 3",6393,0,0,0,0
25-003-21447-00-00,8/31/2012 12:00:00 AM,"Dietz 1, 2, 3",6393,0,0,0,0
25-003-21447-00-00,7/31/2012 12:00:00 AM,"Dietz 1, 2, 3",6393,0,0,0,0
25-003-21447-00-00,6/30/2012 12:00:00 AM,"Dietz 1, 2, 3",6393,0,0,0,0
25-003-21447-00-00,5/31/2012 12:00:00 AM,"Dietz 1, 2, 3",6393,0,0,0,0
25-003-21447-00-00,4/30/2012 12:00:00 AM,"Dietz 1, 2, 3",6393,0,88,0,3
25-003-21447-00-00,3/31/2012 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1241,0,31
25-003-21447-00-00,2/29/2012 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1250,0,29
25-003-21447-00-00,1/31/2012 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1370,0,31
25-003-21447-00-00,12/31/2011 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1427,0,31
25-003-21447-00-00,11/30/2011 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1437,0,30
25-003-21447-00-00,10/31/2011 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1443,0,31
25-003-21447-00-00,9/30/2011 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1382,0,30
25-003-21447-00-00,8/31/2011 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1501,0,31
25-003-21447-00-00,7/31/2011 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1384,0,31
25-003-21447-00-00,6/30/2011 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1419,0,30
25-003-21447-00-00,5/31/2011 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1523,0,31
25-003-21447-00-00,4/30/2011 12:00:00 AM,"Dietz 1, 2, 3",6393,0,861,0,18
25-003-21447-00-00,3/31/2011 12:00:00 AM,"Dietz 1, 2, 3",6393,0,819,0,29
25-003-21447-00-00,2/28/2011 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1084,0,28
25-003-21447-00-00,1/31/2011 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1338,0,31
25-003-21447-00-00,12/31/2010 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1498,0,31
25-003-21447-00-00,11/30/2010 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1470,0,30
25-003-21447-00-00,10/31/2010 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1458,0,31
25-003-21447-00-00,9/30/2010 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1421,0,30
25-003-21447-00-00,8/31/2010 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1362,0,30
25-003-21447-00-00,7/31/2010 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1457,0,31
25-003-21447-00-00,6/30/2010 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1491,0,30
25-003-21447-00-00,5/31/2010 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1458,0,31
25-003-21447-00-00,4/30/2010 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1476,0,30
25-003-21447-00-00,3/31/2010 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1522,0,31
25-003-21447-00-00,2/28/2010 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1512,0,28
25-003-21447-00-00,1/31/2010 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1700,0,31
25-003-21447-00-00,12/31/2009 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1716,0,31
25-003-21447-00-00,11/30/2009 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1685,0,30
25-003-21447-00-00,10/31/2009 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1724,0,31
25-003-21447-00-00,9/30/2009 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1400,0,27
25-003-21447-00-00,8/31/2009 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1553,0,31
25-003-21447-00-00,7/31/2009 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1659,0,31
25-003-21447-00-00,6/30/2009 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1624,0,30
25-003-21447-00-00,5/31/2009 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1749,0,31
25-003-21447-00-00,4/30/2009 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1792,0,30
25-003-21447-00-00,3/31/2009 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1754,0,31
25-003-21447-00-00,2/28/2009 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1670,0,28
25-003-21447-00-00,1/31/2009 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1834,0,31
25-003-21447-00-00,12/31/2008 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1032,0,20
25-003-21447-00-00,11/30/2008 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1629,0,30
25-003-21447-00-00,10/31/2008 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1837,0,31
25-003-21447-00-00,9/30/2008 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1798,0,30
25-003-21447-00-00,8/31/2008 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1773,0,31
25-003-21447-00-00,7/31/2008 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1650,0,31
25-003-21447-00-00,6/30/2008 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1790,0,30
25-003-21447-00-00,5/31/2008 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1868,0,31
25-003-21447-00-00,4/30/2008 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1710,0,30
25-003-21447-00-00,3/31/2008 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1650,0,31
25-003-21447-00-00,2/29/2008 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1649,0,29
25-003-21447-00-00,1/31/2008 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1805,0,31
25-003-21447-00-00,12/31/2007 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1715,0,31
25-003-21447-00-00,11/30/2007 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1692,0,30
25-003-21447-00-00,10/31/2007 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1972,0,31
25-003-21447-00-00,9/30/2007 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1933,0,30
25-003-21447-00-00,8/31/2007 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1830,0,31
25-003-21447-00-00,7/31/2007 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1902,0,31
25-003-21447-00-00,6/30/2007 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1657,0,30
25-003-21447-00-00,5/31/2007 12:00:00 AM,"Dietz 1, 2, 3",6393,0,2079,0,31
25-003-21447-00-00,4/30/2007 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1972,0,30
25-003-21447-00-00,3/31/2007 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1831,0,31
25-003-21447-00-00,2/28/2007 12:00:00 AM,"Dietz 1, 2, 3",6393,0,1512,0,28
25-003-21447-00-00,1/31/2007 12:00:00 AM,"Dietz 1, 2, 3",6393,0,2015,0,29
25-003-21447-00-00,12/31/2006 12:00:00 AM,"Dietz 1, 2, 3",6393,0,2324,0,31
25-003-21447-00-00,11/30/2006 12:00:00 AM,"Dietz 1, 2, 3",6393,0,2400,0,30
25-003-21447-00-00,10/31/2006 12:00:00 AM,"Dietz 1, 2, 3",6393,0,2051,0,31
25-003-21447-00-00,9/30/2006 12:00:00 AM,"Dietz 1, 2, 3",6393,0,2046,0,30
25-003-21447-00-00,8/31/2006 12:00:00 AM,"Dietz 1, 2, 3",6393,0,2558,0,31
25-003-21447-00-00,7/31/2006 12:00:00 AM,"Dietz 1, 2, 3",6393,0,2578,0,31
25-003-21447-00-00,6/30/2006 12:00:00 AM,"Dietz 1, 2, 3",6393,0,2490,0,30
25-003-21447-00-00,5/31/2006 12:00:00 AM,"Dietz 1, 2, 3",6393,0,2889,0,31
25-003-21447-00-00,4/30/2006 12:00:00 AM,"Dietz 1, 2, 3",6393,0,2831,0,30
25-003-21447-00-00,3/31/2006 12:00:00 AM,"Dietz 1, 2, 3",6393,0,2954,0,31
25-003-21447-00-00,2/28/2006 12:00:00 AM,"Dietz 1, 2, 3",6393,0,2705,0,28
25-003-21447-00-00,1/31/2006 12:00:00 AM,"Dietz 1, 2, 3",6393,0,3034,0,31
25-003-21447-00-00,12/31/2005 12:00:00 AM,"Dietz 1, 2, 3",6393,0,2969,0,31
25-003-21447-00-00,11/30/2005 12:00:00 AM,"Dietz 1, 2, 3",6393,0,2893,0,30
25-003-21447-00-00,10/31/2005 12:00:00 AM,"Dietz 1, 2, 3",6393,0,3727,0,31
25-003-21447-00-00,9/30/2005 12:00:00 AM,"Dietz 1, 2, 3",6393,0,3366,0,30
25-003-21447-00-00,8/31/2005 12:00:00 AM,"Dietz 1, 2, 3",6393,0,3109,0,31
25-003-21447-00-00,7/31/2005 12:00:00 AM,"Dietz 1, 2, 3",6393,0,3271,0,31
25-003-21447-00-00,6/30/2005 12:00:00 AM,"Dietz 1, 2, 3",6393,0,3052,0,30
25-003-21447-00-00,5/31/2005 12:00:00 AM,"Dietz 1, 2, 3",6393,0,3219,0,31
25-003-21447-00-00,4/30/2005 12:00:00 AM,"Dietz 1, 2, 3",6393,0,3468,0,30
25-003-21447-00-00,3/31/2005 12:00:00 AM,"Dietz 1, 2, 3",6393,0,3579,0,31
25-003-21447-00-00,2/28/2005 12:00:00 AM,"Dietz 1, 2, 3",6393,0,3098,0,28
25-003-21447-00-00,1/31/2005 12:00:00 AM,"Dietz 1, 2, 3",6393,0,3689,0,31
25-003-21447-00-00,12/31/2004 12:00:00 AM,"Dietz 1, 2, 3",6393,0,3758,0,31
25-003-21447-00-00,11/30/2004 12:00:00 AM,"Dietz 1, 2, 3",6393,0,3311,0,29
25-003-21447-00-00,10/31/2004 12:00:00 AM,"Dietz 1, 2, 3",6393,0,3477,0,31
25-003-21447-00-00,9/30/2004 12:00:00 AM,"Dietz 1, 2, 3",6393,0,3017,0,30
25-003-21447-00-00,8/31/2004 12:00:00 AM,"Dietz 1, 2, 3",6393,0,3059,0,31
25-003-21447-00-00,7/31/2004 12:00:00 AM,"Dietz 1, 2, 3",6393,0,3115,0,31
25-003-21447-00-00,6/30/2004 12:00:00 AM,"Dietz 1, 2, 3",6393,0,2980,0,30
25-003-21447-00-00,5/31/2004 12:00:00 AM,"Dietz 1, 2, 3",6393,0,3218,0,31
25-003-21447-00-00,4/30/2004 12:00:00 AM,"Dietz 1, 2, 3",6393,0,3072,0,30
25-003-21447-00-00,3/31/2004 12:00:00 AM,"Dietz 1, 2, 3",6393,0,2960,0,31
25-003-21447-00-00,2/29/2004 12:00:00 AM,"Dietz 1, 2, 3",6393,0,2956,0,29
25-003-21447-00-00,1/31/2004 12:00:00 AM,"Dietz 1, 2, 3",6393,0,3265,0,31
25-003-21447-00-00,12/31/2003 12:00:00 AM,"Dietz 1, 2, 3",6393,0,3381,0,31
25-003-21447-00-00,11/30/2003 12:00:00 AM,"Dietz 1, 2, 3",6393,0,3533,0,30
25-003-21447-00-00,10/31/2003 12:00:00 AM,"Dietz 1, 2, 3",6393,0,3451,0,31
25-003-21447-00-00,9/30/2003 12:00:00 AM,"Dietz 1, 2, 3",6393,0,3844,0,30
25-003-21447-00-00,8/31/2003 12:00:00 AM,"Dietz 1, 2, 3",6393,0,3987,0,31
25-003-21447-00-00,7/31/2003 12:00:00 AM,"Dietz 1, 2, 3",6393,0,4163,0,31
25-003-21447-00-00,6/30/2003 12:00:00 AM,"Dietz 1, 2, 3",6393,0,4378,0,30
25-003-21447-00-00,5/31/2003 12:00:00 AM,"Dietz 1, 2, 3",6393,0,4246,0,31
25-003-21447-00-00,4/30/2003 12:00:00 AM,"Dietz 1, 2, 3",6393,0,4312,0,30
25-003-21447-00-00,3/31/2003 12:00:00 AM,"Dietz 1, 2, 3",6393,0,4467,1166,31
25-003-21447-00-00,2/28/2003 12:00:00 AM,"Dietz 1, 2, 3",6393,0,4070,785,28
25-003-21447-00-00,1/31/2003 12:00:00 AM,"Dietz 1, 2, 3",6393,0,5111,1172,31
25-003-21447-00-00,12/31/2002 12:00:00 AM,"Dietz 1, 2, 3",6393,0,5425,1501,31
25-003-21447-00-00,11/30/2002 12:00:00 AM,"Dietz 1, 2, 3",6393,0,4918,1495,30
25-003-21447-00-00,10/31/2002 12:00:00 AM,"Dietz 1, 2, 3",6393,0,5540,1963,31
25-003-21447-00-00,9/30/2002 12:00:00 AM,"Dietz 1, 2, 3",6393,0,5606,2220,30
25-003-21447-00-00,8/31/2002 12:00:00 AM,"Dietz 1, 2, 3",6393,0,6030,2688,31
25-003-21447-00-00,7/31/2002 12:00:00 AM,"Dietz 1, 2, 3",6393,0,4325,2877,31
25-003-21447-00-00,6/30/2002 12:00:00 AM,"Dietz 1, 2, 3",6393,0,5740,3980,30
25-003-21447-00-00,5/31/2002 12:00:00 AM,"Dietz 1, 2, 3",6393,0,5128,336,31
25-003-21447-00-00,4/30/2002 12:00:00 AM,"Dietz 1, 2, 3",6393,0,5366,0,30
25-003-21447-00-00,3/31/2002 12:00:00 AM,"Dietz 1, 2, 3",6393,0,5204,0,31
25-003-21447-00-00,2/28/2002 12:00:00 AM,"Dietz 1, 2, 3",6393,0,5874,3909,28
