API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-101-23987-00-00,5/31/2025 12:00:00 AM,Bow Island,7079,0,0,0,0
25-101-23987-00-00,4/30/2025 12:00:00 AM,Bow Island,7079,0,0,0,0
25-101-23987-00-00,3/31/2025 12:00:00 AM,Bow Island,7079,0,0,0,0
25-101-23987-00-00,2/28/2025 12:00:00 AM,Bow Island,7079,0,0,0,0
25-101-23987-00-00,1/31/2025 12:00:00 AM,Bow Island,7079,0,0,0,0
25-101-23987-00-00,12/31/2024 12:00:00 AM,Bow Island,7079,0,0,0,0
25-101-23987-00-00,11/30/2024 12:00:00 AM,Bow Island,7079,0,0,0,0
25-101-23987-00-00,10/31/2024 12:00:00 AM,Bow Island,7079,0,0,0,0
25-101-23987-00-00,9/30/2024 12:00:00 AM,Bow Island,7079,0,0,0,0
25-101-23987-00-00,8/31/2024 12:00:00 AM,Bow Island,7079,0,0,0,0
25-101-23987-00-00,7/31/2024 12:00:00 AM,Bow Island,7079,0,0,0,0
25-101-23987-00-00,6/30/2024 12:00:00 AM,Bow Island,7079,0,0,0,0
25-101-23987-00-00,5/31/2024 12:00:00 AM,Bow Island,7079,0,0,0,0
25-101-23987-00-00,4/30/2024 12:00:00 AM,Bow Island,7079,0,0,0,0
25-101-23987-00-00,3/31/2024 12:00:00 AM,Bow Island,7079,0,0,0,0
25-101-23987-00-00,2/29/2024 12:00:00 AM,Bow Island,7079,0,0,0,0
25-101-23987-00-00,1/31/2024 12:00:00 AM,Bow Island,7079,0,0,0,0
25-101-23987-00-00,12/31/2023 12:00:00 AM,Bow Island,7079,0,0,0,0
25-101-23987-00-00,11/30/2023 12:00:00 AM,Bow Island,7079,0,30,0,30
25-101-23987-00-00,10/31/2023 12:00:00 AM,Bow Island,7079,0,16,0,31
25-101-23987-00-00,9/30/2023 12:00:00 AM,Bow Island,7079,0,23,0,30
25-101-23987-00-00,8/31/2023 12:00:00 AM,Bow Island,7079,0,20,0,23
25-101-23987-00-00,7/31/2023 12:00:00 AM,Bow Island,7079,0,36,0,31
25-101-23987-00-00,6/30/2023 12:00:00 AM,Bow Island,7079,0,15,0,15
25-101-23987-00-00,5/31/2023 12:00:00 AM,Bow Island,7079,0,0,0,0
25-101-23987-00-00,4/30/2023 12:00:00 AM,Bow Island,7079,0,0,0,0
25-101-23987-00-00,3/31/2023 12:00:00 AM,Bow Island,7079,0,6,0,7
25-101-23987-00-00,2/28/2023 12:00:00 AM,Bow Island,7079,0,37,0,27
25-101-23987-00-00,1/31/2023 12:00:00 AM,Bow Island,7079,0,28,0,20
25-101-23987-00-00,12/31/2022 12:00:00 AM,Bow Island,7079,0,9,0,8
25-101-23987-00-00,11/30/2022 12:00:00 AM,Bow Island,7079,0,30,0,29
25-101-23987-00-00,10/31/2022 12:00:00 AM,Bow Island,7079,0,31,0,31
25-101-23987-00-00,9/30/2022 12:00:00 AM,Bow Island,7079,0,18,0,22
25-101-23987-00-00,8/31/2022 12:00:00 AM,Bow Island,7079,0,31,0,31
25-101-23987-00-00,7/31/2022 12:00:00 AM,Bow Island,7079,0,31,0,30
25-101-23987-00-00,6/30/2022 12:00:00 AM,Bow Island,7079,0,15,0,17
25-101-23987-00-00,5/31/2022 12:00:00 AM,Bow Island,7079,0,3,0,5
25-101-23987-00-00,4/30/2022 12:00:00 AM,Bow Island,7079,0,0,0,0
25-101-23987-00-00,3/31/2022 12:00:00 AM,Bow Island,7079,0,0,0,0
25-101-23987-00-00,2/28/2022 12:00:00 AM,Bow Island,7079,0,0,0,0
25-101-23987-00-00,1/31/2022 12:00:00 AM,Bow Island,7079,0,1,0,1
25-101-23987-00-00,12/31/2021 12:00:00 AM,Bow Island,7079,0,13,0,8
25-101-23987-00-00,11/30/2021 12:00:00 AM,Bow Island,7079,0,0,0,0
25-101-23987-00-00,10/31/2021 12:00:00 AM,Bow Island,7079,0,0,0,0
25-101-23987-00-00,9/30/2021 12:00:00 AM,Bow Island,7079,0,0,0,0
25-101-23987-00-00,8/31/2021 12:00:00 AM,Bow Island,7079,0,0,0,0
25-101-23987-00-00,7/31/2021 12:00:00 AM,Bow Island,7079,0,0,0,0
25-101-23987-00-00,6/30/2021 12:00:00 AM,Bow Island,7079,0,0,0,0
25-101-23987-00-00,5/31/2021 12:00:00 AM,Bow Island,7079,0,0,0,0
25-101-23987-00-00,4/30/2021 12:00:00 AM,Bow Island,7079,0,0,0,0
