API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-035-06772-00-00,7/31/2025 12:00:00 AM,Madison,476,83,0,1891,31
25-035-06772-00-00,6/30/2025 12:00:00 AM,Madison,476,87,0,1830,30
25-035-06772-00-00,5/31/2025 12:00:00 AM,Madison,476,93,0,1586,26
25-035-06772-00-00,4/30/2025 12:00:00 AM,Madison,476,81,0,1830,30
25-035-06772-00-00,3/31/2025 12:00:00 AM,Madison,476,89,0,1891,31
25-035-06772-00-00,2/28/2025 12:00:00 AM,Madison,476,70,0,1525,25
25-035-06772-00-00,1/31/2025 12:00:00 AM,Madison,476,87,0,1891,31
25-035-06772-00-00,12/31/2024 12:00:00 AM,Madison,476,87,0,1891,31
25-035-06772-00-00,11/30/2024 12:00:00 AM,Madison,476,86,0,1830,30
25-035-06772-00-00,10/31/2024 12:00:00 AM,Madison,476,84,0,1891,31
25-035-06772-00-00,9/30/2024 12:00:00 AM,Madison,476,88,0,1830,30
25-035-06772-00-00,8/31/2024 12:00:00 AM,Madison,476,84,0,1891,31
25-035-06772-00-00,7/31/2024 12:00:00 AM,Madison,476,92,0,1891,31
25-035-06772-00-00,6/30/2024 12:00:00 AM,Madison,476,74,0,1464,24
25-035-06772-00-00,5/31/2024 12:00:00 AM,Madison,476,68,0,1891,31
25-035-06772-00-00,4/30/2024 12:00:00 AM,Madison,476,73,0,1830,30
25-035-06772-00-00,3/31/2024 12:00:00 AM,Madison,476,84,0,1891,31
25-035-06772-00-00,2/29/2024 12:00:00 AM,Madison,476,76,0,1769,29
25-035-06772-00-00,1/31/2024 12:00:00 AM,Madison,476,73,0,1891,31
25-035-06772-00-00,12/31/2023 12:00:00 AM,Madison,476,81,0,1891,31
25-035-06772-00-00,11/30/2023 12:00:00 AM,Madison,476,76,0,1830,30
25-035-06772-00-00,10/31/2023 12:00:00 AM,Madison,476,86,0,1281,21
25-035-06772-00-00,9/30/2023 12:00:00 AM,Madison,476,84,0,1830,30
25-035-06772-00-00,8/31/2023 12:00:00 AM,Madison,476,86,0,1891,31
25-035-06772-00-00,7/31/2023 12:00:00 AM,Madison,476,86,0,1891,31
25-035-06772-00-00,6/30/2023 12:00:00 AM,Madison,476,85,0,1830,30
25-035-06772-00-00,5/31/2023 12:00:00 AM,Madison,476,89,0,1891,31
25-035-06772-00-00,4/30/2023 12:00:00 AM,Madison,476,89,0,1830,30
25-035-06772-00-00,3/31/2023 12:00:00 AM,Madison,476,136,0,1483,31
25-035-06772-00-00,2/28/2023 12:00:00 AM,Madison,476,138,0,1483,31
25-035-06772-00-00,1/31/2023 12:00:00 AM,Madison,476,140,0,1483,31
25-035-06772-00-00,12/31/2022 12:00:00 AM,Madison,476,82,0,1483,31
25-035-06772-00-00,11/30/2022 12:00:00 AM,Madison,476,157,0,1435,30
25-035-06772-00-00,10/31/2022 12:00:00 AM,Madison,476,87,0,1483,31
25-035-06772-00-00,9/30/2022 12:00:00 AM,Madison,476,81,0,1435,30
