API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-003-05083-00-00,6/30/2025 12:00:00 AM,Madison,2390,44,0,1776,30
25-003-05083-00-00,5/31/2025 12:00:00 AM,Madison,2390,49,0,2048,31
25-003-05083-00-00,4/30/2025 12:00:00 AM,Madison,2390,45,0,1889,30
25-003-05083-00-00,3/31/2025 12:00:00 AM,Madison,2390,45,0,1889,31
25-003-05083-00-00,2/28/2025 12:00:00 AM,Madison,2390,31,0,1295,28
25-003-05083-00-00,1/31/2025 12:00:00 AM,Madison,2390,44,0,1854,31
25-003-05083-00-00,12/31/2024 12:00:00 AM,Madison,2390,47,0,1960,31
25-003-05083-00-00,11/30/2024 12:00:00 AM,Madison,2390,45,0,1875,30
25-003-05083-00-00,10/31/2024 12:00:00 AM,Madison,2390,50,0,2097,31
25-003-05083-00-00,9/30/2024 12:00:00 AM,Madison,2390,32,0,1535,30
25-003-05083-00-00,8/31/2024 12:00:00 AM,Madison,2390,39,0,1897,31
25-003-05083-00-00,7/31/2024 12:00:00 AM,Madison,2390,37,0,1786,31
25-003-05083-00-00,6/30/2024 12:00:00 AM,Madison,2390,38,0,1839,30
25-003-05083-00-00,5/31/2024 12:00:00 AM,Madison,2390,39,0,1894,31
25-003-05083-00-00,4/30/2024 12:00:00 AM,Madison,2390,34,0,1617,30
25-003-05083-00-00,3/31/2024 12:00:00 AM,Madison,2390,35,0,1670,31
25-003-05083-00-00,2/29/2024 12:00:00 AM,Madison,2390,36,0,1715,29
25-003-05083-00-00,1/31/2024 12:00:00 AM,Madison,2390,28,0,1333,31
25-003-05083-00-00,12/31/2023 12:00:00 AM,Madison,2390,35,0,1694,31
25-003-05083-00-00,11/30/2023 12:00:00 AM,Madison,2390,36,0,1744,30
25-003-05083-00-00,10/31/2023 12:00:00 AM,Madison,2390,38,0,1823,31
25-003-05083-00-00,9/30/2023 12:00:00 AM,Madison,2390,34,0,1627,30
25-003-05083-00-00,8/31/2023 12:00:00 AM,Madison,2390,36,0,1748,31
25-003-05083-00-00,7/31/2023 12:00:00 AM,Madison,2390,37,0,1777,31
25-003-05083-00-00,6/30/2023 12:00:00 AM,Madison,2390,37,0,1780,30
25-003-05083-00-00,5/31/2023 12:00:00 AM,Madison,2390,38,0,1840,31
25-003-05083-00-00,4/30/2023 12:00:00 AM,Madison,2390,54,0,1670,30
25-003-05083-00-00,3/31/2023 12:00:00 AM,Madison,2390,55,0,1689,31
25-003-05083-00-00,2/28/2023 12:00:00 AM,Madison,2390,52,0,1591,28
25-003-05083-00-00,1/31/2023 12:00:00 AM,Madison,2390,54,0,1657,31
25-003-05083-00-00,12/31/2022 12:00:00 AM,Madison,2390,58,0,1782,31
25-003-05083-00-00,11/30/2022 12:00:00 AM,Madison,2390,43,0,1659,30
25-003-05083-00-00,10/31/2022 12:00:00 AM,Madison,2390,45,0,1740,31
25-003-05083-00-00,9/30/2022 12:00:00 AM,Madison,2390,42,0,1629,31
25-003-05083-00-00,8/31/2022 12:00:00 AM,Madison,2390,46,0,1747,31
25-003-05083-00-00,7/31/2022 12:00:00 AM,Madison,2390,40,0,1533,31
25-003-05083-00-00,6/30/2022 12:00:00 AM,Madison,2390,44,0,1678,30
25-003-05083-00-00,5/31/2022 12:00:00 AM,Madison,2390,43,0,1455,31
25-003-05083-00-00,4/30/2022 12:00:00 AM,Madison,2390,40,0,1337,30
25-003-05083-00-00,3/31/2022 12:00:00 AM,Madison,2390,49,0,1636,31
25-003-05083-00-00,2/28/2022 12:00:00 AM,Madison,2390,40,0,1351,28
25-003-05083-00-00,1/31/2022 12:00:00 AM,Madison,2390,46,0,1526,31
25-003-05083-00-00,12/31/2021 12:00:00 AM,Madison,2390,50,0,1672,31
25-003-05083-00-00,11/30/2021 12:00:00 AM,Madison,2390,49,0,1628,30
25-003-05083-00-00,10/31/2021 12:00:00 AM,Madison,2390,46,0,1464,31
25-003-05083-00-00,9/30/2021 12:00:00 AM,Madison,2390,47,0,1496,30
