API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-083-22510-00-00,7/31/2025 12:00:00 AM,Bakken,7515,262,677,7,31
25-083-22510-00-00,5/31/2025 12:00:00 AM,Bakken,7515,297,760,12,31
25-083-22510-00-00,4/30/2025 12:00:00 AM,Bakken,7515,333,831,0,30
25-083-22510-00-00,3/31/2025 12:00:00 AM,Bakken,7515,356,887,33,31
25-083-22510-00-00,2/28/2025 12:00:00 AM,Bakken,7515,366,911,30,28
25-083-22510-00-00,1/31/2025 12:00:00 AM,Bakken,7515,432,1089,23,31
25-083-22510-00-00,12/31/2024 12:00:00 AM,Bakken,7515,407,1006,60,31
25-083-22510-00-00,11/30/2024 12:00:00 AM,Bakken,7515,350,833,23,30
25-083-22510-00-00,10/31/2024 12:00:00 AM,Bakken,7515,332,808,32,31
25-083-22510-00-00,9/30/2024 12:00:00 AM,Bakken,7515,297,768,47,30
25-083-22510-00-00,8/31/2024 12:00:00 AM,Bakken,7515,363,935,32,31
25-083-22510-00-00,7/31/2024 12:00:00 AM,Bakken,7515,364,947,28,31
25-083-22510-00-00,6/30/2024 12:00:00 AM,Bakken,7515,375,1020,35,30
25-083-22510-00-00,5/31/2024 12:00:00 AM,Bakken,7515,400,1057,43,31
25-083-22510-00-00,4/30/2024 12:00:00 AM,Bakken,7515,367,951,32,30
25-083-22510-00-00,3/31/2024 12:00:00 AM,Bakken,7515,426,1103,30,31
25-083-22510-00-00,2/29/2024 12:00:00 AM,Bakken,7515,416,1092,0,29
25-083-22510-00-00,1/31/2024 12:00:00 AM,Bakken,7515,476,1172,3,31
25-083-22510-00-00,12/31/2023 12:00:00 AM,Bakken,7515,449,1225,37,31
25-083-22510-00-00,11/30/2023 12:00:00 AM,Bakken,7515,424,1066,72,30
25-083-22510-00-00,10/31/2023 12:00:00 AM,Bakken,7515,463,1187,34,31
25-083-22510-00-00,9/30/2023 12:00:00 AM,Bakken,7515,448,1171,50,30
25-083-22510-00-00,8/31/2023 12:00:00 AM,Bakken,7515,464,1150,38,31
25-083-22510-00-00,7/31/2023 12:00:00 AM,Bakken,7515,394,1170,150,31
25-083-22510-00-00,6/30/2023 12:00:00 AM,Bakken,7515,477,1233,5,30
25-083-22510-00-00,5/31/2023 12:00:00 AM,Bakken,7515,480,1105,30,31
25-083-22510-00-00,4/30/2023 12:00:00 AM,Bakken,7515,512,1099,50,30
25-083-22510-00-00,3/31/2023 12:00:00 AM,Bakken,7515,512,981,48,31
25-083-22510-00-00,2/28/2023 12:00:00 AM,Bakken,7515,471,930,47,28
25-083-22510-00-00,1/31/2023 12:00:00 AM,Bakken,7515,579,1030,65,27
25-083-22510-00-00,12/31/2022 12:00:00 AM,Bakken,7515,377,833,47,21
25-083-22510-00-00,11/30/2022 12:00:00 AM,Bakken,7515,487,1038,32,30
25-083-22510-00-00,10/31/2022 12:00:00 AM,Bakken,7515,541,1160,60,31
25-083-22510-00-00,9/30/2022 12:00:00 AM,Bakken,7515,505,620,122,30
25-083-22510-00-00,8/31/2022 12:00:00 AM,Bakken,7515,138,224,130,19
25-083-22510-00-00,7/31/2022 12:00:00 AM,Bakken,7515,440,915,42,31
25-083-22510-00-00,6/30/2022 12:00:00 AM,Bakken,7515,355,280,38,30
25-083-22510-00-00,5/31/2022 12:00:00 AM,Bakken,7515,439,1149,38,31
25-083-22510-00-00,4/30/2022 12:00:00 AM,Bakken,7515,420,875,23,28
25-083-22510-00-00,3/31/2022 12:00:00 AM,Bakken,7515,443,1036,43,31
25-083-22510-00-00,2/28/2022 12:00:00 AM,Bakken,7515,419,962,45,28
25-083-22510-00-00,1/31/2022 12:00:00 AM,Bakken,7515,498,289,48,31
25-083-22510-00-00,12/31/2021 12:00:00 AM,Bakken,7515,504,289,55,31
25-083-22510-00-00,11/30/2021 12:00:00 AM,Bakken,7515,433,1062,43,30
