API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-091-21592-00-00,12/31/1995 12:00:00 AM,Ratcliffe,3747,0,0,0,0
25-091-21592-00-00,11/30/1995 12:00:00 AM,Ratcliffe,3747,0,0,0,0
25-091-21592-00-00,10/31/1995 12:00:00 AM,Ratcliffe,3747,0,0,0,0
25-091-21592-00-00,9/30/1995 12:00:00 AM,Ratcliffe,3747,0,0,0,0
25-091-21592-00-00,8/31/1995 12:00:00 AM,Ratcliffe,3747,0,0,0,0
25-091-21592-00-00,7/31/1995 12:00:00 AM,Ratcliffe,3747,0,0,0,0
25-091-21592-00-00,6/30/1995 12:00:00 AM,Ratcliffe,3747,0,0,0,0
25-091-21592-00-00,5/31/1995 12:00:00 AM,Ratcliffe,3747,0,0,0,0
25-091-21592-00-00,4/30/1995 12:00:00 AM,Ratcliffe,3747,0,0,0,0
25-091-21592-00-00,3/31/1995 12:00:00 AM,Ratcliffe,3747,0,0,0,0
25-091-21592-00-00,2/28/1995 12:00:00 AM,Ratcliffe,3747,0,0,0,0
25-091-21592-00-00,1/31/1995 12:00:00 AM,Ratcliffe,3747,0,0,0,0
25-091-21592-00-00,12/31/1994 12:00:00 AM,Ratcliffe,3747,0,0,0,0
25-091-21592-00-00,11/30/1994 12:00:00 AM,Ratcliffe,3747,0,0,0,0
25-091-21592-00-00,10/31/1994 12:00:00 AM,Ratcliffe,3747,0,0,0,0
25-091-21592-00-00,9/30/1994 12:00:00 AM,Ratcliffe,3747,0,0,0,0
25-091-21592-00-00,8/31/1994 12:00:00 AM,Ratcliffe,3747,111,168,4077,17
25-091-21592-00-00,7/31/1994 12:00:00 AM,Ratcliffe,3747,238,349,8478,31
25-091-21592-00-00,6/30/1994 12:00:00 AM,Ratcliffe,3747,31,40,950,3
25-091-21592-00-00,5/31/1994 12:00:00 AM,Ratcliffe,3747,2,12,288,0
25-091-21592-00-00,4/30/1994 12:00:00 AM,Ratcliffe,3747,0,0,0,0
25-091-21592-00-00,3/31/1994 12:00:00 AM,Ratcliffe,3747,79,258,6382,26
25-091-21592-00-00,2/28/1994 12:00:00 AM,Ratcliffe,3747,89,194,4758,20
25-091-21592-00-00,1/31/1994 12:00:00 AM,Ratcliffe,3747,153,238,5788,23
25-091-21592-00-00,12/31/1993 12:00:00 AM,Ratcliffe,3747,189,281,6825,29
25-091-21592-00-00,11/30/1993 12:00:00 AM,Ratcliffe,3747,201,265,6432,29
25-091-21592-00-00,10/31/1993 12:00:00 AM,Ratcliffe,3747,191,250,6060,31
25-091-21592-00-00,9/30/1993 12:00:00 AM,Ratcliffe,3747,195,250,6047,30
25-091-21592-00-00,8/31/1993 12:00:00 AM,Ratcliffe,3747,223,274,6619,31
