API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-083-21279-00-00,2/28/1991 12:00:00 AM,Madison,559,0,0,0,0
25-083-21279-00-00,1/31/1991 12:00:00 AM,Madison,559,0,0,0,0
25-083-21279-00-00,12/31/1990 12:00:00 AM,Madison,559,147,51,524,31
25-083-21279-00-00,11/30/1990 12:00:00 AM,Madison,559,153,54,592,30
25-083-21279-00-00,10/31/1990 12:00:00 AM,Madison,559,158,55,602,31
25-083-21279-00-00,9/30/1990 12:00:00 AM,Madison,559,110,39,631,30
25-083-21279-00-00,8/31/1990 12:00:00 AM,Madison,559,204,71,620,31
25-083-21279-00-00,7/31/1990 12:00:00 AM,Madison,559,174,61,668,31
25-083-21279-00-00,6/30/1990 12:00:00 AM,Madison,559,194,68,729,30
25-083-21279-00-00,5/31/1990 12:00:00 AM,Madison,559,66,23,384,21
25-083-21279-00-00,4/30/1990 12:00:00 AM,Madison,559,156,55,578,30
25-083-21279-00-00,3/31/1990 12:00:00 AM,Madison,559,162,57,593,31
25-083-21279-00-00,2/28/1990 12:00:00 AM,Madison,559,150,53,547,28
25-083-21279-00-00,1/31/1990 12:00:00 AM,Madison,559,150,53,647,29
25-083-21279-00-00,12/31/1989 12:00:00 AM,Madison,559,228,80,654,29
25-083-21279-00-00,11/30/1989 12:00:00 AM,Madison,559,147,51,614,28
25-083-21279-00-00,10/31/1989 12:00:00 AM,Madison,559,169,59,626,30
25-083-21279-00-00,9/30/1989 12:00:00 AM,Madison,559,163,57,594,30
25-083-21279-00-00,8/31/1989 12:00:00 AM,Madison,559,173,61,620,31
25-083-21279-00-00,7/31/1989 12:00:00 AM,Madison,559,171,60,630,29
25-083-21279-00-00,6/30/1989 12:00:00 AM,Madison,559,164,57,634,30
25-083-21279-00-00,5/31/1989 12:00:00 AM,Madison,559,168,59,629,28
25-083-21279-00-00,4/30/1989 12:00:00 AM,Madison,559,169,59,618,24
25-083-21279-00-00,3/31/1989 12:00:00 AM,Madison,559,212,74,688,29
25-083-21279-00-00,2/28/1989 12:00:00 AM,Madison,559,187,65,780,18
25-083-21279-00-00,1/31/1989 12:00:00 AM,Madison,559,93,33,635,27
25-083-21279-00-00,12/31/1988 12:00:00 AM,Madison,559,179,63,650,24
25-083-21279-00-00,11/30/1988 12:00:00 AM,Madison,559,201,70,601,28
25-083-21279-00-00,10/31/1988 12:00:00 AM,Madison,559,181,63,673,27
25-083-21279-00-00,9/30/1988 12:00:00 AM,Madison,559,178,62,615,29
25-083-21279-00-00,8/31/1988 12:00:00 AM,Madison,559,195,68,643,31
25-083-21279-00-00,7/31/1988 12:00:00 AM,Madison,559,189,66,639,30
25-083-21279-00-00,6/30/1988 12:00:00 AM,Madison,559,206,72,619,29
25-083-21279-00-00,5/31/1988 12:00:00 AM,Madison,559,183,64,619,29
25-083-21279-00-00,4/30/1988 12:00:00 AM,Madison,559,165,58,635,28
25-083-21279-00-00,3/31/1988 12:00:00 AM,Madison,559,213,75,716,30
25-083-21279-00-00,2/29/1988 12:00:00 AM,Madison,559,255,89,681,26
25-083-21279-00-00,1/31/1988 12:00:00 AM,Madison,559,144,50,792,29
25-083-21279-00-00,12/31/1987 12:00:00 AM,Madison,559,310,109,889,31
25-083-21279-00-00,11/30/1987 12:00:00 AM,Madison,559,118,41,427,15
25-083-21279-00-00,10/31/1987 12:00:00 AM,Madison,559,226,79,752,30
25-083-21279-00-00,9/30/1987 12:00:00 AM,Madison,559,203,71,652,29
25-083-21279-00-00,8/31/1987 12:00:00 AM,Madison,559,228,80,706,31
25-083-21279-00-00,7/31/1987 12:00:00 AM,Madison,559,221,77,687,31
25-083-21279-00-00,6/30/1987 12:00:00 AM,Madison,559,212,74,687,30
25-083-21279-00-00,5/31/1987 12:00:00 AM,Madison,559,245,86,716,31
25-083-21279-00-00,4/30/1987 12:00:00 AM,Madison,559,243,85,702,30
25-083-21279-00-00,3/31/1987 12:00:00 AM,Madison,559,270,95,842,31
25-083-21279-00-00,2/28/1987 12:00:00 AM,Madison,559,281,98,862,27
25-083-21279-00-00,1/31/1987 12:00:00 AM,Madison,559,173,60,300,4
25-083-21279-00-00,12/31/1986 12:00:00 AM,Madison,559,1,0,5,1
25-083-21279-00-00,11/30/1986 12:00:00 AM,Madison,559,126,44,310,11
25-083-21279-00-00,10/31/1986 12:00:00 AM,Madison,559,218,76,636,24
25-083-21279-00-00,9/30/1986 12:00:00 AM,Madison,559,254,89,686,27
25-083-21279-00-00,8/31/1986 12:00:00 AM,Madison,559,240,84,691,25
25-083-21279-00-00,7/31/1986 12:00:00 AM,Madison,559,276,97,718,27
25-083-21279-00-00,6/30/1986 12:00:00 AM,Madison,559,125,44,334,12
25-083-21279-00-00,5/31/1986 12:00:00 AM,Madison,559,236,83,664,27
25-083-21279-00-00,4/30/1986 12:00:00 AM,Madison,559,242,85,659,25
25-083-21279-00-00,3/31/1986 12:00:00 AM,Madison,559,263,92,704,27
25-083-21279-00-00,2/28/1986 12:00:00 AM,Madison,559,244,85,605,25
25-083-21279-00-00,1/31/1986 12:00:00 AM,Madison,559,261,91,718,26
