API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-003-21706-00-00,2/28/2015 12:00:00 AM,Carney,6664,0,0,0,0
25-003-21706-00-00,1/31/2015 12:00:00 AM,Carney,6664,0,0,0,0
25-003-21706-00-00,12/31/2014 12:00:00 AM,Carney,6664,0,0,0,0
25-003-21706-00-00,11/30/2014 12:00:00 AM,Carney,6664,0,0,0,0
25-003-21706-00-00,10/31/2014 12:00:00 AM,Carney,6664,0,0,0,0
25-003-21706-00-00,9/30/2014 12:00:00 AM,Carney,6664,0,0,0,0
25-003-21706-00-00,8/31/2014 12:00:00 AM,Carney,6664,0,0,0,0
25-003-21706-00-00,7/31/2014 12:00:00 AM,Carney,6664,0,0,0,0
25-003-21706-00-00,6/30/2014 12:00:00 AM,Carney,6664,0,0,0,0
25-003-21706-00-00,5/31/2014 12:00:00 AM,Carney,6664,0,0,0,0
25-003-21706-00-00,4/30/2014 12:00:00 AM,Carney,6664,0,0,0,0
25-003-21706-00-00,3/31/2014 12:00:00 AM,Carney,6664,0,0,0,0
25-003-21706-00-00,2/28/2014 12:00:00 AM,Carney,6664,0,0,0,0
25-003-21706-00-00,1/31/2014 12:00:00 AM,Carney,6664,0,0,0,0
25-003-21706-00-00,12/31/2013 12:00:00 AM,Carney,6664,0,0,0,0
25-003-21706-00-00,11/30/2013 12:00:00 AM,Carney,6664,0,0,0,0
25-003-21706-00-00,10/31/2013 12:00:00 AM,Carney,6664,0,0,0,0
25-003-21706-00-00,9/30/2013 12:00:00 AM,Carney,6664,0,0,0,0
25-003-21706-00-00,8/31/2013 12:00:00 AM,Carney,6664,0,0,0,0
25-003-21706-00-00,7/31/2013 12:00:00 AM,Carney,6664,0,0,0,0
25-003-21706-00-00,6/30/2013 12:00:00 AM,Carney,6664,0,0,0,0
25-003-21706-00-00,5/31/2013 12:00:00 AM,Carney,6664,0,0,0,0
25-003-21706-00-00,4/30/2013 12:00:00 AM,Carney,6664,0,0,0,0
25-003-21706-00-00,3/31/2013 12:00:00 AM,Carney,6664,0,0,0,0
25-003-21706-00-00,2/28/2013 12:00:00 AM,Carney,6664,0,0,0,0
25-003-21706-00-00,1/31/2013 12:00:00 AM,Carney,6664,0,0,0,0
25-003-21706-00-00,12/31/2012 12:00:00 AM,Carney,6664,0,0,0,0
25-003-21706-00-00,11/30/2012 12:00:00 AM,Carney,6664,0,0,0,0
25-003-21706-00-00,10/31/2012 12:00:00 AM,Carney,6664,0,0,0,0
25-003-21706-00-00,9/30/2012 12:00:00 AM,Carney,6664,0,0,0,0
25-003-21706-00-00,8/31/2012 12:00:00 AM,Carney,6664,0,0,0,0
25-003-21706-00-00,7/31/2012 12:00:00 AM,Carney,6664,0,0,0,0
25-003-21706-00-00,6/30/2012 12:00:00 AM,Carney,6664,0,3,0,29
25-003-21706-00-00,5/31/2012 12:00:00 AM,Carney,6664,0,10,0,31
25-003-21706-00-00,4/30/2012 12:00:00 AM,Carney,6664,0,11,0,30
25-003-21706-00-00,3/31/2012 12:00:00 AM,Carney,6664,0,15,0,31
25-003-21706-00-00,2/29/2012 12:00:00 AM,Carney,6664,0,18,0,29
25-003-21706-00-00,1/31/2012 12:00:00 AM,Carney,6664,0,20,0,31
25-003-21706-00-00,12/31/2011 12:00:00 AM,Carney,6664,0,17,0,31
25-003-21706-00-00,11/30/2011 12:00:00 AM,Carney,6664,0,25,0,30
25-003-21706-00-00,10/31/2011 12:00:00 AM,Carney,6664,0,16,0,31
25-003-21706-00-00,9/30/2011 12:00:00 AM,Carney,6664,0,8,0,30
25-003-21706-00-00,8/31/2011 12:00:00 AM,Carney,6664,0,10,0,31
25-003-21706-00-00,7/31/2011 12:00:00 AM,Carney,6664,0,20,0,31
25-003-21706-00-00,6/30/2011 12:00:00 AM,Carney,6664,0,23,0,30
25-003-21706-00-00,5/31/2011 12:00:00 AM,Carney,6664,0,35,0,31
25-003-21706-00-00,4/30/2011 12:00:00 AM,Carney,6664,0,40,0,30
25-003-21706-00-00,3/31/2011 12:00:00 AM,Carney,6664,0,41,0,31
25-003-21706-00-00,2/28/2011 12:00:00 AM,Carney,6664,0,44,0,28
25-003-21706-00-00,1/31/2011 12:00:00 AM,Carney,6664,0,49,0,31
25-003-21706-00-00,12/31/2010 12:00:00 AM,Carney,6664,0,56,0,31
25-003-21706-00-00,11/30/2010 12:00:00 AM,Carney,6664,0,61,0,30
25-003-21706-00-00,10/31/2010 12:00:00 AM,Carney,6664,0,68,2,31
25-003-21706-00-00,9/30/2010 12:00:00 AM,Carney,6664,0,65,15,30
25-003-21706-00-00,8/31/2010 12:00:00 AM,Carney,6664,0,72,31,31
25-003-21706-00-00,7/31/2010 12:00:00 AM,Carney,6664,0,76,15,31
25-003-21706-00-00,6/30/2010 12:00:00 AM,Carney,6664,0,74,35,30
25-003-21706-00-00,5/31/2010 12:00:00 AM,Carney,6664,0,79,14,31
