API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-003-21703-00-00,2/28/2015 12:00:00 AM,Monarch,6664,0,0,0,0
25-003-21703-00-00,1/31/2015 12:00:00 AM,Monarch,6664,0,0,0,0
25-003-21703-00-00,12/31/2014 12:00:00 AM,Monarch,6664,0,0,0,0
25-003-21703-00-00,11/30/2014 12:00:00 AM,Monarch,6664,0,0,0,0
25-003-21703-00-00,10/31/2014 12:00:00 AM,Monarch,6664,0,0,0,0
25-003-21703-00-00,9/30/2014 12:00:00 AM,Monarch,6664,0,0,0,0
25-003-21703-00-00,8/31/2014 12:00:00 AM,Monarch,6664,0,0,0,0
25-003-21703-00-00,7/31/2014 12:00:00 AM,Monarch,6664,0,0,0,0
25-003-21703-00-00,6/30/2014 12:00:00 AM,Monarch,6664,0,0,0,0
25-003-21703-00-00,5/31/2014 12:00:00 AM,Monarch,6664,0,0,0,0
25-003-21703-00-00,4/30/2014 12:00:00 AM,Monarch,6664,0,0,0,0
25-003-21703-00-00,3/31/2014 12:00:00 AM,Monarch,6664,0,0,0,0
25-003-21703-00-00,2/28/2014 12:00:00 AM,Monarch,6664,0,0,0,0
25-003-21703-00-00,1/31/2014 12:00:00 AM,Monarch,6664,0,0,0,0
25-003-21703-00-00,12/31/2013 12:00:00 AM,Monarch,6664,0,0,0,0
25-003-21703-00-00,11/30/2013 12:00:00 AM,Monarch,6664,0,0,0,0
25-003-21703-00-00,10/31/2013 12:00:00 AM,Monarch,6664,0,0,0,0
25-003-21703-00-00,9/30/2013 12:00:00 AM,Monarch,6664,0,0,0,0
25-003-21703-00-00,8/31/2013 12:00:00 AM,Monarch,6664,0,0,0,0
25-003-21703-00-00,7/31/2013 12:00:00 AM,Monarch,6664,0,0,0,0
25-003-21703-00-00,6/30/2013 12:00:00 AM,Monarch,6664,0,0,0,0
25-003-21703-00-00,5/31/2013 12:00:00 AM,Monarch,6664,0,0,0,0
25-003-21703-00-00,4/30/2013 12:00:00 AM,Monarch,6664,0,0,0,0
25-003-21703-00-00,3/31/2013 12:00:00 AM,Monarch,6664,0,0,0,0
25-003-21703-00-00,2/28/2013 12:00:00 AM,Monarch,6664,0,0,0,0
25-003-21703-00-00,1/31/2013 12:00:00 AM,Monarch,6664,0,0,0,0
25-003-21703-00-00,12/31/2012 12:00:00 AM,Monarch,6664,0,0,0,0
25-003-21703-00-00,11/30/2012 12:00:00 AM,Monarch,6664,0,0,0,0
25-003-21703-00-00,10/31/2012 12:00:00 AM,Monarch,6664,0,0,0,0
25-003-21703-00-00,9/30/2012 12:00:00 AM,Monarch,6664,0,0,106,5
25-003-21703-00-00,8/31/2012 12:00:00 AM,Monarch,6664,0,7,663,31
25-003-21703-00-00,7/31/2012 12:00:00 AM,Monarch,6664,0,73,9671,31
25-003-21703-00-00,6/30/2012 12:00:00 AM,Monarch,6664,0,53,8991,30
25-003-21703-00-00,5/31/2012 12:00:00 AM,Monarch,6664,0,43,8554,31
25-003-21703-00-00,4/30/2012 12:00:00 AM,Monarch,6664,0,36,7687,30
25-003-21703-00-00,3/31/2012 12:00:00 AM,Monarch,6664,0,51,7782,31
25-003-21703-00-00,2/29/2012 12:00:00 AM,Monarch,6664,0,42,7460,29
25-003-21703-00-00,1/31/2012 12:00:00 AM,Monarch,6664,0,41,7963,31
25-003-21703-00-00,12/31/2011 12:00:00 AM,Monarch,6664,0,39,7900,31
25-003-21703-00-00,11/30/2011 12:00:00 AM,Monarch,6664,0,42,7736,30
25-003-21703-00-00,10/31/2011 12:00:00 AM,Monarch,6664,0,40,7971,31
25-003-21703-00-00,9/30/2011 12:00:00 AM,Monarch,6664,0,33,7648,30
25-003-21703-00-00,8/31/2011 12:00:00 AM,Monarch,6664,0,35,7790,31
25-003-21703-00-00,7/31/2011 12:00:00 AM,Monarch,6664,0,46,7898,31
25-003-21703-00-00,6/30/2011 12:00:00 AM,Monarch,6664,0,66,7240,30
25-003-21703-00-00,5/31/2011 12:00:00 AM,Monarch,6664,0,48,5150,31
25-003-21703-00-00,4/30/2011 12:00:00 AM,Monarch,6664,0,72,6783,30
25-003-21703-00-00,3/31/2011 12:00:00 AM,Monarch,6664,0,84,1049,31
25-003-21703-00-00,2/28/2011 12:00:00 AM,Monarch,6664,0,79,3570,28
25-003-21703-00-00,1/31/2011 12:00:00 AM,Monarch,6664,0,93,3253,31
25-003-21703-00-00,12/31/2010 12:00:00 AM,Monarch,6664,0,77,2946,31
25-003-21703-00-00,11/30/2010 12:00:00 AM,Monarch,6664,0,83,3077,30
25-003-21703-00-00,10/31/2010 12:00:00 AM,Monarch,6664,0,72,3320,31
25-003-21703-00-00,9/30/2010 12:00:00 AM,Monarch,6664,0,73,3171,30
25-003-21703-00-00,8/31/2010 12:00:00 AM,Monarch,6664,0,85,3191,31
25-003-21703-00-00,7/31/2010 12:00:00 AM,Monarch,6664,0,90,3298,31
25-003-21703-00-00,6/30/2010 12:00:00 AM,Monarch,6664,0,87,3770,30
25-003-21703-00-00,5/31/2010 12:00:00 AM,Monarch,6664,0,56,2266,31
25-003-21703-00-00,4/30/2010 12:00:00 AM,Monarch,6664,0,75,2921,30
25-003-21703-00-00,3/31/2010 12:00:00 AM,Monarch,6664,0,81,3056,31
25-003-21703-00-00,2/28/2010 12:00:00 AM,Monarch,6664,0,73,2765,28
25-003-21703-00-00,1/31/2010 12:00:00 AM,Monarch,6664,0,87,3043,31
25-003-21703-00-00,12/31/2009 12:00:00 AM,Monarch,6664,0,92,3052,31
25-003-21703-00-00,11/30/2009 12:00:00 AM,Monarch,6664,0,90,3038,30
25-003-21703-00-00,10/31/2009 12:00:00 AM,Monarch,6664,0,100,3174,31
25-003-21703-00-00,9/30/2009 12:00:00 AM,Monarch,6664,0,103,3100,30
25-003-21703-00-00,8/31/2009 12:00:00 AM,Monarch,6664,0,113,3174,31
25-003-21703-00-00,7/31/2009 12:00:00 AM,Monarch,6664,0,129,3206,31
25-003-21703-00-00,6/30/2009 12:00:00 AM,Monarch,6664,0,147,2975,30
25-003-21703-00-00,5/31/2009 12:00:00 AM,Monarch,6664,0,179,3014,31
25-003-21703-00-00,4/30/2009 12:00:00 AM,Monarch,6664,0,178,3320,30
25-003-21703-00-00,3/31/2009 12:00:00 AM,Monarch,6664,0,176,2502,31
25-003-21703-00-00,2/28/2009 12:00:00 AM,Monarch,6664,0,184,2315,28
25-003-21703-00-00,1/31/2009 12:00:00 AM,Monarch,6664,0,170,2295,31
25-003-21703-00-00,12/31/2008 12:00:00 AM,Monarch,6664,0,200,2081,31
25-003-21703-00-00,11/30/2008 12:00:00 AM,Monarch,6664,0,217,2148,30
25-003-21703-00-00,10/31/2008 12:00:00 AM,Monarch,6664,0,232,2086,31
25-003-21703-00-00,9/30/2008 12:00:00 AM,Monarch,6664,0,258,2090,30
25-003-21703-00-00,8/31/2008 12:00:00 AM,Monarch,6664,0,276,2114,31
25-003-21703-00-00,7/31/2008 12:00:00 AM,Monarch,6664,0,320,2086,31
25-003-21703-00-00,6/30/2008 12:00:00 AM,Monarch,6664,0,323,2083,30
25-003-21703-00-00,5/31/2008 12:00:00 AM,Monarch,6664,0,334,1975,31
25-003-21703-00-00,4/30/2008 12:00:00 AM,Monarch,6664,0,320,1972,30
25-003-21703-00-00,3/31/2008 12:00:00 AM,Monarch,6664,0,366,2092,31
25-003-21703-00-00,2/29/2008 12:00:00 AM,Monarch,6664,0,297,1803,29
25-003-21703-00-00,1/31/2008 12:00:00 AM,Monarch,6664,0,329,2415,31
25-003-21703-00-00,12/31/2007 12:00:00 AM,Monarch,6664,0,314,1870,31
25-003-21703-00-00,11/30/2007 12:00:00 AM,Monarch,6664,0,359,1909,30
25-003-21703-00-00,10/31/2007 12:00:00 AM,Monarch,6664,0,386,2053,31
25-003-21703-00-00,9/30/2007 12:00:00 AM,Monarch,6664,0,424,2082,30
25-003-21703-00-00,8/31/2007 12:00:00 AM,Monarch,6664,0,472,2375,31
25-003-21703-00-00,7/31/2007 12:00:00 AM,Monarch,6664,0,497,2358,31
25-003-21703-00-00,6/30/2007 12:00:00 AM,Monarch,6664,0,499,2212,30
25-003-21703-00-00,5/31/2007 12:00:00 AM,Monarch,6664,0,548,2372,31
25-003-21703-00-00,4/30/2007 12:00:00 AM,Monarch,6664,0,568,2333,30
25-003-21703-00-00,3/31/2007 12:00:00 AM,Monarch,6664,0,562,2376,31
25-003-21703-00-00,2/28/2007 12:00:00 AM,Monarch,6664,0,518,2189,28
25-003-21703-00-00,1/31/2007 12:00:00 AM,Monarch,6664,0,531,2390,31
25-003-21703-00-00,12/31/2006 12:00:00 AM,Monarch,6664,0,567,2604,31
25-003-21703-00-00,11/30/2006 12:00:00 AM,Monarch,6664,0,596,2678,30
25-003-21703-00-00,10/31/2006 12:00:00 AM,Monarch,6664,0,727,2971,31
25-003-21703-00-00,9/30/2006 12:00:00 AM,Monarch,6664,0,750,2802,30
25-003-21703-00-00,8/31/2006 12:00:00 AM,Monarch,6664,0,778,3307,31
25-003-21703-00-00,7/31/2006 12:00:00 AM,Monarch,6664,0,832,3642,31
25-003-21703-00-00,6/30/2006 12:00:00 AM,Monarch,6664,0,843,4082,30
25-003-21703-00-00,5/31/2006 12:00:00 AM,Monarch,6664,0,802,4153,31
25-003-21703-00-00,4/30/2006 12:00:00 AM,Monarch,6664,0,795,3434,30
25-003-21703-00-00,3/31/2006 12:00:00 AM,Monarch,6664,0,728,2980,31
25-003-21703-00-00,2/28/2006 12:00:00 AM,Monarch,6664,0,588,2501,28
25-003-21703-00-00,1/31/2006 12:00:00 AM,Monarch,6664,0,893,2552,31
25-003-21703-00-00,12/31/2005 12:00:00 AM,Monarch,6664,0,970,2422,31
25-003-21703-00-00,11/30/2005 12:00:00 AM,Monarch,6664,0,1050,2311,30
25-003-21703-00-00,10/31/2005 12:00:00 AM,Monarch,6664,0,1255,2515,31
