API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-003-21784-00-00,2/28/2015 12:00:00 AM,Dietz 3 Coal,6752,0,0,0,0
25-003-21784-00-00,1/31/2015 12:00:00 AM,Dietz 3 Coal,6752,0,0,0,0
25-003-21784-00-00,12/31/2014 12:00:00 AM,Dietz 3 Coal,6752,0,0,0,0
25-003-21784-00-00,11/30/2014 12:00:00 AM,Dietz 3 Coal,6752,0,0,0,0
25-003-21784-00-00,10/31/2014 12:00:00 AM,Dietz 3 Coal,6752,0,0,0,0
25-003-21784-00-00,9/30/2014 12:00:00 AM,Dietz 3 Coal,6752,0,0,0,0
25-003-21784-00-00,8/31/2014 12:00:00 AM,Dietz 3 Coal,6752,0,0,0,0
25-003-21784-00-00,7/31/2014 12:00:00 AM,Dietz 3 Coal,6752,0,0,0,0
25-003-21784-00-00,6/30/2014 12:00:00 AM,Dietz 3 Coal,6752,0,0,0,0
25-003-21784-00-00,5/31/2014 12:00:00 AM,Dietz 3 Coal,6752,0,0,0,0
25-003-21784-00-00,4/30/2014 12:00:00 AM,Dietz 3 Coal,6752,0,0,0,0
25-003-21784-00-00,3/31/2014 12:00:00 AM,Dietz 3 Coal,6752,0,0,0,0
25-003-21784-00-00,2/28/2014 12:00:00 AM,Dietz 3 Coal,6752,0,0,0,0
25-003-21784-00-00,1/31/2014 12:00:00 AM,Dietz 3 Coal,6752,0,0,0,0
25-003-21784-00-00,12/31/2013 12:00:00 AM,Dietz 3 Coal,6752,0,0,0,0
25-003-21784-00-00,11/30/2013 12:00:00 AM,Dietz 3 Coal,6752,0,0,0,0
25-003-21784-00-00,10/31/2013 12:00:00 AM,Dietz 3 Coal,6752,0,0,0,0
25-003-21784-00-00,9/30/2013 12:00:00 AM,Dietz 3 Coal,6752,0,0,0,0
25-003-21784-00-00,8/31/2013 12:00:00 AM,Dietz 3 Coal,6752,0,0,0,0
25-003-21784-00-00,7/31/2013 12:00:00 AM,Dietz 3 Coal,6752,0,0,0,0
25-003-21784-00-00,6/30/2013 12:00:00 AM,Dietz 3 Coal,6752,0,2,5691,30
25-003-21784-00-00,5/31/2013 12:00:00 AM,Dietz 3 Coal,6752,0,2,7162,31
25-003-21784-00-00,4/30/2013 12:00:00 AM,Dietz 3 Coal,6752,0,2,3486,30
25-003-21784-00-00,3/31/2013 12:00:00 AM,Dietz 3 Coal,6752,0,2,5600,31
25-003-21784-00-00,2/28/2013 12:00:00 AM,Dietz 3 Coal,6752,0,1,5088,28
25-003-21784-00-00,1/31/2013 12:00:00 AM,Dietz 3 Coal,6752,0,2,5502,31
25-003-21784-00-00,12/31/2012 12:00:00 AM,Dietz 3 Coal,6752,0,0,5374,31
25-003-21784-00-00,11/30/2012 12:00:00 AM,Dietz 3 Coal,6752,0,0,5400,30
25-003-21784-00-00,10/31/2012 12:00:00 AM,Dietz 3 Coal,6752,0,0,4369,31
25-003-21784-00-00,9/30/2012 12:00:00 AM,Dietz 3 Coal,6752,0,0,3205,30
25-003-21784-00-00,8/31/2012 12:00:00 AM,Dietz 3 Coal,6752,0,0,2267,31
25-003-21784-00-00,7/31/2012 12:00:00 AM,Dietz 3 Coal,6752,0,0,1954,31
25-003-21784-00-00,6/30/2012 12:00:00 AM,Dietz 3 Coal,6752,0,0,1265,30
25-003-21784-00-00,5/31/2012 12:00:00 AM,Dietz 3 Coal,6752,0,7,1587,31
25-003-21784-00-00,4/30/2012 12:00:00 AM,Dietz 3 Coal,6752,0,23,2829,30
25-003-21784-00-00,3/31/2012 12:00:00 AM,Dietz 3 Coal,6752,0,33,4763,31
25-003-21784-00-00,2/29/2012 12:00:00 AM,Dietz 3 Coal,6752,0,11,4269,29
25-003-21784-00-00,1/31/2012 12:00:00 AM,Dietz 3 Coal,6752,0,1,4090,31
25-003-21784-00-00,12/31/2011 12:00:00 AM,Dietz 3 Coal,6752,0,8,3750,31
25-003-21784-00-00,11/30/2011 12:00:00 AM,Dietz 3 Coal,6752,0,37,3530,30
25-003-21784-00-00,10/31/2011 12:00:00 AM,Dietz 3 Coal,6752,0,65,3385,31
25-003-21784-00-00,9/30/2011 12:00:00 AM,Dietz 3 Coal,6752,0,59,3033,30
25-003-21784-00-00,8/31/2011 12:00:00 AM,Dietz 3 Coal,6752,0,67,2726,31
25-003-21784-00-00,7/31/2011 12:00:00 AM,Dietz 3 Coal,6752,0,92,2690,31
25-003-21784-00-00,6/30/2011 12:00:00 AM,Dietz 3 Coal,6752,0,70,2314,30
25-003-21784-00-00,5/31/2011 12:00:00 AM,Dietz 3 Coal,6752,0,16,2073,31
25-003-21784-00-00,4/30/2011 12:00:00 AM,Dietz 3 Coal,6752,0,4,1838,30
25-003-21784-00-00,3/31/2011 12:00:00 AM,Dietz 3 Coal,6752,0,24,1349,31
25-003-21784-00-00,2/28/2011 12:00:00 AM,Dietz 3 Coal,6752,0,37,1249,28
25-003-21784-00-00,1/31/2011 12:00:00 AM,Dietz 3 Coal,6752,0,28,987,29
25-003-21784-00-00,12/31/2010 12:00:00 AM,Dietz 3 Coal,6752,0,44,1149,31
25-003-21784-00-00,11/30/2010 12:00:00 AM,Dietz 3 Coal,6752,0,111,1228,30
25-003-21784-00-00,10/31/2010 12:00:00 AM,Dietz 3 Coal,6752,0,101,1185,31
25-003-21784-00-00,9/30/2010 12:00:00 AM,Dietz 3 Coal,6752,0,172,1215,30
25-003-21784-00-00,8/31/2010 12:00:00 AM,Dietz 3 Coal,6752,0,210,1259,31
25-003-21784-00-00,7/31/2010 12:00:00 AM,Dietz 3 Coal,6752,0,223,1232,31
25-003-21784-00-00,6/30/2010 12:00:00 AM,Dietz 3 Coal,6752,0,29,1168,30
25-003-21784-00-00,5/31/2010 12:00:00 AM,Dietz 3 Coal,6752,0,14,753,29
25-003-21784-00-00,4/30/2010 12:00:00 AM,Dietz 3 Coal,6752,0,11,1018,30
25-003-21784-00-00,3/31/2010 12:00:00 AM,Dietz 3 Coal,6752,0,46,1189,31
25-003-21784-00-00,2/28/2010 12:00:00 AM,Dietz 3 Coal,6752,0,81,1096,28
25-003-21784-00-00,1/31/2010 12:00:00 AM,Dietz 3 Coal,6752,0,7,581,28
25-003-21784-00-00,12/31/2009 12:00:00 AM,Dietz 3 Coal,6752,0,11,1068,31
25-003-21784-00-00,11/30/2009 12:00:00 AM,Dietz 3 Coal,6752,0,198,1381,30
25-003-21784-00-00,10/31/2009 12:00:00 AM,Dietz 3 Coal,6752,0,281,1620,31
25-003-21784-00-00,9/30/2009 12:00:00 AM,Dietz 3 Coal,6752,0,282,1460,30
25-003-21784-00-00,8/31/2009 12:00:00 AM,Dietz 3 Coal,6752,0,268,1603,31
25-003-21784-00-00,7/31/2009 12:00:00 AM,Dietz 3 Coal,6752,0,299,1872,31
25-003-21784-00-00,6/30/2009 12:00:00 AM,Dietz 3 Coal,6752,0,262,2269,30
25-003-21784-00-00,5/31/2009 12:00:00 AM,Dietz 3 Coal,6752,0,165,1499,30
25-003-21784-00-00,4/30/2009 12:00:00 AM,Dietz 3 Coal,6752,0,101,1334,30
25-003-21784-00-00,3/31/2009 12:00:00 AM,Dietz 3 Coal,6752,0,117,204,31
25-003-21784-00-00,2/28/2009 12:00:00 AM,Dietz 3 Coal,6752,0,85,884,28
25-003-21784-00-00,1/31/2009 12:00:00 AM,Dietz 3 Coal,6752,0,117,1349,31
25-003-21784-00-00,12/31/2008 12:00:00 AM,Dietz 3 Coal,6752,0,143,1339,31
25-003-21784-00-00,11/30/2008 12:00:00 AM,Dietz 3 Coal,6752,0,229,884,30
25-003-21784-00-00,10/31/2008 12:00:00 AM,Dietz 3 Coal,6752,0,232,881,31
25-003-21784-00-00,9/30/2008 12:00:00 AM,Dietz 3 Coal,6752,0,222,780,30
25-003-21784-00-00,8/31/2008 12:00:00 AM,Dietz 3 Coal,6752,0,235,570,31
25-003-21784-00-00,7/31/2008 12:00:00 AM,Dietz 3 Coal,6752,0,238,676,31
25-003-21784-00-00,6/30/2008 12:00:00 AM,Dietz 3 Coal,6752,0,226,724,30
25-003-21784-00-00,5/31/2008 12:00:00 AM,Dietz 3 Coal,6752,0,191,854,31
25-003-21784-00-00,4/30/2008 12:00:00 AM,Dietz 3 Coal,6752,0,151,878,30
25-003-21784-00-00,3/31/2008 12:00:00 AM,Dietz 3 Coal,6752,0,286,1322,31
25-003-21784-00-00,2/29/2008 12:00:00 AM,Dietz 3 Coal,6752,0,123,1051,29
25-003-21784-00-00,1/31/2008 12:00:00 AM,Dietz 3 Coal,6752,0,246,1248,31
25-003-21784-00-00,12/31/2007 12:00:00 AM,Dietz 3 Coal,6752,0,328,1411,31
25-003-21784-00-00,11/30/2007 12:00:00 AM,Dietz 3 Coal,6752,0,294,1297,30
25-003-21784-00-00,10/31/2007 12:00:00 AM,Dietz 3 Coal,6752,0,311,1214,31
25-003-21784-00-00,9/30/2007 12:00:00 AM,Dietz 3 Coal,6752,0,289,1146,30
25-003-21784-00-00,8/31/2007 12:00:00 AM,Dietz 3 Coal,6752,0,332,1138,31
25-003-21784-00-00,7/31/2007 12:00:00 AM,Dietz 3 Coal,6752,0,333,1100,31
25-003-21784-00-00,6/30/2007 12:00:00 AM,Dietz 3 Coal,6752,0,346,1315,30
25-003-21784-00-00,5/31/2007 12:00:00 AM,Dietz 3 Coal,6752,0,412,1444,31
25-003-21784-00-00,4/30/2007 12:00:00 AM,Dietz 3 Coal,6752,0,329,1557,30
25-003-21784-00-00,3/31/2007 12:00:00 AM,Dietz 3 Coal,6752,0,441,1970,31
25-003-21784-00-00,2/28/2007 12:00:00 AM,Dietz 3 Coal,6752,0,413,1801,28
25-003-21784-00-00,1/31/2007 12:00:00 AM,Dietz 3 Coal,6752,0,423,2149,31
25-003-21784-00-00,12/31/2006 12:00:00 AM,Dietz 3 Coal,6752,0,476,2112,31
25-003-21784-00-00,11/30/2006 12:00:00 AM,Dietz 3 Coal,6752,0,520,2237,30
25-003-21784-00-00,10/31/2006 12:00:00 AM,Dietz 3 Coal,6752,0,495,2410,31
25-003-21784-00-00,9/30/2006 12:00:00 AM,Dietz 3 Coal,6752,0,387,1936,29
25-003-21784-00-00,8/31/2006 12:00:00 AM,Dietz 3 Coal,6752,0,388,1324,31
25-003-21784-00-00,7/31/2006 12:00:00 AM,Dietz 3 Coal,6752,0,414,1321,31
25-003-21784-00-00,6/30/2006 12:00:00 AM,Dietz 3 Coal,6752,0,484,1772,30
25-003-21784-00-00,5/31/2006 12:00:00 AM,Dietz 3 Coal,6752,0,496,2039,31
25-003-21784-00-00,4/30/2006 12:00:00 AM,Dietz 3 Coal,6752,0,476,2146,30
25-003-21784-00-00,3/31/2006 12:00:00 AM,Dietz 3 Coal,6752,0,491,2442,31
25-003-21784-00-00,2/28/2006 12:00:00 AM,Dietz 3 Coal,6752,0,442,2366,28
25-003-21784-00-00,1/31/2006 12:00:00 AM,Dietz 3 Coal,6752,0,521,2602,31
25-003-21784-00-00,12/31/2005 12:00:00 AM,Dietz 3 Coal,6752,0,518,2884,31
25-003-21784-00-00,11/30/2005 12:00:00 AM,Dietz 3 Coal,6752,0,556,2843,30
25-003-21784-00-00,10/31/2005 12:00:00 AM,Dietz 3 Coal,6752,0,646,2927,31
25-003-21784-00-00,9/30/2005 12:00:00 AM,Dietz 3 Coal,6752,0,680,2548,30
25-003-21784-00-00,8/31/2005 12:00:00 AM,Dietz 3 Coal,6752,0,799,2633,31
25-003-21784-00-00,7/31/2005 12:00:00 AM,Dietz 3 Coal,6752,0,932,2184,31
25-003-21784-00-00,6/30/2005 12:00:00 AM,Dietz 3 Coal,6752,0,905,2776,30
25-003-21784-00-00,5/31/2005 12:00:00 AM,Dietz 3 Coal,6752,0,1154,3440,31
25-003-21784-00-00,4/30/2005 12:00:00 AM,Dietz 3 Coal,6752,0,1171,3316,30
25-003-21784-00-00,3/31/2005 12:00:00 AM,Dietz 3 Coal,6752,0,1392,3996,31
25-003-21784-00-00,2/28/2005 12:00:00 AM,Dietz 3 Coal,6752,0,1242,3296,28
25-003-21784-00-00,1/31/2005 12:00:00 AM,Dietz 3 Coal,6752,0,1585,4330,31
25-003-21784-00-00,12/31/2004 12:00:00 AM,Dietz 3 Coal,6752,0,1414,4285,31
