API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-041-22692-00-00,7/31/2025 12:00:00 AM,Eagle,5808,0,261,0,31
25-041-22692-00-00,6/30/2025 12:00:00 AM,Eagle,5808,0,239,0,30
25-041-22692-00-00,5/31/2025 12:00:00 AM,Eagle,5808,0,251,0,31
25-041-22692-00-00,4/30/2025 12:00:00 AM,Eagle,5808,0,266,0,30
25-041-22692-00-00,3/31/2025 12:00:00 AM,Eagle,5808,0,194,0,31
25-041-22692-00-00,2/28/2025 12:00:00 AM,Eagle,5808,0,69,0,11
25-041-22692-00-00,1/31/2025 12:00:00 AM,Eagle,5808,0,184,0,30
25-041-22692-00-00,12/31/2024 12:00:00 AM,Eagle,5808,0,271,0,30
25-041-22692-00-00,11/30/2024 12:00:00 AM,Eagle,5808,0,226,0,30
25-041-22692-00-00,10/31/2024 12:00:00 AM,Eagle,5808,0,268,0,31
25-041-22692-00-00,9/30/2024 12:00:00 AM,Eagle,5808,0,240,0,30
25-041-22692-00-00,8/31/2024 12:00:00 AM,Eagle,5808,0,261,0,31
25-041-22692-00-00,7/31/2024 12:00:00 AM,Eagle,5808,0,242,0,31
25-041-22692-00-00,6/30/2024 12:00:00 AM,Eagle,5808,0,254,0,30
25-041-22692-00-00,5/31/2024 12:00:00 AM,Eagle,5808,0,254,0,31
25-041-22692-00-00,4/30/2024 12:00:00 AM,Eagle,5808,0,244,0,30
25-041-22692-00-00,3/31/2024 12:00:00 AM,Eagle,5808,0,240,0,30
25-041-22692-00-00,2/29/2024 12:00:00 AM,Eagle,5808,0,242,0,29
25-041-22692-00-00,1/31/2024 12:00:00 AM,Eagle,5808,0,170,0,22
25-041-22692-00-00,12/31/2023 12:00:00 AM,Eagle,5808,0,200,0,31
25-041-22692-00-00,11/30/2023 12:00:00 AM,Eagle,5808,0,195,0,30
25-041-22692-00-00,10/31/2023 12:00:00 AM,Eagle,5808,0,206,0,31
25-041-22692-00-00,9/30/2023 12:00:00 AM,Eagle,5808,0,201,0,30
25-041-22692-00-00,8/31/2023 12:00:00 AM,Eagle,5808,0,203,0,30
25-041-22692-00-00,7/31/2023 12:00:00 AM,Eagle,5808,0,201,0,31
25-041-22692-00-00,6/30/2023 12:00:00 AM,Eagle,5808,0,197,0,30
25-041-22692-00-00,5/31/2023 12:00:00 AM,Eagle,5808,0,217,0,31
25-041-22692-00-00,4/30/2023 12:00:00 AM,Eagle,5808,0,201,0,30
25-041-22692-00-00,3/31/2023 12:00:00 AM,Eagle,5808,0,196,0,29
25-041-22692-00-00,2/28/2023 12:00:00 AM,Eagle,5808,0,219,0,26
25-041-22692-00-00,1/31/2023 12:00:00 AM,Eagle,5808,0,234,0,31
25-041-22692-00-00,12/31/2022 12:00:00 AM,Eagle,5808,0,115,0,14
25-041-22692-00-00,11/30/2022 12:00:00 AM,Eagle,5808,0,170,0,23
25-041-22692-00-00,10/31/2022 12:00:00 AM,Eagle,5808,0,201,0,31
25-041-22692-00-00,9/30/2022 12:00:00 AM,Eagle,5808,0,195,0,30
25-041-22692-00-00,8/31/2022 12:00:00 AM,Eagle,5808,0,208,0,31
25-041-22692-00-00,7/31/2022 12:00:00 AM,Eagle,5808,0,213,0,31
25-041-22692-00-00,6/30/2022 12:00:00 AM,Eagle,5808,0,193,0,30
25-041-22692-00-00,5/31/2022 12:00:00 AM,Eagle,5808,0,196,0,31
25-041-22692-00-00,4/30/2022 12:00:00 AM,Eagle,5808,0,185,0,30
25-041-22692-00-00,3/31/2022 12:00:00 AM,Eagle,5808,0,186,0,31
25-041-22692-00-00,2/28/2022 12:00:00 AM,Eagle,5808,0,168,0,27
25-041-22692-00-00,1/31/2022 12:00:00 AM,Eagle,5808,0,176,0,27
25-041-22692-00-00,12/31/2021 12:00:00 AM,Eagle,5808,0,139,0,24
25-041-22692-00-00,11/30/2021 12:00:00 AM,Eagle,5808,0,189,0,30
25-041-22692-00-00,10/31/2021 12:00:00 AM,Eagle,5808,0,187,0,31
25-041-22692-00-00,9/30/2021 12:00:00 AM,Eagle,5808,0,181,0,30
25-041-22692-00-00,8/31/2021 12:00:00 AM,Eagle,5808,0,188,0,31
25-041-22692-00-00,7/31/2021 12:00:00 AM,Eagle,5808,0,189,0,31
25-041-22692-00-00,6/30/2021 12:00:00 AM,Eagle,5808,0,183,0,30
25-041-22692-00-00,5/31/2021 12:00:00 AM,Eagle,5808,0,188,0,31
25-041-22692-00-00,4/30/2021 12:00:00 AM,Eagle,5808,0,179,0,30
25-041-22692-00-00,3/31/2021 12:00:00 AM,Eagle,5808,0,190,0,31
25-041-22692-00-00,2/28/2021 12:00:00 AM,Eagle,5808,0,103,0,17
25-041-22692-00-00,1/31/2021 12:00:00 AM,Eagle,5808,0,188,0,30
25-041-22692-00-00,12/31/2020 12:00:00 AM,Eagle,5808,0,187,0,31
25-041-22692-00-00,11/30/2020 12:00:00 AM,Eagle,5808,0,197,0,29
25-041-22692-00-00,10/31/2020 12:00:00 AM,Eagle,5808,0,179,0,28
25-041-22692-00-00,9/30/2020 12:00:00 AM,Eagle,5808,0,185,0,30
25-041-22692-00-00,8/31/2020 12:00:00 AM,Eagle,5808,0,188,0,31
25-041-22692-00-00,7/31/2020 12:00:00 AM,Eagle,5808,0,194,0,31
25-041-22692-00-00,6/30/2020 12:00:00 AM,Eagle,5808,0,189,0,30
25-041-22692-00-00,5/31/2020 12:00:00 AM,Eagle,5808,0,187,0,31
25-041-22692-00-00,4/30/2020 12:00:00 AM,Eagle,5808,0,184,0,29
25-041-22692-00-00,3/31/2020 12:00:00 AM,Eagle,5808,0,176,0,30
25-041-22692-00-00,2/29/2020 12:00:00 AM,Eagle,5808,0,183,0,29
25-041-22692-00-00,1/31/2020 12:00:00 AM,Eagle,5808,0,159,0,26
25-041-22692-00-00,12/31/2019 12:00:00 AM,Eagle,5808,0,155,0,24
25-041-22692-00-00,11/30/2019 12:00:00 AM,Eagle,5808,0,171,0,28
25-041-22692-00-00,10/31/2019 12:00:00 AM,Eagle,5808,0,181,0,31
25-041-22692-00-00,9/30/2019 12:00:00 AM,Eagle,5808,0,175,0,30
25-041-22692-00-00,8/31/2019 12:00:00 AM,Eagle,5808,0,185,0,31
25-041-22692-00-00,7/31/2019 12:00:00 AM,Eagle,5808,0,185,0,31
25-041-22692-00-00,6/30/2019 12:00:00 AM,Eagle,5808,0,175,0,30
25-041-22692-00-00,5/31/2019 12:00:00 AM,Eagle,5808,0,175,0,31
25-041-22692-00-00,4/30/2019 12:00:00 AM,Eagle,5808,0,167,0,30
25-041-22692-00-00,3/31/2019 12:00:00 AM,Eagle,5808,0,130,0,24
25-041-22692-00-00,2/28/2019 12:00:00 AM,Eagle,5808,0,24,0,6
25-041-22692-00-00,1/31/2019 12:00:00 AM,Eagle,5808,0,168,0,30
25-041-22692-00-00,12/31/2018 12:00:00 AM,Eagle,5808,0,148,0,29
25-041-22692-00-00,11/30/2018 12:00:00 AM,Eagle,5808,0,161,0,30
25-041-22692-00-00,10/31/2018 12:00:00 AM,Eagle,5808,0,165,0,31
25-041-22692-00-00,9/30/2018 12:00:00 AM,Eagle,5808,0,160,0,30
25-041-22692-00-00,8/31/2018 12:00:00 AM,Eagle,5808,0,113,0,29
25-041-22692-00-00,7/31/2018 12:00:00 AM,Eagle,5808,0,137,0,31
25-041-22692-00-00,6/30/2018 12:00:00 AM,Eagle,5808,0,123,0,28
25-041-22692-00-00,5/31/2018 12:00:00 AM,Eagle,5808,0,376,0,31
25-041-22692-00-00,4/30/2018 12:00:00 AM,Eagle,5808,0,357,0,30
25-041-22692-00-00,3/31/2018 12:00:00 AM,Eagle,5808,0,360,0,31
25-041-22692-00-00,2/28/2018 12:00:00 AM,Eagle,5808,0,202,0,23
25-041-22692-00-00,1/31/2018 12:00:00 AM,Eagle,5808,0,322,0,27
25-041-22692-00-00,12/31/2017 12:00:00 AM,Eagle,5808,0,384,0,31
25-041-22692-00-00,11/30/2017 12:00:00 AM,Eagle,5808,0,295,0,24
25-041-22692-00-00,10/31/2017 12:00:00 AM,Eagle,5808,0,386,0,31
25-041-22692-00-00,9/30/2017 12:00:00 AM,Eagle,5808,0,375,0,30
25-041-22692-00-00,8/31/2017 12:00:00 AM,Eagle,5808,0,390,0,31
25-041-22692-00-00,7/31/2017 12:00:00 AM,Eagle,5808,0,377,0,29
25-041-22692-00-00,6/30/2017 12:00:00 AM,Eagle,5808,0,262,0,21
25-041-22692-00-00,5/31/2017 12:00:00 AM,Eagle,5808,0,344,0,26
25-041-22692-00-00,4/30/2017 12:00:00 AM,Eagle,5808,0,391,0,30
25-041-22692-00-00,3/31/2017 12:00:00 AM,Eagle,5808,0,414,0,31
25-041-22692-00-00,2/28/2017 12:00:00 AM,Eagle,5808,0,379,0,28
25-041-22692-00-00,1/31/2017 12:00:00 AM,Eagle,5808,0,393,0,31
25-041-22692-00-00,12/31/2016 12:00:00 AM,Eagle,5808,0,402,0,30
25-041-22692-00-00,11/30/2016 12:00:00 AM,Eagle,5808,0,422,0,30
25-041-22692-00-00,10/31/2016 12:00:00 AM,Eagle,5808,0,426,0,31
25-041-22692-00-00,9/30/2016 12:00:00 AM,Eagle,5808,0,417,0,30
25-041-22692-00-00,8/31/2016 12:00:00 AM,Eagle,5808,0,431,0,31
25-041-22692-00-00,7/31/2016 12:00:00 AM,Eagle,5808,0,441,0,31
