API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-035-06388-00-00,7/31/2025 12:00:00 AM,Cut Bank,526,0,31,0,31
25-035-06388-00-00,6/30/2025 12:00:00 AM,Cut Bank,526,0,34,0,30
25-035-06388-00-00,5/31/2025 12:00:00 AM,Cut Bank,526,0,39,0,31
25-035-06388-00-00,4/30/2025 12:00:00 AM,Cut Bank,526,0,34,0,30
25-035-06388-00-00,3/31/2025 12:00:00 AM,Cut Bank,526,0,39,0,31
25-035-06388-00-00,2/28/2025 12:00:00 AM,Cut Bank,526,0,91,0,28
25-035-06388-00-00,1/31/2025 12:00:00 AM,Cut Bank,526,0,40,0,31
25-035-06388-00-00,12/31/2024 12:00:00 AM,Cut Bank,526,0,46,0,31
25-035-06388-00-00,11/30/2024 12:00:00 AM,Cut Bank,526,0,50,0,30
25-035-06388-00-00,10/31/2024 12:00:00 AM,Cut Bank,526,0,46,0,31
25-035-06388-00-00,9/30/2024 12:00:00 AM,Cut Bank,526,0,51,0,30
25-035-06388-00-00,8/31/2024 12:00:00 AM,Cut Bank,526,0,58,0,31
25-035-06388-00-00,7/31/2024 12:00:00 AM,Cut Bank,526,0,49,0,31
25-035-06388-00-00,6/30/2024 12:00:00 AM,Cut Bank,526,0,36,0,30
25-035-06388-00-00,5/31/2024 12:00:00 AM,Cut Bank,526,0,45,0,31
25-035-06388-00-00,4/30/2024 12:00:00 AM,Cut Bank,526,0,41,0,30
25-035-06388-00-00,3/31/2024 12:00:00 AM,Cut Bank,526,0,37,0,31
25-035-06388-00-00,2/29/2024 12:00:00 AM,Cut Bank,526,0,37,0,29
25-035-06388-00-00,1/31/2024 12:00:00 AM,Cut Bank,526,0,40,0,31
25-035-06388-00-00,12/31/2023 12:00:00 AM,Cut Bank,526,0,46,0,31
25-035-06388-00-00,11/30/2023 12:00:00 AM,Cut Bank,526,0,43,0,30
25-035-06388-00-00,10/31/2023 12:00:00 AM,Cut Bank,526,0,26,0,31
25-035-06388-00-00,9/30/2023 12:00:00 AM,Cut Bank,526,0,36,0,30
25-035-06388-00-00,8/31/2023 12:00:00 AM,Cut Bank,526,0,56,0,31
25-035-06388-00-00,7/31/2023 12:00:00 AM,Cut Bank,526,0,55,0,31
25-035-06388-00-00,6/30/2023 12:00:00 AM,Cut Bank,526,0,33,0,30
25-035-06388-00-00,5/31/2023 12:00:00 AM,Cut Bank,526,0,55,0,31
25-035-06388-00-00,4/30/2023 12:00:00 AM,Cut Bank,526,0,60,0,30
25-035-06388-00-00,3/31/2023 12:00:00 AM,Cut Bank,526,0,83,0,31
25-035-06388-00-00,2/28/2023 12:00:00 AM,Cut Bank,526,0,57,0,28
25-035-06388-00-00,1/31/2023 12:00:00 AM,Cut Bank,526,0,56,0,31
25-035-06388-00-00,12/31/2022 12:00:00 AM,Cut Bank,526,0,56,0,31
25-035-06388-00-00,11/30/2022 12:00:00 AM,Cut Bank,526,0,58,0,30
25-035-06388-00-00,10/31/2022 12:00:00 AM,Cut Bank,526,0,175,0,31
25-035-06388-00-00,9/30/2022 12:00:00 AM,Cut Bank,526,0,68,0,30
25-035-06388-00-00,8/31/2022 12:00:00 AM,Cut Bank,526,0,65,0,28
25-035-06388-00-00,7/31/2022 12:00:00 AM,Cut Bank,526,0,82,0,31
25-035-06388-00-00,6/30/2022 12:00:00 AM,Cut Bank,526,0,62,0,23
25-035-06388-00-00,5/31/2022 12:00:00 AM,Cut Bank,526,0,99,0,31
25-035-06388-00-00,4/30/2022 12:00:00 AM,Cut Bank,526,0,101,0,31
25-035-06388-00-00,3/31/2022 12:00:00 AM,Cut Bank,526,0,111,0,31
25-035-06388-00-00,2/28/2022 12:00:00 AM,Cut Bank,526,0,105,0,28
25-035-06388-00-00,1/31/2022 12:00:00 AM,Cut Bank,526,0,117,0,31
25-035-06388-00-00,12/31/2021 12:00:00 AM,Cut Bank,526,0,128,0,31
25-035-06388-00-00,11/30/2021 12:00:00 AM,Cut Bank,526,0,71,0,18
25-035-06388-00-00,10/31/2021 12:00:00 AM,Cut Bank,526,0,129,0,31
25-035-06388-00-00,9/30/2021 12:00:00 AM,Cut Bank,526,0,139,0,30
25-035-06388-00-00,8/31/2021 12:00:00 AM,Cut Bank,526,0,144,0,31
25-035-06388-00-00,7/31/2021 12:00:00 AM,Cut Bank,526,0,156,0,30
25-035-06388-00-00,6/30/2021 12:00:00 AM,Cut Bank,526,0,158,0,30
25-035-06388-00-00,5/31/2021 12:00:00 AM,Cut Bank,526,0,158,0,29
25-035-06388-00-00,4/30/2021 12:00:00 AM,Cut Bank,526,0,38,0,10
25-035-06388-00-00,3/31/2021 12:00:00 AM,Cut Bank,526,0,0,0,0
25-035-06388-00-00,2/28/2021 12:00:00 AM,Cut Bank,526,0,0,0,0
25-035-06388-00-00,1/31/2021 12:00:00 AM,Cut Bank,526,0,0,0,0
25-035-06388-00-00,12/31/2020 12:00:00 AM,Cut Bank,526,0,0,0,0
25-035-06388-00-00,11/30/2020 12:00:00 AM,Cut Bank,526,0,0,0,0
25-035-06388-00-00,10/31/2020 12:00:00 AM,Cut Bank,526,0,0,0,0
25-035-06388-00-00,9/30/2020 12:00:00 AM,Cut Bank,526,0,0,0,0
25-035-06388-00-00,8/31/2020 12:00:00 AM,Cut Bank,526,0,0,0,0
25-035-06388-00-00,7/31/2020 12:00:00 AM,Cut Bank,526,0,0,0,0
25-035-06388-00-00,6/30/2020 12:00:00 AM,Cut Bank,526,0,0,0,0
25-035-06388-00-00,5/31/2020 12:00:00 AM,Cut Bank,526,0,0,0,0
