API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-051-21334-00-00,5/31/2025 12:00:00 AM,Swift,532,0,0,0,0
25-051-21334-00-00,4/30/2025 12:00:00 AM,Swift,532,0,0,0,0
25-051-21334-00-00,3/31/2025 12:00:00 AM,Swift,532,0,0,0,0
25-051-21334-00-00,2/28/2025 12:00:00 AM,Swift,532,0,0,0,0
25-051-21334-00-00,1/31/2025 12:00:00 AM,Swift,532,0,0,0,0
25-051-21334-00-00,12/31/2024 12:00:00 AM,Swift,532,0,0,0,0
25-051-21334-00-00,11/30/2024 12:00:00 AM,Swift,532,0,46,0,30
25-051-21334-00-00,10/31/2024 12:00:00 AM,Swift,532,0,13,0,31
25-051-21334-00-00,9/30/2024 12:00:00 AM,Swift,532,13,0,0,30
25-051-21334-00-00,8/31/2024 12:00:00 AM,Swift,532,0,0,0,0
25-051-21334-00-00,7/31/2024 12:00:00 AM,Swift,532,0,0,0,0
25-051-21334-00-00,6/30/2024 12:00:00 AM,Swift,532,0,0,0,0
25-051-21334-00-00,5/31/2024 12:00:00 AM,Swift,532,0,123,0,31
25-051-21334-00-00,4/30/2024 12:00:00 AM,Swift,532,0,112,0,28
25-051-21334-00-00,3/31/2024 12:00:00 AM,Swift,532,0,128,0,31
25-051-21334-00-00,2/29/2024 12:00:00 AM,Swift,532,0,112,0,27
25-051-21334-00-00,1/31/2024 12:00:00 AM,Swift,532,0,120,0,29
25-051-21334-00-00,12/31/2023 12:00:00 AM,Swift,532,0,109,0,29
25-051-21334-00-00,11/30/2023 12:00:00 AM,Swift,532,0,118,0,29
25-051-21334-00-00,10/31/2023 12:00:00 AM,Swift,532,0,135,0,31
25-051-21334-00-00,9/30/2023 12:00:00 AM,Swift,532,0,110,0,28
25-051-21334-00-00,8/31/2023 12:00:00 AM,Swift,532,0,149,0,31
25-051-21334-00-00,7/31/2023 12:00:00 AM,Swift,532,0,166,0,31
25-051-21334-00-00,6/30/2023 12:00:00 AM,Swift,532,0,28,0,6
25-051-21334-00-00,5/31/2023 12:00:00 AM,Swift,532,0,101,0,24
25-051-21334-00-00,4/30/2023 12:00:00 AM,Swift,532,0,120,0,30
25-051-21334-00-00,3/31/2023 12:00:00 AM,Swift,532,0,101,0,24
25-051-21334-00-00,2/28/2023 12:00:00 AM,Swift,532,0,112,0,28
25-051-21334-00-00,1/31/2023 12:00:00 AM,Swift,532,0,122,0,30
25-051-21334-00-00,12/31/2022 12:00:00 AM,Swift,532,0,104,0,26
25-051-21334-00-00,11/30/2022 12:00:00 AM,Swift,532,0,117,0,29
25-051-21334-00-00,10/31/2022 12:00:00 AM,Swift,532,0,127,0,31
25-051-21334-00-00,9/30/2022 12:00:00 AM,Swift,532,0,120,0,29
25-051-21334-00-00,8/31/2022 12:00:00 AM,Swift,532,0,131,0,31
25-051-21334-00-00,7/31/2022 12:00:00 AM,Swift,532,0,132,0,31
25-051-21334-00-00,6/30/2022 12:00:00 AM,Swift,532,0,142,0,29
25-051-21334-00-00,5/31/2022 12:00:00 AM,Swift,532,0,81,0,20
25-051-21334-00-00,4/30/2022 12:00:00 AM,Swift,532,0,114,0,30
25-051-21334-00-00,3/31/2022 12:00:00 AM,Swift,532,0,115,0,30
25-051-21334-00-00,2/28/2022 12:00:00 AM,Swift,532,0,111,0,28
25-051-21334-00-00,1/31/2022 12:00:00 AM,Swift,532,0,111,0,31
25-051-21334-00-00,12/31/2021 12:00:00 AM,Swift,532,0,123,0,31
25-051-21334-00-00,11/30/2021 12:00:00 AM,Swift,532,0,119,0,30
25-051-21334-00-00,10/31/2021 12:00:00 AM,Swift,532,0,129,0,31
25-051-21334-00-00,9/30/2021 12:00:00 AM,Swift,532,0,34,0,30
25-051-21334-00-00,8/31/2021 12:00:00 AM,Swift,532,0,127,0,30
25-051-21334-00-00,7/31/2021 12:00:00 AM,Swift,532,0,137,0,31
25-051-21334-00-00,6/30/2021 12:00:00 AM,Swift,532,0,120,0,27
25-051-21334-00-00,5/31/2021 12:00:00 AM,Swift,532,0,127,0,31
25-051-21334-00-00,4/30/2021 12:00:00 AM,Swift,532,0,94,0,20
25-051-21334-00-00,3/31/2021 12:00:00 AM,Swift,532,0,127,0,29
25-051-21334-00-00,2/28/2021 12:00:00 AM,Swift,532,0,7,0,2
25-051-21334-00-00,1/31/2021 12:00:00 AM,Swift,532,0,140,0,31
25-051-21334-00-00,12/31/2020 12:00:00 AM,Swift,532,0,119,0,28
25-051-21334-00-00,11/30/2020 12:00:00 AM,Swift,532,0,126,0,30
25-051-21334-00-00,10/31/2020 12:00:00 AM,Swift,532,0,133,0,31
25-051-21334-00-00,9/30/2020 12:00:00 AM,Swift,532,0,130,0,30
25-051-21334-00-00,8/31/2020 12:00:00 AM,Swift,532,0,104,0,22
25-051-21334-00-00,7/31/2020 12:00:00 AM,Swift,532,0,134,0,31
25-051-21334-00-00,6/30/2020 12:00:00 AM,Swift,532,0,69,0,22
25-051-21334-00-00,5/31/2020 12:00:00 AM,Swift,532,0,128,0,31
25-051-21334-00-00,4/30/2020 12:00:00 AM,Swift,532,0,120,0,30
25-051-21334-00-00,3/31/2020 12:00:00 AM,Swift,532,0,127,0,31
25-051-21334-00-00,2/29/2020 12:00:00 AM,Swift,532,0,121,0,29
25-051-21334-00-00,1/31/2020 12:00:00 AM,Swift,532,0,129,0,31
25-051-21334-00-00,12/31/2019 12:00:00 AM,Swift,532,0,132,0,31
25-051-21334-00-00,11/30/2019 12:00:00 AM,Swift,532,0,133,0,30
25-051-21334-00-00,10/31/2019 12:00:00 AM,Swift,532,0,143,0,31
25-051-21334-00-00,9/30/2019 12:00:00 AM,Swift,532,0,133,0,28
25-051-21334-00-00,8/31/2019 12:00:00 AM,Swift,532,0,146,0,31
25-051-21334-00-00,7/31/2019 12:00:00 AM,Swift,532,0,140,0,31
25-051-21334-00-00,6/30/2019 12:00:00 AM,Swift,532,0,133,0,30
25-051-21334-00-00,5/31/2019 12:00:00 AM,Swift,532,0,143,0,31
25-051-21334-00-00,4/30/2019 12:00:00 AM,Swift,532,0,73,0,30
25-051-21334-00-00,3/31/2019 12:00:00 AM,Swift,532,0,81,0,15
25-051-21334-00-00,2/28/2019 12:00:00 AM,Swift,532,0,87,0,21
25-051-21334-00-00,1/31/2019 12:00:00 AM,Swift,532,0,135,0,31
25-051-21334-00-00,12/31/2018 12:00:00 AM,Swift,532,0,144,0,31
25-051-21334-00-00,11/30/2018 12:00:00 AM,Swift,532,0,138,0,30
25-051-21334-00-00,10/31/2018 12:00:00 AM,Swift,532,0,125,0,25
25-051-21334-00-00,9/30/2018 12:00:00 AM,Swift,532,0,145,0,30
25-051-21334-00-00,8/31/2018 12:00:00 AM,Swift,532,0,153,0,31
25-051-21334-00-00,7/31/2018 12:00:00 AM,Swift,532,0,154,0,31
25-051-21334-00-00,6/30/2018 12:00:00 AM,Swift,532,0,94,0,17
25-051-21334-00-00,5/31/2018 12:00:00 AM,Swift,532,0,104,0,22
25-051-21334-00-00,4/30/2018 12:00:00 AM,Swift,532,0,135,0,30
25-051-21334-00-00,3/31/2018 12:00:00 AM,Swift,532,0,97,0,20
25-051-21334-00-00,2/28/2018 12:00:00 AM,Swift,532,0,113,0,26
25-051-21334-00-00,1/31/2018 12:00:00 AM,Swift,532,0,126,0,27
25-051-21334-00-00,12/31/2017 12:00:00 AM,Swift,532,0,132,0,31
25-051-21334-00-00,11/30/2017 12:00:00 AM,Swift,532,0,135,0,30
25-051-21334-00-00,10/31/2017 12:00:00 AM,Swift,532,0,142,0,31
25-051-21334-00-00,9/30/2017 12:00:00 AM,Swift,532,0,147,0,30
25-051-21334-00-00,8/31/2017 12:00:00 AM,Swift,532,0,148,0,31
25-051-21334-00-00,7/31/2017 12:00:00 AM,Swift,532,0,137,0,27
25-051-21334-00-00,6/30/2017 12:00:00 AM,Swift,532,0,148,0,30
25-051-21334-00-00,5/31/2017 12:00:00 AM,Swift,532,0,146,0,31
25-051-21334-00-00,4/30/2017 12:00:00 AM,Swift,532,0,146,0,30
25-051-21334-00-00,3/31/2017 12:00:00 AM,Swift,532,0,149,0,31
25-051-21334-00-00,2/28/2017 12:00:00 AM,Swift,532,0,135,0,28
