API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-083-21648-00-00,7/31/2025 12:00:00 AM,Bakken,5194,105,188,0,28
25-083-21648-00-00,6/30/2025 12:00:00 AM,Bakken,5194,97,137,9,20
25-083-21648-00-00,5/31/2025 12:00:00 AM,Bakken,5194,135,134,3,20
25-083-21648-00-00,4/30/2025 12:00:00 AM,Bakken,5194,58,31,0,5
25-083-21648-00-00,3/31/2025 12:00:00 AM,Bakken,5194,159,147,0,22
25-083-21648-00-00,2/28/2025 12:00:00 AM,Bakken,5194,20,14,0,2
25-083-21648-00-00,1/31/2025 12:00:00 AM,Bakken,5194,89,41,0,7
25-083-21648-00-00,12/31/2024 12:00:00 AM,Bakken,5194,0,0,0,0
25-083-21648-00-00,11/30/2024 12:00:00 AM,Bakken,5194,108,45,26,9
25-083-21648-00-00,10/31/2024 12:00:00 AM,Bakken,5194,0,0,0,0
25-083-21648-00-00,9/30/2024 12:00:00 AM,Bakken,5194,42,89,7,13
25-083-21648-00-00,8/31/2024 12:00:00 AM,Bakken,5194,96,212,3,31
25-083-21648-00-00,7/31/2024 12:00:00 AM,Bakken,5194,140,185,10,27
25-083-21648-00-00,6/30/2024 12:00:00 AM,Bakken,5194,20,45,0,7
25-083-21648-00-00,5/31/2024 12:00:00 AM,Bakken,5194,92,212,7,31
25-083-21648-00-00,4/30/2024 12:00:00 AM,Bakken,5194,119,206,0,30
25-083-21648-00-00,3/31/2024 12:00:00 AM,Bakken,5194,90,147,0,22
25-083-21648-00-00,2/29/2024 12:00:00 AM,Bakken,5194,85,186,10,28
25-083-21648-00-00,1/31/2024 12:00:00 AM,Bakken,5194,97,138,20,22
25-083-21648-00-00,12/31/2023 12:00:00 AM,Bakken,5194,108,212,0,31
25-083-21648-00-00,11/30/2023 12:00:00 AM,Bakken,5194,94,167,15,25
25-083-21648-00-00,10/31/2023 12:00:00 AM,Bakken,5194,104,212,8,31
25-083-21648-00-00,9/30/2023 12:00:00 AM,Bakken,5194,121,175,0,26
25-083-21648-00-00,8/31/2023 12:00:00 AM,Bakken,5194,125,169,3,25
25-083-21648-00-00,7/31/2023 12:00:00 AM,Bakken,5194,63,89,16,15
25-083-21648-00-00,6/30/2023 12:00:00 AM,Bakken,5194,109,93,8,15
25-083-21648-00-00,5/31/2023 12:00:00 AM,Bakken,5194,76,69,1,12
25-083-21648-00-00,4/30/2023 12:00:00 AM,Bakken,5194,136,66,31,10
25-083-21648-00-00,3/31/2023 12:00:00 AM,Bakken,5194,0,0,0,0
25-083-21648-00-00,2/28/2023 12:00:00 AM,Bakken,5194,87,126,2,19
25-083-21648-00-00,1/31/2023 12:00:00 AM,Bakken,5194,100,199,2,29
25-083-21648-00-00,12/31/2022 12:00:00 AM,Bakken,5194,66,103,24,15
25-083-21648-00-00,11/30/2022 12:00:00 AM,Bakken,5194,90,167,14,26
25-083-21648-00-00,10/31/2022 12:00:00 AM,Bakken,5194,113,212,9,31
25-083-21648-00-00,9/30/2022 12:00:00 AM,Bakken,5194,89,179,64,27
25-083-21648-00-00,8/31/2022 12:00:00 AM,Bakken,5194,90,192,219,28
25-083-21648-00-00,7/31/2022 12:00:00 AM,Bakken,5194,152,212,19,31
25-083-21648-00-00,6/30/2022 12:00:00 AM,Bakken,5194,37,206,106,30
25-083-21648-00-00,5/31/2022 12:00:00 AM,Bakken,5194,0,179,0,28
25-083-21648-00-00,4/30/2022 12:00:00 AM,Bakken,5194,0,0,0,0
