API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-085-21231-00-00,7/31/2025 12:00:00 AM,Madison,4747,372,0,768,31
25-085-21231-00-00,6/30/2025 12:00:00 AM,Madison,4747,377,0,910,30
25-085-21231-00-00,5/31/2025 12:00:00 AM,Madison,4747,430,0,968,31
25-085-21231-00-00,4/30/2025 12:00:00 AM,Madison,4747,425,0,983,29
25-085-21231-00-00,3/31/2025 12:00:00 AM,Madison,4747,494,0,988,25
25-085-21231-00-00,2/28/2025 12:00:00 AM,Madison,4747,37,0,115,4
25-085-21231-00-00,1/31/2025 12:00:00 AM,Madison,4747,341,0,890,29
25-085-21231-00-00,12/31/2024 12:00:00 AM,Madison,4747,426,0,980,29
25-085-21231-00-00,11/30/2024 12:00:00 AM,Madison,4747,376,0,897,29
25-085-21231-00-00,10/31/2024 12:00:00 AM,Madison,4747,455,0,1018,31
25-085-21231-00-00,9/30/2024 12:00:00 AM,Madison,4747,449,0,1044,30
25-085-21231-00-00,8/31/2024 12:00:00 AM,Madison,4747,537,0,1128,31
25-085-21231-00-00,7/31/2024 12:00:00 AM,Madison,4747,635,0,3478,30
25-085-21231-00-00,6/30/2024 12:00:00 AM,Madison,4747,211,0,648,16
25-085-21231-00-00,5/31/2024 12:00:00 AM,Madison,4747,372,0,683,21
25-085-21231-00-00,4/30/2024 12:00:00 AM,Madison,4747,380,0,970,17
25-085-21231-00-00,3/31/2024 12:00:00 AM,Madison,4747,467,0,872,31
25-085-21231-00-00,2/29/2024 12:00:00 AM,Madison,4747,403,0,835,28
25-085-21231-00-00,1/31/2024 12:00:00 AM,Madison,4747,52,0,834,9
25-085-21231-00-00,12/31/2023 12:00:00 AM,Madison,4747,5,0,172,2
25-085-21231-00-00,11/30/2023 12:00:00 AM,Madison,4747,46,0,0,0
25-085-21231-00-00,10/31/2023 12:00:00 AM,Madison,4747,32,0,129,0
25-085-21231-00-00,9/30/2023 12:00:00 AM,Madison,4747,389,0,603,0
25-085-21231-00-00,8/31/2023 12:00:00 AM,Madison,4747,374,0,794,0
25-085-21231-00-00,7/31/2023 12:00:00 AM,Madison,4747,378,0,783,1
25-085-21231-00-00,6/30/2023 12:00:00 AM,Madison,4747,400,0,731,1
25-085-21231-00-00,5/31/2023 12:00:00 AM,Madison,4747,428,0,828,0
25-085-21231-00-00,4/30/2023 12:00:00 AM,Madison,4747,437,0,790,0
25-085-21231-00-00,3/31/2023 12:00:00 AM,Madison,4747,477,0,726,0
25-085-21231-00-00,2/28/2023 12:00:00 AM,Madison,4747,379,0,696,0
25-085-21231-00-00,1/31/2023 12:00:00 AM,Madison,4747,55,0,606,0
25-085-21231-00-00,12/31/2022 12:00:00 AM,Madison,4747,0,0,0,0
25-085-21231-00-00,11/30/2022 12:00:00 AM,Madison,4747,129,0,540,0
25-085-21231-00-00,10/31/2022 12:00:00 AM,Madison,4747,359,0,766,0
25-085-21231-00-00,9/30/2022 12:00:00 AM,Madison,4747,383,0,792,0
25-085-21231-00-00,8/31/2022 12:00:00 AM,Madison,4747,441,0,968,0
25-085-21231-00-00,7/31/2022 12:00:00 AM,Madison,4747,356,0,974,0
25-085-21231-00-00,6/30/2022 12:00:00 AM,Madison,4747,297,0,838,0
25-085-21231-00-00,5/31/2022 12:00:00 AM,Madison,4747,329,0,982,0
25-085-21231-00-00,4/30/2022 12:00:00 AM,Madison,4747,257,0,933,0
25-085-21231-00-00,3/31/2022 12:00:00 AM,Madison,4747,51,2,656,0
25-085-21231-00-00,2/28/2022 12:00:00 AM,Madison,4747,0,0,0,0
25-085-21231-00-00,1/31/2022 12:00:00 AM,Madison,4747,0,0,0,0
25-085-21231-00-00,12/31/2021 12:00:00 AM,Madison,4747,0,0,0,0
25-085-21231-00-00,11/30/2021 12:00:00 AM,Madison,4747,0,0,0,0
25-085-21231-00-00,10/31/2021 12:00:00 AM,Madison,4747,0,0,0,0
