API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-083-23112-00-00,7/31/2025 12:00:00 AM,Bakken,8908,795,1586,742,31
25-083-23112-00-00,5/31/2025 12:00:00 AM,Bakken,8908,870,1596,721,31
25-083-23112-00-00,4/30/2025 12:00:00 AM,Bakken,8908,1112,2190,886,30
25-083-23112-00-00,3/31/2025 12:00:00 AM,Bakken,8908,1383,2625,900,31
25-083-23112-00-00,2/28/2025 12:00:00 AM,Bakken,8908,880,1660,712,26
25-083-23112-00-00,1/31/2025 12:00:00 AM,Bakken,8908,1243,2284,873,31
25-083-23112-00-00,12/31/2024 12:00:00 AM,Bakken,8908,1159,2109,849,31
25-083-23112-00-00,11/30/2024 12:00:00 AM,Bakken,8908,1114,2009,849,30
25-083-23112-00-00,10/31/2024 12:00:00 AM,Bakken,8908,1221,2177,885,31
25-083-23112-00-00,9/30/2024 12:00:00 AM,Bakken,8908,1057,1968,845,30
25-083-23112-00-00,8/31/2024 12:00:00 AM,Bakken,8908,1200,2111,940,31
25-083-23112-00-00,7/31/2024 12:00:00 AM,Bakken,8908,1183,2197,903,31
25-083-23112-00-00,6/30/2024 12:00:00 AM,Bakken,8908,1261,2430,867,30
25-083-23112-00-00,5/31/2024 12:00:00 AM,Bakken,8908,844,1726,1032,28
25-083-23112-00-00,4/30/2024 12:00:00 AM,Bakken,8908,666,1252,543,29
25-083-23112-00-00,3/31/2024 12:00:00 AM,Bakken,8908,1003,1245,760,31
25-083-23112-00-00,2/29/2024 12:00:00 AM,Bakken,8908,905,1318,598,29
25-083-23112-00-00,1/31/2024 12:00:00 AM,Bakken,8908,815,1494,711,27
25-083-23112-00-00,12/31/2023 12:00:00 AM,Bakken,8908,1168,2298,788,31
25-083-23112-00-00,11/30/2023 12:00:00 AM,Bakken,8908,928,1861,763,30
25-083-23112-00-00,10/31/2023 12:00:00 AM,Bakken,8908,1520,3248,977,31
25-083-23112-00-00,9/30/2023 12:00:00 AM,Bakken,8908,1582,3182,1007,30
25-083-23112-00-00,8/31/2023 12:00:00 AM,Bakken,8908,1876,3340,1076,26
25-083-23112-00-00,7/31/2023 12:00:00 AM,Bakken,8908,1630,3289,1119,30
25-083-23112-00-00,6/30/2023 12:00:00 AM,Bakken,8908,1978,3894,1249,30
25-083-23112-00-00,5/31/2023 12:00:00 AM,Bakken,8908,1895,2650,1381,31
25-083-23112-00-00,4/30/2023 12:00:00 AM,Bakken,8908,755,1143,825,19
25-083-23112-00-00,3/31/2023 12:00:00 AM,Bakken,8908,744,1663,486,22
25-083-23112-00-00,2/28/2023 12:00:00 AM,Bakken,8908,1855,3636,977,28
25-083-23112-00-00,1/31/2023 12:00:00 AM,Bakken,8908,2065,3606,1121,29
25-083-23112-00-00,12/31/2022 12:00:00 AM,Bakken,8908,2403,2576,1002,31
25-083-23112-00-00,11/30/2022 12:00:00 AM,Bakken,8908,2868,3457,1194,30
