API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-041-23377-00-00,7/31/2025 12:00:00 AM,Eagle,7602,0,471,0,31
25-041-23377-00-00,6/30/2025 12:00:00 AM,Eagle,7602,0,458,0,30
25-041-23377-00-00,5/31/2025 12:00:00 AM,Eagle,7602,0,475,0,31
25-041-23377-00-00,4/30/2025 12:00:00 AM,Eagle,7602,0,461,0,30
25-041-23377-00-00,3/31/2025 12:00:00 AM,Eagle,7602,0,481,0,31
25-041-23377-00-00,2/28/2025 12:00:00 AM,Eagle,7602,0,415,0,28
25-041-23377-00-00,1/31/2025 12:00:00 AM,Eagle,7602,0,479,0,31
25-041-23377-00-00,12/31/2024 12:00:00 AM,Eagle,7602,0,483,0,31
25-041-23377-00-00,11/30/2024 12:00:00 AM,Eagle,7602,0,470,0,30
25-041-23377-00-00,10/31/2024 12:00:00 AM,Eagle,7602,0,486,0,31
25-041-23377-00-00,9/30/2024 12:00:00 AM,Eagle,7602,0,471,0,30
25-041-23377-00-00,8/31/2024 12:00:00 AM,Eagle,7602,0,485,0,31
25-041-23377-00-00,7/31/2024 12:00:00 AM,Eagle,7602,0,486,0,31
25-041-23377-00-00,6/30/2024 12:00:00 AM,Eagle,7602,0,473,0,30
25-041-23377-00-00,5/31/2024 12:00:00 AM,Eagle,7602,0,492,0,31
25-041-23377-00-00,4/30/2024 12:00:00 AM,Eagle,7602,0,477,0,30
25-041-23377-00-00,3/31/2024 12:00:00 AM,Eagle,7602,0,491,0,31
25-041-23377-00-00,2/29/2024 12:00:00 AM,Eagle,7602,0,462,0,29
25-041-23377-00-00,1/31/2024 12:00:00 AM,Eagle,7602,0,494,0,31
25-041-23377-00-00,12/31/2023 12:00:00 AM,Eagle,7602,0,498,0,31
25-041-23377-00-00,11/30/2023 12:00:00 AM,Eagle,7602,0,485,0,30
25-041-23377-00-00,10/31/2023 12:00:00 AM,Eagle,7602,0,501,0,31
25-041-23377-00-00,9/30/2023 12:00:00 AM,Eagle,7602,0,486,0,30
25-041-23377-00-00,8/31/2023 12:00:00 AM,Eagle,7602,0,503,0,31
25-041-23377-00-00,7/31/2023 12:00:00 AM,Eagle,7602,0,504,0,31
25-041-23377-00-00,6/30/2023 12:00:00 AM,Eagle,7602,0,491,0,30
25-041-23377-00-00,5/31/2023 12:00:00 AM,Eagle,7602,0,510,0,31
25-041-23377-00-00,4/30/2023 12:00:00 AM,Eagle,7602,0,494,0,30
25-041-23377-00-00,3/31/2023 12:00:00 AM,Eagle,7602,0,511,0,31
25-041-23377-00-00,2/28/2023 12:00:00 AM,Eagle,7602,0,464,0,28
