API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-009-21257-00-00,5/31/2024 12:00:00 AM,Lakota,6308,0,10,0,13
25-009-21257-00-00,4/30/2024 12:00:00 AM,Lakota,6308,0,13,0,5
25-009-21257-00-00,3/31/2024 12:00:00 AM,Lakota,6308,0,79,0,31
25-009-21257-00-00,2/29/2024 12:00:00 AM,Lakota,6308,0,95,0,29
25-009-21257-00-00,1/31/2024 12:00:00 AM,Lakota,6308,0,21,0,31
25-009-21257-00-00,12/31/2023 12:00:00 AM,Lakota,6308,0,0,0,0
25-009-21257-00-00,11/30/2023 12:00:00 AM,Lakota,6308,0,0,0,0
25-009-21257-00-00,10/31/2023 12:00:00 AM,Lakota,6308,0,8,0,10
25-009-21257-00-00,9/30/2023 12:00:00 AM,Lakota,6308,0,10,0,9
25-009-21257-00-00,8/31/2023 12:00:00 AM,Lakota,6308,0,2,0,2
25-009-21257-00-00,7/31/2023 12:00:00 AM,Lakota,6308,0,27,0,16
25-009-21257-00-00,6/30/2023 12:00:00 AM,Lakota,6308,0,122,0,30
25-009-21257-00-00,5/31/2023 12:00:00 AM,Lakota,6308,0,277,0,30
25-009-21257-00-00,4/30/2023 12:00:00 AM,Lakota,6308,0,336,0,30
25-009-21257-00-00,3/31/2023 12:00:00 AM,Lakota,6308,0,354,0,31
25-009-21257-00-00,2/28/2023 12:00:00 AM,Lakota,6308,0,491,0,28
25-009-21257-00-00,1/31/2023 12:00:00 AM,Lakota,6308,0,539,0,31
25-009-21257-00-00,12/31/2022 12:00:00 AM,Lakota,6308,0,514,0,31
25-009-21257-00-00,11/30/2022 12:00:00 AM,Lakota,6308,0,299,0,30
25-009-21257-00-00,10/31/2022 12:00:00 AM,Lakota,6308,260,502,0,31
25-009-21257-00-00,9/30/2022 12:00:00 AM,Lakota,6308,389,777,0,30
25-009-21257-00-00,8/31/2022 12:00:00 AM,Lakota,6308,85,959,0,11
25-009-21257-00-00,7/31/2022 12:00:00 AM,Lakota,6308,0,432,0,11
25-009-21257-00-00,6/30/2022 12:00:00 AM,Lakota,6308,0,251,0,2
25-009-21257-00-00,5/31/2022 12:00:00 AM,Lakota,6308,0,366,0,4
25-009-21257-00-00,4/30/2022 12:00:00 AM,Lakota,6308,0,245,0,4
25-009-21257-00-00,3/31/2022 12:00:00 AM,Lakota,6308,0,306,0,4
25-009-21257-00-00,2/28/2022 12:00:00 AM,Lakota,6308,0,319,0,3
25-009-21257-00-00,1/31/2022 12:00:00 AM,Lakota,6308,0,425,0,3
25-009-21257-00-00,12/31/2021 12:00:00 AM,Lakota,6308,25,736,1803,31
25-009-21257-00-00,11/30/2021 12:00:00 AM,Lakota,6308,238,1194,13210,30
25-009-21257-00-00,10/31/2021 12:00:00 AM,Lakota,6308,335,1388,18402,31
25-009-21257-00-00,9/30/2021 12:00:00 AM,Lakota,6308,361,1111,22488,30
25-009-21257-00-00,8/31/2021 12:00:00 AM,Lakota,6308,452,894,23577,31
25-009-21257-00-00,7/31/2021 12:00:00 AM,Lakota,6308,534,591,25451,31
25-009-21257-00-00,6/30/2021 12:00:00 AM,Lakota,6308,497,216,12440,30
25-009-21257-00-00,5/31/2021 12:00:00 AM,Lakota,6308,0,0,0,0
25-009-21257-00-00,4/30/2021 12:00:00 AM,Lakota,6308,0,0,0,0
25-009-21257-00-00,3/31/2021 12:00:00 AM,Lakota,6308,0,0,0,0
25-009-21257-00-00,2/28/2021 12:00:00 AM,Lakota,6308,0,0,0,0
25-009-21257-00-00,1/31/2021 12:00:00 AM,Lakota,6308,0,0,0,0
25-009-21257-00-00,12/31/2020 12:00:00 AM,Lakota,6308,0,0,0,0
25-009-21257-00-00,11/30/2020 12:00:00 AM,Lakota,6308,0,0,0,0
25-009-21257-00-00,10/31/2020 12:00:00 AM,Lakota,6308,105,164,2625,31
25-009-21257-00-00,9/30/2020 12:00:00 AM,Lakota,6308,414,362,13200,30
25-009-21257-00-00,8/31/2020 12:00:00 AM,Lakota,6308,414,416,13200,31
25-009-21257-00-00,7/31/2020 12:00:00 AM,Lakota,6308,360,527,0,31
25-009-21257-00-00,6/30/2020 12:00:00 AM,Lakota,6308,79,5,0,1
25-009-21257-00-00,5/31/2020 12:00:00 AM,Lakota,6308,0,0,437,0
25-009-21257-00-00,4/30/2020 12:00:00 AM,Lakota,6308,35,7,437,30
25-009-21257-00-00,3/31/2020 12:00:00 AM,Lakota,6308,439,400,8050,31
25-009-21257-00-00,2/29/2020 12:00:00 AM,Lakota,6308,497,758,8050,29
25-009-21257-00-00,1/31/2020 12:00:00 AM,Lakota,6308,644,860,8050,31
25-009-21257-00-00,12/31/2019 12:00:00 AM,Lakota,6308,795,859,9942,31
25-009-21257-00-00,11/30/2019 12:00:00 AM,Lakota,6308,615,351,7683,30
25-009-21257-00-00,7/31/2002 12:00:00 AM,Lakota,6308,-35,0,0,0
25-009-21257-00-00,6/30/2002 12:00:00 AM,Lakota,6308,0,0,0,0
25-009-21257-00-00,5/31/2002 12:00:00 AM,Lakota,6308,0,0,0,0
25-009-21257-00-00,4/30/2002 12:00:00 AM,Lakota,6308,0,0,0,0
25-009-21257-00-00,3/31/2002 12:00:00 AM,Lakota,6308,0,0,0,0
25-009-21257-00-00,2/28/2002 12:00:00 AM,Lakota,6308,0,0,0,0
25-009-21257-00-00,1/31/2002 12:00:00 AM,Lakota,6308,0,0,0,0
25-009-21257-00-00,12/31/2001 12:00:00 AM,Lakota,6308,0,0,0,0
25-009-21257-00-00,11/30/2001 12:00:00 AM,Lakota,6308,0,0,0,0
25-009-21257-00-00,10/31/2001 12:00:00 AM,Lakota,6308,0,0,0,0
25-009-21257-00-00,9/30/2001 12:00:00 AM,Lakota,6308,0,0,0,0
25-009-21257-00-00,8/31/2001 12:00:00 AM,Lakota,6308,0,0,0,0
25-009-21257-00-00,7/31/2001 12:00:00 AM,Lakota,6308,0,0,0,0
25-009-21257-00-00,6/30/2001 12:00:00 AM,Lakota,6308,0,0,0,0
25-009-21257-00-00,5/31/2001 12:00:00 AM,Lakota,6308,0,0,0,0
25-009-21257-00-00,4/30/2001 12:00:00 AM,Lakota,6308,0,0,0,0
25-009-21257-00-00,3/31/2001 12:00:00 AM,Lakota,6308,0,0,0,0
25-009-21257-00-00,2/28/2001 12:00:00 AM,Lakota,6308,0,0,0,0
25-009-21257-00-00,1/31/2001 12:00:00 AM,Lakota,6308,0,0,0,0
25-009-21257-00-00,12/31/2000 12:00:00 AM,Lakota,6308,0,0,0,0
25-009-21257-00-00,11/30/2000 12:00:00 AM,Lakota,6308,0,0,0,0
25-009-21257-00-00,10/31/2000 12:00:00 AM,Lakota,6308,487,840,6412,12
25-009-21257-00-00,9/30/2000 12:00:00 AM,Lakota,6308,1118,1540,11717,22
25-009-21257-00-00,8/31/2000 12:00:00 AM,Lakota,6308,2466,1851,17107,31
25-009-21257-00-00,7/31/2000 12:00:00 AM,Lakota,6308,2900,2170,17422,31
25-009-21257-00-00,6/30/2000 12:00:00 AM,Lakota,6308,1181,490,5750,7
