API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-083-22706-00-00,7/31/2025 12:00:00 AM,Bakken,10317,201,224,36,31
25-083-22706-00-00,6/30/2025 12:00:00 AM,Bakken,10317,196,210,35,30
25-083-22706-00-00,5/31/2025 12:00:00 AM,Bakken,10317,165,115,29,23
25-083-22706-00-00,4/30/2025 12:00:00 AM,Bakken,10317,181,216,40,30
25-083-22706-00-00,3/31/2025 12:00:00 AM,Bakken,10317,142,151,13,31
25-083-22706-00-00,2/28/2025 12:00:00 AM,Bakken,10317,134,152,14,28
25-083-22706-00-00,1/31/2025 12:00:00 AM,Bakken,10317,139,144,14,31
25-083-22706-00-00,12/31/2024 12:00:00 AM,Bakken,10317,148,169,32,31
25-083-22706-00-00,11/30/2024 12:00:00 AM,Bakken,10317,131,132,14,30
25-083-22706-00-00,10/31/2024 12:00:00 AM,Bakken,10317,126,159,12,31
25-083-22706-00-00,9/30/2024 12:00:00 AM,Bakken,10317,122,154,11,30
25-083-22706-00-00,8/31/2024 12:00:00 AM,Bakken,10317,127,163,15,31
25-083-22706-00-00,7/31/2024 12:00:00 AM,Bakken,10317,145,173,16,31
25-083-22706-00-00,6/30/2024 12:00:00 AM,Bakken,10317,154,130,24,30
25-083-22706-00-00,5/31/2024 12:00:00 AM,Bakken,10317,180,115,24,31
25-083-22706-00-00,4/30/2024 12:00:00 AM,Bakken,10317,182,160,25,30
25-083-22706-00-00,3/31/2024 12:00:00 AM,Bakken,10317,204,166,29,31
25-083-22706-00-00,2/29/2024 12:00:00 AM,Bakken,10317,171,153,27,29
25-083-22706-00-00,1/31/2024 12:00:00 AM,Bakken,10317,202,159,30,31
25-083-22706-00-00,12/31/2023 12:00:00 AM,Bakken,10317,198,174,29,31
25-083-22706-00-00,11/30/2023 12:00:00 AM,Bakken,10317,179,173,62,30
25-083-22706-00-00,10/31/2023 12:00:00 AM,Bakken,10317,210,171,75,31
25-083-22706-00-00,9/30/2023 12:00:00 AM,Bakken,10317,162,175,34,30
25-083-22706-00-00,8/31/2023 12:00:00 AM,Bakken,10317,188,228,43,31
25-083-22706-00-00,7/31/2023 12:00:00 AM,Bakken,10317,199,248,42,31
25-083-22706-00-00,6/30/2023 12:00:00 AM,Bakken,10317,195,247,52,30
25-083-22706-00-00,5/31/2023 12:00:00 AM,Bakken,10317,198,219,37,26
25-083-22706-00-00,4/30/2023 12:00:00 AM,Bakken,10317,169,148,22,27
25-083-22706-00-00,3/31/2023 12:00:00 AM,Bakken,10317,250,169,30,31
25-083-22706-00-00,2/28/2023 12:00:00 AM,Bakken,10317,178,146,26,28
25-083-22706-00-00,1/31/2023 12:00:00 AM,Bakken,10317,215,172,34,31
25-083-22706-00-00,12/31/2022 12:00:00 AM,Bakken,10317,223,150,28,31
25-083-22706-00-00,11/30/2022 12:00:00 AM,Bakken,10317,244,166,30,30
25-083-22706-00-00,10/31/2022 12:00:00 AM,Bakken,10317,198,171,30,29
25-083-22706-00-00,9/30/2022 12:00:00 AM,Bakken,10317,154,204,24,29
25-083-22706-00-00,8/31/2022 12:00:00 AM,Bakken,10317,156,220,27,31
25-083-22706-00-00,7/31/2022 12:00:00 AM,Bakken,10317,170,239,29,31
25-083-22706-00-00,6/30/2022 12:00:00 AM,Bakken,10317,195,239,36,30
25-083-22706-00-00,5/31/2022 12:00:00 AM,Bakken,10317,108,138,14,14
25-083-22706-00-00,4/30/2022 12:00:00 AM,Bakken,10317,156,220,26,30
25-083-22706-00-00,3/31/2022 12:00:00 AM,Bakken,10317,172,241,29,31
25-083-22706-00-00,2/28/2022 12:00:00 AM,Bakken,10317,160,207,24,28
25-083-22706-00-00,1/31/2022 12:00:00 AM,Bakken,10317,177,224,48,31
25-083-22706-00-00,12/31/2021 12:00:00 AM,Bakken,10317,182,230,31,31
25-083-22706-00-00,11/30/2021 12:00:00 AM,Bakken,10317,177,229,31,30
25-083-22706-00-00,10/31/2021 12:00:00 AM,Bakken,10317,182,239,31,28
25-083-22706-00-00,9/30/2021 12:00:00 AM,Bakken,10317,226,246,20,30
25-083-22706-00-00,8/31/2021 12:00:00 AM,Bakken,10317,238,253,20,31
25-083-22706-00-00,7/31/2021 12:00:00 AM,Bakken,10317,244,260,23,31
25-083-22706-00-00,6/30/2021 12:00:00 AM,Bakken,10317,241,239,23,30
25-083-22706-00-00,5/31/2021 12:00:00 AM,Bakken,10317,283,257,55,31
