API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-041-23215-00-00,7/31/2025 12:00:00 AM,Niobrara,5963,0,170,0,31
25-041-23215-00-00,6/30/2025 12:00:00 AM,Niobrara,5963,0,171,0,30
25-041-23215-00-00,5/31/2025 12:00:00 AM,Niobrara,5963,0,181,0,31
25-041-23215-00-00,4/30/2025 12:00:00 AM,Niobrara,5963,0,179,0,30
25-041-23215-00-00,3/31/2025 12:00:00 AM,Niobrara,5963,0,190,0,31
25-041-23215-00-00,2/28/2025 12:00:00 AM,Niobrara,5963,0,175,0,28
25-041-23215-00-00,1/31/2025 12:00:00 AM,Niobrara,5963,0,231,0,31
25-041-23215-00-00,12/31/2024 12:00:00 AM,Niobrara,5963,0,202,0,30
25-041-23215-00-00,11/30/2024 12:00:00 AM,Niobrara,5963,0,185,0,30
25-041-23215-00-00,10/31/2024 12:00:00 AM,Niobrara,5963,0,191,0,31
25-041-23215-00-00,9/30/2024 12:00:00 AM,Niobrara,5963,0,186,0,30
25-041-23215-00-00,8/31/2024 12:00:00 AM,Niobrara,5963,0,192,0,31
25-041-23215-00-00,7/31/2024 12:00:00 AM,Niobrara,5963,0,193,0,31
25-041-23215-00-00,6/30/2024 12:00:00 AM,Niobrara,5963,0,189,0,30
25-041-23215-00-00,5/31/2024 12:00:00 AM,Niobrara,5963,0,196,0,31
25-041-23215-00-00,4/30/2024 12:00:00 AM,Niobrara,5963,0,195,0,30
25-041-23215-00-00,3/31/2024 12:00:00 AM,Niobrara,5963,0,197,0,29
25-041-23215-00-00,2/29/2024 12:00:00 AM,Niobrara,5963,0,189,0,28
25-041-23215-00-00,1/31/2024 12:00:00 AM,Niobrara,5963,0,209,0,31
25-041-23215-00-00,12/31/2023 12:00:00 AM,Niobrara,5963,0,212,0,31
25-041-23215-00-00,11/30/2023 12:00:00 AM,Niobrara,5963,0,207,0,30
25-041-23215-00-00,10/31/2023 12:00:00 AM,Niobrara,5963,0,216,0,31
25-041-23215-00-00,9/30/2023 12:00:00 AM,Niobrara,5963,0,210,0,30
25-041-23215-00-00,8/31/2023 12:00:00 AM,Niobrara,5963,0,220,0,31
25-041-23215-00-00,7/31/2023 12:00:00 AM,Niobrara,5963,0,223,0,31
25-041-23215-00-00,6/30/2023 12:00:00 AM,Niobrara,5963,0,218,0,30
25-041-23215-00-00,5/31/2023 12:00:00 AM,Niobrara,5963,0,227,0,31
25-041-23215-00-00,4/30/2023 12:00:00 AM,Niobrara,5963,0,224,0,30
25-041-23215-00-00,3/31/2023 12:00:00 AM,Niobrara,5963,0,238,0,29
25-041-23215-00-00,2/28/2023 12:00:00 AM,Niobrara,5963,0,219,0,28
25-041-23215-00-00,1/31/2023 12:00:00 AM,Niobrara,5963,0,261,0,31
25-041-23215-00-00,12/31/2022 12:00:00 AM,Niobrara,5963,0,281,0,25
25-041-23215-00-00,11/30/2022 12:00:00 AM,Niobrara,5963,0,316,0,30
25-041-23215-00-00,10/31/2022 12:00:00 AM,Niobrara,5963,0,331,0,31
25-041-23215-00-00,9/30/2022 12:00:00 AM,Niobrara,5963,0,328,0,30
25-041-23215-00-00,8/31/2022 12:00:00 AM,Niobrara,5963,0,296,0,31
25-041-23215-00-00,7/31/2022 12:00:00 AM,Niobrara,5963,0,241,0,31
25-041-23215-00-00,6/30/2022 12:00:00 AM,Niobrara,5963,0,239,0,30
25-041-23215-00-00,5/31/2022 12:00:00 AM,Niobrara,5963,0,271,0,31
25-041-23215-00-00,4/30/2022 12:00:00 AM,Niobrara,5963,0,284,0,30
25-041-23215-00-00,3/31/2022 12:00:00 AM,Niobrara,5963,0,267,0,31
25-041-23215-00-00,2/28/2022 12:00:00 AM,Niobrara,5963,0,260,0,28
25-041-23215-00-00,1/31/2022 12:00:00 AM,Niobrara,5963,0,297,0,31
25-041-23215-00-00,12/31/2021 12:00:00 AM,Niobrara,5963,0,293,0,31
25-041-23215-00-00,11/30/2021 12:00:00 AM,Niobrara,5963,0,285,0,30
25-041-23215-00-00,10/31/2021 12:00:00 AM,Niobrara,5963,0,292,0,31
25-041-23215-00-00,9/30/2021 12:00:00 AM,Niobrara,5963,0,279,0,30
25-041-23215-00-00,8/31/2021 12:00:00 AM,Niobrara,5963,0,278,0,31
25-041-23215-00-00,7/31/2021 12:00:00 AM,Niobrara,5963,0,275,0,31
25-041-23215-00-00,6/30/2021 12:00:00 AM,Niobrara,5963,0,273,0,30
25-041-23215-00-00,5/31/2021 12:00:00 AM,Niobrara,5963,0,298,0,31
25-041-23215-00-00,4/30/2021 12:00:00 AM,Niobrara,5963,0,272,0,30
25-041-23215-00-00,3/31/2021 12:00:00 AM,Niobrara,5963,0,288,0,31
25-041-23215-00-00,2/28/2021 12:00:00 AM,Niobrara,5963,0,292,0,28
25-041-23215-00-00,1/31/2021 12:00:00 AM,Niobrara,5963,0,271,0,31
25-041-23215-00-00,12/31/2020 12:00:00 AM,Niobrara,5963,0,280,0,31
25-041-23215-00-00,11/30/2020 12:00:00 AM,Niobrara,5963,0,271,0,30
25-041-23215-00-00,10/31/2020 12:00:00 AM,Niobrara,5963,0,274,0,31
25-041-23215-00-00,9/30/2020 12:00:00 AM,Niobrara,5963,0,262,0,30
25-041-23215-00-00,8/31/2020 12:00:00 AM,Niobrara,5963,0,273,0,31
25-041-23215-00-00,7/31/2020 12:00:00 AM,Niobrara,5963,0,278,0,31
25-041-23215-00-00,6/30/2020 12:00:00 AM,Niobrara,5963,0,275,0,30
25-041-23215-00-00,5/31/2020 12:00:00 AM,Niobrara,5963,0,327,0,31
25-041-23215-00-00,4/30/2020 12:00:00 AM,Niobrara,5963,0,331,0,30
25-041-23215-00-00,3/31/2020 12:00:00 AM,Niobrara,5963,0,316,0,31
25-041-23215-00-00,2/29/2020 12:00:00 AM,Niobrara,5963,0,287,0,29
25-041-23215-00-00,1/31/2020 12:00:00 AM,Niobrara,5963,0,348,0,31
25-041-23215-00-00,12/31/2019 12:00:00 AM,Niobrara,5963,0,305,0,31
25-041-23215-00-00,11/30/2019 12:00:00 AM,Niobrara,5963,0,320,0,30
25-041-23215-00-00,10/31/2019 12:00:00 AM,Niobrara,5963,0,430,0,31
25-041-23215-00-00,9/30/2019 12:00:00 AM,Niobrara,5963,0,293,0,30
25-041-23215-00-00,8/31/2019 12:00:00 AM,Niobrara,5963,0,349,0,31
