API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-009-05382-00-00,7/31/2025 12:00:00 AM,"Embar, Tensleep",595,886,621,8098,31
25-009-05382-00-00,6/30/2025 12:00:00 AM,"Embar, Tensleep",595,748,543,7968,30
25-009-05382-00-00,5/31/2025 12:00:00 AM,"Embar, Tensleep",595,687,453,8238,31
25-009-05382-00-00,4/30/2025 12:00:00 AM,"Embar, Tensleep",595,582,405,7881,30
25-009-05382-00-00,3/31/2025 12:00:00 AM,"Embar, Tensleep",595,477,436,8120,31
25-009-05382-00-00,2/28/2025 12:00:00 AM,"Embar, Tensleep",595,241,295,7300,28
25-009-05382-00-00,1/31/2025 12:00:00 AM,"Embar, Tensleep",595,308,336,8102,31
25-009-05382-00-00,12/31/2024 12:00:00 AM,"Embar, Tensleep",595,38,74,1364,5
25-009-05382-00-00,11/30/2024 12:00:00 AM,"Embar, Tensleep",595,100,250,2137,7
25-009-05382-00-00,10/31/2024 12:00:00 AM,"Embar, Tensleep",595,462,588,7337,23
25-009-05382-00-00,9/30/2024 12:00:00 AM,"Embar, Tensleep",595,0,0,0,0
25-009-05382-00-00,8/31/2024 12:00:00 AM,"Embar, Tensleep",595,87,41,992,3
25-009-05382-00-00,7/31/2024 12:00:00 AM,"Embar, Tensleep",595,685,297,7603,23
25-009-05382-00-00,6/30/2024 12:00:00 AM,"Embar, Tensleep",595,547,257,5950,18
25-009-05382-00-00,5/31/2024 12:00:00 AM,"Embar, Tensleep",595,37,25,493,2
25-009-05382-00-00,4/30/2024 12:00:00 AM,"Embar, Tensleep",595,0,0,0,0
25-009-05382-00-00,3/31/2024 12:00:00 AM,"Embar, Tensleep",595,296,849,5000,31
25-009-05382-00-00,2/29/2024 12:00:00 AM,"Embar, Tensleep",595,206,694,4647,29
25-009-05382-00-00,1/31/2024 12:00:00 AM,"Embar, Tensleep",595,137,240,5018,31
25-009-05382-00-00,12/31/2023 12:00:00 AM,"Embar, Tensleep",595,173,438,5013,31
25-009-05382-00-00,11/30/2023 12:00:00 AM,"Embar, Tensleep",595,290,492,4856,30
25-009-05382-00-00,10/31/2023 12:00:00 AM,"Embar, Tensleep",595,265,16,4764,31
25-009-05382-00-00,9/30/2023 12:00:00 AM,"Embar, Tensleep",595,255,0,4602,30
25-009-05382-00-00,8/31/2023 12:00:00 AM,"Embar, Tensleep",595,398,356,4635,31
25-009-05382-00-00,7/31/2023 12:00:00 AM,"Embar, Tensleep",595,445,450,4507,31
25-009-05382-00-00,6/30/2023 12:00:00 AM,"Embar, Tensleep",595,426,143,4443,30
25-009-05382-00-00,5/31/2023 12:00:00 AM,"Embar, Tensleep",595,493,459,4591,31
25-009-05382-00-00,4/30/2023 12:00:00 AM,"Embar, Tensleep",595,488,528,4498,30
25-009-05382-00-00,3/31/2023 12:00:00 AM,"Embar, Tensleep",595,455,609,4754,31
