API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-009-05368-00-00,7/31/2025 12:00:00 AM,"Embar, Tensleep",595,140,973,418,12
25-009-05368-00-00,6/30/2025 12:00:00 AM,"Embar, Tensleep",595,371,2074,1046,30
25-009-05368-00-00,5/31/2025 12:00:00 AM,"Embar, Tensleep",595,346,1912,1081,31
25-009-05368-00-00,4/30/2025 12:00:00 AM,"Embar, Tensleep",595,353,1711,1052,30
25-009-05368-00-00,3/31/2025 12:00:00 AM,"Embar, Tensleep",595,447,1842,1317,31
25-009-05368-00-00,2/28/2025 12:00:00 AM,"Embar, Tensleep",595,275,645,866,28
25-009-05368-00-00,1/31/2025 12:00:00 AM,"Embar, Tensleep",595,305,1417,1272,31
25-009-05368-00-00,12/31/2024 12:00:00 AM,"Embar, Tensleep",595,343,1900,1138,31
25-009-05368-00-00,11/30/2024 12:00:00 AM,"Embar, Tensleep",595,360,3538,1071,30
25-009-05368-00-00,10/31/2024 12:00:00 AM,"Embar, Tensleep",595,354,3183,1113,31
25-009-05368-00-00,9/30/2024 12:00:00 AM,"Embar, Tensleep",595,179,1527,1273,30
25-009-05368-00-00,8/31/2024 12:00:00 AM,"Embar, Tensleep",595,180,1673,1337,31
25-009-05368-00-00,7/31/2024 12:00:00 AM,"Embar, Tensleep",595,199,1737,1327,31
25-009-05368-00-00,6/30/2024 12:00:00 AM,"Embar, Tensleep",595,246,1796,1255,30
25-009-05368-00-00,5/31/2024 12:00:00 AM,"Embar, Tensleep",595,322,1684,1268,31
25-009-05368-00-00,4/30/2024 12:00:00 AM,"Embar, Tensleep",595,300,1757,1085,30
25-009-05368-00-00,3/31/2024 12:00:00 AM,"Embar, Tensleep",595,394,3584,1209,31
25-009-05368-00-00,2/29/2024 12:00:00 AM,"Embar, Tensleep",595,333,2473,1144,29
25-009-05368-00-00,1/31/2024 12:00:00 AM,"Embar, Tensleep",595,335,950,1115,31
25-009-05368-00-00,12/31/2023 12:00:00 AM,"Embar, Tensleep",595,332,1848,1073,31
25-009-05368-00-00,11/30/2023 12:00:00 AM,"Embar, Tensleep",595,340,2077,1104,30
25-009-05368-00-00,10/31/2023 12:00:00 AM,"Embar, Tensleep",595,291,1036,1217,31
25-009-05368-00-00,9/30/2023 12:00:00 AM,"Embar, Tensleep",595,276,0,1209,30
25-009-05368-00-00,8/31/2023 12:00:00 AM,"Embar, Tensleep",595,295,272,1203,31
25-009-05368-00-00,7/31/2023 12:00:00 AM,"Embar, Tensleep",595,359,1901,1314,31
25-009-05368-00-00,6/30/2023 12:00:00 AM,"Embar, Tensleep",595,245,604,1122,30
25-009-05368-00-00,5/31/2023 12:00:00 AM,"Embar, Tensleep",595,413,1939,1079,31
25-009-05368-00-00,4/30/2023 12:00:00 AM,"Embar, Tensleep",595,374,2229,1161,30
25-009-05368-00-00,3/31/2023 12:00:00 AM,"Embar, Tensleep",595,371,2570,1278,31
25-009-05368-00-00,2/28/2023 12:00:00 AM,"Embar, Tensleep",595,226,1588,1066,28
25-009-05368-00-00,1/31/2023 12:00:00 AM,"Embar, Tensleep",595,232,0,991,31
25-009-05368-00-00,12/31/2022 12:00:00 AM,"Embar, Tensleep",595,152,690,1242,31
25-009-05368-00-00,11/30/2022 12:00:00 AM,"Embar, Tensleep",595,134,1365,1380,30
25-009-05368-00-00,10/31/2022 12:00:00 AM,"Embar, Tensleep",595,128,1433,1426,31
25-009-05368-00-00,9/30/2022 12:00:00 AM,"Embar, Tensleep",595,153,1255,1461,30
25-009-05368-00-00,8/31/2022 12:00:00 AM,"Embar, Tensleep",595,223,1325,1435,31
25-009-05368-00-00,7/31/2022 12:00:00 AM,"Embar, Tensleep",595,417,178,1322,31
25-009-05368-00-00,6/30/2022 12:00:00 AM,"Embar, Tensleep",595,335,1291,1244,30
25-009-05368-00-00,5/31/2022 12:00:00 AM,"Embar, Tensleep",595,310,1372,1349,31
25-009-05368-00-00,4/30/2022 12:00:00 AM,"Embar, Tensleep",595,285,1297,1430,30
25-009-05368-00-00,3/31/2022 12:00:00 AM,"Embar, Tensleep",595,321,1248,1508,31
25-009-05368-00-00,2/28/2022 12:00:00 AM,"Embar, Tensleep",595,286,1267,1565,28
25-009-05368-00-00,1/31/2022 12:00:00 AM,"Embar, Tensleep",595,326,1344,1846,31
25-009-05368-00-00,12/31/2021 12:00:00 AM,"Embar, Tensleep",595,335,1287,1840,31
25-009-05368-00-00,11/30/2021 12:00:00 AM,"Embar, Tensleep",595,326,1239,1686,30
25-009-05368-00-00,10/31/2021 12:00:00 AM,"Embar, Tensleep",595,302,1244,1613,29
25-009-05368-00-00,9/30/2021 12:00:00 AM,"Embar, Tensleep",595,279,1159,1523,28
25-009-05368-00-00,8/31/2021 12:00:00 AM,"Embar, Tensleep",595,297,1169,1374,30
25-009-05368-00-00,7/31/2021 12:00:00 AM,"Embar, Tensleep",595,295,1380,1374,30
25-009-05368-00-00,6/30/2021 12:00:00 AM,"Embar, Tensleep",595,288,1437,1318,30
25-009-05368-00-00,5/31/2021 12:00:00 AM,"Embar, Tensleep",595,291,1372,1294,31
25-009-05368-00-00,4/30/2021 12:00:00 AM,"Embar, Tensleep",595,265,1218,1355,30
25-009-05368-00-00,3/31/2021 12:00:00 AM,"Embar, Tensleep",595,275,1226,1425,31
25-009-05368-00-00,2/28/2021 12:00:00 AM,"Embar, Tensleep",595,239,1122,1194,28
25-009-05368-00-00,1/31/2021 12:00:00 AM,"Embar, Tensleep",595,254,1008,1369,31
25-009-05368-00-00,12/31/2020 12:00:00 AM,"Embar, Tensleep",595,155,596,1242,31
25-009-05368-00-00,11/30/2020 12:00:00 AM,"Embar, Tensleep",595,154,568,1358,30
25-009-05368-00-00,10/31/2020 12:00:00 AM,"Embar, Tensleep",595,166,655,1441,31
25-009-05368-00-00,9/30/2020 12:00:00 AM,"Embar, Tensleep",595,165,668,1440,30
25-009-05368-00-00,8/31/2020 12:00:00 AM,"Embar, Tensleep",595,195,754,1485,31
25-009-05368-00-00,7/31/2020 12:00:00 AM,"Embar, Tensleep",595,164,622,1441,31
25-009-05368-00-00,6/30/2020 12:00:00 AM,"Embar, Tensleep",595,119,447,1036,26
25-009-05368-00-00,5/31/2020 12:00:00 AM,"Embar, Tensleep",595,137,512,1235,31
25-009-05368-00-00,4/30/2020 12:00:00 AM,"Embar, Tensleep",595,124,469,1177,30
25-009-05368-00-00,3/31/2020 12:00:00 AM,"Embar, Tensleep",595,151,628,1203,31
25-009-05368-00-00,2/29/2020 12:00:00 AM,"Embar, Tensleep",595,112,414,1090,29
25-009-05368-00-00,1/31/2020 12:00:00 AM,"Embar, Tensleep",595,182,689,1516,31
25-009-05368-00-00,12/31/2019 12:00:00 AM,"Embar, Tensleep",595,179,645,1522,31
25-009-05368-00-00,11/30/2019 12:00:00 AM,"Embar, Tensleep",595,116,398,1555,30
25-009-05368-00-00,10/31/2019 12:00:00 AM,"Embar, Tensleep",595,134,456,1530,29
25-009-05368-00-00,9/30/2019 12:00:00 AM,"Embar, Tensleep",595,131,452,1347,26
25-009-05368-00-00,8/31/2019 12:00:00 AM,"Embar, Tensleep",595,105,369,1313,24
25-009-05368-00-00,7/31/2019 12:00:00 AM,"Embar, Tensleep",595,150,503,1673,31
25-009-05368-00-00,6/30/2019 12:00:00 AM,"Embar, Tensleep",595,181,633,1702,30
25-009-05368-00-00,5/31/2019 12:00:00 AM,"Embar, Tensleep",595,422,1326,1602,31
25-009-05368-00-00,4/30/2019 12:00:00 AM,"Embar, Tensleep",595,405,1238,1550,30
25-009-05368-00-00,3/31/2019 12:00:00 AM,"Embar, Tensleep",595,415,1207,1601,31
25-009-05368-00-00,2/28/2019 12:00:00 AM,"Embar, Tensleep",595,371,1074,1446,28
25-009-05368-00-00,1/31/2019 12:00:00 AM,"Embar, Tensleep",595,375,1062,1565,31
25-009-05368-00-00,12/31/2018 12:00:00 AM,"Embar, Tensleep",595,230,564,1763,31
25-009-05368-00-00,11/30/2018 12:00:00 AM,"Embar, Tensleep",595,373,1140,1957,30
25-009-05368-00-00,10/31/2018 12:00:00 AM,"Embar, Tensleep",595,280,739,1943,30
25-009-05368-00-00,9/30/2018 12:00:00 AM,"Embar, Tensleep",595,625,1866,1493,30
25-009-05368-00-00,8/31/2018 12:00:00 AM,"Embar, Tensleep",595,622,1681,1590,31
25-009-05368-00-00,7/31/2018 12:00:00 AM,"Embar, Tensleep",595,436,1250,1835,31
25-009-05368-00-00,6/30/2018 12:00:00 AM,"Embar, Tensleep",595,531,1474,1788,30
25-009-05368-00-00,5/31/2018 12:00:00 AM,"Embar, Tensleep",595,827,2131,1877,31
