API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-009-05016-00-00,7/31/2025 12:00:00 AM,Madison,597,131,43,1471,31
25-009-05016-00-00,6/30/2025 12:00:00 AM,Madison,597,146,98,1424,30
25-009-05016-00-00,5/31/2025 12:00:00 AM,Madison,597,136,134,1471,31
25-009-05016-00-00,4/30/2025 12:00:00 AM,Madison,597,137,137,1424,30
25-009-05016-00-00,3/31/2025 12:00:00 AM,Madison,597,143,142,1471,31
25-009-05016-00-00,2/28/2025 12:00:00 AM,Madison,597,131,104,1329,28
25-009-05016-00-00,1/31/2025 12:00:00 AM,Madison,597,132,108,1471,31
25-009-05016-00-00,12/31/2024 12:00:00 AM,Madison,597,130,115,1471,31
25-009-05016-00-00,11/30/2024 12:00:00 AM,Madison,597,120,101,1424,30
25-009-05016-00-00,10/31/2024 12:00:00 AM,Madison,597,126,116,1471,31
25-009-05016-00-00,9/30/2024 12:00:00 AM,Madison,597,136,117,1424,30
25-009-05016-00-00,8/31/2024 12:00:00 AM,Madison,597,137,135,1471,31
25-009-05016-00-00,7/31/2024 12:00:00 AM,Madison,597,136,109,1471,31
25-009-05016-00-00,6/30/2024 12:00:00 AM,Madison,597,129,96,1424,30
25-009-05016-00-00,5/31/2024 12:00:00 AM,Madison,597,129,100,1471,31
25-009-05016-00-00,4/30/2024 12:00:00 AM,Madison,597,125,89,1424,30
25-009-05016-00-00,3/31/2024 12:00:00 AM,Madison,597,141,98,1471,31
25-009-05016-00-00,2/29/2024 12:00:00 AM,Madison,597,129,111,1376,29
25-009-05016-00-00,1/31/2024 12:00:00 AM,Madison,597,127,124,1471,31
25-009-05016-00-00,12/31/2023 12:00:00 AM,Madison,597,141,104,1476,31
25-009-05016-00-00,11/30/2023 12:00:00 AM,Madison,597,126,135,1424,30
25-009-05016-00-00,10/31/2023 12:00:00 AM,Madison,597,136,148,1471,31
25-009-05016-00-00,9/30/2023 12:00:00 AM,Madison,597,132,117,1421,30
25-009-05016-00-00,8/31/2023 12:00:00 AM,Madison,597,135,215,1452,31
25-009-05016-00-00,7/31/2023 12:00:00 AM,Madison,597,115,68,1406,31
25-009-05016-00-00,6/30/2023 12:00:00 AM,Madison,597,114,13,1370,30
25-009-05016-00-00,5/31/2023 12:00:00 AM,Madison,597,116,62,1432,31
25-009-05016-00-00,4/30/2023 12:00:00 AM,Madison,597,47,0,1082,30
25-009-05016-00-00,3/31/2023 12:00:00 AM,Madison,597,54,83,1082,31
25-009-05016-00-00,2/28/2023 12:00:00 AM,Madison,597,51,47,969,28
25-009-05016-00-00,1/31/2023 12:00:00 AM,Madison,597,60,79,1073,31
25-009-05016-00-00,12/31/2022 12:00:00 AM,Madison,597,52,61,1073,31
25-009-05016-00-00,11/30/2022 12:00:00 AM,Madison,597,54,53,1039,30
25-009-05016-00-00,10/31/2022 12:00:00 AM,Madison,597,61,46,1099,31
25-009-05016-00-00,9/30/2022 12:00:00 AM,Madison,597,113,54,1360,30
25-009-05016-00-00,8/31/2022 12:00:00 AM,Madison,597,110,36,1437,31
25-009-05016-00-00,7/31/2022 12:00:00 AM,Madison,597,117,25,1443,31
25-009-05016-00-00,6/30/2022 12:00:00 AM,Madison,597,176,51,1424,30
25-009-05016-00-00,5/31/2022 12:00:00 AM,Madison,597,164,49,1475,31
25-009-05016-00-00,4/30/2022 12:00:00 AM,Madison,597,159,49,1430,30
