API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-025-21640-00-00,11/30/1997 12:00:00 AM,Red River,5054,0,5,0,0
25-025-21640-00-00,10/31/1997 12:00:00 AM,Red River,5054,968,184,1514,22
25-025-21640-00-00,9/30/1997 12:00:00 AM,Red River,5054,1479,266,2027,29
25-025-21640-00-00,8/31/1997 12:00:00 AM,Red River,5054,2181,414,2565,31
25-025-21640-00-00,7/31/1997 12:00:00 AM,Red River,5054,2701,513,2643,31
25-025-21640-00-00,6/30/1997 12:00:00 AM,Red River,5054,2621,498,2955,30
25-025-21640-00-00,5/31/1997 12:00:00 AM,Red River,5054,2983,567,2287,31
25-025-21640-00-00,4/30/1997 12:00:00 AM,Red River,5054,3490,663,2161,24
25-025-21640-00-00,3/31/1997 12:00:00 AM,Red River,5054,2558,486,2827,20
25-025-21640-00-00,2/28/1997 12:00:00 AM,Red River,5054,0,0,0,0
25-025-21640-00-00,1/31/1997 12:00:00 AM,Red River,5054,0,0,0,0
