API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-101-23899-00-00,6/30/2025 12:00:00 AM,Swift,6475,0,213,0,30
25-101-23899-00-00,5/31/2025 12:00:00 AM,Swift,6475,0,142,0,31
25-101-23899-00-00,4/30/2025 12:00:00 AM,Swift,6475,0,129,0,30
25-101-23899-00-00,3/31/2025 12:00:00 AM,Swift,6475,0,144,0,31
25-101-23899-00-00,2/28/2025 12:00:00 AM,Swift,6475,0,46,0,28
25-101-23899-00-00,1/31/2025 12:00:00 AM,Swift,6475,0,138,0,31
25-101-23899-00-00,12/31/2024 12:00:00 AM,Swift,6475,0,154,0,31
25-101-23899-00-00,11/30/2024 12:00:00 AM,Swift,6475,0,165,0,30
25-101-23899-00-00,10/31/2024 12:00:00 AM,Swift,6475,0,159,0,31
25-101-23899-00-00,9/30/2024 12:00:00 AM,Swift,6475,0,100,0,30
25-101-23899-00-00,8/31/2024 12:00:00 AM,Swift,6475,0,134,0,31
25-101-23899-00-00,7/31/2024 12:00:00 AM,Swift,6475,0,135,0,31
25-101-23899-00-00,6/30/2024 12:00:00 AM,Swift,6475,0,134,0,30
25-101-23899-00-00,5/31/2024 12:00:00 AM,Swift,6475,0,88,0,31
25-101-23899-00-00,4/30/2024 12:00:00 AM,Swift,6475,0,74,0,30
25-101-23899-00-00,3/31/2024 12:00:00 AM,Swift,6475,0,100,0,31
25-101-23899-00-00,2/29/2024 12:00:00 AM,Swift,6475,0,99,0,29
25-101-23899-00-00,1/31/2024 12:00:00 AM,Swift,6475,0,37,0,31
25-101-23899-00-00,12/31/2023 12:00:00 AM,Swift,6475,0,128,0,31
25-101-23899-00-00,11/30/2023 12:00:00 AM,Swift,6475,0,133,0,30
25-101-23899-00-00,10/31/2023 12:00:00 AM,Swift,6475,0,99,0,31
25-101-23899-00-00,9/30/2023 12:00:00 AM,Swift,6475,0,84,0,30
25-101-23899-00-00,8/31/2023 12:00:00 AM,Swift,6475,0,77,0,31
25-101-23899-00-00,7/31/2023 12:00:00 AM,Swift,6475,0,69,0,31
25-101-23899-00-00,6/30/2023 12:00:00 AM,Swift,6475,0,68,0,30
25-101-23899-00-00,5/31/2023 12:00:00 AM,Swift,6475,0,58,0,31
25-101-23899-00-00,4/30/2023 12:00:00 AM,Swift,6475,0,54,0,30
25-101-23899-00-00,3/31/2023 12:00:00 AM,Swift,6475,0,62,0,31
25-101-23899-00-00,2/28/2023 12:00:00 AM,Swift,6475,0,61,0,28
25-101-23899-00-00,1/31/2023 12:00:00 AM,Swift,6475,0,68,0,31
25-101-23899-00-00,12/31/2022 12:00:00 AM,Swift,6475,0,89,0,31
25-101-23899-00-00,11/30/2022 12:00:00 AM,Swift,6475,0,91,0,30
25-101-23899-00-00,10/31/2022 12:00:00 AM,Swift,6475,0,110,0,31
25-101-23899-00-00,9/30/2022 12:00:00 AM,Swift,6475,0,125,0,30
25-101-23899-00-00,8/31/2022 12:00:00 AM,Swift,6475,0,72,0,31
25-101-23899-00-00,7/31/2022 12:00:00 AM,Swift,6475,0,193,0,31
25-101-23899-00-00,6/30/2022 12:00:00 AM,Swift,6475,0,178,0,30
25-101-23899-00-00,5/31/2022 12:00:00 AM,Swift,6475,0,163,0,31
25-101-23899-00-00,4/30/2022 12:00:00 AM,Swift,6475,0,185,0,30
25-101-23899-00-00,3/31/2022 12:00:00 AM,Swift,6475,0,185,0,31
25-101-23899-00-00,2/28/2022 12:00:00 AM,Swift,6475,0,147,0,28
25-101-23899-00-00,1/31/2022 12:00:00 AM,Swift,6475,0,108,0,31
25-101-23899-00-00,12/31/2021 12:00:00 AM,Swift,6475,0,110,0,31
25-101-23899-00-00,11/30/2021 12:00:00 AM,Swift,6475,0,105,0,30
25-101-23899-00-00,10/31/2021 12:00:00 AM,Swift,6475,0,141,0,31
25-101-23899-00-00,9/30/2021 12:00:00 AM,Swift,6475,0,123,0,30
25-101-23899-00-00,8/31/2021 12:00:00 AM,Swift,6475,0,132,0,31
25-101-23899-00-00,7/31/2021 12:00:00 AM,Swift,6475,0,116,0,31
25-101-23899-00-00,6/30/2021 12:00:00 AM,Swift,6475,0,124,0,30
25-101-23899-00-00,5/31/2021 12:00:00 AM,Swift,6475,0,142,0,31
25-101-23899-00-00,4/30/2021 12:00:00 AM,Swift,6475,0,179,0,30
25-101-23899-00-00,3/31/2021 12:00:00 AM,Swift,6475,0,213,0,31
25-101-23899-00-00,2/28/2021 12:00:00 AM,Swift,6475,0,143,0,28
25-101-23899-00-00,1/31/2021 12:00:00 AM,Swift,6475,0,190,0,31
25-101-23899-00-00,12/31/2020 12:00:00 AM,Swift,6475,0,230,0,31
25-101-23899-00-00,11/30/2020 12:00:00 AM,Swift,6475,0,279,0,30
25-101-23899-00-00,10/31/2020 12:00:00 AM,Swift,6475,0,281,0,31
25-101-23899-00-00,9/30/2020 12:00:00 AM,Swift,6475,0,278,0,30
25-101-23899-00-00,8/31/2020 12:00:00 AM,Swift,6475,0,294,0,31
25-101-23899-00-00,7/31/2020 12:00:00 AM,Swift,6475,0,244,0,31
25-101-23899-00-00,6/30/2020 12:00:00 AM,Swift,6475,0,250,0,30
25-101-23899-00-00,5/31/2020 12:00:00 AM,Swift,6475,0,271,0,31
25-101-23899-00-00,4/30/2020 12:00:00 AM,Swift,6475,0,208,0,30
25-101-23899-00-00,3/31/2020 12:00:00 AM,Swift,6475,0,199,0,31
25-101-23899-00-00,2/29/2020 12:00:00 AM,Swift,6475,0,182,0,29
25-101-23899-00-00,1/31/2020 12:00:00 AM,Swift,6475,0,209,0,31
25-101-23899-00-00,12/31/2019 12:00:00 AM,Swift,6475,0,196,0,31
25-101-23899-00-00,11/30/2019 12:00:00 AM,Swift,6475,0,181,0,30
25-101-23899-00-00,10/31/2019 12:00:00 AM,Swift,6475,0,183,0,31
25-101-23899-00-00,9/30/2019 12:00:00 AM,Swift,6475,0,258,0,30
25-101-23899-00-00,8/31/2019 12:00:00 AM,Swift,6475,0,236,0,31
25-101-23899-00-00,7/31/2019 12:00:00 AM,Swift,6475,0,225,0,31
25-101-23899-00-00,6/30/2019 12:00:00 AM,Swift,6475,0,244,0,30
25-101-23899-00-00,5/31/2019 12:00:00 AM,Swift,6475,0,275,0,31
25-101-23899-00-00,4/30/2019 12:00:00 AM,Swift,6475,0,233,0,30
25-101-23899-00-00,3/31/2019 12:00:00 AM,Swift,6475,0,263,0,31
25-101-23899-00-00,2/28/2019 12:00:00 AM,Swift,6475,0,164,0,28
25-101-23899-00-00,1/31/2019 12:00:00 AM,Swift,6475,0,234,0,31
25-101-23899-00-00,12/31/2018 12:00:00 AM,Swift,6475,0,220,0,31
25-101-23899-00-00,11/30/2018 12:00:00 AM,Swift,6475,0,186,0,30
25-101-23899-00-00,10/31/2018 12:00:00 AM,Swift,6475,0,154,0,31
25-101-23899-00-00,9/30/2018 12:00:00 AM,Swift,6475,0,100,0,30
25-101-23899-00-00,8/31/2018 12:00:00 AM,Swift,6475,0,159,0,31
25-101-23899-00-00,7/31/2018 12:00:00 AM,Swift,6475,0,118,0,31
25-101-23899-00-00,6/30/2018 12:00:00 AM,Swift,6475,0,148,0,30
25-101-23899-00-00,5/31/2018 12:00:00 AM,Swift,6475,0,192,0,31
25-101-23899-00-00,4/30/2018 12:00:00 AM,Swift,6475,0,174,0,30
25-101-23899-00-00,3/31/2018 12:00:00 AM,Swift,6475,0,216,0,31
25-101-23899-00-00,2/28/2018 12:00:00 AM,Swift,6475,0,199,0,28
25-101-23899-00-00,1/31/2018 12:00:00 AM,Swift,6475,0,266,0,31
25-101-23899-00-00,12/31/2017 12:00:00 AM,Swift,6475,0,179,0,31
25-101-23899-00-00,11/30/2017 12:00:00 AM,Swift,6475,0,211,0,30
25-101-23899-00-00,10/31/2017 12:00:00 AM,Swift,6475,0,287,0,31
25-101-23899-00-00,9/30/2017 12:00:00 AM,Swift,6475,0,254,0,30
25-101-23899-00-00,8/31/2017 12:00:00 AM,Swift,6475,0,278,0,31
25-101-23899-00-00,7/31/2017 12:00:00 AM,Swift,6475,0,295,0,31
25-101-23899-00-00,6/30/2017 12:00:00 AM,Swift,6475,0,253,0,30
25-101-23899-00-00,5/31/2017 12:00:00 AM,Swift,6475,0,314,0,31
25-101-23899-00-00,4/30/2017 12:00:00 AM,Swift,6475,0,339,0,30
25-101-23899-00-00,3/31/2017 12:00:00 AM,Swift,6475,0,381,0,31
25-101-23899-00-00,2/28/2017 12:00:00 AM,Swift,6475,0,234,0,28
25-101-23899-00-00,1/31/2017 12:00:00 AM,Swift,6475,0,261,0,31
25-101-23899-00-00,12/31/2016 12:00:00 AM,Swift,6475,0,318,0,31
25-101-23899-00-00,11/30/2016 12:00:00 AM,Swift,6475,0,314,0,30
25-101-23899-00-00,10/31/2016 12:00:00 AM,Swift,6475,0,326,0,31
25-101-23899-00-00,9/30/2016 12:00:00 AM,Swift,6475,0,307,0,30
25-101-23899-00-00,8/31/2016 12:00:00 AM,Swift,6475,0,291,0,31
25-101-23899-00-00,7/31/2016 12:00:00 AM,Swift,6475,0,354,0,31
25-101-23899-00-00,6/30/2016 12:00:00 AM,Swift,6475,0,290,0,30
25-101-23899-00-00,5/31/2016 12:00:00 AM,Swift,6475,0,318,0,31
25-101-23899-00-00,4/30/2016 12:00:00 AM,Swift,6475,0,313,0,30
25-101-23899-00-00,3/31/2016 12:00:00 AM,Swift,6475,0,368,0,31
25-101-23899-00-00,2/29/2016 12:00:00 AM,Swift,6475,0,400,0,29
25-101-23899-00-00,1/31/2016 12:00:00 AM,Swift,6475,0,402,0,31
25-101-23899-00-00,12/31/2015 12:00:00 AM,Swift,6475,0,396,0,31
25-101-23899-00-00,11/30/2015 12:00:00 AM,Swift,6475,0,452,0,30
25-101-23899-00-00,10/31/2015 12:00:00 AM,Swift,6475,0,446,0,31
25-101-23899-00-00,9/30/2015 12:00:00 AM,Swift,6475,0,446,0,30
25-101-23899-00-00,8/31/2015 12:00:00 AM,Swift,6475,0,411,0,31
25-101-23899-00-00,7/31/2015 12:00:00 AM,Swift,6475,0,373,0,31
25-101-23899-00-00,6/30/2015 12:00:00 AM,Swift,6475,0,380,0,30
25-101-23899-00-00,5/31/2015 12:00:00 AM,Swift,6475,0,462,0,31
25-101-23899-00-00,4/30/2015 12:00:00 AM,Swift,6475,0,382,0,30
25-101-23899-00-00,3/31/2015 12:00:00 AM,Swift,6475,0,355,0,31
25-101-23899-00-00,2/28/2015 12:00:00 AM,Swift,6475,0,319,0,28
25-101-23899-00-00,1/31/2015 12:00:00 AM,Swift,6475,0,417,0,31
25-101-23899-00-00,12/31/2014 12:00:00 AM,Swift,6475,0,480,0,31
25-101-23899-00-00,11/30/2014 12:00:00 AM,Swift,6475,0,482,0,30
25-101-23899-00-00,10/31/2014 12:00:00 AM,Swift,6475,0,534,0,31
25-101-23899-00-00,9/30/2014 12:00:00 AM,Swift,6475,0,387,0,30
25-101-23899-00-00,8/31/2014 12:00:00 AM,Swift,6475,0,482,0,31
25-101-23899-00-00,7/31/2014 12:00:00 AM,Swift,6475,0,488,0,31
25-101-23899-00-00,6/30/2014 12:00:00 AM,Swift,6475,0,535,0,30
25-101-23899-00-00,5/31/2014 12:00:00 AM,Swift,6475,0,449,0,31
25-101-23899-00-00,4/30/2014 12:00:00 AM,Swift,6475,0,547,0,30
25-101-23899-00-00,3/31/2014 12:00:00 AM,Swift,6475,0,706,0,31
25-101-23899-00-00,2/28/2014 12:00:00 AM,Swift,6475,0,634,0,28
25-101-23899-00-00,1/31/2014 12:00:00 AM,Swift,6475,0,690,0,31
25-101-23899-00-00,12/31/2013 12:00:00 AM,Swift,6475,0,640,0,31
25-101-23899-00-00,11/30/2013 12:00:00 AM,Swift,6475,0,712,0,30
25-101-23899-00-00,10/31/2013 12:00:00 AM,Swift,6475,0,695,0,31
25-101-23899-00-00,9/30/2013 12:00:00 AM,Swift,6475,0,788,0,30
25-101-23899-00-00,8/31/2013 12:00:00 AM,Swift,6475,0,868,0,31
25-101-23899-00-00,7/31/2013 12:00:00 AM,Swift,6475,0,865,0,31
25-101-23899-00-00,6/30/2013 12:00:00 AM,Swift,6475,0,736,0,30
25-101-23899-00-00,5/31/2013 12:00:00 AM,Swift,6475,0,856,0,31
25-101-23899-00-00,4/30/2013 12:00:00 AM,Swift,6475,0,860,0,30
