API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-083-22062-00-00,7/31/2025 12:00:00 AM,Bakken,6875,365,615,39,31
25-083-22062-00-00,6/30/2025 12:00:00 AM,Bakken,6875,370,594,39,30
25-083-22062-00-00,5/31/2025 12:00:00 AM,Bakken,6875,335,469,20,23
25-083-22062-00-00,4/30/2025 12:00:00 AM,Bakken,6875,377,557,38,30
25-083-22062-00-00,3/31/2025 12:00:00 AM,Bakken,6875,456,594,53,31
25-083-22062-00-00,2/28/2025 12:00:00 AM,Bakken,6875,474,493,54,28
25-083-22062-00-00,1/31/2025 12:00:00 AM,Bakken,6875,528,557,70,31
25-083-22062-00-00,12/31/2024 12:00:00 AM,Bakken,6875,521,597,94,31
25-083-22062-00-00,11/30/2024 12:00:00 AM,Bakken,6875,475,622,57,30
25-083-22062-00-00,10/31/2024 12:00:00 AM,Bakken,6875,513,648,54,31
25-083-22062-00-00,9/30/2024 12:00:00 AM,Bakken,6875,457,605,67,30
25-083-22062-00-00,8/31/2024 12:00:00 AM,Bakken,6875,474,660,56,31
25-083-22062-00-00,7/31/2024 12:00:00 AM,Bakken,6875,513,772,106,31
25-083-22062-00-00,6/30/2024 12:00:00 AM,Bakken,6875,452,714,62,30
25-083-22062-00-00,5/31/2024 12:00:00 AM,Bakken,6875,496,683,82,31
25-083-22062-00-00,4/30/2024 12:00:00 AM,Bakken,6875,480,731,73,30
25-083-22062-00-00,3/31/2024 12:00:00 AM,Bakken,6875,503,766,80,31
25-083-22062-00-00,2/29/2024 12:00:00 AM,Bakken,6875,476,726,88,29
25-083-22062-00-00,1/31/2024 12:00:00 AM,Bakken,6875,538,775,88,31
25-083-22062-00-00,12/31/2023 12:00:00 AM,Bakken,6875,549,726,73,31
25-083-22062-00-00,11/30/2023 12:00:00 AM,Bakken,6875,563,630,25,30
25-083-22062-00-00,10/31/2023 12:00:00 AM,Bakken,6875,691,689,21,31
25-083-22062-00-00,9/30/2023 12:00:00 AM,Bakken,6875,700,668,37,30
25-083-22062-00-00,8/31/2023 12:00:00 AM,Bakken,6875,753,701,36,31
25-083-22062-00-00,7/31/2023 12:00:00 AM,Bakken,6875,801,586,72,31
25-083-22062-00-00,6/30/2023 12:00:00 AM,Bakken,6875,396,300,27,25
25-083-22062-00-00,5/31/2023 12:00:00 AM,Bakken,6875,469,264,33,27
25-083-22062-00-00,4/30/2023 12:00:00 AM,Bakken,6875,468,435,61,30
25-083-22062-00-00,3/31/2023 12:00:00 AM,Bakken,6875,515,520,32,31
25-083-22062-00-00,2/28/2023 12:00:00 AM,Bakken,6875,470,479,32,28
25-083-22062-00-00,1/31/2023 12:00:00 AM,Bakken,6875,530,526,49,31
25-083-22062-00-00,12/31/2022 12:00:00 AM,Bakken,6875,452,538,30,30
25-083-22062-00-00,11/30/2022 12:00:00 AM,Bakken,6875,479,570,41,30
25-083-22062-00-00,10/31/2022 12:00:00 AM,Bakken,6875,505,654,51,31
25-083-22062-00-00,9/30/2022 12:00:00 AM,Bakken,6875,501,641,56,30
25-083-22062-00-00,8/31/2022 12:00:00 AM,Bakken,6875,458,580,41,29
25-083-22062-00-00,7/31/2022 12:00:00 AM,Bakken,6875,573,765,63,31
25-083-22062-00-00,6/30/2022 12:00:00 AM,Bakken,6875,602,692,38,30
25-083-22062-00-00,5/31/2022 12:00:00 AM,Bakken,6875,262,364,21,15
25-083-22062-00-00,4/30/2022 12:00:00 AM,Bakken,6875,509,658,45,30
25-083-22062-00-00,3/31/2022 12:00:00 AM,Bakken,6875,647,810,55,31
25-083-22062-00-00,2/28/2022 12:00:00 AM,Bakken,6875,580,723,41,28
25-083-22062-00-00,1/31/2022 12:00:00 AM,Bakken,6875,663,825,46,31
25-083-22062-00-00,12/31/2021 12:00:00 AM,Bakken,6875,667,843,39,31
25-083-22062-00-00,11/30/2021 12:00:00 AM,Bakken,6875,717,929,53,30
25-083-22062-00-00,10/31/2021 12:00:00 AM,Bakken,6875,724,951,49,31
25-083-22062-00-00,9/30/2021 12:00:00 AM,Bakken,6875,780,1084,53,30
25-083-22062-00-00,8/31/2021 12:00:00 AM,Bakken,6875,817,889,45,31
25-083-22062-00-00,7/31/2021 12:00:00 AM,Bakken,6875,706,752,36,31
25-083-22062-00-00,6/30/2021 12:00:00 AM,Bakken,6875,618,605,26,30
25-083-22062-00-00,5/31/2021 12:00:00 AM,Bakken,6875,699,672,30,31
25-083-22062-00-00,4/30/2021 12:00:00 AM,Bakken,6875,584,557,20,30
25-083-22062-00-00,3/31/2021 12:00:00 AM,Bakken,6875,843,773,44,31
25-083-22062-00-00,2/28/2021 12:00:00 AM,Bakken,6875,618,536,26,28
25-083-22062-00-00,1/31/2021 12:00:00 AM,Bakken,6875,858,744,44,31
25-083-22062-00-00,12/31/2020 12:00:00 AM,Bakken,6875,905,736,49,31
25-083-22062-00-00,11/30/2020 12:00:00 AM,Bakken,6875,819,628,43,30
25-083-22062-00-00,10/31/2020 12:00:00 AM,Bakken,6875,705,552,21,31
25-083-22062-00-00,9/30/2020 12:00:00 AM,Bakken,6875,768,596,30,28
25-083-22062-00-00,8/31/2020 12:00:00 AM,Bakken,6875,699,570,0,31
25-083-22062-00-00,7/31/2020 12:00:00 AM,Bakken,6875,754,638,0,31
25-083-22062-00-00,6/30/2020 12:00:00 AM,Bakken,6875,202,151,0,6
25-083-22062-00-00,5/31/2020 12:00:00 AM,Bakken,6875,0,0,0,0
25-083-22062-00-00,4/30/2020 12:00:00 AM,Bakken,6875,244,278,0,17
25-083-22062-00-00,3/31/2020 12:00:00 AM,Bakken,6875,518,565,0,31
25-083-22062-00-00,2/29/2020 12:00:00 AM,Bakken,6875,497,590,0,29
25-083-22062-00-00,1/31/2020 12:00:00 AM,Bakken,6875,538,676,0,31
25-083-22062-00-00,12/31/2019 12:00:00 AM,Bakken,6875,622,765,0,31
25-083-22062-00-00,11/30/2019 12:00:00 AM,Bakken,6875,786,833,0,30
25-083-22062-00-00,10/31/2019 12:00:00 AM,Bakken,6875,592,753,0,28
