API_WellNo,RptDate,Formation,Lease_Unit,BBLS_OIL_COND,MCF_GAS,BBLS_WTR,DAYS_PROD
25-073-05272-00-00,5/31/2025 12:00:00 AM,Madison,638,187,0,444,31
25-073-05272-00-00,4/30/2025 12:00:00 AM,Madison,638,178,0,406,29
25-073-05272-00-00,3/31/2025 12:00:00 AM,Madison,638,186,0,434,31
25-073-05272-00-00,2/28/2025 12:00:00 AM,Madison,638,162,0,323,28
25-073-05272-00-00,1/31/2025 12:00:00 AM,Madison,638,191,0,367,31
25-073-05272-00-00,12/31/2024 12:00:00 AM,Madison,638,202,0,357,31
25-073-05272-00-00,11/30/2024 12:00:00 AM,Madison,638,187,0,418,30
25-073-05272-00-00,10/31/2024 12:00:00 AM,Madison,638,197,0,481,31
25-073-05272-00-00,9/30/2024 12:00:00 AM,Madison,638,179,0,468,30
25-073-05272-00-00,8/31/2024 12:00:00 AM,Madison,638,192,0,441,31
25-073-05272-00-00,7/31/2024 12:00:00 AM,Madison,638,210,0,435,31
25-073-05272-00-00,6/30/2024 12:00:00 AM,Madison,638,202,0,423,30
25-073-05272-00-00,5/31/2024 12:00:00 AM,Madison,638,209,0,427,31
25-073-05272-00-00,4/30/2024 12:00:00 AM,Madison,638,179,0,376,30
25-073-05272-00-00,3/31/2024 12:00:00 AM,Madison,638,168,0,365,31
25-073-05272-00-00,2/29/2024 12:00:00 AM,Madison,638,182,0,370,29
25-073-05272-00-00,1/31/2024 12:00:00 AM,Madison,638,108,0,263,19
25-073-05272-00-00,12/31/2023 12:00:00 AM,Madison,638,208,0,451,31
25-073-05272-00-00,11/30/2023 12:00:00 AM,Madison,638,200,0,440,30
25-073-05272-00-00,10/31/2023 12:00:00 AM,Madison,638,218,0,446,31
25-073-05272-00-00,9/30/2023 12:00:00 AM,Madison,638,199,0,470,30
25-073-05272-00-00,8/31/2023 12:00:00 AM,Madison,638,185,0,431,29
25-073-05272-00-00,7/31/2023 12:00:00 AM,Madison,638,205,0,472,31
25-073-05272-00-00,6/30/2023 12:00:00 AM,Madison,638,173,0,401,29
25-073-05272-00-00,5/31/2023 12:00:00 AM,Madison,638,171,0,439,31
25-073-05272-00-00,4/30/2023 12:00:00 AM,Madison,638,134,0,432,30
25-073-05272-00-00,3/31/2023 12:00:00 AM,Madison,638,188,0,435,31
25-073-05272-00-00,2/28/2023 12:00:00 AM,Madison,638,174,0,388,28
25-073-05272-00-00,1/31/2023 12:00:00 AM,Madison,638,202,0,433,31
25-073-05272-00-00,12/31/2022 12:00:00 AM,Madison,638,179,0,434,31
