"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25025067530000","Williston Basin Interstate Pipeline Company","282","Gas","P&A - Approved","Fallon","Cedar Creek","4N-62E","30",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-025-06753-00-00","5/31/1997 12:00:00 AM","Eagle","2449","0","1577","0","30",
"25-025-06753-00-00","9/30/1993 12:00:00 AM","Eagle","6168","0","0","0","0",
"25-025-06753-00-00","8/31/1993 12:00:00 AM","Eagle","6168","0","0","0","0",
"25-025-06753-00-00","7/31/1993 12:00:00 AM","Eagle","6168","0","0","0","0",
"25-025-06753-00-00","6/30/1993 12:00:00 AM","Eagle","6168","0","0","0","0",
"25-025-06753-00-00","5/31/1993 12:00:00 AM","Eagle","6168","0","0","0","0",
"25-025-06753-00-00","4/30/1993 12:00:00 AM","Eagle","6168","0","0","0","0",
"25-025-06753-00-00","3/31/1993 12:00:00 AM","Eagle","6168","0","0","0","0",
"25-025-06753-00-00","2/28/1993 12:00:00 AM","Eagle","6168","0","0","0","0",
"25-025-06753-00-00","1/31/1993 12:00:00 AM","Eagle","6168","0","0","0","0",
"25-025-06753-00-00","12/31/1992 12:00:00 AM","Eagle","6168","0","0","0","0",
"25-025-06753-00-00","11/30/1992 12:00:00 AM","Eagle","6168","0","0","0","0",
"25-025-06753-00-00","10/31/1992 12:00:00 AM","Eagle","6168","0","0","0","0",
"25-025-06753-00-00","9/30/1992 12:00:00 AM","Eagle","6168","0","0","0","0",
"25-025-06753-00-00","8/31/1992 12:00:00 AM","Eagle","6168","0","0","0","0",
"25-025-06753-00-00","7/31/1992 12:00:00 AM","Eagle","6168","0","0","0","0",
"25-025-06753-00-00","6/30/1992 12:00:00 AM","Eagle","6168","0","0","0","0",
"25-025-06753-00-00","5/31/1992 12:00:00 AM","Eagle","6168","0","0","0","0",
"25-025-06753-00-00","4/30/1992 12:00:00 AM","Eagle","2449","0","142","0","3",
"25-025-06753-00-00","3/31/1992 12:00:00 AM","Eagle","2449","0","346","0","3",
"25-025-06753-00-00","2/29/1992 12:00:00 AM","Eagle","2449","0","280","0","3",
"25-025-06753-00-00","1/31/1992 12:00:00 AM","Eagle","2449","0","248","0","3",
"25-025-06753-00-00","12/31/1991 12:00:00 AM","Eagle","2449","0","306","0","3",
"25-025-06753-00-00","11/30/1991 12:00:00 AM","Eagle","2449","0","258","0","4",
"25-025-06753-00-00","10/31/1991 12:00:00 AM","Eagle","2449","0","234","0","4",
"25-025-06753-00-00","9/30/1991 12:00:00 AM","Eagle","2449","0","209","0","4",
"25-025-06753-00-00","8/31/1991 12:00:00 AM","Eagle","2449","0","352","0","3",
"25-025-06753-00-00","7/31/1991 12:00:00 AM","Eagle","2449","0","408","0","3",
"25-025-06753-00-00","6/30/1991 12:00:00 AM","Eagle","2449","0","411","0","5",
"25-025-06753-00-00","5/31/1991 12:00:00 AM","Eagle","2449","0","374","0","4",
"25-025-06753-00-00","4/30/1991 12:00:00 AM","Eagle","2449","0","203","0","3",
"25-025-06753-00-00","3/31/1991 12:00:00 AM","Eagle","2449","0","293","0","4",
"25-025-06753-00-00","2/28/1991 12:00:00 AM","Eagle","2449","0","139","0","4",
"25-025-06753-00-00","1/31/1991 12:00:00 AM","Eagle","2449","0","47","0","5",
"25-025-06753-00-00","12/31/1990 12:00:00 AM","Eagle","2449","0","165","0","4",
"25-025-06753-00-00","11/30/1990 12:00:00 AM","Eagle","2449","0","214","0","3",
"25-025-06753-00-00","10/31/1990 12:00:00 AM","Eagle","2449","0","262","0","4",
"25-025-06753-00-00","9/30/1990 12:00:00 AM","Eagle","2449","0","155","0","4",
"25-025-06753-00-00","8/31/1990 12:00:00 AM","Eagle","2449","0","35","0","3",
"25-025-06753-00-00","7/31/1990 12:00:00 AM","Eagle","2449","0","196","0","4",
"25-025-06753-00-00","6/30/1990 12:00:00 AM","Eagle","2449","0","192","0","4",
"25-025-06753-00-00","5/31/1990 12:00:00 AM","Eagle","2449","0","302","0","4",
"25-025-06753-00-00","4/30/1990 12:00:00 AM","Eagle","2449","0","220","0","4",
"25-025-06753-00-00","3/31/1990 12:00:00 AM","Eagle","2449","0","311","0","4",
"25-025-06753-00-00","2/28/1990 12:00:00 AM","Eagle","2449","0","244","0","4",
"25-025-06753-00-00","1/31/1990 12:00:00 AM","Eagle","2449","0","168","0","3",
"25-025-06753-00-00","12/31/1989 12:00:00 AM","Eagle","2449","0","326","0","8",
"25-025-06753-00-00","11/30/1989 12:00:00 AM","Eagle","2449","0","168","0","7",
"25-025-06753-00-00","10/31/1989 12:00:00 AM","Eagle","2449","0","169","0","5",
"25-025-06753-00-00","9/30/1989 12:00:00 AM","Eagle","2449","0","192","0","6",
"25-025-06753-00-00","8/31/1989 12:00:00 AM","Eagle","2449","0","1107","0","31",
"25-025-06753-00-00","7/31/1989 12:00:00 AM","Eagle","2449","0","225","0","4",
"25-025-06753-00-00","6/30/1989 12:00:00 AM","Eagle","2449","0","106","0","2",
"25-025-06753-00-00","5/31/1989 12:00:00 AM","Eagle","2449","0","344","0","7",
"25-025-06753-00-00","4/30/1989 12:00:00 AM","Eagle","2449","0","51","0","3",
"25-025-06753-00-00","3/31/1989 12:00:00 AM","Eagle","2449","0","115","0","2",
"25-025-06753-00-00","2/28/1989 12:00:00 AM","Eagle","2449","0","180","0","6",
"25-025-06753-00-00","1/31/1989 12:00:00 AM","Eagle","2449","0","1040","0","31",
"25-025-06753-00-00","12/31/1988 12:00:00 AM","Eagle","2449","0","1050","0","31",
"25-025-06753-00-00","11/30/1988 12:00:00 AM","Eagle","2449","0","834","0","30",
"25-025-06753-00-00","10/31/1988 12:00:00 AM","Eagle","2449","0","917","0","31",
"25-025-06753-00-00","9/30/1988 12:00:00 AM","Eagle","2449","0","183","0","6",
"25-025-06753-00-00","8/31/1988 12:00:00 AM","Eagle","2449","0","67","0","3",
"25-025-06753-00-00","7/31/1988 12:00:00 AM","Eagle","2449","0","203","0","4",
"25-025-06753-00-00","6/30/1988 12:00:00 AM","Eagle","2449","0","60","0","2",
"25-025-06753-00-00","5/31/1988 12:00:00 AM","Eagle","2449","0","8","0","3",
"25-025-06753-00-00","4/30/1988 12:00:00 AM","Eagle","2449","0","97","0","2",
"25-025-06753-00-00","3/31/1988 12:00:00 AM","Eagle","2449","0","268","0","4",
"25-025-06753-00-00","2/29/1988 12:00:00 AM","Eagle","2449","0","166","0","2",
"25-025-06753-00-00","1/31/1988 12:00:00 AM","Eagle","2449","0","119","0","3",
"25-025-06753-00-00","12/31/1987 12:00:00 AM","Eagle","2449","0","91","0","3",
"25-025-06753-00-00","11/30/1987 12:00:00 AM","Eagle","2449","0","99","0","3",
"25-025-06753-00-00","10/31/1987 12:00:00 AM","Eagle","2449","0","10","0","4",
"25-025-06753-00-00","9/30/1987 12:00:00 AM","Eagle","2449","0","49","0","2",
"25-025-06753-00-00","8/31/1987 12:00:00 AM","Eagle","2449","0","236","0","5",
"25-025-06753-00-00","7/31/1987 12:00:00 AM","Eagle","2449","0","120","0","5",
"25-025-06753-00-00","6/30/1987 12:00:00 AM","Eagle","2449","0","110","0","3",
"25-025-06753-00-00","5/31/1987 12:00:00 AM","Eagle","2449","0","91","0","3",
"25-025-06753-00-00","4/30/1987 12:00:00 AM","Eagle","2449","0","166","0","5",
"25-025-06753-00-00","3/31/1987 12:00:00 AM","Eagle","2449","0","89","0","3",
"25-025-06753-00-00","2/28/1987 12:00:00 AM","Eagle","2449","0","135","0","3",
"25-025-06753-00-00","1/31/1987 12:00:00 AM","Eagle","2449","0","110","0","3",
"25-025-06753-00-00","12/31/1986 12:00:00 AM","Eagle","2449","0","37","0","3",
"25-025-06753-00-00","11/30/1986 12:00:00 AM","Eagle","2449","0","246","0","6",
"25-025-06753-00-00","10/31/1986 12:00:00 AM","Eagle","2449","0","4","0","3",
"25-025-06753-00-00","9/30/1986 12:00:00 AM","Eagle","2449","0","14","0","2",
"25-025-06753-00-00","8/31/1986 12:00:00 AM","Eagle","2449","0","859","0","31",
"25-025-06753-00-00","7/31/1986 12:00:00 AM","Eagle","2449","0","930","0","31",
"25-025-06753-00-00","6/30/1986 12:00:00 AM","Eagle","2449","0","204","0","30",
"25-025-06753-00-00","5/31/1986 12:00:00 AM","Eagle","2449","0","248","0","31",
"25-025-06753-00-00","4/30/1986 12:00:00 AM","Eagle","2449","0","125","0","30",
"25-025-06753-00-00","3/31/1986 12:00:00 AM","Eagle","2449","0","558","0","31",
"25-025-06753-00-00","2/28/1986 12:00:00 AM","Eagle","2449","0","36","0","28",
"25-025-06753-00-00","1/31/1986 12:00:00 AM","Eagle","2449","0","620","0","31",

