"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25083213030000","MorningStar Operating LLC","Albin  1-28","Oil","P&A - Approved","Richland","Mustang","24N-57E","28",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-083-21303-00-00","8/31/2010 12:00:00 AM","Ratcliffe","48","0","0","0","0",
"25-083-21303-00-00","7/31/2010 12:00:00 AM","Ratcliffe","48","0","0","0","0",
"25-083-21303-00-00","6/30/2010 12:00:00 AM","Ratcliffe","48","0","0","0","0",
"25-083-21303-00-00","5/31/2010 12:00:00 AM","Ratcliffe","48","0","0","0","29",
"25-083-21303-00-00","4/30/2010 12:00:00 AM","Ratcliffe","48","0","0","0","0",
"25-083-21303-00-00","3/31/2010 12:00:00 AM","Ratcliffe","48","0","0","0","0",
"25-083-21303-00-00","2/28/2010 12:00:00 AM","Ratcliffe","48","0","0","0","0",
"25-083-21303-00-00","1/31/2010 12:00:00 AM","Ratcliffe","48","0","0","0","0",
"25-083-21303-00-00","12/31/2009 12:00:00 AM","Ratcliffe","48","0","0","0","0",
"25-083-21303-00-00","11/30/2009 12:00:00 AM","Ratcliffe","48","0","0","0","0",
"25-083-21303-00-00","10/31/2009 12:00:00 AM","Ratcliffe","48","0","0","0","0",
"25-083-21303-00-00","9/30/2009 12:00:00 AM","Ratcliffe","48","0","0","0","0",
"25-083-21303-00-00","8/31/2009 12:00:00 AM","Ratcliffe","48","0","0","0","0",
"25-083-21303-00-00","7/31/2009 12:00:00 AM","Ratcliffe","48","0","0","0","0",
"25-083-21303-00-00","6/30/2009 12:00:00 AM","Ratcliffe","48","0","0","0","0",
"25-083-21303-00-00","5/31/2009 12:00:00 AM","Ratcliffe","48","169","6","67","4",
"25-083-21303-00-00","4/30/2009 12:00:00 AM","Ratcliffe","48","330","48","149","5",
"25-083-21303-00-00","3/31/2009 12:00:00 AM","Ratcliffe","48","221","27","106","4",
"25-083-21303-00-00","2/28/2009 12:00:00 AM","Ratcliffe","48","76","17","260","4",
"25-083-21303-00-00","1/31/2009 12:00:00 AM","Ratcliffe","48","218","390","419","21",
"25-083-21303-00-00","12/31/2008 12:00:00 AM","Ratcliffe","48","349","119","281","15",
"25-083-21303-00-00","11/30/2008 12:00:00 AM","Ratcliffe","48","92","58","1147","28",
"25-083-21303-00-00","10/31/2008 12:00:00 AM","Ratcliffe","48","30","56","1528","30",
"25-083-21303-00-00","9/30/2008 12:00:00 AM","Ratcliffe","48","60","74","1845","25",
"25-083-21303-00-00","8/31/2008 12:00:00 AM","Red River","48","14","0","1863","20",
"25-083-21303-00-00","7/31/2008 12:00:00 AM","Ratcliffe","48","0","0","0","0",
"25-083-21303-00-00","6/30/2008 12:00:00 AM","Ratcliffe","48","0","0","0","0",
"25-083-21303-00-00","5/31/2008 12:00:00 AM","Ratcliffe","48","109","49","192","14",
"25-083-21303-00-00","4/30/2008 12:00:00 AM","Ratcliffe","48","334","286","343","30",
"25-083-21303-00-00","3/31/2008 12:00:00 AM","Ratcliffe","48","470","317","306","31",
"25-083-21303-00-00","2/29/2008 12:00:00 AM","Ratcliffe","48","373","306","233","29",
"25-083-21303-00-00","1/31/2008 12:00:00 AM","Ratcliffe","48","426","429","309","30",
"25-083-21303-00-00","12/31/2007 12:00:00 AM","Ratcliffe","48","497","355","345","31",
"25-083-21303-00-00","11/30/2007 12:00:00 AM","Ratcliffe","48","388","197","335","30",
"25-083-21303-00-00","10/31/2007 12:00:00 AM","Ratcliffe","48","391","182","381","31",
"25-083-21303-00-00","9/30/2007 12:00:00 AM","Ratcliffe","48","398","193","479","30",
"25-083-21303-00-00","8/31/2007 12:00:00 AM","Ratcliffe","48","342","136","423","31",
"25-083-21303-00-00","7/31/2007 12:00:00 AM","Ratcliffe","48","315","95","220","15",
"25-083-21303-00-00","6/30/2007 12:00:00 AM","Ratcliffe","48","471","233","312","28",
"25-083-21303-00-00","5/31/2007 12:00:00 AM","Ratcliffe","48","487","0","355","30",
"25-083-21303-00-00","4/30/2007 12:00:00 AM","Ratcliffe","48","408","135","344","27",
"25-083-21303-00-00","3/31/2007 12:00:00 AM","Ratcliffe","48","489","152","356","31",
"25-083-21303-00-00","2/28/2007 12:00:00 AM","Ratcliffe","48","416","101","213","24",
"25-083-21303-00-00","1/31/2007 12:00:00 AM","Ratcliffe","48","487","128","273","31",
"25-083-21303-00-00","12/31/2006 12:00:00 AM","Ratcliffe","48","541","203","359","31",
"25-083-21303-00-00","11/30/2006 12:00:00 AM","Ratcliffe","48","484","343","413","30",
"25-083-21303-00-00","10/31/2006 12:00:00 AM","Ratcliffe","48","464","547","287","31",
"25-083-21303-00-00","9/30/2006 12:00:00 AM","Ratcliffe","48","459","276","284","30",
"25-083-21303-00-00","8/31/2006 12:00:00 AM","Ratcliffe","48","450","164","355","31",
"25-083-21303-00-00","7/31/2006 12:00:00 AM","Ratcliffe","48","502","149","358","29",
"25-083-21303-00-00","6/30/2006 12:00:00 AM","Ratcliffe","48","472","274","418","29",
"25-083-21303-00-00","5/31/2006 12:00:00 AM","Ratcliffe","48","546","273","542","28",
"25-083-21303-00-00","4/30/2006 12:00:00 AM","Ratcliffe","48","497","262","391","28",
"25-083-21303-00-00","3/31/2006 12:00:00 AM","Ratcliffe","48","518","177","436","23",
"25-083-21303-00-00","2/28/2006 12:00:00 AM","Ratcliffe","48","517","553","429","26",
"25-083-21303-00-00","1/31/2006 12:00:00 AM","Ratcliffe","48","611","636","527","30",
"25-083-21303-00-00","12/31/2005 12:00:00 AM","Ratcliffe","48","551","420","566","28",
"25-083-21303-00-00","11/30/2005 12:00:00 AM","Ratcliffe","48","528","304","524","28",
"25-083-21303-00-00","10/31/2005 12:00:00 AM","Ratcliffe","48","545","662","572","31",
"25-083-21303-00-00","9/30/2005 12:00:00 AM","Ratcliffe","48","543","467","488","25",
"25-083-21303-00-00","8/31/2005 12:00:00 AM","Ratcliffe","48","720","535","628","28",
"25-083-21303-00-00","7/31/2005 12:00:00 AM","Ratcliffe","48","777","770","777","30",
"25-083-21303-00-00","6/30/2005 12:00:00 AM","Ratcliffe","48","1188","550","1220","30",
"25-083-21303-00-00","5/31/2005 12:00:00 AM","Bakken","48","258","276","530","10",
"25-083-21303-00-00","4/30/2005 12:00:00 AM","Bakken","48","759","414","1036","29",
"25-083-21303-00-00","3/31/2005 12:00:00 AM","Bakken","48","190","202","238","8",
"25-083-21303-00-00","2/28/2005 12:00:00 AM","Bakken","48","527","466","619","24",
"25-083-21303-00-00","1/31/2005 12:00:00 AM","Bakken","48","498","1081","561","18",
"25-083-21303-00-00","12/31/2004 12:00:00 AM","Bakken","48","878","808","1119","31",
"25-083-21303-00-00","11/30/2004 12:00:00 AM","Bakken","48","138","83","126","5",
"25-083-21303-00-00","10/31/2004 12:00:00 AM","Bakken","48","678","451","899","28",
"25-083-21303-00-00","9/30/2004 12:00:00 AM","Bakken","48","540","499","735","25",
"25-083-21303-00-00","8/31/2004 12:00:00 AM","Bakken","48","488","557","653","31",
"25-083-21303-00-00","7/31/2004 12:00:00 AM","Bakken","48","586","513","1015","31",
"25-083-21303-00-00","6/30/2004 12:00:00 AM","Bakken","48","215","39","218","6",
"25-083-21303-00-00","5/31/2004 12:00:00 AM","Bakken","48","704","412","682","27",
"25-083-21303-00-00","4/30/2004 12:00:00 AM","Bakken","48","778","480","848","30",
"25-083-21303-00-00","3/31/2004 12:00:00 AM","Bakken","48","864","359","789","26",
"25-083-21303-00-00","2/29/2004 12:00:00 AM","Bakken","48","0","8","0","0",
"25-083-21303-00-00","1/31/2004 12:00:00 AM","Bakken","48","532","249","416","20",
"25-083-21303-00-00","12/31/2003 12:00:00 AM","Bakken","48","818","377","724","31",
"25-083-21303-00-00","11/30/2003 12:00:00 AM","Bakken","48","958","573","800","30",
"25-083-21303-00-00","10/31/2003 12:00:00 AM","Bakken","48","845","433","750","31",
"25-083-21303-00-00","9/30/2003 12:00:00 AM","Bakken","48","816","372","644","28",
"25-083-21303-00-00","8/31/2003 12:00:00 AM","Bakken","48","832","683","983","31",
"25-083-21303-00-00","7/31/2003 12:00:00 AM","Bakken","48","1017","730","1167","31",
"25-083-21303-00-00","6/30/2003 12:00:00 AM","Bakken","48","568","685","669","30",
"25-083-21303-00-00","5/31/2003 12:00:00 AM","Bakken","48","894","706","928","31",
"25-083-21303-00-00","4/30/2003 12:00:00 AM","Bakken","48","841","745","935","30",
"25-083-21303-00-00","3/31/2003 12:00:00 AM","Bakken","48","927","814","947","31",
"25-083-21303-00-00","2/28/2003 12:00:00 AM","Bakken","48","735","582","886","28",
"25-083-21303-00-00","1/31/2003 12:00:00 AM","Bakken","48","900","626","1002","31",
"25-083-21303-00-00","12/31/2002 12:00:00 AM","Bakken","48","805","706","886","26",
"25-083-21303-00-00","11/30/2002 12:00:00 AM","Bakken","48","1001","920","1038","30",
"25-083-21303-00-00","10/31/2002 12:00:00 AM","Bakken","48","964","817","1117","31",
"25-083-21303-00-00","9/30/2002 12:00:00 AM","Bakken","48","722","519","849","30",
"25-083-21303-00-00","8/31/2002 12:00:00 AM","Bakken","48","807","577","961","31",
"25-083-21303-00-00","7/31/2002 12:00:00 AM","Bakken","48","795","570","944","31",
"25-083-21303-00-00","6/30/2002 12:00:00 AM","Bakken","48","819","482","874","30",
"25-083-21303-00-00","5/31/2002 12:00:00 AM","Bakken","48","802","513","635","27",
"25-083-21303-00-00","4/30/2002 12:00:00 AM","Bakken","48","866","600","626","30",
"25-083-21303-00-00","3/31/2002 12:00:00 AM","Bakken","48","886","500","685","31",
"25-083-21303-00-00","2/28/2002 12:00:00 AM","Bakken","48","432","612","314","28",
"25-083-21303-00-00","1/31/2002 12:00:00 AM","Bakken","48","474","461","364","29",
"25-083-21303-00-00","12/31/2001 12:00:00 AM","Bakken","48","489","774","569","21",
"25-083-21303-00-00","11/30/2001 12:00:00 AM","Bakken","48","847","1143","852","30",
"25-083-21303-00-00","10/31/2001 12:00:00 AM","Bakken","48","493","641","561","23",
"25-083-21303-00-00","9/30/2001 12:00:00 AM","Bakken","48","433","598","559","30",
"25-083-21303-00-00","8/31/2001 12:00:00 AM","Bakken","48","542","719","675","31",
"25-083-21303-00-00","7/31/2001 12:00:00 AM","Bakken","48","441","569","560","31",
"25-083-21303-00-00","6/30/2001 12:00:00 AM","Bakken","48","466","602","605","30",
"25-083-21303-00-00","5/31/2001 12:00:00 AM","Bakken","48","652","682","550","31",
"25-083-21303-00-00","4/30/2001 12:00:00 AM","Bakken","48","674","723","591","30",
"25-083-21303-00-00","3/31/2001 12:00:00 AM","Bakken","48","667","717","604","30",
"25-083-21303-00-00","2/28/2001 12:00:00 AM","Bakken","48","711","724","477","28",
"25-083-21303-00-00","1/31/2001 12:00:00 AM","Bakken","48","810","801","580","31",
"25-083-21303-00-00","12/31/2000 12:00:00 AM","Bakken","48","860","837","539","31",
