"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25091215700000","Continental Resources Inc","Allen  1","Injection - Disposal","Abandoned - Unapproved","Sheridan","Salt Lake","37N-56E","14",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-091-21570-00-00","10/31/1991 12:00:00 AM","Bakken","3570","0","0","0","0",
"25-091-21570-00-00","9/30/1991 12:00:00 AM","Bakken","3570","0","0","0","0",
"25-091-21570-00-00","8/31/1991 12:00:00 AM","Bakken","3570","0","0","0","0",
"25-091-21570-00-00","7/31/1991 12:00:00 AM","Bakken","3570","0","0","0","0",
"25-091-21570-00-00","6/30/1991 12:00:00 AM","Bakken","3570","0","0","0","0",
"25-091-21570-00-00","5/31/1991 12:00:00 AM","Bakken","3570","0","0","0","0",
"25-091-21570-00-00","4/30/1991 12:00:00 AM","Bakken","3570","0","0","0","0",
"25-091-21570-00-00","3/31/1991 12:00:00 AM","Bakken","3570","0","0","0","0",
"25-091-21570-00-00","2/28/1991 12:00:00 AM","Bakken","3570","0","0","0","0",
"25-091-21570-00-00","1/31/1991 12:00:00 AM","Bakken","3570","0","0","0","0",
"25-091-21570-00-00","5/31/1989 12:00:00 AM","Bakken","3570","119","0","1140","19",
"25-091-21570-00-00","4/30/1989 12:00:00 AM","Ratcliffe","3570","327","0","2002","26",
"25-091-21570-00-00","3/31/1989 12:00:00 AM","Ratcliffe","3570","259","0","800","8",
"25-091-21570-00-00","2/28/1989 12:00:00 AM","Ratcliffe","3570","2","0","7","1",
"25-091-21570-00-00","1/31/1989 12:00:00 AM","Ratcliffe","3570","12","0","7","1",
"25-091-21570-00-00","12/31/1988 12:00:00 AM","Ratcliffe","3570","1","0","7","1",
"25-091-21570-00-00","11/30/1988 12:00:00 AM","Ratcliffe","3570","2","0","4","1",
"25-091-21570-00-00","10/31/1988 12:00:00 AM","Ratcliffe","3570","2","0","434","2",
"25-091-21570-00-00","9/30/1988 12:00:00 AM","Ratcliffe","3570","6","0","217","1",
"25-091-21570-00-00","8/31/1988 12:00:00 AM","Ratcliffe","3570","12","0","217","0",
"25-091-21570-00-00","7/31/1988 12:00:00 AM","Ratcliffe","3570","9","0","217","1",
"25-091-21570-00-00","6/30/1988 12:00:00 AM","Ratcliffe","3570","9","0","217","1",
"25-091-21570-00-00","5/31/1988 12:00:00 AM","Ratcliffe","3570","12","0","6510","31",
"25-091-21570-00-00","4/30/1988 12:00:00 AM","Ratcliffe","3570","14","0","210","1",
"25-091-21570-00-00","3/31/1988 12:00:00 AM","Ratcliffe","3570","5","0","0","0",
"25-091-21570-00-00","2/29/1988 12:00:00 AM","Ratcliffe","3570","18","0","0","1",
"25-091-21570-00-00","1/31/1988 12:00:00 AM","Ratcliffe","3570","17","0","0","2",
"25-091-21570-00-00","11/30/1987 12:00:00 AM","Ratcliffe","3570","6","0","0","1",
"25-091-21570-00-00","10/31/1987 12:00:00 AM","Ratcliffe","3570","7","0","0","0",
"25-091-21570-00-00","8/31/1987 12:00:00 AM","Ratcliffe","3570","71","0","203","1",
"25-091-21570-00-00","7/31/1987 12:00:00 AM","Ratcliffe","3570","182","0","4669","23",
"25-091-21570-00-00","5/31/1987 12:00:00 AM","Ratcliffe","3570","231","0","2100","12",
"25-091-21570-00-00","3/31/1987 12:00:00 AM","Ratcliffe","3570","114","0","1755","17",
"25-091-21570-00-00","2/28/1987 12:00:00 AM","Ratcliffe","3570","197","0","2754","28",
"25-091-21570-00-00","1/31/1987 12:00:00 AM","Ratcliffe","3570","159","0","2970","23",
"25-091-21570-00-00","12/31/1986 12:00:00 AM","Ratcliffe","3570","207","0","3665","23",
"25-091-21570-00-00","11/30/1986 12:00:00 AM","Ratcliffe","3570","216","0","3311","29",
"25-091-21570-00-00","10/31/1986 12:00:00 AM","Ratcliffe","3570","301","0","4851","28",
"25-091-21570-00-00","9/30/1986 12:00:00 AM","Ratcliffe","3570","265","0","4285","25",
"25-091-21570-00-00","8/31/1986 12:00:00 AM","Ratcliffe","3570","310","0","1135","28",
"25-091-21570-00-00","7/31/1986 12:00:00 AM","Ratcliffe","3570","336","0","10753","27",
"25-091-21570-00-00","6/30/1986 12:00:00 AM","Ratcliffe","3570","366","0","7573","25",
"25-091-21570-00-00","5/31/1986 12:00:00 AM","Ratcliffe","3570","372","0","6965","24",
"25-091-21570-00-00","4/30/1986 12:00:00 AM","Ratcliffe","3570","405","0","771","23",
"25-091-21570-00-00","3/31/1986 12:00:00 AM","Ratcliffe","3570","442","0","8074","25",
"25-091-21570-00-00","2/28/1986 12:00:00 AM","Ratcliffe","3570","516","0","9503","27",
"25-091-21570-00-00","1/31/1986 12:00:00 AM","Ratcliffe","3570","661","0","10505","29",

