"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25025067800000","Williston Basin Interstate Pipeline Company","BN  300","Gas","P&A - Approved","Fallon","Cedar Creek","5N-61E","29",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-025-06780-00-00","10/31/1996 12:00:00 AM","Eagle","6169","0","0","0","0",
"25-025-06780-00-00","9/30/1996 12:00:00 AM","Eagle","6169","0","0","0","0",
"25-025-06780-00-00","8/31/1996 12:00:00 AM","Eagle","2450","0","287","0","5",
"25-025-06780-00-00","7/31/1996 12:00:00 AM","Eagle","2450","0","1517","0","31",
"25-025-06780-00-00","6/30/1996 12:00:00 AM","Eagle","2450","0","1438","0","30",
"25-025-06780-00-00","5/31/1996 12:00:00 AM","Eagle","2450","0","1584","0","31",
"25-025-06780-00-00","4/30/1996 12:00:00 AM","Eagle","2450","0","1352","0","29",
"25-025-06780-00-00","3/31/1996 12:00:00 AM","Eagle","2450","0","1482","0","31",
"25-025-06780-00-00","2/29/1996 12:00:00 AM","Eagle","2450","0","1425","0","29",
"25-025-06780-00-00","1/31/1996 12:00:00 AM","Eagle","2450","0","1509","0","31",
"25-025-06780-00-00","12/31/1995 12:00:00 AM","Eagle","2450","0","1378","0","31",
"25-025-06780-00-00","11/30/1995 12:00:00 AM","Eagle","2450","0","1426","0","30",
"25-025-06780-00-00","10/31/1995 12:00:00 AM","Eagle","2450","0","1495","0","31",
"25-025-06780-00-00","9/30/1995 12:00:00 AM","Eagle","2450","0","1418","0","29",
"25-025-06780-00-00","8/31/1995 12:00:00 AM","Eagle","2450","0","1512","0","31",
"25-025-06780-00-00","7/31/1995 12:00:00 AM","Eagle","2450","0","1679","0","31",
"25-025-06780-00-00","6/30/1995 12:00:00 AM","Eagle","2450","0","1557","0","30",
"25-025-06780-00-00","5/31/1995 12:00:00 AM","Eagle","2450","0","1635","0","31",
"25-025-06780-00-00","4/30/1995 12:00:00 AM","Eagle","2450","0","1516","0","29",
"25-025-06780-00-00","3/31/1995 12:00:00 AM","Eagle","2450","0","1470","0","31",
"25-025-06780-00-00","2/28/1995 12:00:00 AM","Eagle","2450","0","1339","0","28",
"25-025-06780-00-00","1/31/1995 12:00:00 AM","Eagle","2450","0","1427","0","31",
"25-025-06780-00-00","12/31/1994 12:00:00 AM","Eagle","2450","0","1510","0","31",
"25-025-06780-00-00","11/30/1994 12:00:00 AM","Eagle","2450","0","1565","0","30",
"25-025-06780-00-00","10/31/1994 12:00:00 AM","Eagle","6169","0","0","0","0",
"25-025-06780-00-00","9/30/1994 12:00:00 AM","Eagle","2450","0","1453","0","29",
"25-025-06780-00-00","8/31/1994 12:00:00 AM","Eagle","2450","0","1678","0","31",
"25-025-06780-00-00","7/31/1994 12:00:00 AM","Eagle","2450","0","1698","0","31",
"25-025-06780-00-00","6/30/1994 12:00:00 AM","Eagle","2450","0","1654","0","30",
"25-025-06780-00-00","5/31/1994 12:00:00 AM","Eagle","2450","0","1704","0","31",
"25-025-06780-00-00","4/30/1994 12:00:00 AM","Eagle","2450","0","1551","0","29",
