"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25083226720000","White Rock Oil & Gas, LLC","BR  41-3H 19","Oil","Producing","Richland","Elm Coulee","21N-59E","3",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-083-22672-00-00","7/31/2025 12:00:00 AM","Bakken","10433","236","221","63","31",
"25-083-22672-00-00","5/31/2025 12:00:00 AM","Bakken","10433","303","275","100","31",
"25-083-22672-00-00","4/30/2025 12:00:00 AM","Bakken","10433","313","289","213","30",
"25-083-22672-00-00","3/31/2025 12:00:00 AM","Bakken","10433","0","0","0","1",
"25-083-22672-00-00","2/28/2025 12:00:00 AM","Bakken","10433","109","93","30","18",
"25-083-22672-00-00","1/31/2025 12:00:00 AM","Bakken","10433","218","241","65","31",
"25-083-22672-00-00","12/31/2024 12:00:00 AM","Bakken","10433","286","289","90","31",
"25-083-22672-00-00","11/30/2024 12:00:00 AM","Bakken","10433","155","159","146","14",
"25-083-22672-00-00","10/31/2024 12:00:00 AM","Bakken","10433","177","150","132","18",
"25-083-22672-00-00","9/30/2024 12:00:00 AM","Bakken","10433","0","0","0","0",
"25-083-22672-00-00","8/31/2024 12:00:00 AM","Bakken","10433","86","90","78","15",
"25-083-22672-00-00","7/31/2024 12:00:00 AM","Bakken","10433","7","55","23","3",
"25-083-22672-00-00","6/30/2024 12:00:00 AM","Bakken","10433","80","93","20","13",
"25-083-22672-00-00","5/31/2024 12:00:00 AM","Bakken","10433","201","219","62","31",
"25-083-22672-00-00","4/30/2024 12:00:00 AM","Bakken","10433","183","184","63","30",
"25-083-22672-00-00","3/31/2024 12:00:00 AM","Bakken","10433","191","177","47","28",
"25-083-22672-00-00","2/29/2024 12:00:00 AM","Bakken","10433","187","174","68","29",
"25-083-22672-00-00","1/31/2024 12:00:00 AM","Bakken","10433","209","196","63","31",
"25-083-22672-00-00","12/31/2023 12:00:00 AM","Bakken","10433","197","192","58","31",
"25-083-22672-00-00","11/30/2023 12:00:00 AM","Bakken","10433","209","205","57","30",
"25-083-22672-00-00","10/31/2023 12:00:00 AM","Bakken","10433","217","208","62","31",
"25-083-22672-00-00","9/30/2023 12:00:00 AM","Bakken","10433","264","291","103","30",
"25-083-22672-00-00","8/31/2023 12:00:00 AM","Bakken","10433","53","75","80","9",
"25-083-22672-00-00","7/31/2023 12:00:00 AM","Bakken","10433","190","187","62","31",
"25-083-22672-00-00","6/30/2023 12:00:00 AM","Bakken","10433","181","173","57","30",
"25-083-22672-00-00","5/31/2023 12:00:00 AM","Bakken","10433","192","185","60","31",
"25-083-22672-00-00","4/30/2023 12:00:00 AM","Bakken","10433","196","188","62","30",
"25-083-22672-00-00","3/31/2023 12:00:00 AM","Bakken","10433","226","211","58","31",
"25-083-22672-00-00","2/28/2023 12:00:00 AM","Bakken","10433","240","144","120","28",
"25-083-22672-00-00","1/31/2023 12:00:00 AM","Bakken","10433","130","19","37","19",
"25-083-22672-00-00","12/31/2022 12:00:00 AM","Bakken","10433","205","19","72","31",
"25-083-22672-00-00","11/30/2022 12:00:00 AM","Bakken","10433","208","95","57","30",
"25-083-22672-00-00","10/31/2022 12:00:00 AM","Bakken","10433","218","126","63","31",
"25-083-22672-00-00","9/30/2022 12:00:00 AM","Bakken","10433","208","135","63","30",
"25-083-22672-00-00","8/31/2022 12:00:00 AM","Bakken","10433","215","145","65","31",
"25-083-22672-00-00","7/31/2022 12:00:00 AM","Bakken","10433","212","135","63","31",
"25-083-22672-00-00","6/30/2022 12:00:00 AM","Bakken","10433","218","141","28","30",
"25-083-22672-00-00","5/31/2022 12:00:00 AM","Bakken","10433","7","204","103","31",
"25-083-22672-00-00","4/30/2022 12:00:00 AM","Bakken","10433","226","212","63","26",
"25-083-22672-00-00","3/31/2022 12:00:00 AM","Bakken","10433","197","187","68","28",
"25-083-22672-00-00","2/28/2022 12:00:00 AM","Bakken","10433","206","193","58","28",
"25-083-22672-00-00","1/31/2022 12:00:00 AM","Bakken","10433","346","375","98","31",
"25-083-22672-00-00","12/31/2021 12:00:00 AM","Bakken","10433","362","78","0","31",
"25-083-22672-00-00","11/30/2021 12:00:00 AM","Bakken","10433","201","222","68","30",
"25-083-22672-00-00","10/31/2021 12:00:00 AM","Bakken","10433","233","236","69","31",
"25-083-22672-00-00","9/30/2021 12:00:00 AM","Bakken","10433","231","236","69","30",
"25-083-22672-00-00","8/31/2021 12:00:00 AM","Bakken","10433","0","250","73","31",
"25-083-22672-00-00","7/31/2021 12:00:00 AM","Bakken","10433","224","92","70","31",
"25-083-22672-00-00","6/30/2021 12:00:00 AM","Bakken","10433","239","90","68","30",
"25-083-22672-00-00","5/31/2021 12:00:00 AM","Bakken","10433","253","240","123","31",
"25-083-22672-00-00","4/30/2021 12:00:00 AM","Bakken","10433","252","234","69","30",
"25-083-22672-00-00","3/31/2021 12:00:00 AM","Bakken","10433","259","240","75","31",
"25-083-22672-00-00","2/28/2021 12:00:00 AM","Bakken","10433","247","200","71","28",
"25-083-22672-00-00","1/31/2021 12:00:00 AM","Bakken","10433","280","233","72","31",
"25-083-22672-00-00","12/31/2020 12:00:00 AM","Bakken","10433","277","239","75","31",
"25-083-22672-00-00","11/30/2020 12:00:00 AM","Bakken","10433","277","233","78","30",
"25-083-22672-00-00","10/31/2020 12:00:00 AM","Bakken","10433","307","237","89","31",
"25-083-22672-00-00","9/30/2020 12:00:00 AM","Bakken","10433","303","160","56","30",
"25-083-22672-00-00","8/31/2020 12:00:00 AM","Bakken","10433","337","272","111","31",
"25-083-22672-00-00","7/31/2020 12:00:00 AM","Bakken","10433","454","289","129","24",
"25-083-22672-00-00","6/30/2020 12:00:00 AM","Bakken","10433","0","0","0","0",
"25-083-22672-00-00","5/31/2020 12:00:00 AM","Bakken","10433","105","126","11","31",
"25-083-22672-00-00","4/30/2020 12:00:00 AM","Bakken","10433","292","231","73","30",
"25-083-22672-00-00","3/31/2020 12:00:00 AM","Bakken","10433","280","240","112","31",
"25-083-22672-00-00","2/29/2020 12:00:00 AM","Bakken","10433","210","223","127","29",
"25-083-22672-00-00","1/31/2020 12:00:00 AM","Bakken","10433","245","242","75","31",
"25-083-22672-00-00","12/31/2019 12:00:00 AM","Bakken","10433","346","246","99","31",
"25-083-22672-00-00","11/30/2019 12:00:00 AM","Bakken","10433","494","247","93","30",
"25-083-22672-00-00","10/31/2019 12:00:00 AM","Bakken","10433","237","252","166","31",
"25-083-22672-00-00","9/30/2019 12:00:00 AM","Bakken","10433","483","262","116","30",
"25-083-22672-00-00","8/31/2019 12:00:00 AM","Bakken","10433","249","281","107","31",
"25-083-22672-00-00","7/31/2019 12:00:00 AM","Bakken","10433","481","268","137","31",
"25-083-22672-00-00","6/30/2019 12:00:00 AM","Bakken","10433","275","268","105","30",
"25-083-22672-00-00","5/31/2019 12:00:00 AM","Bakken","10433","415","293","99","31",
"25-083-22672-00-00","4/30/2019 12:00:00 AM","Bakken","10433","381","287","128","30",
"25-083-22672-00-00","3/31/2019 12:00:00 AM","Bakken","10433","456","294","118","31",
"25-083-22672-00-00","2/28/2019 12:00:00 AM","Bakken","10433","414","258","126","28",
"25-083-22672-00-00","1/31/2019 12:00:00 AM","Bakken","10433","504","329","161","31",
"25-083-22672-00-00","12/31/2018 12:00:00 AM","Bakken","10433","596","383","180","31",
