"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25003216840000","Fidelity Exploration & Production Co.","Carlton Dewey 3290  43M","Coal Bed Methane","P&A - Approved","Big Horn","CX","9S-40E","32",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-003-21684-00-00","2/28/2015 12:00:00 AM","Monarch","6495","0","0","0","0",
"25-003-21684-00-00","1/31/2015 12:00:00 AM","Monarch","6495","0","0","0","0",
"25-003-21684-00-00","12/31/2014 12:00:00 AM","Monarch","6495","0","0","0","0",
"25-003-21684-00-00","11/30/2014 12:00:00 AM","Monarch","6495","0","0","0","0",
"25-003-21684-00-00","10/31/2014 12:00:00 AM","Monarch","6495","0","0","0","0",
"25-003-21684-00-00","9/30/2014 12:00:00 AM","Monarch","6495","0","0","0","0",
"25-003-21684-00-00","8/31/2014 12:00:00 AM","Monarch","6495","0","0","0","0",
"25-003-21684-00-00","7/31/2014 12:00:00 AM","Monarch","6495","0","0","0","0",
"25-003-21684-00-00","6/30/2014 12:00:00 AM","Monarch","6495","0","0","0","0",
"25-003-21684-00-00","5/31/2014 12:00:00 AM","Monarch","6495","0","0","0","0",
"25-003-21684-00-00","4/30/2014 12:00:00 AM","Monarch","6495","0","0","0","0",
"25-003-21684-00-00","3/31/2014 12:00:00 AM","Monarch","6495","0","0","0","0",
"25-003-21684-00-00","2/28/2014 12:00:00 AM","Monarch","6495","0","0","0","0",
"25-003-21684-00-00","1/31/2014 12:00:00 AM","Monarch","6495","0","0","0","0",
"25-003-21684-00-00","12/31/2013 12:00:00 AM","Monarch","6495","0","0","0","0",
"25-003-21684-00-00","11/30/2013 12:00:00 AM","Monarch","6495","0","0","0","0",
"25-003-21684-00-00","10/31/2013 12:00:00 AM","Monarch","6495","0","0","0","0",
"25-003-21684-00-00","9/30/2013 12:00:00 AM","Monarch","6495","0","0","0","0",
"25-003-21684-00-00","8/31/2013 12:00:00 AM","Monarch","6495","0","0","0","0",
"25-003-21684-00-00","7/31/2013 12:00:00 AM","Monarch","6495","0","0","0","0",
"25-003-21684-00-00","6/30/2013 12:00:00 AM","Monarch","6495","0","0","0","0",
"25-003-21684-00-00","5/31/2013 12:00:00 AM","Monarch","6495","0","0","0","0",
"25-003-21684-00-00","4/30/2013 12:00:00 AM","Monarch","6495","0","0","0","0",
"25-003-21684-00-00","3/31/2013 12:00:00 AM","Monarch","6495","0","0","0","0",
"25-003-21684-00-00","2/28/2013 12:00:00 AM","Monarch","6495","0","0","0","0",
"25-003-21684-00-00","1/31/2013 12:00:00 AM","Monarch","6495","0","0","0","0",
"25-003-21684-00-00","12/31/2012 12:00:00 AM","Monarch","6495","0","0","0","0",
"25-003-21684-00-00","11/30/2012 12:00:00 AM","Monarch","6495","0","0","0","0",
"25-003-21684-00-00","10/31/2012 12:00:00 AM","Monarch","6495","0","0","0","0",
"25-003-21684-00-00","9/30/2012 12:00:00 AM","Monarch","6495","0","0","0","0",
"25-003-21684-00-00","8/31/2012 12:00:00 AM","Monarch","6495","0","0","0","0",
"25-003-21684-00-00","7/31/2012 12:00:00 AM","Monarch","6495","0","0","0","0",
"25-003-21684-00-00","6/30/2012 12:00:00 AM","Monarch","6495","0","0","0","0",
"25-003-21684-00-00","5/31/2012 12:00:00 AM","Monarch","6495","0","0","0","0",
"25-003-21684-00-00","4/30/2012 12:00:00 AM","Monarch","6495","0","0","0","0",
"25-003-21684-00-00","3/31/2012 12:00:00 AM","Monarch","6495","0","2","0","1",
"25-003-21684-00-00","2/29/2012 12:00:00 AM","Monarch","6495","0","137","0","29",
"25-003-21684-00-00","1/31/2012 12:00:00 AM","Monarch","6495","0","76","0","27",
"25-003-21684-00-00","12/31/2011 12:00:00 AM","Monarch","6495","0","65","0","31",
"25-003-21684-00-00","11/30/2011 12:00:00 AM","Monarch","6495","0","87","0","29",
"25-003-21684-00-00","10/31/2011 12:00:00 AM","Monarch","6495","0","118","0","31",
"25-003-21684-00-00","9/30/2011 12:00:00 AM","Monarch","6495","0","107","0","30",
"25-003-21684-00-00","8/31/2011 12:00:00 AM","Monarch","6495","0","109","0","31",
"25-003-21684-00-00","7/31/2011 12:00:00 AM","Monarch","6495","0","62","0","13",
"25-003-21684-00-00","6/30/2011 12:00:00 AM","Monarch","6495","0","81","0","24",
"25-003-21684-00-00","5/31/2011 12:00:00 AM","Monarch","6495","0","113","0","31",
"25-003-21684-00-00","4/30/2011 12:00:00 AM","Monarch","6495","0","130","0","30",
"25-003-21684-00-00","3/31/2011 12:00:00 AM","Monarch","6495","0","136","0","31",
"25-003-21684-00-00","2/28/2011 12:00:00 AM","Monarch","6495","0","86","0","27",
"25-003-21684-00-00","1/31/2011 12:00:00 AM","Monarch","6495","0","85","0","31",
"25-003-21684-00-00","12/31/2010 12:00:00 AM","Monarch","6495","0","146","0","31",
"25-003-21684-00-00","11/30/2010 12:00:00 AM","Monarch","6495","0","68","0","29",
"25-003-21684-00-00","10/31/2010 12:00:00 AM","Monarch","6495","0","125","0","31",
"25-003-21684-00-00","9/30/2010 12:00:00 AM","Monarch","6495","0","107","0","30",
"25-003-21684-00-00","8/31/2010 12:00:00 AM","Monarch","6495","0","141","0","31",
"25-003-21684-00-00","7/31/2010 12:00:00 AM","Monarch","6495","0","142","0","31",
"25-003-21684-00-00","6/30/2010 12:00:00 AM","Monarch","6495","0","161","0","30",
"25-003-21684-00-00","5/31/2010 12:00:00 AM","Monarch","6495","0","172","0","31",
"25-003-21684-00-00","4/30/2010 12:00:00 AM","Monarch","6495","0","182","0","30",
"25-003-21684-00-00","3/31/2010 12:00:00 AM","Monarch","6495","0","210","0","31",
"25-003-21684-00-00","2/28/2010 12:00:00 AM","Monarch","6495","0","140","0","28",
"25-003-21684-00-00","1/31/2010 12:00:00 AM","Monarch","6495","0","165","0","31",
"25-003-21684-00-00","12/31/2009 12:00:00 AM","Monarch","6495","0","130","0","31",
"25-003-21684-00-00","11/30/2009 12:00:00 AM","Monarch","6495","0","137","0","30",
"25-003-21684-00-00","10/31/2009 12:00:00 AM","Monarch","6495","0","136","0","31",
"25-003-21684-00-00","9/30/2009 12:00:00 AM","Monarch","6495","0","184","0","30",
"25-003-21684-00-00","8/31/2009 12:00:00 AM","Monarch","6495","0","195","0","31",
"25-003-21684-00-00","7/31/2009 12:00:00 AM","Monarch","6495","0","198","0","31",
"25-003-21684-00-00","6/30/2009 12:00:00 AM","Monarch","6495","0","239","0","30",
"25-003-21684-00-00","5/31/2009 12:00:00 AM","Monarch","6495","0","294","0","31",
"25-003-21684-00-00","4/30/2009 12:00:00 AM","Monarch","6495","0","271","0","30",
"25-003-21684-00-00","3/31/2009 12:00:00 AM","Monarch","6495","0","254","0","31",
"25-003-21684-00-00","2/28/2009 12:00:00 AM","Monarch","6495","0","229","0","28",
"25-003-21684-00-00","1/31/2009 12:00:00 AM","Monarch","6495","0","83","0","15",
"25-003-21684-00-00","12/31/2008 12:00:00 AM","Monarch","6495","0","79","0","17",
"25-003-21684-00-00","11/30/2008 12:00:00 AM","Monarch","6495","0","277","0","30",
"25-003-21684-00-00","10/31/2008 12:00:00 AM","Monarch","6495","0","350","0","31",
"25-003-21684-00-00","9/30/2008 12:00:00 AM","Monarch","6495","0","451","0","30",
"25-003-21684-00-00","8/31/2008 12:00:00 AM","Monarch","6495","0","483","0","31",
"25-003-21684-00-00","7/31/2008 12:00:00 AM","Monarch","6495","0","514","0","31",
"25-003-21684-00-00","6/30/2008 12:00:00 AM","Monarch","6495","0","559","0","30",
"25-003-21684-00-00","5/31/2008 12:00:00 AM","Monarch","6495","0","618","0","31",
"25-003-21684-00-00","4/30/2008 12:00:00 AM","Monarch","6495","0","661","0","30",
"25-003-21684-00-00","3/31/2008 12:00:00 AM","Monarch","6495","0","539","0","31",
