"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25083219490000","MorningStar Operating LLC","Cable-Strand  28-14-H","Oil","Producing","Richland","Elm Coulee","25N-54E","28",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-083-21949-00-00","7/31/2025 12:00:00 AM","Bakken","6573","139","558","32","31",
"25-083-21949-00-00","6/30/2025 12:00:00 AM","Bakken","6573","130","477","15","30",
"25-083-21949-00-00","5/31/2025 12:00:00 AM","Bakken","6573","147","451","22","31",
"25-083-21949-00-00","4/30/2025 12:00:00 AM","Bakken","6573","152","578","30","30",
"25-083-21949-00-00","3/31/2025 12:00:00 AM","Bakken","6573","205","711","32","31",
"25-083-21949-00-00","2/28/2025 12:00:00 AM","Bakken","6573","186","631","27","28",
"25-083-21949-00-00","1/31/2025 12:00:00 AM","Bakken","6573","224","687","11","31",
"25-083-21949-00-00","12/31/2024 12:00:00 AM","Bakken","6573","225","699","30","31",
"25-083-21949-00-00","11/30/2024 12:00:00 AM","Bakken","6573","213","694","35","30",
"25-083-21949-00-00","10/31/2024 12:00:00 AM","Bakken","6573","202","692","30","31",
"25-083-21949-00-00","9/30/2024 12:00:00 AM","Bakken","6573","200","683","30","30",
"25-083-21949-00-00","8/31/2024 12:00:00 AM","Bakken","6573","201","723","30","31",
"25-083-21949-00-00","7/31/2024 12:00:00 AM","Bakken","6573","242","768","50","31",
"25-083-21949-00-00","6/30/2024 12:00:00 AM","Bakken","6573","165","574","18","30",
"25-083-21949-00-00","5/31/2024 12:00:00 AM","Bakken","6573","211","656","37","31",
"25-083-21949-00-00","4/30/2024 12:00:00 AM","Bakken","6573","180","487","29","30",
"25-083-21949-00-00","3/31/2024 12:00:00 AM","Bakken","6573","179","475","20","31",
"25-083-21949-00-00","2/29/2024 12:00:00 AM","Bakken","6573","150","414","53","29",
"25-083-21949-00-00","1/31/2024 12:00:00 AM","Bakken","6573","96","306","50","25",
"25-083-21949-00-00","12/31/2023 12:00:00 AM","Bakken","6573","152","519","23","31",
"25-083-21949-00-00","11/30/2023 12:00:00 AM","Bakken","6573","138","565","39","30",
"25-083-21949-00-00","10/31/2023 12:00:00 AM","Bakken","6573","227","734","80","31",
"25-083-21949-00-00","9/30/2023 12:00:00 AM","Bakken","6573","139","558","342","30",
"25-083-21949-00-00","8/31/2023 12:00:00 AM","Bakken","6573","2","14","33","3",
"25-083-21949-00-00","7/31/2023 12:00:00 AM","Bakken","6573","104","431","23","16",
"25-083-21949-00-00","6/30/2023 12:00:00 AM","Bakken","6573","224","891","19","30",
"25-083-21949-00-00","5/31/2023 12:00:00 AM","Bakken","6573","198","696","39","27",
"25-083-21949-00-00","4/30/2023 12:00:00 AM","Bakken","6573","195","773","40","28",
"25-083-21949-00-00","3/31/2023 12:00:00 AM","Bakken","6573","222","784","22","31",
"25-083-21949-00-00","2/28/2023 12:00:00 AM","Bakken","6573","220","728","15","28",
"25-083-21949-00-00","1/31/2023 12:00:00 AM","Bakken","6573","189","715","20","29",
"25-083-21949-00-00","12/31/2022 12:00:00 AM","Bakken","6573","167","814","19","28",
"25-083-21949-00-00","11/30/2022 12:00:00 AM","Bakken","6573","229","821","28","30",
"25-083-21949-00-00","10/31/2022 12:00:00 AM","Bakken","6573","171","705","30","31",
"25-083-21949-00-00","9/30/2022 12:00:00 AM","Bakken","6573","187","729","23","30",
"25-083-21949-00-00","8/31/2022 12:00:00 AM","Bakken","6573","177","833","17","31",
"25-083-21949-00-00","7/31/2022 12:00:00 AM","Bakken","6573","239","982","32","31",
"25-083-21949-00-00","6/30/2022 12:00:00 AM","Bakken","6573","222","884","27","30",
"25-083-21949-00-00","5/31/2022 12:00:00 AM","Bakken","6573","242","805","30","31",
"25-083-21949-00-00","4/30/2022 12:00:00 AM","Bakken","6573","248","745","30","30",
"25-083-21949-00-00","3/31/2022 12:00:00 AM","Bakken","6573","218","738","30","31",
"25-083-21949-00-00","2/28/2022 12:00:00 AM","Bakken","6573","204","797","35","28",
"25-083-21949-00-00","1/31/2022 12:00:00 AM","Bakken","6573","186","811","19","31",
"25-083-21949-00-00","12/31/2021 12:00:00 AM","Bakken","6573","239","899","27","30",
"25-083-21949-00-00","11/30/2021 12:00:00 AM","Bakken","6573","231","898","27","30",
"25-083-21949-00-00","10/31/2021 12:00:00 AM","Bakken","6573","229","996","29","31",
"25-083-21949-00-00","9/30/2021 12:00:00 AM","Bakken","6573","249","987","33","30",
"25-083-21949-00-00","8/31/2021 12:00:00 AM","Bakken","6573","237","1043","28","31",
"25-083-21949-00-00","7/31/2021 12:00:00 AM","Bakken","6573","238","1110","35","31",
"25-083-21949-00-00","6/30/2021 12:00:00 AM","Bakken","6573","244","812","28","30",
"25-083-21949-00-00","5/31/2021 12:00:00 AM","Bakken","6573","247","958","33","31",
"25-083-21949-00-00","4/30/2021 12:00:00 AM","Bakken","6573","256","742","29","30",
