"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25003215760000","Fidelity Exploration & Production Co.","Conner 3390  42D1","Coal Bed Methane","P&A - Approved","Big Horn","CX","9S-40E","33",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-003-21576-00-00","6/30/2013 12:00:00 AM","Dietz 1 Coal","6416","0","0","0","0",
"25-003-21576-00-00","5/31/2013 12:00:00 AM","Dietz 1 Coal","6416","0","0","0","0",
"25-003-21576-00-00","4/30/2013 12:00:00 AM","Dietz 1 Coal","6416","0","0","0","0",
"25-003-21576-00-00","3/31/2013 12:00:00 AM","Dietz 1 Coal","6416","0","0","0","0",
"25-003-21576-00-00","2/28/2013 12:00:00 AM","Dietz 1 Coal","6416","0","0","0","0",
"25-003-21576-00-00","1/31/2013 12:00:00 AM","Dietz 1 Coal","6416","0","0","0","0",
"25-003-21576-00-00","12/31/2012 12:00:00 AM","Dietz 1 Coal","6416","0","0","0","0",
"25-003-21576-00-00","11/30/2012 12:00:00 AM","Dietz 1 Coal","6416","0","0","0","0",
"25-003-21576-00-00","10/31/2012 12:00:00 AM","Dietz 1 Coal","6416","0","0","0","0",
"25-003-21576-00-00","9/30/2012 12:00:00 AM","Dietz 1 Coal","6416","0","0","0","0",
"25-003-21576-00-00","8/31/2012 12:00:00 AM","Dietz 1 Coal","6416","0","0","0","0",
"25-003-21576-00-00","7/31/2012 12:00:00 AM","Dietz 1 Coal","6416","0","0","0","0",
"25-003-21576-00-00","6/30/2012 12:00:00 AM","Dietz 1 Coal","6416","0","0","0","0",
"25-003-21576-00-00","5/31/2012 12:00:00 AM","Dietz 1 Coal","6416","0","0","0","0",
"25-003-21576-00-00","4/30/2012 12:00:00 AM","Dietz 1 Coal","6416","0","0","0","0",
"25-003-21576-00-00","3/31/2012 12:00:00 AM","Dietz 1 Coal","6416","0","0","0","0",
"25-003-21576-00-00","2/29/2012 12:00:00 AM","Dietz 1 Coal","6416","0","0","0","0",
"25-003-21576-00-00","1/31/2012 12:00:00 AM","Dietz 1 Coal","6416","0","0","0","0",
"25-003-21576-00-00","12/31/2011 12:00:00 AM","Dietz 1 Coal","6416","0","0","0","0",
"25-003-21576-00-00","11/30/2011 12:00:00 AM","Dietz 1 Coal","6416","0","0","0","0",
"25-003-21576-00-00","10/31/2011 12:00:00 AM","Dietz 1 Coal","6416","0","0","0","0",
"25-003-21576-00-00","9/30/2011 12:00:00 AM","Dietz 1 Coal","6416","0","0","0","0",
"25-003-21576-00-00","8/31/2011 12:00:00 AM","Dietz 1 Coal","6416","0","0","0","0",
"25-003-21576-00-00","7/31/2011 12:00:00 AM","Dietz 1 Coal","6416","0","0","0","0",
"25-003-21576-00-00","6/30/2011 12:00:00 AM","Dietz 1 Coal","6416","0","0","0","0",
"25-003-21576-00-00","5/31/2011 12:00:00 AM","Dietz 1 Coal","6416","0","0","0","0",
"25-003-21576-00-00","4/30/2011 12:00:00 AM","Dietz 1 Coal","6416","0","0","0","0",
"25-003-21576-00-00","3/31/2011 12:00:00 AM","Dietz 1 Coal","6416","0","0","0","0",
"25-003-21576-00-00","2/28/2011 12:00:00 AM","Dietz 1 Coal","6416","0","0","0","0",
"25-003-21576-00-00","1/31/2011 12:00:00 AM","Dietz 1 Coal","6416","0","0","0","0",
"25-003-21576-00-00","12/31/2010 12:00:00 AM","Dietz 1 Coal","6416","0","1","54","6",
"25-003-21576-00-00","11/30/2010 12:00:00 AM","Dietz 1 Coal","6416","0","0","552","30",
"25-003-21576-00-00","10/31/2010 12:00:00 AM","Dietz 1 Coal","6416","0","8","681","31",
"25-003-21576-00-00","9/30/2010 12:00:00 AM","Dietz 1 Coal","6416","0","30","649","30",
"25-003-21576-00-00","8/31/2010 12:00:00 AM","Dietz 1 Coal","6416","0","80","530","31",
"25-003-21576-00-00","7/31/2010 12:00:00 AM","Dietz 1 Coal","6416","0","102","616","31",
"25-003-21576-00-00","6/30/2010 12:00:00 AM","Dietz 1 Coal","6416","0","138","773","30",
"25-003-21576-00-00","5/31/2010 12:00:00 AM","Dietz 1 Coal","6416","0","19","750","31",
"25-003-21576-00-00","4/30/2010 12:00:00 AM","Dietz 1 Coal","6416","0","97","790","30",
"25-003-21576-00-00","3/31/2010 12:00:00 AM","Dietz 1 Coal","6416","0","125","888","31",
"25-003-21576-00-00","2/28/2010 12:00:00 AM","Dietz 1 Coal","6416","0","22","721","28",
"25-003-21576-00-00","1/31/2010 12:00:00 AM","Dietz 1 Coal","6416","0","78","861","31",
"25-003-21576-00-00","12/31/2009 12:00:00 AM","Dietz 1 Coal","6416","0","43","856","31",
"25-003-21576-00-00","11/30/2009 12:00:00 AM","Dietz 1 Coal","6416","0","148","970","30",
"25-003-21576-00-00","10/31/2009 12:00:00 AM","Dietz 1 Coal","6416","0","180","1050","31",
"25-003-21576-00-00","9/30/2009 12:00:00 AM","Dietz 1 Coal","6416","0","187","1046","30",
"25-003-21576-00-00","8/31/2009 12:00:00 AM","Dietz 1 Coal","6416","0","201","1135","31",
"25-003-21576-00-00","7/31/2009 12:00:00 AM","Dietz 1 Coal","6416","0","187","1173","31",
"25-003-21576-00-00","6/30/2009 12:00:00 AM","Dietz 1 Coal","6416","0","253","1071","30",
"25-003-21576-00-00","5/31/2009 12:00:00 AM","Dietz 1 Coal","6416","0","265","1145","31",
"25-003-21576-00-00","4/30/2009 12:00:00 AM","Dietz 1 Coal","6416","0","240","1139","30",
"25-003-21576-00-00","3/31/2009 12:00:00 AM","Dietz 1 Coal","6416","0","236","1158","31",
"25-003-21576-00-00","2/28/2009 12:00:00 AM","Dietz 1 Coal","6416","0","56","992","28",
"25-003-21576-00-00","1/31/2009 12:00:00 AM","Dietz 1 Coal","6416","0","200","1260","31",
"25-003-21576-00-00","12/31/2008 12:00:00 AM","Dietz 1 Coal","6416","0","320","1313","31",
"25-003-21576-00-00","11/30/2008 12:00:00 AM","Dietz 1 Coal","6416","0","403","1393","30",
"25-003-21576-00-00","10/31/2008 12:00:00 AM","Dietz 1 Coal","6416","0","577","1618","31",
"25-003-21576-00-00","9/30/2008 12:00:00 AM","Dietz 1 Coal","6416","0","366","1719","30",
"25-003-21576-00-00","8/31/2008 12:00:00 AM","Dietz 1 Coal","6416","0","720","1925","31",
"25-003-21576-00-00","7/31/2008 12:00:00 AM","Dietz 1 Coal","6416","0","691","1999","31",
"25-003-21576-00-00","6/30/2008 12:00:00 AM","Dietz 1 Coal","6416","0","632","1930","30",
"25-003-21576-00-00","5/31/2008 12:00:00 AM","Dietz 1 Coal","6416","0","571","2013","31",
"25-003-21576-00-00","4/30/2008 12:00:00 AM","Dietz 1 Coal","6416","0","572","2062","30",
"25-003-21576-00-00","3/31/2008 12:00:00 AM","Dietz 1 Coal","6416","0","284","1841","31",
"25-003-21576-00-00","2/29/2008 12:00:00 AM","Dietz 1 Coal","6416","0","315","1742","29",
"25-003-21576-00-00","1/31/2008 12:00:00 AM","Dietz 1 Coal","6416","0","252","1843","31",
"25-003-21576-00-00","12/31/2007 12:00:00 AM","Dietz 1 Coal","6416","0","277","1848","31",
"25-003-21576-00-00","11/30/2007 12:00:00 AM","Dietz 1 Coal","6416","0","687","2214","30",
"25-003-21576-00-00","10/31/2007 12:00:00 AM","Dietz 1 Coal","6416","0","876","2511","31",
"25-003-21576-00-00","9/30/2007 12:00:00 AM","Dietz 1 Coal","6416","0","775","2445","30",
