"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25005219650000","NorthWestern Corporation","Chouteau  6-1","Gas","Producing","Blaine","Battle Creek","35N-19E","1",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-005-21965-00-00","7/31/2025 12:00:00 AM","Eagle","397","0","10","0","19",
"25-005-21965-00-00","6/30/2025 12:00:00 AM","Eagle","397","0","22","0","30",
"25-005-21965-00-00","5/31/2025 12:00:00 AM","Eagle","397","0","21","0","31",
"25-005-21965-00-00","4/30/2025 12:00:00 AM","Eagle","397","0","11","0","18",
"25-005-21965-00-00","3/31/2025 12:00:00 AM","Eagle","397","0","9","0","13",
"25-005-21965-00-00","2/28/2025 12:00:00 AM","Eagle","397","0","10","0","16",
"25-005-21965-00-00","1/31/2025 12:00:00 AM","Eagle","397","0","13","0","30",
"25-005-21965-00-00","12/31/2024 12:00:00 AM","Eagle","397","0","21","0","31",
"25-005-21965-00-00","11/30/2024 12:00:00 AM","Eagle","397","0","23","0","30",
"25-005-21965-00-00","10/31/2024 12:00:00 AM","Eagle","397","0","24","0","31",
"25-005-21965-00-00","9/30/2024 12:00:00 AM","Eagle","397","0","25","0","30",
"25-005-21965-00-00","8/31/2024 12:00:00 AM","Eagle","397","0","21","0","31",
"25-005-21965-00-00","7/31/2024 12:00:00 AM","Eagle","397","0","24","0","31",
"25-005-21965-00-00","6/30/2024 12:00:00 AM","Eagle","397","0","22","0","30",
"25-005-21965-00-00","5/31/2024 12:00:00 AM","Eagle","397","0","24","0","31",
"25-005-21965-00-00","4/30/2024 12:00:00 AM","Eagle","397","0","22","0","30",
"25-005-21965-00-00","3/31/2024 12:00:00 AM","Eagle","397","0","14","0","17",
"25-005-21965-00-00","2/29/2024 12:00:00 AM","Eagle","397","0","0","0","0",
"25-005-21965-00-00","1/31/2024 12:00:00 AM","Eagle","397","0","11","0","28",
"25-005-21965-00-00","12/31/2023 12:00:00 AM","Eagle","397","0","14","0","30",
"25-005-21965-00-00","11/30/2023 12:00:00 AM","Eagle","397","0","24","0","30",
"25-005-21965-00-00","10/31/2023 12:00:00 AM","Eagle","397","0","21","0","25",
"25-005-21965-00-00","9/30/2023 12:00:00 AM","Eagle","397","0","7","0","10",
"25-005-21965-00-00","8/31/2023 12:00:00 AM","Eagle","397","0","29","0","31",
"25-005-21965-00-00","7/31/2023 12:00:00 AM","Eagle","397","0","28","0","31",
"25-005-21965-00-00","6/30/2023 12:00:00 AM","Eagle","397","0","20","0","30",
"25-005-21965-00-00","5/31/2023 12:00:00 AM","Eagle","397","0","18","0","31",
"25-005-21965-00-00","4/30/2023 12:00:00 AM","Eagle","397","0","44","0","28",
"25-005-21965-00-00","3/31/2023 12:00:00 AM","Eagle","397","0","0","0","0",
"25-005-21965-00-00","2/28/2023 12:00:00 AM","Eagle","397","0","22","0","28",
"25-005-21965-00-00","1/31/2023 12:00:00 AM","Eagle","397","0","29","0","31",
"25-005-21965-00-00","12/31/2022 12:00:00 AM","Eagle","397","0","16","0","27",
"25-005-21965-00-00","11/30/2022 12:00:00 AM","Eagle","397","0","24","0","30",
"25-005-21965-00-00","10/31/2022 12:00:00 AM","Eagle","397","0","24","0","31",
"25-005-21965-00-00","9/30/2022 12:00:00 AM","Eagle","397","0","22","0","28",
"25-005-21965-00-00","8/31/2022 12:00:00 AM","Eagle","397","0","29","0","31",
"25-005-21965-00-00","7/31/2022 12:00:00 AM","Eagle","397","0","30","0","29",
"25-005-21965-00-00","6/30/2022 12:00:00 AM","Eagle","397","0","35","0","30",
"25-005-21965-00-00","5/31/2022 12:00:00 AM","Eagle","397","0","31","0","31",
"25-005-21965-00-00","4/30/2022 12:00:00 AM","Eagle","397","0","32","0","30",
"25-005-21965-00-00","3/31/2022 12:00:00 AM","Eagle","397","0","25","0","31",
"25-005-21965-00-00","2/28/2022 12:00:00 AM","Eagle","397","0","38","0","28",
"25-005-21965-00-00","1/31/2022 12:00:00 AM","Eagle","397","0","8","0","14",
"25-005-21965-00-00","12/31/2021 12:00:00 AM","Eagle","397","0","32","0","31",
"25-005-21965-00-00","11/30/2021 12:00:00 AM","Eagle","397","0","25","0","30",
"25-005-21965-00-00","10/31/2021 12:00:00 AM","Eagle","397","0","28","0","31",
"25-005-21965-00-00","9/30/2021 12:00:00 AM","Eagle","397","0","36","0","30",
"25-005-21965-00-00","8/31/2021 12:00:00 AM","Eagle","397","0","30","0","31",
"25-005-21965-00-00","7/31/2021 12:00:00 AM","Eagle","397","0","34","0","31",
"25-005-21965-00-00","6/30/2021 12:00:00 AM","Eagle","397","0","28","0","29",
"25-005-21965-00-00","5/31/2021 12:00:00 AM","Eagle","397","0","27","0","31",
"25-005-21965-00-00","4/30/2021 12:00:00 AM","Eagle","397","0","26","0","30",
"25-005-21965-00-00","3/31/2021 12:00:00 AM","Eagle","397","0","28","0","31",
"25-005-21965-00-00","2/28/2021 12:00:00 AM","Eagle","397","0","28","0","28",
"25-005-21965-00-00","1/31/2021 12:00:00 AM","Eagle","397","0","21","0","28",
"25-005-21965-00-00","12/31/2020 12:00:00 AM","Eagle","397","0","62","0","27",
"25-005-21965-00-00","11/30/2020 12:00:00 AM","Eagle","397","0","33","0","30",
"25-005-21965-00-00","10/31/2020 12:00:00 AM","Eagle","397","0","27","0","31",
"25-005-21965-00-00","9/30/2020 12:00:00 AM","Eagle","397","0","33","0","30",
"25-005-21965-00-00","8/31/2020 12:00:00 AM","Eagle","397","0","31","0","31",
"25-005-21965-00-00","7/31/2020 12:00:00 AM","Eagle","397","0","28","0","29",
"25-005-21965-00-00","6/30/2020 12:00:00 AM","Eagle","397","0","34","0","30",
"25-005-21965-00-00","5/31/2020 12:00:00 AM","Eagle","397","0","19","0","19",
"25-005-21965-00-00","4/30/2020 12:00:00 AM","Eagle","397","0","17","0","24",
"25-005-21965-00-00","3/31/2020 12:00:00 AM","Eagle","397","0","22","0","29",
"25-005-21965-00-00","2/29/2020 12:00:00 AM","Eagle","397","0","21","0","25",
"25-005-21965-00-00","1/31/2020 12:00:00 AM","Eagle","397","0","22","0","23",
"25-005-21965-00-00","12/31/2019 12:00:00 AM","Eagle","397","0","25","0","27",
"25-005-21965-00-00","11/30/2019 12:00:00 AM","Eagle","397","0","21","0","24",
"25-005-21965-00-00","10/31/2019 12:00:00 AM","Eagle","397","0","23","0","28",
"25-005-21965-00-00","9/30/2019 12:00:00 AM","Eagle","397","0","29","0","27",
"25-005-21965-00-00","8/31/2019 12:00:00 AM","Eagle","397","0","38","0","30",
"25-005-21965-00-00","7/31/2019 12:00:00 AM","Eagle","397","0","45","0","31",
"25-005-21965-00-00","6/30/2019 12:00:00 AM","Eagle","397","0","38","0","29",
"25-005-21965-00-00","5/31/2019 12:00:00 AM","Eagle","397","0","22","0","29",
"25-005-21965-00-00","4/30/2019 12:00:00 AM","Eagle","397","0","25","0","30",
"25-005-21965-00-00","3/31/2019 12:00:00 AM","Eagle","397","0","18","0","28",
"25-005-21965-00-00","2/28/2019 12:00:00 AM","Eagle","397","0","16","0","25",
"25-005-21965-00-00","1/31/2019 12:00:00 AM","Eagle","397","0","22","0","27",
"25-005-21965-00-00","12/31/2018 12:00:00 AM","Eagle","397","0","25","0","31",
"25-005-21965-00-00","11/30/2018 12:00:00 AM","Eagle","397","0","26","0","29",
"25-005-21965-00-00","10/31/2018 12:00:00 AM","Eagle","397","0","28","0","30",
"25-005-21965-00-00","9/30/2018 12:00:00 AM","Eagle","397","0","30","0","25",
"25-005-21965-00-00","8/31/2018 12:00:00 AM","Eagle","397","0","37","0","28",
"25-005-21965-00-00","7/31/2018 12:00:00 AM","Eagle","397","0","0","0","0",
"25-005-21965-00-00","6/30/2018 12:00:00 AM","Eagle","397","0","0","0","0",
"25-005-21965-00-00","5/31/2018 12:00:00 AM","Eagle","397","0","0","0","0",
"25-005-21965-00-00","4/30/2018 12:00:00 AM","Eagle","397","0","0","0","0",
"25-005-21965-00-00","3/31/2018 12:00:00 AM","Eagle","397","0","0","0","0",
