"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25091213160000","Northern Oil Production, Inc.","Christensen  B-1","Oil","Producing","Sheridan","Lowell","34N-57E","22",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-091-21316-00-00","7/31/2025 12:00:00 AM","Red River","402","188","85","764","31",
"25-091-21316-00-00","6/30/2025 12:00:00 AM","Red River","402","160","72","653","30",
"25-091-21316-00-00","5/31/2025 12:00:00 AM","Red River","402","147","66","663","31",
"25-091-21316-00-00","4/30/2025 12:00:00 AM","Red River","402","174","78","661","30",
"25-091-21316-00-00","3/31/2025 12:00:00 AM","Red River","402","217","98","701","31",
"25-091-21316-00-00","2/28/2025 12:00:00 AM","Red River","402","63","28","369","26",
"25-091-21316-00-00","1/31/2025 12:00:00 AM","Red River","402","177","80","659","31",
"25-091-21316-00-00","12/31/2024 12:00:00 AM","Red River","402","186","84","772","31",
"25-091-21316-00-00","11/30/2024 12:00:00 AM","Red River","402","187","84","681","30",
"25-091-21316-00-00","10/31/2024 12:00:00 AM","Red River","402","213","96","769","31",
"25-091-21316-00-00","9/30/2024 12:00:00 AM","Red River","402","126","57","675","30",
"25-091-21316-00-00","8/31/2024 12:00:00 AM","Red River","402","195","88","702","31",
"25-091-21316-00-00","7/31/2024 12:00:00 AM","Red River","402","179","81","724","31",
"25-091-21316-00-00","6/30/2024 12:00:00 AM","Red River","402","182","82","724","30",
"25-091-21316-00-00","5/31/2024 12:00:00 AM","Red River","402","209","94","787","30",
"25-091-21316-00-00","4/30/2024 12:00:00 AM","Red River","402","211","95","804","30",
"25-091-21316-00-00","3/31/2024 12:00:00 AM","Red River","402","241","108","810","31",
"25-091-21316-00-00","2/29/2024 12:00:00 AM","Red River","402","70","32","540","15",
"25-091-21316-00-00","1/31/2024 12:00:00 AM","Red River","402","0","0","0","0",
"25-091-21316-00-00","12/31/2023 12:00:00 AM","Red River","402","127","57","491","19",
"25-091-21316-00-00","11/30/2023 12:00:00 AM","Red River","402","228","103","920","27",
"25-091-21316-00-00","10/31/2023 12:00:00 AM","Red River","402","0","0","0","0",
"25-091-21316-00-00","9/30/2023 12:00:00 AM","Red River","402","150","68","495","31",
"25-091-21316-00-00","8/31/2023 12:00:00 AM","Red River","402","186","84","665","31",
"25-091-21316-00-00","7/31/2023 12:00:00 AM","Red River","402","196","88","685","31",
"25-091-21316-00-00","6/30/2023 12:00:00 AM","Red River","402","183","82","671","30",
"25-091-21316-00-00","5/31/2023 12:00:00 AM","Red River","402","215","97","744","31",
"25-091-21316-00-00","4/30/2023 12:00:00 AM","Red River","402","194","87","692","30",
"25-091-21316-00-00","3/31/2023 12:00:00 AM","Red River","402","207","93","714","31",
"25-091-21316-00-00","2/28/2023 12:00:00 AM","Red River","402","181","81","677","28",
"25-091-21316-00-00","1/31/2023 12:00:00 AM","Red River","402","233","105","870","31",
"25-091-21316-00-00","12/31/2022 12:00:00 AM","Red River","402","176","79","621","26",
"25-091-21316-00-00","11/30/2022 12:00:00 AM","Red River","402","206","93","698","30",
"25-091-21316-00-00","10/31/2022 12:00:00 AM","Red River","402","215","97","941","26",
"25-091-21316-00-00","9/30/2022 12:00:00 AM","Red River","402","167","75","619","25",
"25-091-21316-00-00","8/31/2022 12:00:00 AM","Red River","402","200","90","700","31",
