"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25071063000000","Fidelity Exploration & Production Co.","County  820","Gas","P&A - Approved","Phillips","Bowdoin","32N-32E","19",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-071-06300-00-00","9/30/2002 12:00:00 AM","Greenhorn","2301","0","0","0","0",
"25-071-06300-00-00","8/31/2002 12:00:00 AM","Greenhorn","2301","0","0","0","0",
"25-071-06300-00-00","7/31/2002 12:00:00 AM","Greenhorn","2301","0","0","0","0",
"25-071-06300-00-00","6/30/2002 12:00:00 AM","Greenhorn","2301","0","0","0","0",
"25-071-06300-00-00","5/31/2002 12:00:00 AM","Greenhorn","2301","0","0","0","0",
"25-071-06300-00-00","4/30/2002 12:00:00 AM","Greenhorn","2301","0","0","0","0",
"25-071-06300-00-00","3/31/2002 12:00:00 AM","Greenhorn","2301","0","0","0","0",
"25-071-06300-00-00","2/28/2002 12:00:00 AM","Greenhorn","2301","0","0","0","0",
"25-071-06300-00-00","1/31/2002 12:00:00 AM","Greenhorn","2301","0","0","0","0",
"25-071-06300-00-00","12/31/2001 12:00:00 AM","Greenhorn","2301","0","0","0","0",
"25-071-06300-00-00","11/30/2001 12:00:00 AM","Greenhorn","2301","0","0","0","0",
"25-071-06300-00-00","10/31/2001 12:00:00 AM","Greenhorn","2301","0","0","0","0",
"25-071-06300-00-00","9/30/2001 12:00:00 AM","Greenhorn","2301","0","0","0","0",
"25-071-06300-00-00","8/31/2001 12:00:00 AM","Greenhorn","2301","0","0","0","0",
"25-071-06300-00-00","7/31/2001 12:00:00 AM","Greenhorn","2301","0","0","0","0",
"25-071-06300-00-00","6/30/2001 12:00:00 AM","Greenhorn","2301","0","0","0","0",
"25-071-06300-00-00","5/31/2001 12:00:00 AM","Greenhorn","2301","0","0","0","0",
"25-071-06300-00-00","4/30/2001 12:00:00 AM","Greenhorn","2301","0","390","0","30",
"25-071-06300-00-00","3/31/2001 12:00:00 AM","Greenhorn","2301","0","676","0","31",
"25-071-06300-00-00","2/28/2001 12:00:00 AM","Greenhorn","2301","0","690","0","28",
"25-071-06300-00-00","1/31/2001 12:00:00 AM","Greenhorn","2301","0","883","0","31",
"25-071-06300-00-00","12/31/2000 12:00:00 AM","Greenhorn","2301","0","819","0","31",
"25-071-06300-00-00","11/30/2000 12:00:00 AM","Greenhorn","2301","0","767","0","30",
"25-071-06300-00-00","10/31/2000 12:00:00 AM","Greenhorn","2301","0","725","0","31",
"25-071-06300-00-00","9/30/2000 12:00:00 AM","Greenhorn","2301","0","706","0","30",
"25-071-06300-00-00","8/31/2000 12:00:00 AM","Greenhorn","2301","0","608","0","31",
"25-071-06300-00-00","7/31/2000 12:00:00 AM","Greenhorn","2301","0","540","0","31",
"25-071-06300-00-00","6/30/2000 12:00:00 AM","Greenhorn","2301","0","601","0","28",
"25-071-06300-00-00","5/31/2000 12:00:00 AM","Greenhorn","2301","0","351","0","15",
"25-071-06300-00-00","4/30/2000 12:00:00 AM","Greenhorn","2301","0","738","0","26",
"25-071-06300-00-00","3/31/2000 12:00:00 AM","Greenhorn","2301","0","839","0","31",
"25-071-06300-00-00","2/29/2000 12:00:00 AM","Greenhorn","2301","0","742","0","29",
"25-071-06300-00-00","1/31/2000 12:00:00 AM","Greenhorn","2301","0","664","0","31",
"25-071-06300-00-00","12/31/1999 12:00:00 AM","Greenhorn","2301","0","239","0","31",
"25-071-06300-00-00","11/30/1999 12:00:00 AM","Greenhorn","2301","0","570","0","30",
"25-071-06300-00-00","10/31/1999 12:00:00 AM","Greenhorn","2301","0","722","0","31",
"25-071-06300-00-00","9/30/1999 12:00:00 AM","Greenhorn","2301","0","719","0","30",
"25-071-06300-00-00","8/31/1999 12:00:00 AM","Greenhorn","2301","0","891","0","31",
"25-071-06300-00-00","7/31/1999 12:00:00 AM","Greenhorn","2301","0","900","0","31",
"25-071-06300-00-00","6/30/1999 12:00:00 AM","Greenhorn","2301","0","816","0","26",
"25-071-06300-00-00","5/31/1999 12:00:00 AM","Greenhorn","2301","0","925","0","31",
"25-071-06300-00-00","4/30/1999 12:00:00 AM","Greenhorn","2301","0","947","0","30",
"25-071-06300-00-00","3/31/1999 12:00:00 AM","Greenhorn","2301","0","870","0","28",
"25-071-06300-00-00","2/28/1999 12:00:00 AM","Greenhorn","2301","0","820","0","28",
"25-071-06300-00-00","1/31/1999 12:00:00 AM","Greenhorn","2301","0","844","0","31",
"25-071-06300-00-00","12/31/1998 12:00:00 AM","Greenhorn","2301","0","1217","0","31",
"25-071-06300-00-00","11/30/1998 12:00:00 AM","Greenhorn","2301","0","751","0","30",
"25-071-06300-00-00","10/31/1998 12:00:00 AM","Greenhorn","2301","0","752","0","31",
"25-071-06300-00-00","9/30/1998 12:00:00 AM","Greenhorn","2301","0","784","0","30",
"25-071-06300-00-00","8/31/1998 12:00:00 AM","Greenhorn","2301","0","813","0","27",
"25-071-06300-00-00","7/31/1998 12:00:00 AM","Greenhorn","2301","0","907","0","31",
"25-071-06300-00-00","6/30/1998 12:00:00 AM","Greenhorn","2301","0","988","0","30",
"25-071-06300-00-00","5/31/1998 12:00:00 AM","Greenhorn","2301","0","769","0","27",
"25-071-06300-00-00","4/30/1998 12:00:00 AM","Greenhorn","2301","0","929","0","30",
"25-071-06300-00-00","3/31/1998 12:00:00 AM","Greenhorn","2301","0","903","0","31",
"25-071-06300-00-00","2/28/1998 12:00:00 AM","Greenhorn","2301","0","739","0","28",
"25-071-06300-00-00","1/31/1998 12:00:00 AM","Greenhorn","2301","0","886","0","31",
"25-071-06300-00-00","12/31/1997 12:00:00 AM","Greenhorn","2301","0","691","0","31",
"25-071-06300-00-00","11/30/1997 12:00:00 AM","Greenhorn","2301","0","749","0","30",
"25-071-06300-00-00","10/31/1997 12:00:00 AM","Greenhorn","2301","0","692","0","31",
"25-071-06300-00-00","9/30/1997 12:00:00 AM","Greenhorn","2301","0","708","0","30",
"25-071-06300-00-00","8/31/1997 12:00:00 AM","Greenhorn","2301","0","707","0","31",
"25-071-06300-00-00","7/31/1997 12:00:00 AM","Greenhorn","2301","0","584","0","31",
"25-071-06300-00-00","6/30/1997 12:00:00 AM","Greenhorn","2301","0","550","0","23",
"25-071-06300-00-00","5/31/1997 12:00:00 AM","Greenhorn","2301","0","705","0","31",
"25-071-06300-00-00","4/30/1997 12:00:00 AM","Greenhorn","2301","0","724","0","30",
"25-071-06300-00-00","3/31/1997 12:00:00 AM","Greenhorn","2301","0","564","0","31",
"25-071-06300-00-00","2/28/1997 12:00:00 AM","Greenhorn","2301","0","652","0","28",
"25-071-06300-00-00","1/31/1997 12:00:00 AM","Greenhorn","2301","0","636","0","31",
"25-071-06300-00-00","12/31/1996 12:00:00 AM","Greenhorn","2301","0","772","0","31",
"25-071-06300-00-00","11/30/1996 12:00:00 AM","Greenhorn","2301","0","791","0","30",
"25-071-06300-00-00","10/31/1996 12:00:00 AM","Greenhorn","2301","0","865","0","31",
"25-071-06300-00-00","9/30/1996 12:00:00 AM","Greenhorn","2301","0","759","0","30",
"25-071-06300-00-00","8/31/1996 12:00:00 AM","Greenhorn","2301","0","823","0","31",
"25-071-06300-00-00","7/31/1996 12:00:00 AM","Greenhorn","2301","0","627","0","25",
"25-071-06300-00-00","6/30/1996 12:00:00 AM","Greenhorn","2301","0","691","0","26",
"25-071-06300-00-00","5/31/1996 12:00:00 AM","Greenhorn","2301","0","756","0","31",
"25-071-06300-00-00","4/30/1996 12:00:00 AM","Greenhorn","2301","0","818","0","30",
"25-071-06300-00-00","3/31/1996 12:00:00 AM","Greenhorn","2301","0","909","0","31",
"25-071-06300-00-00","2/29/1996 12:00:00 AM","Greenhorn","2301","0","734","0","29",
"25-071-06300-00-00","1/31/1996 12:00:00 AM","Greenhorn","2301","0","996","0","31",
"25-071-06300-00-00","12/31/1995 12:00:00 AM","Greenhorn","2301","0","350","0","12",
"25-071-06300-00-00","11/30/1995 12:00:00 AM","Greenhorn","2301","0","0","0","0",
"25-071-06300-00-00","10/31/1995 12:00:00 AM","Greenhorn","2301","0","0","0","0",
"25-071-06300-00-00","9/30/1995 12:00:00 AM","Greenhorn","2301","0","0","0","0",
"25-071-06300-00-00","8/31/1995 12:00:00 AM","Greenhorn","2301","0","392","0","16",
"25-071-06300-00-00","7/31/1995 12:00:00 AM","Greenhorn","2301","0","739","0","31",
"25-071-06300-00-00","6/30/1995 12:00:00 AM","Greenhorn","2301","0","760","0","30",
"25-071-06300-00-00","5/31/1995 12:00:00 AM","Greenhorn","2301","0","597","0","25",
"25-071-06300-00-00","4/30/1995 12:00:00 AM","Greenhorn","2301","0","493","0","25",
"25-071-06300-00-00","3/31/1995 12:00:00 AM","Greenhorn","2301","0","605","0","31",
"25-071-06300-00-00","2/28/1995 12:00:00 AM","Greenhorn","2301","0","381","0","28",
"25-071-06300-00-00","1/31/1995 12:00:00 AM","Greenhorn","2301","0","904","0","31",
"25-071-06300-00-00","12/31/1994 12:00:00 AM","Greenhorn","2301","0","895","0","31",
"25-071-06300-00-00","11/30/1994 12:00:00 AM","Greenhorn","2301","0","922","0","30",
"25-071-06300-00-00","10/31/1994 12:00:00 AM","Greenhorn","2301","0","881","0","31",
"25-071-06300-00-00","9/30/1994 12:00:00 AM","Greenhorn","2301","0","785","0","28",
"25-071-06300-00-00","8/31/1994 12:00:00 AM","Greenhorn","2301","0","825","0","31",
"25-071-06300-00-00","7/31/1994 12:00:00 AM","Greenhorn","2301","0","823","0","26",
"25-071-06300-00-00","6/30/1994 12:00:00 AM","Greenhorn","2301","0","820","0","30",
"25-071-06300-00-00","5/31/1994 12:00:00 AM","Greenhorn","2301","0","876","0","31",
"25-071-06300-00-00","4/30/1994 12:00:00 AM","Greenhorn","2301","0","834","0","28",
"25-071-06300-00-00","3/31/1994 12:00:00 AM","Greenhorn","2301","0","849","0","31",
"25-071-06300-00-00","2/28/1994 12:00:00 AM","Greenhorn","2301","0","832","0","28",
"25-071-06300-00-00","1/31/1994 12:00:00 AM","Greenhorn","2301","0","821","0","31",
"25-071-06300-00-00","12/31/1993 12:00:00 AM","Greenhorn","2301","0","975","0","31",
"25-071-06300-00-00","11/30/1993 12:00:00 AM","Greenhorn","2301","0","1038","0","30",
"25-071-06300-00-00","10/31/1993 12:00:00 AM","Greenhorn","2301","0","879","0","28",
"25-071-06300-00-00","9/30/1993 12:00:00 AM","Greenhorn","2301","0","787","0","30",
"25-071-06300-00-00","8/31/1993 12:00:00 AM","Greenhorn","2301","0","836","0","31",
"25-071-06300-00-00","7/31/1993 12:00:00 AM","Greenhorn","2301","0","687","0","31",
"25-071-06300-00-00","6/30/1993 12:00:00 AM","Greenhorn","2301","0","810","0","30",
"25-071-06300-00-00","5/31/1993 12:00:00 AM","Greenhorn","2301","0","955","0","31",
"25-071-06300-00-00","4/30/1993 12:00:00 AM","Greenhorn","2301","0","853","0","27",
"25-071-06300-00-00","3/31/1993 12:00:00 AM","Greenhorn","2301","0","1028","0","31",
"25-071-06300-00-00","2/28/1993 12:00:00 AM","Greenhorn","2301","0","969","0","28",
"25-071-06300-00-00","1/31/1993 12:00:00 AM","Greenhorn","2301","0","837","0","31",
"25-071-06300-00-00","12/31/1992 12:00:00 AM","Greenhorn","2301","0","853","0","31",
"25-071-06300-00-00","11/30/1992 12:00:00 AM","Greenhorn","2301","0","186","0","6",
"25-071-06300-00-00","10/31/1992 12:00:00 AM","Greenhorn","2301","0","0","0","0",
"25-071-06300-00-00","9/30/1992 12:00:00 AM","Greenhorn","2301","0","502","0","24",
"25-071-06300-00-00","8/31/1992 12:00:00 AM","Greenhorn","2301","0","994","0","31",
"25-071-06300-00-00","7/31/1992 12:00:00 AM","Greenhorn","2301","0","1021","0","31",
"25-071-06300-00-00","6/30/1992 12:00:00 AM","Greenhorn","2301","0","1026","0","30",
"25-071-06300-00-00","5/31/1992 12:00:00 AM","Greenhorn","2301","0","877","0","29",
"25-071-06300-00-00","4/30/1992 12:00:00 AM","Greenhorn","2301","0","739","0","26",
"25-071-06300-00-00","3/31/1992 12:00:00 AM","Greenhorn","2301","0","723","0","28",
"25-071-06300-00-00","2/29/1992 12:00:00 AM","Greenhorn","2301","0","853","0","29",
"25-071-06300-00-00","1/31/1992 12:00:00 AM","Greenhorn","2301","0","1005","0","31",
"25-071-06300-00-00","12/31/1991 12:00:00 AM","Greenhorn","2301","0","549","0","27",
"25-071-06300-00-00","11/30/1991 12:00:00 AM","Greenhorn","2301","0","1042","0","30",
"25-071-06300-00-00","10/31/1991 12:00:00 AM","Greenhorn","2301","0","968","0","28",
"25-071-06300-00-00","9/30/1991 12:00:00 AM","Greenhorn","2301","0","1216","0","30",
"25-071-06300-00-00","8/31/1991 12:00:00 AM","Greenhorn","2301","0","1450","0","31",
"25-071-06300-00-00","7/31/1991 12:00:00 AM","Greenhorn","2301","0","1335","0","31",
"25-071-06300-00-00","6/30/1991 12:00:00 AM","Greenhorn","2301","0","1210","0","28",
"25-071-06300-00-00","5/31/1991 12:00:00 AM","Greenhorn","2301","0","1292","0","31",
"25-071-06300-00-00","4/30/1991 12:00:00 AM","Greenhorn","2301","0","1109","0","25",
"25-071-06300-00-00","3/31/1991 12:00:00 AM","Greenhorn","2301","0","1279","0","28",
"25-071-06300-00-00","2/28/1991 12:00:00 AM","Greenhorn","2301","0","843","0","24",
"25-071-06300-00-00","1/31/1991 12:00:00 AM","Greenhorn","2301","0","1063","0","25",
"25-071-06300-00-00","9/30/1990 12:00:00 AM","Greenhorn","2301","0","776","0","23",
"25-071-06300-00-00","8/31/1990 12:00:00 AM","Greenhorn","2301","0","1189","0","31",
"25-071-06300-00-00","7/31/1990 12:00:00 AM","Greenhorn","2301","0","1135","0","31",
"25-071-06300-00-00","6/30/1990 12:00:00 AM","Greenhorn","2301","0","1519","0","30",
"25-071-06300-00-00","5/31/1990 12:00:00 AM","Greenhorn","2301","0","599","0","11",
"25-071-06300-00-00","4/30/1990 12:00:00 AM","Greenhorn","2301","0","605","0","15",
"25-071-06300-00-00","2/28/1990 12:00:00 AM","Greenhorn","2301","0","326","0","10",
"25-071-06300-00-00","12/31/1989 12:00:00 AM","Greenhorn","2301","0","146","0","5",
"25-071-06300-00-00","11/30/1989 12:00:00 AM","Greenhorn","2301","0","419","0","11",
"25-071-06300-00-00","10/31/1989 12:00:00 AM","Greenhorn","2301","0","238","0","13",
"25-071-06300-00-00","9/30/1989 12:00:00 AM","Greenhorn","2301","0","1081","0","30",
"25-071-06300-00-00","8/31/1989 12:00:00 AM","Greenhorn","2301","0","1143","0","30",
"25-071-06300-00-00","4/30/1989 12:00:00 AM","Greenhorn","2301","0","74","0","2",
"25-071-06300-00-00","3/31/1989 12:00:00 AM","Greenhorn","2301","0","53","0","2",
"25-071-06300-00-00","2/28/1989 12:00:00 AM","Greenhorn","2301","0","669","0","20",
"25-071-06300-00-00","1/31/1989 12:00:00 AM","Greenhorn","2301","0","997","0","28",
"25-071-06300-00-00","12/31/1988 12:00:00 AM","Greenhorn","2301","0","382","0","23",
"25-071-06300-00-00","11/30/1988 12:00:00 AM","Greenhorn","2301","0","846","0","30",
"25-071-06300-00-00","10/31/1988 12:00:00 AM","Greenhorn","2301","0","1341","0","28",
"25-071-06300-00-00","9/30/1988 12:00:00 AM","Greenhorn","2301","0","215","0","5",
"25-071-06300-00-00","3/31/1988 12:00:00 AM","Greenhorn","2301","0","285","0","5",
"25-071-06300-00-00","2/29/1988 12:00:00 AM","Greenhorn","2301","0","319","0","3",
"25-071-06300-00-00","1/31/1988 12:00:00 AM","Greenhorn","2301","0","198","0","4",
