"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25101238740000","Alme, Henry A.","Alme State  1-16","Gas","Producing","Toole","Kevin-Sunburst","35N-1W","16",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-101-23874-00-00","5/31/2025 12:00:00 AM","Bow Island","6412","0","116","0","31",
"25-101-23874-00-00","4/30/2025 12:00:00 AM","Bow Island","6412","0","122","0","30",
"25-101-23874-00-00","3/31/2025 12:00:00 AM","Bow Island","6412","0","121","0","31",
"25-101-23874-00-00","2/28/2025 12:00:00 AM","Bow Island","6412","0","110","0","28",
"25-101-23874-00-00","1/31/2025 12:00:00 AM","Bow Island","6412","0","128","0","31",
"25-101-23874-00-00","12/31/2024 12:00:00 AM","Bow Island","6412","0","142","0","31",
"25-101-23874-00-00","11/30/2024 12:00:00 AM","Bow Island","6412","0","124","0","30",
"25-101-23874-00-00","10/31/2024 12:00:00 AM","Bow Island","6412","0","160","0","31",
"25-101-23874-00-00","9/30/2024 12:00:00 AM","Bow Island","6412","0","115","0","30",
"25-101-23874-00-00","8/31/2024 12:00:00 AM","Bow Island","6412","0","0","0","0",
"25-101-23874-00-00","7/31/2024 12:00:00 AM","Bow Island","6412","0","0","0","0",
"25-101-23874-00-00","6/30/2024 12:00:00 AM","Bow Island","6412","0","0","0","0",
"25-101-23874-00-00","5/31/2024 12:00:00 AM","Bow Island","6412","0","0","0","0",
"25-101-23874-00-00","4/30/2024 12:00:00 AM","Bow Island","6412","0","116","0","30",
"25-101-23874-00-00","3/31/2024 12:00:00 AM","Bow Island","6412","0","66","0","31",
"25-101-23874-00-00","2/29/2024 12:00:00 AM","Bow Island","6412","0","103","0","29",
"25-101-23874-00-00","1/31/2024 12:00:00 AM","Bow Island","6412","0","134","0","31",
"25-101-23874-00-00","12/31/2023 12:00:00 AM","Bow Island","6412","0","118","0","31",
"25-101-23874-00-00","11/30/2023 12:00:00 AM","Bow Island","6412","0","136","0","30",
"25-101-23874-00-00","10/31/2023 12:00:00 AM","Bow Island","6412","0","146","0","31",
