"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25005214740000","NorthWestern Corporation","Dehlbom  31-15","Gas","Producing","Blaine","Tiger Ridge","31N-18E","31",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-005-21474-00-00","7/31/2025 12:00:00 AM","Eagle","2356","0","110","0","29",
"25-005-21474-00-00","6/30/2025 12:00:00 AM","Eagle","2356","0","112","0","30",
"25-005-21474-00-00","5/31/2025 12:00:00 AM","Eagle","2356","0","118","0","31",
"25-005-21474-00-00","4/30/2025 12:00:00 AM","Eagle","2356","0","125","0","30",
"25-005-21474-00-00","3/31/2025 12:00:00 AM","Eagle","2356","0","144","0","31",
"25-005-21474-00-00","2/28/2025 12:00:00 AM","Eagle","2356","0","92","0","16",
"25-005-21474-00-00","1/31/2025 12:00:00 AM","Eagle","2356","0","185","0","31",
"25-005-21474-00-00","12/31/2024 12:00:00 AM","Eagle","2356","0","185","0","31",
"25-005-21474-00-00","11/30/2024 12:00:00 AM","Eagle","2356","0","167","0","30",
"25-005-21474-00-00","10/31/2024 12:00:00 AM","Eagle","2356","0","105","0","31",
"25-005-21474-00-00","9/30/2024 12:00:00 AM","Eagle","2356","0","98","0","30",
"25-005-21474-00-00","8/31/2024 12:00:00 AM","Eagle","2356","0","96","0","25",
"25-005-21474-00-00","7/31/2024 12:00:00 AM","Eagle","2356","0","100","0","28",
"25-005-21474-00-00","6/30/2024 12:00:00 AM","Eagle","2356","0","101","0","30",
"25-005-21474-00-00","5/31/2024 12:00:00 AM","Eagle","2356","0","105","0","31",
"25-005-21474-00-00","4/30/2024 12:00:00 AM","Eagle","2356","0","102","0","30",
"25-005-21474-00-00","3/31/2024 12:00:00 AM","Eagle","2356","0","106","0","31",
"25-005-21474-00-00","2/29/2024 12:00:00 AM","Eagle","2356","0","99","0","29",
"25-005-21474-00-00","1/31/2024 12:00:00 AM","Eagle","2356","0","106","0","31",
"25-005-21474-00-00","12/31/2023 12:00:00 AM","Eagle","2356","0","104","0","31",
