"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25065218390000","SDOCO, LLC","DeJaegher     2-23","Oil","Producing","Musselshell","Tinder Box","11N-30E","23",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-065-21839-00-00","5/31/2025 12:00:00 AM","Tyler","5993","58","0","0","12",
"25-065-21839-00-00","4/30/2025 12:00:00 AM","Tyler","5993","124","0","0","7",
"25-065-21839-00-00","3/31/2025 12:00:00 AM","Tyler","5993","0","0","0","0",
"25-065-21839-00-00","2/28/2025 12:00:00 AM","Tyler","5993","0","0","0","0",
"25-065-21839-00-00","1/31/2025 12:00:00 AM","Tyler","5993","0","0","0","0",
"25-065-21839-00-00","12/31/2024 12:00:00 AM","Tyler","5993","0","0","0","0",
"25-065-21839-00-00","11/30/2024 12:00:00 AM","Tyler","5993","42","0","0","21",
"25-065-21839-00-00","10/31/2024 12:00:00 AM","Tyler","5993","24","0","0","27",
"25-065-21839-00-00","9/30/2024 12:00:00 AM","Tyler","5993","0","0","0","0",
"25-065-21839-00-00","8/31/2024 12:00:00 AM","Tyler","5993","93","0","0","31",
"25-065-21839-00-00","7/31/2024 12:00:00 AM","Tyler","5993","95","0","0","31",
"25-065-21839-00-00","6/30/2024 12:00:00 AM","Tyler","5993","82","0","0","29",
"25-065-21839-00-00","5/31/2024 12:00:00 AM","Tyler","5993","72","0","0","31",
"25-065-21839-00-00","4/30/2024 12:00:00 AM","Tyler","5993","74","0","0","30",
"25-065-21839-00-00","3/31/2024 12:00:00 AM","Tyler","5993","82","0","0","31",
"25-065-21839-00-00","2/29/2024 12:00:00 AM","Tyler","5993","84","0","0","29",
"25-065-21839-00-00","1/31/2024 12:00:00 AM","Tyler","5993","75","0","0","31",
"25-065-21839-00-00","12/31/2023 12:00:00 AM","Tyler","5993","90","0","5","31",
"25-065-21839-00-00","11/30/2023 12:00:00 AM","Tyler","5993","94","0","5","30",
"25-065-21839-00-00","10/31/2023 12:00:00 AM","Tyler","5993","125","0","9","30",
"25-065-21839-00-00","9/30/2023 12:00:00 AM","Tyler","5993","132","0","17","30",
"25-065-21839-00-00","8/31/2023 12:00:00 AM","Tyler","5993","0","0","37","31",
"25-065-21839-00-00","7/31/2023 12:00:00 AM","Tyler","5993","90","0","0","0",
"25-065-21839-00-00","6/30/2023 12:00:00 AM","Tyler","5993","0","0","0","0",
"25-065-21839-00-00","5/31/2023 12:00:00 AM","Tyler","5993","0","0","0","0",
"25-065-21839-00-00","4/30/2023 12:00:00 AM","Tyler","5993","0","0","0","0",
"25-065-21839-00-00","3/31/2023 12:00:00 AM","Tyler","5993","0","0","0","0",
"25-065-21839-00-00","2/28/2023 12:00:00 AM","Tyler","5993","0","0","0","0",
"25-065-21839-00-00","1/31/2023 12:00:00 AM","Tyler","5993","0","0","0","0",
"25-065-21839-00-00","12/31/2022 12:00:00 AM","Tyler","5993","0","0","0","0",
"25-065-21839-00-00","11/30/2022 12:00:00 AM","Tyler","5993","0","0","0","0",
"25-065-21839-00-00","10/31/2022 12:00:00 AM","Tyler","5993","12","0","0","4",
"25-065-21839-00-00","9/30/2022 12:00:00 AM","Tyler","5993","78","0","0","30",
"25-065-21839-00-00","8/31/2022 12:00:00 AM","Tyler","5993","165","0","0","31",
"25-065-21839-00-00","7/31/2022 12:00:00 AM","Tyler","5993","167","0","0","31",
"25-065-21839-00-00","6/30/2022 12:00:00 AM","Tyler","5993","154","0","0","30",
"25-065-21839-00-00","5/31/2022 12:00:00 AM","Tyler","5993","161","0","0","30",
"25-065-21839-00-00","4/30/2022 12:00:00 AM","Tyler","5993","164","0","0","30",
"25-065-21839-00-00","3/31/2022 12:00:00 AM","Tyler","5993","161","0","0","31",
"25-065-21839-00-00","2/28/2022 12:00:00 AM","Tyler","5993","151","0","0","28",
"25-065-21839-00-00","1/31/2022 12:00:00 AM","Tyler","5993","170","0","0","31",
"25-065-21839-00-00","12/31/2021 12:00:00 AM","Tyler","5993","198","0","0","29",
"25-065-21839-00-00","11/30/2021 12:00:00 AM","Tyler","5993","157","0","0","30",
"25-065-21839-00-00","10/31/2021 12:00:00 AM","Tyler","5993","164","0","0","31",
"25-065-21839-00-00","9/30/2021 12:00:00 AM","Tyler","5993","170","0","0","30",
"25-065-21839-00-00","8/31/2021 12:00:00 AM","Tyler","5993","172","0","0","31",
"25-065-21839-00-00","7/31/2021 12:00:00 AM","Tyler","5993","186","0","0","31",
"25-065-21839-00-00","6/30/2021 12:00:00 AM","Tyler","5993","168","0","0","30",
"25-065-21839-00-00","5/31/2021 12:00:00 AM","Tyler","5993","173","0","0","31",
"25-065-21839-00-00","4/30/2021 12:00:00 AM","Tyler","5993","162","0","0","27",
"25-065-21839-00-00","3/31/2021 12:00:00 AM","Tyler","5993","187","0","0","31",
