"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25091219100000","Neptune Operating LLC","Dave Clark  21-13H","Oil","Producing","Sheridan","Elm Coulee, Northeast","31N-58E","12",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-091-21910-00-00","6/30/2025 12:00:00 AM","Three Forks","8790","180","1185","822","30",
"25-091-21910-00-00","5/31/2025 12:00:00 AM","Three Forks","8790","303","544","969","31",
"25-091-21910-00-00","4/30/2025 12:00:00 AM","Three Forks","8790","215","307","923","30",
"25-091-21910-00-00","3/31/2025 12:00:00 AM","Three Forks","8790","193","208","535","28",
"25-091-21910-00-00","2/28/2025 12:00:00 AM","Three Forks","8790","161","104","637","25",
"25-091-21910-00-00","1/31/2025 12:00:00 AM","Three Forks","8790","219","134","875","31",
"25-091-21910-00-00","12/31/2024 12:00:00 AM","Three Forks","8790","219","124","830","31",
"25-091-21910-00-00","11/30/2024 12:00:00 AM","Three Forks","8790","260","121","997","30",
"25-091-21910-00-00","10/31/2024 12:00:00 AM","Three Forks","8790","252","122","910","31",
"25-091-21910-00-00","9/30/2024 12:00:00 AM","Three Forks","8790","235","121","940","30",
"25-091-21910-00-00","8/31/2024 12:00:00 AM","Three Forks","8790","215","296","897","26",
"25-091-21910-00-00","7/31/2024 12:00:00 AM","Three Forks","8790","262","653","1010","31",
"25-091-21910-00-00","6/30/2024 12:00:00 AM","Three Forks","8790","243","248","1087","30",
"25-091-21910-00-00","5/31/2024 12:00:00 AM","Three Forks","8790","127","104","627","23",
"25-091-21910-00-00","4/30/2024 12:00:00 AM","Three Forks","8790","295","341","1148","30",
"25-091-21910-00-00","3/31/2024 12:00:00 AM","Three Forks","8790","275","247","1035","31",
"25-091-21910-00-00","2/29/2024 12:00:00 AM","Three Forks","8790","332","334","1093","29",
"25-091-21910-00-00","1/31/2024 12:00:00 AM","Three Forks","8790","225","191","787","26",
"25-091-21910-00-00","12/31/2023 12:00:00 AM","Three Forks","8790","327","340","1189","31",
"25-091-21910-00-00","11/30/2023 12:00:00 AM","Three Forks","8790","339","198","1148","30",
"25-091-21910-00-00","10/31/2023 12:00:00 AM","Three Forks","8790","302","287","1276","31",
"25-091-21910-00-00","9/30/2023 12:00:00 AM","Three Forks","8790","392","403","1193","30",
"25-091-21910-00-00","8/31/2023 12:00:00 AM","Three Forks","8790","389","314","1331","31",
"25-091-21910-00-00","7/31/2023 12:00:00 AM","Three Forks","8790","381","378","1285","31",
"25-091-21910-00-00","6/30/2023 12:00:00 AM","Three Forks","8790","365","323","1315","30",
"25-091-21910-00-00","5/31/2023 12:00:00 AM","Three Forks","8790","490","384","1530","31",
"25-091-21910-00-00","4/30/2023 12:00:00 AM","Three Forks","8790","389","209","1327","30",
"25-091-21910-00-00","3/31/2023 12:00:00 AM","Three Forks","8790","492","193","1515","31",
"25-091-21910-00-00","2/28/2023 12:00:00 AM","Three Forks","8790","289","78","1245","26",
"25-091-21910-00-00","1/31/2023 12:00:00 AM","Three Forks","8790","22","34","1030","16",
"25-091-21910-00-00","12/31/2022 12:00:00 AM","Three Forks","8790","0","0","0","0",
"25-091-21910-00-00","11/30/2022 12:00:00 AM","Three Forks","8790","0","0","0","0",
"25-091-21910-00-00","10/31/2022 12:00:00 AM","Three Forks","8790","11","32","53","8",
"25-091-21910-00-00","9/30/2022 12:00:00 AM","Three Forks","8790","0","0","38","5",
"25-091-21910-00-00","8/31/2022 12:00:00 AM","Three Forks","8790","230","197","730","29",
"25-091-21910-00-00","7/31/2022 12:00:00 AM","Three Forks","8790","311","209","1066","31",
"25-091-21910-00-00","6/30/2022 12:00:00 AM","Three Forks","8790","369","318","1095","30",
"25-091-21910-00-00","5/31/2022 12:00:00 AM","Three Forks","8790","304","196","1257","18",
"25-091-21910-00-00","4/30/2022 12:00:00 AM","Three Forks","8790","282","268","802","20",
"25-091-21910-00-00","3/31/2022 12:00:00 AM","Three Forks","8790","495","457","1240","31",
"25-091-21910-00-00","2/28/2022 12:00:00 AM","Three Forks","8790","491","435","1383","28",
"25-091-21910-00-00","1/31/2022 12:00:00 AM","Three Forks","8790","85","144","503","10",
"25-091-21910-00-00","12/31/2021 12:00:00 AM","Three Forks","8790","394","420","1170","26",
"25-091-21910-00-00","11/30/2021 12:00:00 AM","Three Forks","8790","514","394","1458","29",
"25-091-21910-00-00","10/31/2021 12:00:00 AM","Three Forks","8790","230","69","1028","19",
"25-091-21910-00-00","9/30/2021 12:00:00 AM","Three Forks","8790","230","217","743","16",
"25-091-21910-00-00","8/31/2021 12:00:00 AM","Three Forks","8790","527","378","1523","31",
"25-091-21910-00-00","7/31/2021 12:00:00 AM","Three Forks","8790","420","313","1348","28",
"25-091-21910-00-00","6/30/2021 12:00:00 AM","Three Forks","8790","396","218","1253","24",
"25-091-21910-00-00","5/31/2021 12:00:00 AM","Three Forks","8790","623","402","1875","31",
"25-091-21910-00-00","4/30/2021 12:00:00 AM","Three Forks","8790","718","257","2091","30",
"25-091-21910-00-00","3/31/2021 12:00:00 AM","Three Forks","8790","970","148","2298","31",
"25-091-21910-00-00","2/28/2021 12:00:00 AM","Three Forks","8790","232","0","1437","13",
"25-091-21910-00-00","1/31/2021 12:00:00 AM","Three Forks","8790","33","1","122","2",
"25-091-21910-00-00","12/31/2020 12:00:00 AM","Three Forks","8790","0","0","0","0",
"25-091-21910-00-00","11/30/2020 12:00:00 AM","Three Forks","8790","33","0","678","7",
"25-091-21910-00-00","10/31/2020 12:00:00 AM","Three Forks","8790","0","0","0","0",
"25-091-21910-00-00","9/30/2020 12:00:00 AM","Three Forks","8790","0","0","0","0",
"25-091-21910-00-00","8/31/2020 12:00:00 AM","Three Forks","8790","52","9","978","9",
"25-091-21910-00-00","7/31/2020 12:00:00 AM","Three Forks","8790","0","0","0","0",
"25-091-21910-00-00","6/30/2020 12:00:00 AM","Three Forks","8790","11","0","362","10",
"25-091-21910-00-00","5/31/2020 12:00:00 AM","Three Forks","8790","0","0","0","0",
"25-091-21910-00-00","4/30/2020 12:00:00 AM","Three Forks","8790","0","0","0","0",
"25-091-21910-00-00","3/31/2020 12:00:00 AM","Three Forks","8790","242","78","734","26",
"25-091-21910-00-00","2/29/2020 12:00:00 AM","Three Forks","8790","295","87","1070","29",
"25-091-21910-00-00","1/31/2020 12:00:00 AM","Three Forks","8790","297","63","920","31",
"25-091-21910-00-00","12/31/2019 12:00:00 AM","Three Forks","8790","170","9","720","31",
"25-091-21910-00-00","11/30/2019 12:00:00 AM","Three Forks","8790","338","70","1180","30",
"25-091-21910-00-00","10/31/2019 12:00:00 AM","Three Forks","8790","441","21","1323","31",
"25-091-21910-00-00","9/30/2019 12:00:00 AM","Three Forks","8790","220","77","1695","26",
"25-091-21910-00-00","8/31/2019 12:00:00 AM","Three Forks","8790","0","0","0","0",
"25-091-21910-00-00","7/31/2019 12:00:00 AM","Three Forks","8790","7","167","10","7",
"25-091-21910-00-00","6/30/2019 12:00:00 AM","Three Forks","8790","161","223","462","20",
"25-091-21910-00-00","5/31/2019 12:00:00 AM","Three Forks","8790","375","355","1093","31",
"25-091-21910-00-00","4/30/2019 12:00:00 AM","Three Forks","8790","385","228","1230","30",
"25-091-21910-00-00","3/31/2019 12:00:00 AM","Three Forks","8790","67","7","725","18",
"25-091-21910-00-00","2/28/2019 12:00:00 AM","Three Forks","8790","0","169","255","3",
"25-091-21910-00-00","1/31/2019 12:00:00 AM","Three Forks","8790","224","203","685","20",
"25-091-21910-00-00","12/31/2018 12:00:00 AM","Three Forks","8790","345","582","1115","29",
"25-091-21910-00-00","11/30/2018 12:00:00 AM","Three Forks","8790","365","964","1218","30",
"25-091-21910-00-00","10/31/2018 12:00:00 AM","Three Forks","8790","368","437","1140","30",
"25-091-21910-00-00","9/30/2018 12:00:00 AM","Three Forks","8790","417","424","2140","30",
"25-091-21910-00-00","8/31/2018 12:00:00 AM","Three Forks","8790","421","467","1540","31",
"25-091-21910-00-00","7/31/2018 12:00:00 AM","Three Forks","8790","407","428","1445","30",
"25-091-21910-00-00","6/30/2018 12:00:00 AM","Three Forks","8790","437","414","1485","30",
"25-091-21910-00-00","5/31/2018 12:00:00 AM","Three Forks","8790","463","306","1330","31",
"25-091-21910-00-00","4/30/2018 12:00:00 AM","Three Forks","8790","10","785","1335","30",
"25-091-21910-00-00","3/31/2018 12:00:00 AM","Three Forks","8790","0","0","1658","31",
"25-091-21910-00-00","2/28/2018 12:00:00 AM","Three Forks","8790","440","0","1342","28",
"25-091-21910-00-00","1/31/2018 12:00:00 AM","Three Forks","8790","57","0","1575","31",
"25-091-21910-00-00","12/31/2017 12:00:00 AM","Three Forks","8790","476","1087","1400","27",
"25-091-21910-00-00","11/30/2017 12:00:00 AM","Three Forks","8790","566","605","1650","30",
"25-091-21910-00-00","10/31/2017 12:00:00 AM","Three Forks","8790","700","1026","1880","31",
"25-091-21910-00-00","9/30/2017 12:00:00 AM","Three Forks","8790","640","1120","2515","30",
"25-091-21910-00-00","8/31/2017 12:00:00 AM","Three Forks","8790","0","0","0","0",
"25-091-21910-00-00","7/31/2017 12:00:00 AM","Three Forks","8790","0","0","0","0",
"25-091-21910-00-00","6/30/2017 12:00:00 AM","Three Forks","8790","0","0","0","0",
"25-091-21910-00-00","5/31/2017 12:00:00 AM","Three Forks","8790","168","397","530","9",
"25-091-21910-00-00","4/30/2017 12:00:00 AM","Three Forks","8790","752","1329","1620","30",
"25-091-21910-00-00","3/31/2017 12:00:00 AM","Three Forks","8790","557","1006","1913","30",
"25-091-21910-00-00","2/28/2017 12:00:00 AM","Three Forks","8790","36","63","868","10",
"25-091-21910-00-00","1/31/2017 12:00:00 AM","Three Forks","8790","50","60","63","0",
"25-091-21910-00-00","12/31/2016 12:00:00 AM","Three Forks","8790","231","1135","693","13",
"25-091-21910-00-00","11/30/2016 12:00:00 AM","Three Forks","8790","446","1173","2158","30",
"25-091-21910-00-00","10/31/2016 12:00:00 AM","Three Forks","8790","534","1214","1703","31",
"25-091-21910-00-00","9/30/2016 12:00:00 AM","Three Forks","8790","393","557","1818","30",
"25-091-21910-00-00","8/31/2016 12:00:00 AM","Three Forks","8790","593","594","1677","31",
"25-091-21910-00-00","7/31/2016 12:00:00 AM","Three Forks","8790","434","410","1797","31",
"25-091-21910-00-00","6/30/2016 12:00:00 AM","Three Forks","8790","407","212","1653","0",
"25-091-21910-00-00","5/31/2016 12:00:00 AM","Three Forks","8790","528","315","1773","31",
"25-091-21910-00-00","4/30/2016 12:00:00 AM","Three Forks","8790","789","1117","1933","30",
"25-091-21910-00-00","3/31/2016 12:00:00 AM","Three Forks","8790","490","266","1693","31",
"25-091-21910-00-00","2/29/2016 12:00:00 AM","Three Forks","8790","585","323","1885","29",
"25-091-21910-00-00","1/31/2016 12:00:00 AM","Three Forks","8790","427","222","2098","0",
"25-091-21910-00-00","12/31/2015 12:00:00 AM","Three Forks","8790","579","301","2233","0",
"25-091-21910-00-00","11/30/2015 12:00:00 AM","Three Forks","8790","666","346","2170","0",
"25-091-21910-00-00","10/31/2015 12:00:00 AM","Three Forks","8790","549","365","2377","31",
"25-091-21910-00-00","9/30/2015 12:00:00 AM","Three Forks","8790","610","317","2197","30",
"25-091-21910-00-00","8/31/2015 12:00:00 AM","Three Forks","8790","661","26","2553","31",
"25-091-21910-00-00","7/31/2015 12:00:00 AM","Three Forks","8790","746","538","2503","31",
"25-091-21910-00-00","6/30/2015 12:00:00 AM","Three Forks","8790","672","1056","2177","28",
"25-091-21910-00-00","5/31/2015 12:00:00 AM","Three Forks","8790","971","950","3000","31",
"25-091-21910-00-00","4/30/2015 12:00:00 AM","Three Forks","8790","1223","1868","3493","30",
"25-091-21910-00-00","3/31/2015 12:00:00 AM","Three Forks","8790","747","1136","2727","30",
"25-091-21910-00-00","2/28/2015 12:00:00 AM","Three Forks","8790","319","485","1657","28",
"25-091-21910-00-00","1/31/2015 12:00:00 AM","Three Forks","8790","301","115","1633","31",
"25-091-21910-00-00","12/31/2014 12:00:00 AM","Three Forks","8790","615","1084","2650","31",
"25-091-21910-00-00","11/30/2014 12:00:00 AM","Three Forks","8790","829","1615","3000","30",
"25-091-21910-00-00","10/31/2014 12:00:00 AM","Three Forks","8790","905","1717","3263","31",
"25-091-21910-00-00","9/30/2014 12:00:00 AM","Three Forks","8790","938","1112","3287","30",
"25-091-21910-00-00","8/31/2014 12:00:00 AM","Three Forks","8790","1059","1424","3707","31",
"25-091-21910-00-00","7/31/2014 12:00:00 AM","Bakken","8790","1266","1453","3609","0",
"25-091-21910-00-00","7/31/2014 12:00:00 AM","Three Forks","8790","1265","1475","3609","31",
"25-091-21910-00-00","6/30/2014 12:00:00 AM","Three Forks","8790","1291","1482","3657","0",
"25-091-21910-00-00","5/31/2014 12:00:00 AM","Three Forks","8790","1501","1235","3683","0",
"25-091-21910-00-00","4/30/2014 12:00:00 AM","Three Forks","8790","671","735","2402","0",
"25-091-21910-00-00","3/31/2014 12:00:00 AM","Three Forks","8790","1182","1020","3178","0",
"25-091-21910-00-00","2/28/2014 12:00:00 AM","Three Forks","8790","1281","1046","2760","0",
"25-091-21910-00-00","1/31/2014 12:00:00 AM","Three Forks","8790","350","405","2043","0",
"25-091-21910-00-00","12/31/2013 12:00:00 AM","Three Forks","8790","1446","2624","3617","0",
"25-091-21910-00-00","11/30/2013 12:00:00 AM","Three Forks","8790","1581","2006","3994","0",
"25-091-21910-00-00","10/31/2013 12:00:00 AM","Three Forks","8790","1695","912","4153","0",
"25-091-21910-00-00","9/30/2013 12:00:00 AM","Three Forks","8790","1997","2250","4728","0",
"25-091-21910-00-00","8/31/2013 12:00:00 AM","Three Forks","8790","2472","2422","5382","0",
"25-091-21910-00-00","7/31/2013 12:00:00 AM","Three Forks","8790","2332","1866","5249","0",
"25-091-21910-00-00","6/30/2013 12:00:00 AM","Three Forks","8790","2539","3438","5940","0",
"25-091-21910-00-00","5/31/2013 12:00:00 AM","Three Forks","8790","2974","3489","7468","0",
"25-091-21910-00-00","4/30/2013 12:00:00 AM","Three Forks","8790","3009","2638","7426","0",
"25-091-21910-00-00","3/31/2013 12:00:00 AM","Three Forks","8790","3302","2777","8728","0",
"25-091-21910-00-00","2/28/2013 12:00:00 AM","Three Forks","8790","2658","2567","6935","0",
"25-091-21910-00-00","1/31/2013 12:00:00 AM","Three Forks","8790","1029","972","4860","0",
