"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25003228400000","Ursa Major (Crow OG), LLC","Dunmore  1-9-1S-34E","Gas","Shut In","Big Horn","Dunmore","1S-34E","9",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-003-22840-00-00","8/31/2017 12:00:00 AM","Belle Fourche","8273","0","0","0","0",
"25-003-22840-00-00","7/31/2017 12:00:00 AM","Belle Fourche","8273","0","0","0","0",
"25-003-22840-00-00","6/30/2017 12:00:00 AM","Belle Fourche","8273","0","57","0","12",
"25-003-22840-00-00","5/31/2017 12:00:00 AM","Belle Fourche","8273","0","177","0","31",
"25-003-22840-00-00","4/30/2017 12:00:00 AM","Belle Fourche","8273","0","176","0","30",
"25-003-22840-00-00","3/31/2017 12:00:00 AM","Belle Fourche","8273","0","191","0","31",
"25-003-22840-00-00","2/28/2017 12:00:00 AM","Belle Fourche","8273","0","192","0","28",
"25-003-22840-00-00","1/31/2017 12:00:00 AM","Belle Fourche","8273","0","175","0","31",
"25-003-22840-00-00","12/31/2016 12:00:00 AM","Belle Fourche","8273","0","175","0","31",
"25-003-22840-00-00","11/30/2016 12:00:00 AM","Belle Fourche","8273","0","171","0","30",
"25-003-22840-00-00","10/31/2016 12:00:00 AM","Belle Fourche","8273","0","178","0","31",
"25-003-22840-00-00","9/30/2016 12:00:00 AM","Belle Fourche","8273","0","177","0","30",
"25-003-22840-00-00","8/31/2016 12:00:00 AM","Belle Fourche","8273","0","175","0","31",
"25-003-22840-00-00","7/31/2016 12:00:00 AM","Belle Fourche","8273","0","171","0","31",
"25-003-22840-00-00","6/30/2016 12:00:00 AM","Belle Fourche","8273","0","170","0","30",
"25-003-22840-00-00","5/31/2016 12:00:00 AM","Belle Fourche","8273","0","180","0","31",
"25-003-22840-00-00","4/30/2016 12:00:00 AM","Belle Fourche","8273","0","177","0","30",
"25-003-22840-00-00","3/31/2016 12:00:00 AM","Belle Fourche","8273","0","182","0","31",
"25-003-22840-00-00","2/29/2016 12:00:00 AM","Belle Fourche","8273","0","178","0","29",
"25-003-22840-00-00","1/31/2016 12:00:00 AM","Belle Fourche","8273","0","183","0","31",
"25-003-22840-00-00","12/31/2015 12:00:00 AM","Belle Fourche","8273","0","188","0","31",
"25-003-22840-00-00","11/30/2015 12:00:00 AM","Belle Fourche","8273","0","195","0","30",
"25-003-22840-00-00","10/31/2015 12:00:00 AM","Belle Fourche","8273","0","185","0","31",
"25-003-22840-00-00","9/30/2015 12:00:00 AM","Belle Fourche","8273","0","182","0","30",
"25-003-22840-00-00","8/31/2015 12:00:00 AM","Belle Fourche","8273","0","168","0","31",
"25-003-22840-00-00","7/31/2015 12:00:00 AM","Belle Fourche","8273","0","170","0","31",
"25-003-22840-00-00","6/30/2015 12:00:00 AM","Belle Fourche","8273","0","177","0","30",
