"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25041222120000","NorthWestern Corporation","Dion  12-30","Gas","Shut In","Hill","Tiger Ridge","32N-17E","30",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-041-22212-00-00","7/31/2025 12:00:00 AM","Eagle","553","0","0","0","0",
"25-041-22212-00-00","6/30/2025 12:00:00 AM","Eagle","553","0","0","0","0",
"25-041-22212-00-00","5/31/2025 12:00:00 AM","Eagle","553","0","0","0","0",
"25-041-22212-00-00","4/30/2025 12:00:00 AM","Eagle","553","0","8","0","16",
"25-041-22212-00-00","3/31/2025 12:00:00 AM","Eagle","553","0","11","0","22",
"25-041-22212-00-00","2/28/2025 12:00:00 AM","Eagle","553","0","6","0","13",
"25-041-22212-00-00","1/31/2025 12:00:00 AM","Eagle","553","0","12","0","29",
"25-041-22212-00-00","12/31/2024 12:00:00 AM","Eagle","553","0","12","0","26",
"25-041-22212-00-00","11/30/2024 12:00:00 AM","Eagle","553","0","11","0","26",
"25-041-22212-00-00","10/31/2024 12:00:00 AM","Eagle","553","0","10","0","26",
"25-041-22212-00-00","9/30/2024 12:00:00 AM","Eagle","553","0","9","0","24",
"25-041-22212-00-00","8/31/2024 12:00:00 AM","Eagle","553","0","10","0","25",
"25-041-22212-00-00","7/31/2024 12:00:00 AM","Eagle","553","0","11","0","25",
"25-041-22212-00-00","6/30/2024 12:00:00 AM","Eagle","553","0","11","0","28",
"25-041-22212-00-00","5/31/2024 12:00:00 AM","Eagle","553","0","12","0","29",
"25-041-22212-00-00","4/30/2024 12:00:00 AM","Eagle","553","0","12","0","29",
"25-041-22212-00-00","3/31/2024 12:00:00 AM","Eagle","553","0","12","0","30",
"25-041-22212-00-00","2/29/2024 12:00:00 AM","Eagle","553","0","11","0","28",
"25-041-22212-00-00","1/31/2024 12:00:00 AM","Eagle","553","0","9","0","23",
"25-041-22212-00-00","12/31/2023 12:00:00 AM","Eagle","553","0","12","0","31",
"25-041-22212-00-00","11/30/2023 12:00:00 AM","Eagle","553","0","12","0","29",
"25-041-22212-00-00","10/31/2023 12:00:00 AM","Eagle","553","0","12","0","27",
"25-041-22212-00-00","9/30/2023 12:00:00 AM","Eagle","553","0","11","0","27",
"25-041-22212-00-00","8/31/2023 12:00:00 AM","Eagle","553","0","10","0","26",
"25-041-22212-00-00","7/31/2023 12:00:00 AM","Eagle","553","0","12","0","26",
"25-041-22212-00-00","6/30/2023 12:00:00 AM","Eagle","553","0","12","0","25",
"25-041-22212-00-00","5/31/2023 12:00:00 AM","Eagle","553","0","12","0","29",
"25-041-22212-00-00","4/30/2023 12:00:00 AM","Eagle","553","0","12","0","29",
"25-041-22212-00-00","3/31/2023 12:00:00 AM","Eagle","553","0","13","0","31",
"25-041-22212-00-00","2/28/2023 12:00:00 AM","Eagle","553","0","12","0","27",
"25-041-22212-00-00","1/31/2023 12:00:00 AM","Eagle","553","0","13","0","31",
"25-041-22212-00-00","12/31/2022 12:00:00 AM","Eagle","553","0","14","0","31",
"25-041-22212-00-00","11/30/2022 12:00:00 AM","Eagle","553","0","13","0","29",
"25-041-22212-00-00","10/31/2022 12:00:00 AM","Eagle","553","0","13","0","29",
"25-041-22212-00-00","9/30/2022 12:00:00 AM","Eagle","553","0","12","0","29",
"25-041-22212-00-00","8/31/2022 12:00:00 AM","Eagle","553","0","12","0","30",
"25-041-22212-00-00","7/31/2022 12:00:00 AM","Eagle","553","0","13","0","28",
"25-041-22212-00-00","6/30/2022 12:00:00 AM","Eagle","553","0","13","0","26",
"25-041-22212-00-00","5/31/2022 12:00:00 AM","Eagle","553","0","14","0","30",
"25-041-22212-00-00","4/30/2022 12:00:00 AM","Eagle","553","0","13","0","29",
"25-041-22212-00-00","3/31/2022 12:00:00 AM","Eagle","553","0","14","0","31",
"25-041-22212-00-00","2/28/2022 12:00:00 AM","Eagle","553","0","13","0","28",
"25-041-22212-00-00","1/31/2022 12:00:00 AM","Eagle","553","0","15","0","31",
"25-041-22212-00-00","12/31/2021 12:00:00 AM","Eagle","553","0","14","0","30",
"25-041-22212-00-00","11/30/2021 12:00:00 AM","Eagle","553","0","14","0","28",
"25-041-22212-00-00","10/31/2021 12:00:00 AM","Eagle","553","0","14","0","30",
"25-041-22212-00-00","9/30/2021 12:00:00 AM","Eagle","553","0","13","0","29",
"25-041-22212-00-00","8/31/2021 12:00:00 AM","Eagle","553","0","13","0","30",
"25-041-22212-00-00","7/31/2021 12:00:00 AM","Eagle","553","0","14","0","30",
"25-041-22212-00-00","6/30/2021 12:00:00 AM","Eagle","553","0","14","0","27",
"25-041-22212-00-00","5/31/2021 12:00:00 AM","Eagle","553","0","15","0","30",
