"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25083217170000","Ridge Oil & Gas, LLC","Doyle  1-9","Oil","Producing","Richland","Cottonwood","26N-59E","9",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-083-21717-00-00","7/31/2025 12:00:00 AM","Ratcliffe","3375","328","0","215","28",
"25-083-21717-00-00","6/30/2025 12:00:00 AM","Ratcliffe","3375","325","0","224","28",
"25-083-21717-00-00","5/31/2025 12:00:00 AM","Ratcliffe","3375","416","0","240","28",
"25-083-21717-00-00","4/30/2025 12:00:00 AM","Ratcliffe","3375","479","0","272","29",
"25-083-21717-00-00","3/31/2025 12:00:00 AM","Ratcliffe","3375","675","0","322","31",
"25-083-21717-00-00","2/28/2025 12:00:00 AM","Ratcliffe","3375","221","0","229","13",
"25-083-21717-00-00","1/31/2025 12:00:00 AM","Ratcliffe","3375","566","0","339","28",
"25-083-21717-00-00","12/31/2024 12:00:00 AM","Ratcliffe","3375","311","0","324","23",
"25-083-21717-00-00","11/30/2024 12:00:00 AM","Ratcliffe","3375","489","0","266","30",
"25-083-21717-00-00","10/31/2024 12:00:00 AM","Ratcliffe","3375","590","0","332","31",
"25-083-21717-00-00","9/30/2024 12:00:00 AM","Ratcliffe","3375","435","0","292","18",
"25-083-21717-00-00","8/31/2024 12:00:00 AM","Ratcliffe","3375","592","0","358","29",
"25-083-21717-00-00","7/31/2024 12:00:00 AM","Ratcliffe","3375","588","0","271","25",
"25-083-21717-00-00","6/30/2024 12:00:00 AM","Ratcliffe","3375","43","0","33","7",
"25-083-21717-00-00","5/31/2024 12:00:00 AM","Ratcliffe","3375","614","0","453","29",
"25-083-21717-00-00","4/30/2024 12:00:00 AM","Ratcliffe","3375","0","0","0","0",
"25-083-21717-00-00","3/31/2024 12:00:00 AM","Ratcliffe","3375","36","0","0","1",
"25-083-21717-00-00","2/29/2024 12:00:00 AM","Ratcliffe","3375","382","0","204","28",
"25-083-21717-00-00","1/31/2024 12:00:00 AM","Ratcliffe","3375","471","0","235","30",
"25-083-21717-00-00","12/31/2023 12:00:00 AM","Ratcliffe","3375","456","0","299","28",
"25-083-21717-00-00","11/30/2023 12:00:00 AM","Ratcliffe","3375","459","0","242","30",
"25-083-21717-00-00","10/31/2023 12:00:00 AM","Ratcliffe","3375","562","0","232","29",
"25-083-21717-00-00","9/30/2023 12:00:00 AM","Ratcliffe","3375","414","0","297","27",
