"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25099210680000","Hawley & Desimon","Dubois  5","Oil","Shut In","Teton","Pondera","27N-4W","21",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-099-21068-00-00","7/31/2025 12:00:00 AM","Madison","570","0","0","0","0",
"25-099-21068-00-00","6/30/2025 12:00:00 AM","Madison","570","66","0","66","30",
"25-099-21068-00-00","5/31/2025 12:00:00 AM","Madison","570","0","0","0","0",
"25-099-21068-00-00","4/30/2025 12:00:00 AM","Madison","570","65","0","65","30",
"25-099-21068-00-00","3/31/2025 12:00:00 AM","Madison","570","0","0","0","0",
"25-099-21068-00-00","2/28/2025 12:00:00 AM","Madison","570","65","0","65","28",
"25-099-21068-00-00","1/31/2025 12:00:00 AM","Madison","570","0","0","0","0",
"25-099-21068-00-00","12/31/2024 12:00:00 AM","Madison","570","65","0","65","31",
"25-099-21068-00-00","11/30/2024 12:00:00 AM","Madison","570","0","0","0","0",
"25-099-21068-00-00","10/31/2024 12:00:00 AM","Madison","570","66","0","66","31",
"25-099-21068-00-00","9/30/2024 12:00:00 AM","Madison","570","0","0","0","0",
"25-099-21068-00-00","8/31/2024 12:00:00 AM","Madison","570","65","0","65","31",
"25-099-21068-00-00","7/31/2024 12:00:00 AM","Madison","570","55","0","55","31",
"25-099-21068-00-00","6/30/2024 12:00:00 AM","Madison","570","55","0","55","30",
"25-099-21068-00-00","5/31/2024 12:00:00 AM","Madison","570","0","0","0","0",
"25-099-21068-00-00","4/30/2024 12:00:00 AM","Madison","570","64","0","64","30",
"25-099-21068-00-00","3/31/2024 12:00:00 AM","Madison","570","0","0","0","0",
"25-099-21068-00-00","2/29/2024 12:00:00 AM","Madison","570","67","0","67","29",
"25-099-21068-00-00","1/31/2024 12:00:00 AM","Madison","570","0","0","0","0",
"25-099-21068-00-00","12/31/2023 12:00:00 AM","Madison","570","64","0","64","31",
"25-099-21068-00-00","11/30/2023 12:00:00 AM","Madison","570","0","0","0","0",
"25-099-21068-00-00","10/31/2023 12:00:00 AM","Madison","570","64","0","64","31",
"25-099-21068-00-00","9/30/2023 12:00:00 AM","Madison","570","0","0","0","0",
"25-099-21068-00-00","8/31/2023 12:00:00 AM","Madison","570","68","0","68","31",
"25-099-21068-00-00","7/31/2023 12:00:00 AM","Madison","570","0","0","0","0",
"25-099-21068-00-00","6/30/2023 12:00:00 AM","Madison","570","0","0","0","0",
"25-099-21068-00-00","4/30/2023 12:00:00 AM","Madison","570","131","0","131","30",
"25-099-21068-00-00","3/31/2023 12:00:00 AM","Madison","570","0","0","0","0",
"25-099-21068-00-00","2/28/2023 12:00:00 AM","Madison","570","66","0","66","28",
"25-099-21068-00-00","1/31/2023 12:00:00 AM","Madison","570","0","0","0","0",
"25-099-21068-00-00","12/31/2022 12:00:00 AM","Madison","570","0","0","0","0",
"25-099-21068-00-00","11/30/2022 12:00:00 AM","Madison","570","65","0","65","30",
"25-099-21068-00-00","10/31/2022 12:00:00 AM","Madison","570","0","0","0","0",
"25-099-21068-00-00","9/30/2022 12:00:00 AM","Madison","570","0","0","0","0",
"25-099-21068-00-00","8/31/2022 12:00:00 AM","Madison","570","64","0","64","31",
"25-099-21068-00-00","7/31/2022 12:00:00 AM","Madison","570","0","0","0","0",
"25-099-21068-00-00","6/30/2022 12:00:00 AM","Madison","570","66","0","66","30",
"25-099-21068-00-00","5/31/2022 12:00:00 AM","Madison","570","0","0","0","0",
"25-099-21068-00-00","4/30/2022 12:00:00 AM","Madison","570","66","0","66","30",
"25-099-21068-00-00","3/31/2022 12:00:00 AM","Madison","570","0","0","0","0",
"25-099-21068-00-00","2/28/2022 12:00:00 AM","Madison","570","67","0","67","28",
"25-099-21068-00-00","1/31/2022 12:00:00 AM","Madison","570","0","0","0","0",
"25-099-21068-00-00","12/31/2021 12:00:00 AM","Madison","570","68","0","68","31",
"25-099-21068-00-00","11/30/2021 12:00:00 AM","Madison","570","0","0","0","0",
"25-099-21068-00-00","10/31/2021 12:00:00 AM","Madison","570","65","0","65","31",
"25-099-21068-00-00","9/30/2021 12:00:00 AM","Madison","570","0","0","0","0",
"25-099-21068-00-00","8/31/2021 12:00:00 AM","Madison","570","67","0","67","31",
"25-099-21068-00-00","7/31/2021 12:00:00 AM","Madison","570","0","0","0","0",
"25-099-21068-00-00","6/30/2021 12:00:00 AM","Madison","570","66","0","66","30",
"25-099-21068-00-00","5/31/2021 12:00:00 AM","Madison","570","65","0","65","31",
"25-099-21068-00-00","4/30/2021 12:00:00 AM","Madison","570","0","0","0","0",
"25-099-21068-00-00","3/31/2021 12:00:00 AM","Madison","570","0","0","0","0",
"25-099-21068-00-00","2/28/2021 12:00:00 AM","Madison","570","69","0","69","28",
"25-099-21068-00-00","1/31/2021 12:00:00 AM","Madison","570","0","0","0","0",
"25-099-21068-00-00","12/31/2020 12:00:00 AM","Madison","570","65","0","65","31",
"25-099-21068-00-00","11/30/2020 12:00:00 AM","Madison","570","0","0","0","0",
"25-099-21068-00-00","10/31/2020 12:00:00 AM","Madison","570","66","0","66","31",
"25-099-21068-00-00","9/30/2020 12:00:00 AM","Madison","570","0","0","0","0",
