"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25101217900000","Montana Power Company","Dyrdahl  1-34","Gas","P&A - Approved","Toole","Willow Ridge","34N-2E","34",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-101-21790-00-00","12/31/1991 12:00:00 AM","Bow Island","118281","0","0","0","0",
"25-101-21790-00-00","11/30/1991 12:00:00 AM","Bow Island","118281","0","0","0","0",
"25-101-21790-00-00","10/31/1991 12:00:00 AM","Bow Island","118281","0","0","0","0",
"25-101-21790-00-00","9/30/1991 12:00:00 AM","Bow Island","118281","0","0","0","0",
"25-101-21790-00-00","8/31/1991 12:00:00 AM","Bow Island","118281","0","0","0","0",
"25-101-21790-00-00","7/31/1991 12:00:00 AM","Bow Island","118281","0","0","0","0",
"25-101-21790-00-00","6/30/1991 12:00:00 AM","Bow Island","118281","0","0","0","0",
"25-101-21790-00-00","5/31/1991 12:00:00 AM","Bow Island","118281","0","0","0","0",
"25-101-21790-00-00","4/30/1991 12:00:00 AM","Bow Island","118281","0","0","0","0",
"25-101-21790-00-00","3/31/1991 12:00:00 AM","Bow Island","118281","0","0","0","0",
"25-101-21790-00-00","2/28/1991 12:00:00 AM","Bow Island","118281","0","0","0","0",
"25-101-21790-00-00","1/31/1991 12:00:00 AM","Bow Island","118281","0","0","0","0",

