"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25025215510000","Denbury Onshore, LLC","ELOB  14-13H","Injection, EOR","Active Injection","Fallon","Lookout Butte, East, Unit","7N-60E","13",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-025-21551-00-00","11/30/2006 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21551-00-00","10/31/2006 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21551-00-00","9/30/2006 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21551-00-00","8/31/2006 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21551-00-00","7/31/2006 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21551-00-00","6/30/2006 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21551-00-00","5/31/2006 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21551-00-00","4/30/2006 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21551-00-00","3/31/2006 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21551-00-00","2/28/2006 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21551-00-00","1/31/2006 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21551-00-00","12/31/2005 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21551-00-00","11/30/2005 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21551-00-00","10/31/2005 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21551-00-00","9/30/2005 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21551-00-00","8/31/2005 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21551-00-00","7/31/2005 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21551-00-00","6/30/2005 12:00:00 AM","Red River","5054","255","40","74","8",
"25-025-21551-00-00","5/31/2005 12:00:00 AM","Red River","5054","954","182","329","31",
"25-025-21551-00-00","4/30/2005 12:00:00 AM","Red River","5054","817","211","420","30",
"25-025-21551-00-00","3/31/2005 12:00:00 AM","Red River","5054","934","228","287","31",
"25-025-21551-00-00","2/28/2005 12:00:00 AM","Red River","5054","783","207","262","28",
"25-025-21551-00-00","1/31/2005 12:00:00 AM","Red River","5054","875","201","406","31",
"25-025-21551-00-00","12/31/2004 12:00:00 AM","Red River","5054","876","206","371","31",
"25-025-21551-00-00","11/30/2004 12:00:00 AM","Red River","5054","678","83","577","30",
"25-025-21551-00-00","10/31/2004 12:00:00 AM","Red River","5054","876","180","355","31",
"25-025-21551-00-00","9/30/2004 12:00:00 AM","Red River","5054","918","154","460","30",
"25-025-21551-00-00","8/31/2004 12:00:00 AM","Red River","5054","955","160","405","31",
"25-025-21551-00-00","7/31/2004 12:00:00 AM","Red River","5054","832","252","244","31",
"25-025-21551-00-00","6/30/2004 12:00:00 AM","Red River","5054","774","236","224","30",
"25-025-21551-00-00","5/31/2004 12:00:00 AM","Red River","5054","680","204","427","31",
"25-025-21551-00-00","4/30/2004 12:00:00 AM","Red River","5054","702","204","450","30",
"25-025-21551-00-00","3/31/2004 12:00:00 AM","Red River","5054","1007","205","519","31",
"25-025-21551-00-00","2/29/2004 12:00:00 AM","Red River","5054","806","148","396","29",
"25-025-21551-00-00","1/31/2004 12:00:00 AM","Red River","5054","812","112","299","31",
"25-025-21551-00-00","12/31/2003 12:00:00 AM","Red River","5054","999","125","427","31",
"25-025-21551-00-00","11/30/2003 12:00:00 AM","Red River","5054","1042","170","501","30",
"25-025-21551-00-00","10/31/2003 12:00:00 AM","Red River","5054","1086","199","650","31",
"25-025-21551-00-00","9/30/2003 12:00:00 AM","Red River","5054","816","225","609","30",
"25-025-21551-00-00","8/31/2003 12:00:00 AM","Red River","5054","1094","247","695","31",
"25-025-21551-00-00","7/31/2003 12:00:00 AM","Red River","5054","952","290","622","31",
"25-025-21551-00-00","6/30/2003 12:00:00 AM","Red River","5054","822","199","743","30",
"25-025-21551-00-00","5/31/2003 12:00:00 AM","Red River","5054","1277","110","546","31",
"25-025-21551-00-00","4/30/2003 12:00:00 AM","Red River","5054","949","73","489","30",
"25-025-21551-00-00","3/31/2003 12:00:00 AM","Red River","5054","856","58","289","31",
"25-025-21551-00-00","2/28/2003 12:00:00 AM","Red River","5054","510","112","303","28",
"25-025-21551-00-00","1/31/2003 12:00:00 AM","Red River","5054","519","115","298","31",
"25-025-21551-00-00","12/31/2002 12:00:00 AM","Red River","5054","720","88","281","31",
"25-025-21551-00-00","11/30/2002 12:00:00 AM","Red River","5054","625","109","116","30",
"25-025-21551-00-00","10/31/2002 12:00:00 AM","Red River","5054","647","128","331","31",
"25-025-21551-00-00","9/30/2002 12:00:00 AM","Red River","5054","499","147","209","30",
"25-025-21551-00-00","8/31/2002 12:00:00 AM","Red River","5054","524","150","207","30",
"25-025-21551-00-00","7/31/2002 12:00:00 AM","Red River","5054","589","158","245","31",
"25-025-21551-00-00","6/30/2002 12:00:00 AM","Red River","5054","370","121","239","30",
"25-025-21551-00-00","5/31/2002 12:00:00 AM","Red River","5054","429","144","293","31",
"25-025-21551-00-00","4/30/2002 12:00:00 AM","Red River","5054","372","123","311","30",
"25-025-21551-00-00","3/31/2002 12:00:00 AM","Red River","5054","396","120","193","31",
"25-025-21551-00-00","2/28/2002 12:00:00 AM","Red River","5054","331","137","155","28",
"25-025-21551-00-00","1/31/2002 12:00:00 AM","Red River","5054","301","145","175","30",
"25-025-21551-00-00","12/31/2001 12:00:00 AM","Red River","5054","315","145","250","31",
"25-025-21551-00-00","11/30/2001 12:00:00 AM","Red River","5054","326","143","309","30",
"25-025-21551-00-00","10/31/2001 12:00:00 AM","Red River","5054","345","100","269","31",
"25-025-21551-00-00","9/30/2001 12:00:00 AM","Red River","5054","343","88","206","30",
"25-025-21551-00-00","8/31/2001 12:00:00 AM","Red River","5054","397","97","195","31",
"25-025-21551-00-00","7/31/2001 12:00:00 AM","Red River","5054","431","140","283","31",
"25-025-21551-00-00","6/30/2001 12:00:00 AM","Red River","5054","307","131","154","30",
"25-025-21551-00-00","5/31/2001 12:00:00 AM","Red River","5054","294","149","192","31",
"25-025-21551-00-00","4/30/2001 12:00:00 AM","Red River","5054","434","420","395","30",
"25-025-21551-00-00","3/31/2001 12:00:00 AM","Red River","5054","358","213","235","31",
"25-025-21551-00-00","2/28/2001 12:00:00 AM","Red River","5054","317","176","212","28",
"25-025-21551-00-00","1/31/2001 12:00:00 AM","Red River","5054","335","183","215","31",
"25-025-21551-00-00","12/31/2000 12:00:00 AM","Red River","5054","319","167","171","28",
"25-025-21551-00-00","11/30/2000 12:00:00 AM","Red River","5054","325","252","277","30",
"25-025-21551-00-00","10/31/2000 12:00:00 AM","Red River","5054","447","191","412","31",
"25-025-21551-00-00","9/30/2000 12:00:00 AM","Red River","5054","418","455","317","30",
"25-025-21551-00-00","8/31/2000 12:00:00 AM","Red River","5054","443","178","267","31",
"25-025-21551-00-00","7/31/2000 12:00:00 AM","Red River","5054","282","129","117","31",
"25-025-21551-00-00","6/30/2000 12:00:00 AM","Red River","5054","441","208","303","30",
"25-025-21551-00-00","5/31/2000 12:00:00 AM","Red River","5054","380","151","535","31",
"25-025-21551-00-00","4/30/2000 12:00:00 AM","Red River","5054","299","150","431","30",
"25-025-21551-00-00","3/31/2000 12:00:00 AM","Red River","5054","503","162","479","31",
"25-025-21551-00-00","2/29/2000 12:00:00 AM","Red River","5054","428","90","397","29",
"25-025-21551-00-00","1/31/2000 12:00:00 AM","Red River","5054","436","78","331","31",
"25-025-21551-00-00","12/31/1999 12:00:00 AM","Red River","5054","502","118","399","31",
"25-025-21551-00-00","11/30/1999 12:00:00 AM","Red River","5054","578","210","529","30",
"25-025-21551-00-00","10/31/1999 12:00:00 AM","Red River","5054","494","138","370","31",
"25-025-21551-00-00","9/30/1999 12:00:00 AM","Red River","5054","627","62","295","30",
"25-025-21551-00-00","8/31/1999 12:00:00 AM","Red River","5054","652","105","417","31",
"25-025-21551-00-00","7/31/1999 12:00:00 AM","Red River","5054","958","211","414","31",
"25-025-21551-00-00","6/30/1999 12:00:00 AM","Red River","5054","581","105","200","30",
"25-025-21551-00-00","5/31/1999 12:00:00 AM","Red River","5054","997","294","373","31",
"25-025-21551-00-00","4/30/1999 12:00:00 AM","Red River","5054","1727","608","379","30",
"25-025-21551-00-00","3/31/1999 12:00:00 AM","Red River","5054","414","158","131","31",
"25-025-21551-00-00","2/28/1999 12:00:00 AM","Red River","5054","248","132","116","28",
"25-025-21551-00-00","1/31/1999 12:00:00 AM","Red River","5054","314","3","64","31",
"25-025-21551-00-00","12/31/1998 12:00:00 AM","Red River","5054","597","469","183","31",
"25-025-21551-00-00","11/30/1998 12:00:00 AM","Red River","5054","435","279","253","30",
"25-025-21551-00-00","10/31/1998 12:00:00 AM","Red River","5054","387","214","234","31",
"25-025-21551-00-00","9/30/1998 12:00:00 AM","Red River","5054","389","143","175","30",
"25-025-21551-00-00","8/31/1998 12:00:00 AM","Red River","5054","402","280","209","31",
"25-025-21551-00-00","7/31/1998 12:00:00 AM","Red River","5054","385","176","169","31",
"25-025-21551-00-00","6/30/1998 12:00:00 AM","Red River","5054","375","193","110","30",
"25-025-21551-00-00","5/31/1998 12:00:00 AM","Red River","5054","216","166","160","31",
"25-025-21551-00-00","4/30/1998 12:00:00 AM","Red River","5054","168","106","49","30",
"25-025-21551-00-00","3/31/1998 12:00:00 AM","Red River","5054","455","123","834","29",
"25-025-21551-00-00","2/28/1998 12:00:00 AM","Red River","5054","196","131","93","28",
"25-025-21551-00-00","1/31/1998 12:00:00 AM","Red River","5054","200","111","70","31",
"25-025-21551-00-00","12/31/1997 12:00:00 AM","Red River","5054","55","0","0","31",
"25-025-21551-00-00","11/30/1997 12:00:00 AM","Red River","5054","547","0","360","30",
"25-025-21551-00-00","10/31/1997 12:00:00 AM","Red River","5054","118","0","0","26",
"25-025-21551-00-00","9/30/1997 12:00:00 AM","Red River","5054","689","3","861","30",
"25-025-21551-00-00","8/31/1997 12:00:00 AM","Red River","5054","787","1","759","31",
"25-025-21551-00-00","7/31/1997 12:00:00 AM","Red River","5054","822","3","965","31",
"25-025-21551-00-00","6/30/1997 12:00:00 AM","Red River","5054","555","3","555","30",
"25-025-21551-00-00","5/31/1997 12:00:00 AM","Red River","5054","706","4","688","31",
"25-025-21551-00-00","4/30/1997 12:00:00 AM","Red River","5054","617","1","410","28",
"25-025-21551-00-00","3/31/1997 12:00:00 AM","Red River","5054","533","326","296","18",
"25-025-21551-00-00","2/28/1997 12:00:00 AM","Red River","5054","687","155","323","28",
"25-025-21551-00-00","1/31/1997 12:00:00 AM","Red River","5054","769","174","368","31",
"25-025-21551-00-00","12/31/1996 12:00:00 AM","Red River","5054","780","176","412","31",
"25-025-21551-00-00","11/30/1996 12:00:00 AM","Red River","5054","791","179","376","30",
"25-025-21551-00-00","10/31/1996 12:00:00 AM","Red River","5054","808","183","392","31",
"25-025-21551-00-00","9/30/1996 12:00:00 AM","Red River","5054","842","0","371","30",
"25-025-21551-00-00","8/31/1996 12:00:00 AM","Red River","5054","867","0","384","31",
"25-025-21551-00-00","7/31/1996 12:00:00 AM","Red River","5054","905","0","419","31",
"25-025-21551-00-00","6/30/1996 12:00:00 AM","Red River","5054","908","0","412","30",
"25-025-21551-00-00","5/31/1996 12:00:00 AM","Red River","5054","971","178","415","31",
"25-025-21551-00-00","4/30/1996 12:00:00 AM","Red River","5054","1004","2159","422","30",
"25-025-21551-00-00","3/31/1996 12:00:00 AM","Red River","5054","1085","271","455","30",
"25-025-21551-00-00","2/29/1996 12:00:00 AM","Red River","5054","1122","281","465","29",
"25-025-21551-00-00","1/31/1996 12:00:00 AM","Red River","5054","1225","276","449","29",
"25-025-21551-00-00","12/31/1995 12:00:00 AM","Red River","5054","1213","0","452","31",
"25-025-21551-00-00","11/30/1995 12:00:00 AM","Red River","5054","1270","0","434","30",
"25-025-21551-00-00","10/31/1995 12:00:00 AM","Red River","5054","1383","0","459","31",
"25-025-21551-00-00","9/30/1995 12:00:00 AM","Red River","5054","1378","0","413","30",
"25-025-21551-00-00","8/31/1995 12:00:00 AM","Red River","5054","1561","0","431","28",
"25-025-21551-00-00","7/31/1995 12:00:00 AM","Red River","5054","2070","0","451","31",
"25-025-21551-00-00","6/30/1995 12:00:00 AM","Red River","5054","2533","0","617","31",
"25-025-21551-00-00","5/31/1995 12:00:00 AM","Red River","5054","3325","0","704","31",
"25-025-21551-00-00","4/30/1995 12:00:00 AM","Red River","5054","3063","0","1135","20",
"25-025-21551-00-00","3/31/1995 12:00:00 AM","Red River","5054","0","0","0","0",

