"API_WellNo","CoName","Well_Nm","Well_Type","Wl_Status","County","Field","WH_TR","WH_Sec",
"25025215890000","Denbury Onshore, LLC","ELOB  32-1SH","Injection, EOR","Active Injection","Fallon","Lookout Butte, East, Unit","6N-60E","1",

"API_WellNo","RptDate","Formation","Lease_Unit","BBLS_OIL_COND","MCF_GAS","BBLS_WTR","DAYS_PROD",
"25-025-21589-00-00","7/31/2008 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21589-00-00","6/30/2008 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21589-00-00","5/31/2008 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21589-00-00","4/30/2008 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21589-00-00","3/31/2008 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21589-00-00","2/29/2008 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21589-00-00","1/31/2008 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21589-00-00","12/31/2007 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21589-00-00","11/30/2007 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21589-00-00","10/31/2007 12:00:00 AM","Red River","5054","0","775","0","31",
"25-025-21589-00-00","9/30/2007 12:00:00 AM","Red River","5054","0","705","0","30",
"25-025-21589-00-00","8/31/2007 12:00:00 AM","Red River","5054","0","799","0","31",
"25-025-21589-00-00","7/31/2007 12:00:00 AM","Red River","5054","0","632","0","31",
"25-025-21589-00-00","6/30/2007 12:00:00 AM","Red River","5054","0","772","0","30",
"25-025-21589-00-00","5/31/2007 12:00:00 AM","Red River","5054","0","743","0","31",
"25-025-21589-00-00","4/30/2007 12:00:00 AM","Red River","5054","0","716","0","30",
"25-025-21589-00-00","11/30/2006 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21589-00-00","10/31/2006 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21589-00-00","9/30/2006 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21589-00-00","8/31/2006 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21589-00-00","7/31/2006 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21589-00-00","6/30/2006 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21589-00-00","5/31/2006 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21589-00-00","4/30/2006 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21589-00-00","3/31/2006 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21589-00-00","2/28/2006 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21589-00-00","1/31/2006 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21589-00-00","12/31/2005 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21589-00-00","11/30/2005 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21589-00-00","10/31/2005 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21589-00-00","9/30/2005 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21589-00-00","8/31/2005 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21589-00-00","7/31/2005 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21589-00-00","6/30/2005 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21589-00-00","5/31/2005 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21589-00-00","4/30/2005 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21589-00-00","3/31/2005 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21589-00-00","2/28/2005 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21589-00-00","1/31/2005 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21589-00-00","12/31/2004 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21589-00-00","11/30/2004 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21589-00-00","10/31/2004 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21589-00-00","9/30/2004 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21589-00-00","8/31/2004 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21589-00-00","7/31/2004 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21589-00-00","6/30/2004 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21589-00-00","5/31/2004 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21589-00-00","4/30/2004 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21589-00-00","3/31/2004 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21589-00-00","2/29/2004 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21589-00-00","1/31/2004 12:00:00 AM","Red River","5054","0","0","0","0",
"25-025-21589-00-00","12/31/2003 12:00:00 AM","Red River","5054","4466","1181","2526","31",
"25-025-21589-00-00","11/30/2003 12:00:00 AM","Red River","5054","4092","747","2680","30",
"25-025-21589-00-00","10/31/2003 12:00:00 AM","Red River","5054","4889","1342","1276","31",
"25-025-21589-00-00","9/30/2003 12:00:00 AM","Red River","5054","2246","689","1089","15",
"25-025-21589-00-00","8/31/2003 12:00:00 AM","Red River","5054","4859","1210","2066","31",
"25-025-21589-00-00","7/31/2003 12:00:00 AM","Red River","5054","4162","1183","1828","31",
"25-025-21589-00-00","6/30/2003 12:00:00 AM","Red River","5054","5383","943","1514","30",
"25-025-21589-00-00","5/31/2003 12:00:00 AM","Red River","5054","7167","1075","1484","31",
"25-025-21589-00-00","4/30/2003 12:00:00 AM","Red River","5054","4000","1042","1618","30",
"25-025-21589-00-00","3/31/2003 12:00:00 AM","Red River","5054","4142","1046","1824","31",
